date,county,state,fips,cases,deaths
2020-03-22,Mitchell,Kansas,20123.0,1,0.0
2020-03-23,Mitchell,Kansas,20123.0,3,0.0
2020-03-24,Mitchell,Georgia,13205.0,4,0.0
2020-03-24,Mitchell,Kansas,20123.0,3,0.0
2020-03-25,Mitchell,Georgia,13205.0,4,0.0
2020-03-25,Mitchell,Kansas,20123.0,3,0.0
2020-03-26,Mitchell,Georgia,13205.0,10,0.0
2020-03-26,Mitchell,Kansas,20123.0,3,0.0
2020-03-27,Mitchell,Georgia,13205.0,14,0.0
2020-03-27,Mitchell,Kansas,20123.0,3,0.0
2020-03-28,Mitchell,Georgia,13205.0,15,0.0
2020-03-28,Mitchell,Kansas,20123.0,3,0.0
2020-03-29,Mitchell,Georgia,13205.0,15,0.0
2020-03-29,Mitchell,Kansas,20123.0,3,0.0
2020-03-30,Mitchell,Georgia,13205.0,16,1.0
2020-03-30,Mitchell,Kansas,20123.0,3,0.0
2020-03-31,Mitchell,Georgia,13205.0,34,1.0
2020-03-31,Mitchell,Kansas,20123.0,3,0.0
2020-04-01,Mitchell,Georgia,13205.0,39,1.0
2020-04-01,Mitchell,Iowa,19131.0,2,0.0
2020-04-01,Mitchell,Kansas,20123.0,3,0.0
2020-04-02,Mitchell,Georgia,13205.0,40,1.0
2020-04-02,Mitchell,Iowa,19131.0,2,0.0
2020-04-02,Mitchell,Kansas,20123.0,2,0.0
2020-04-02,Mitchell,North Carolina,37121.0,1,0.0
2020-04-03,Mitchell,Georgia,13205.0,46,1.0
2020-04-03,Mitchell,Iowa,19131.0,2,0.0
2020-04-03,Mitchell,Kansas,20123.0,2,0.0
2020-04-03,Mitchell,North Carolina,37121.0,1,0.0
2020-04-04,Mitchell,Georgia,13205.0,53,1.0
2020-04-04,Mitchell,Iowa,19131.0,2,0.0
2020-04-04,Mitchell,Kansas,20123.0,2,0.0
2020-04-04,Mitchell,North Carolina,37121.0,1,0.0
2020-04-05,Mitchell,Georgia,13205.0,56,1.0
2020-04-05,Mitchell,Iowa,19131.0,2,0.0
2020-04-05,Mitchell,Kansas,20123.0,2,0.0
2020-04-05,Mitchell,North Carolina,37121.0,1,0.0
2020-04-06,Mitchell,Georgia,13205.0,59,10.0
2020-04-06,Mitchell,Iowa,19131.0,2,0.0
2020-04-06,Mitchell,Kansas,20123.0,2,0.0
2020-04-06,Mitchell,North Carolina,37121.0,1,0.0
2020-04-07,Mitchell,Georgia,13205.0,100,11.0
2020-04-07,Mitchell,Iowa,19131.0,2,0.0
2020-04-07,Mitchell,Kansas,20123.0,2,0.0
2020-04-07,Mitchell,North Carolina,37121.0,2,0.0
2020-04-07,Mitchell,Texas,48335.0,1,0.0
2020-04-08,Mitchell,Georgia,13205.0,113,12.0
2020-04-08,Mitchell,Iowa,19131.0,2,0.0
2020-04-08,Mitchell,Kansas,20123.0,2,0.0
2020-04-08,Mitchell,North Carolina,37121.0,3,0.0
2020-04-08,Mitchell,Texas,48335.0,1,0.0
2020-04-09,Mitchell,Georgia,13205.0,118,13.0
2020-04-09,Mitchell,Iowa,19131.0,2,0.0
2020-04-09,Mitchell,Kansas,20123.0,2,0.0
2020-04-09,Mitchell,North Carolina,37121.0,3,0.0
2020-04-09,Mitchell,Texas,48335.0,1,0.0
