date,county,state,fips,cases,deaths
2020-03-09,Monmouth,New Jersey,34025.0,2,0.0
2020-03-10,Monmouth,New Jersey,34025.0,2,0.0
2020-03-11,Monmouth,New Jersey,34025.0,4,0.0
2020-03-12,Monmouth,New Jersey,34025.0,5,0.0
2020-03-13,Monmouth,New Jersey,34025.0,7,0.0
2020-03-14,Monmouth,New Jersey,34025.0,8,1.0
2020-03-15,Monmouth,New Jersey,34025.0,11,1.0
2020-03-16,Monmouth,New Jersey,34025.0,14,1.0
2020-03-17,Monmouth,New Jersey,34025.0,22,1.0
2020-03-18,Monmouth,New Jersey,34025.0,32,1.0
2020-03-19,Monmouth,New Jersey,34025.0,43,1.0
2020-03-20,Monmouth,New Jersey,34025.0,53,1.0
2020-03-21,Monmouth,New Jersey,34025.0,92,2.0
2020-03-22,Monmouth,New Jersey,34025.0,158,2.0
2020-03-23,Monmouth,New Jersey,34025.0,238,2.0
2020-03-24,Monmouth,New Jersey,34025.0,288,4.0
2020-03-25,Monmouth,New Jersey,34025.0,313,6.0
2020-03-26,Monmouth,New Jersey,34025.0,501,7.0
2020-03-27,Monmouth,New Jersey,34025.0,634,10.0
2020-03-28,Monmouth,New Jersey,34025.0,781,10.0
2020-03-29,Monmouth,New Jersey,34025.0,870,10.0
2020-03-30,Monmouth,New Jersey,34025.0,1030,15.0
2020-03-31,Monmouth,New Jersey,34025.0,1140,21.0
2020-04-01,Monmouth,New Jersey,34025.0,1301,24.0
2020-04-02,Monmouth,New Jersey,34025.0,1458,38.0
2020-04-03,Monmouth,New Jersey,34025.0,1743,48.0
2020-04-04,Monmouth,New Jersey,34025.0,2065,54.0
2020-04-05,Monmouth,New Jersey,34025.0,2354,58.0
2020-04-06,Monmouth,New Jersey,34025.0,2545,62.0
2020-04-07,Monmouth,New Jersey,34025.0,2770,71.0
2020-04-08,Monmouth,New Jersey,34025.0,3038,86.0
2020-04-09,Monmouth,New Jersey,34025.0,3248,98.0
2020-04-10,Monmouth,New Jersey,34025.0,3496,107.0
2020-04-11,Monmouth,New Jersey,34025.0,3651,115.0
2020-04-12,Monmouth,New Jersey,34025.0,3785,123.0
2020-04-13,Monmouth,New Jersey,34025.0,3875,127.0
2020-04-14,Monmouth,New Jersey,34025.0,4003,145.0
2020-04-15,Monmouth,New Jersey,34025.0,4122,167.0
2020-04-16,Monmouth,New Jersey,34025.0,4299,190.0
2020-04-17,Monmouth,New Jersey,34025.0,4414,206.0
2020-04-18,Monmouth,New Jersey,34025.0,4528,221.0
2020-04-19,Monmouth,New Jersey,34025.0,4669,226.0
2020-04-20,Monmouth,New Jersey,34025.0,4787,230.0
2020-04-21,Monmouth,New Jersey,34025.0,4947,244.0
2020-04-22,Monmouth,New Jersey,34025.0,5086,251.0
2020-04-23,Monmouth,New Jersey,34025.0,5238,260.0
2020-04-24,Monmouth,New Jersey,34025.0,5368,273.0
2020-04-25,Monmouth,New Jersey,34025.0,5521,287.0
2020-04-26,Monmouth,New Jersey,34025.0,5671,291.0
2020-04-27,Monmouth,New Jersey,34025.0,5759,302.0
2020-04-28,Monmouth,New Jersey,34025.0,5826,305.0
2020-04-29,Monmouth,New Jersey,34025.0,5907,317.0
2020-04-30,Monmouth,New Jersey,34025.0,6033,341.0
2020-05-01,Monmouth,New Jersey,34025.0,6132,355.0
2020-05-02,Monmouth,New Jersey,34025.0,6198,372.0
2020-05-03,Monmouth,New Jersey,34025.0,6290,382.0
2020-05-04,Monmouth,New Jersey,34025.0,6378,385.0
2020-05-05,Monmouth,New Jersey,34025.0,6490,398.0
2020-05-06,Monmouth,New Jersey,34025.0,6552,417.0
2020-05-07,Monmouth,New Jersey,34025.0,6649,428.0
2020-05-08,Monmouth,New Jersey,34025.0,6752,429.0
2020-05-09,Monmouth,New Jersey,34025.0,6815,439.0
2020-05-10,Monmouth,New Jersey,34025.0,6894,443.0
2020-05-11,Monmouth,New Jersey,34025.0,6988,445.0
2020-05-12,Monmouth,New Jersey,34025.0,7041,460.0
2020-05-13,Monmouth,New Jersey,34025.0,7090,466.0
2020-05-14,Monmouth,New Jersey,34025.0,7164,480.0
2020-05-15,Monmouth,New Jersey,34025.0,7224,495.0
2020-05-16,Monmouth,New Jersey,34025.0,7297,503.0
2020-05-17,Monmouth,New Jersey,34025.0,7339,508.0
2020-05-18,Monmouth,New Jersey,34025.0,7408,513.0
2020-05-19,Monmouth,New Jersey,34025.0,7470,520.0
2020-05-20,Monmouth,New Jersey,34025.0,7541,531.0
2020-05-21,Monmouth,New Jersey,34025.0,7637,537.0
2020-05-22,Monmouth,New Jersey,34025.0,7695,543.0
2020-05-23,Monmouth,New Jersey,34025.0,7720,551.0
2020-05-24,Monmouth,New Jersey,34025.0,7800,556.0
2020-05-25,Monmouth,New Jersey,34025.0,7865,556.0
2020-05-26,Monmouth,New Jersey,34025.0,7911,559.0
2020-05-27,Monmouth,New Jersey,34025.0,7961,575.0
2020-05-28,Monmouth,New Jersey,34025.0,8012,578.0
2020-05-29,Monmouth,New Jersey,34025.0,8100,587.0
2020-05-30,Monmouth,New Jersey,34025.0,8159,596.0
2020-05-31,Monmouth,New Jersey,34025.0,8219,597.0
2020-06-01,Monmouth,New Jersey,34025.0,8249,599.0
2020-06-02,Monmouth,New Jersey,34025.0,8289,608.0
2020-06-03,Monmouth,New Jersey,34025.0,8332,619.0
2020-06-04,Monmouth,New Jersey,34025.0,8379,627.0
2020-06-05,Monmouth,New Jersey,34025.0,8428,630.0
2020-06-06,Monmouth,New Jersey,34025.0,8454,636.0
2020-06-07,Monmouth,New Jersey,34025.0,8478,641.0
2020-06-08,Monmouth,New Jersey,34025.0,8498,640.0
2020-06-09,Monmouth,New Jersey,34025.0,8512,650.0
2020-06-10,Monmouth,New Jersey,34025.0,8563,652.0
2020-06-11,Monmouth,New Jersey,34025.0,8627,661.0
2020-06-12,Monmouth,New Jersey,34025.0,8660,662.0
2020-06-13,Monmouth,New Jersey,34025.0,8720,667.0
2020-06-14,Monmouth,New Jersey,34025.0,8740,672.0
2020-06-15,Monmouth,New Jersey,34025.0,8761,678.0
2020-06-16,Monmouth,New Jersey,34025.0,8786,687.0
2020-06-17,Monmouth,New Jersey,34025.0,8804,688.0
2020-06-18,Monmouth,New Jersey,34025.0,8830,692.0
2020-06-19,Monmouth,New Jersey,34025.0,8876,694.0
2020-06-20,Monmouth,New Jersey,34025.0,8925,694.0
2020-06-21,Monmouth,New Jersey,34025.0,8942,695.0
2020-06-22,Monmouth,New Jersey,34025.0,8965,696.0
2020-06-23,Monmouth,New Jersey,34025.0,8998,700.0
2020-06-24,Monmouth,New Jersey,34025.0,9008,702.0
2020-06-25,Monmouth,New Jersey,34025.0,9123,797.0
2020-06-26,Monmouth,New Jersey,34025.0,9150,802.0
2020-06-27,Monmouth,New Jersey,34025.0,9175,803.0
2020-06-28,Monmouth,New Jersey,34025.0,9201,805.0
2020-06-29,Monmouth,New Jersey,34025.0,9203,805.0
2020-06-30,Monmouth,New Jersey,34025.0,9233,807.0
2020-07-01,Monmouth,New Jersey,34025.0,9256,808.0
2020-07-02,Monmouth,New Jersey,34025.0,9307,814.0
2020-07-03,Monmouth,New Jersey,34025.0,9344,817.0
2020-07-04,Monmouth,New Jersey,34025.0,9368,820.0
2020-07-05,Monmouth,New Jersey,34025.0,9404,821.0
2020-07-06,Monmouth,New Jersey,34025.0,9416,820.0
2020-07-07,Monmouth,New Jersey,34025.0,9442,822.0
2020-07-08,Monmouth,New Jersey,34025.0,9458,825.0
2020-07-09,Monmouth,New Jersey,34025.0,9469,831.0
2020-07-10,Monmouth,New Jersey,34025.0,9502,832.0
2020-07-11,Monmouth,New Jersey,34025.0,9535,834.0
2020-07-12,Monmouth,New Jersey,34025.0,9580,834.0
2020-07-13,Monmouth,New Jersey,34025.0,9613,838.0
2020-07-14,Monmouth,New Jersey,34025.0,9640,840.0
2020-07-15,Monmouth,New Jersey,34025.0,9706,845.0
2020-07-16,Monmouth,New Jersey,34025.0,9727,846.0
2020-07-17,Monmouth,New Jersey,34025.0,9737,847.0
2020-07-18,Monmouth,New Jersey,34025.0,9750,847.0
2020-07-19,Monmouth,New Jersey,34025.0,9760,848.0
2020-07-20,Monmouth,New Jersey,34025.0,9773,849.0
2020-07-21,Monmouth,New Jersey,34025.0,9784,851.0
2020-07-22,Monmouth,New Jersey,34025.0,9820,851.0
2020-07-23,Monmouth,New Jersey,34025.0,9848,851.0
2020-07-24,Monmouth,New Jersey,34025.0,9891,854.0
2020-07-25,Monmouth,New Jersey,34025.0,9922,854.0
2020-07-26,Monmouth,New Jersey,34025.0,9957,854.0
2020-07-27,Monmouth,New Jersey,34025.0,10008,855.0
2020-07-28,Monmouth,New Jersey,34025.0,10047,856.0
