,date,county,state,fips,cases,deaths
9577,2020-03-24,Mono,California,6051.0,2,0.0
10949,2020-03-25,Mono,California,6051.0,4,0.0
12494,2020-03-26,Mono,California,6051.0,6,0.0
14160,2020-03-27,Mono,California,6051.0,8,0.0
15942,2020-03-28,Mono,California,6051.0,8,0.0
17831,2020-03-29,Mono,California,6051.0,11,0.0
19808,2020-03-30,Mono,California,6051.0,13,0.0
21882,2020-03-31,Mono,California,6051.0,13,1.0
24040,2020-04-01,Mono,California,6051.0,13,1.0
26269,2020-04-02,Mono,California,6051.0,18,1.0
28568,2020-04-03,Mono,California,6051.0,19,1.0
30926,2020-04-04,Mono,California,6051.0,19,1.0
33332,2020-04-05,Mono,California,6051.0,19,1.0
35777,2020-04-06,Mono,California,6051.0,19,1.0
38266,2020-04-07,Mono,California,6051.0,19,1.0
40810,2020-04-08,Mono,California,6051.0,20,1.0
43382,2020-04-09,Mono,California,6051.0,20,1.0
45982,2020-04-10,Mono,California,6051.0,21,1.0
48612,2020-04-11,Mono,California,6051.0,21,1.0
51274,2020-04-12,Mono,California,6051.0,23,1.0
53953,2020-04-13,Mono,California,6051.0,23,1.0
56645,2020-04-14,Mono,California,6051.0,23,1.0
59353,2020-04-15,Mono,California,6051.0,23,1.0
62072,2020-04-16,Mono,California,6051.0,23,1.0
64805,2020-04-17,Mono,California,6051.0,23,1.0
67553,2020-04-18,Mono,California,6051.0,23,1.0
70315,2020-04-19,Mono,California,6051.0,23,1.0
73084,2020-04-20,Mono,California,6051.0,24,1.0
75860,2020-04-21,Mono,California,6051.0,24,1.0
78644,2020-04-22,Mono,California,6051.0,24,1.0
81438,2020-04-23,Mono,California,6051.0,24,1.0
84238,2020-04-24,Mono,California,6051.0,24,1.0
87046,2020-04-25,Mono,California,6051.0,24,1.0
89863,2020-04-26,Mono,California,6051.0,24,1.0
92681,2020-04-27,Mono,California,6051.0,26,1.0
95513,2020-04-28,Mono,California,6051.0,26,1.0
98358,2020-04-29,Mono,California,6051.0,26,1.0
101208,2020-04-30,Mono,California,6051.0,26,1.0
104063,2020-05-01,Mono,California,6051.0,26,1.0
106928,2020-05-02,Mono,California,6051.0,26,1.0
109797,2020-05-03,Mono,California,6051.0,26,1.0
112672,2020-05-04,Mono,California,6051.0,26,1.0
115555,2020-05-05,Mono,California,6051.0,26,1.0
118514,2020-05-06,Mono,California,6051.0,27,1.0
121481,2020-05-07,Mono,California,6051.0,28,1.0
124461,2020-05-08,Mono,California,6051.0,29,1.0
127446,2020-05-09,Mono,California,6051.0,29,1.0
130436,2020-05-10,Mono,California,6051.0,29,1.0
133426,2020-05-11,Mono,California,6051.0,32,1.0
136416,2020-05-12,Mono,California,6051.0,32,1.0
139407,2020-05-13,Mono,California,6051.0,33,1.0
142403,2020-05-14,Mono,California,6051.0,33,1.0
145402,2020-05-15,Mono,California,6051.0,33,1.0
148406,2020-05-16,Mono,California,6051.0,33,1.0
151415,2020-05-17,Mono,California,6051.0,34,1.0
154427,2020-05-18,Mono,California,6051.0,34,1.0
157443,2020-05-19,Mono,California,6051.0,34,1.0
160469,2020-05-20,Mono,California,6051.0,34,1.0
163497,2020-05-21,Mono,California,6051.0,34,1.0
166529,2020-05-22,Mono,California,6051.0,34,1.0
169566,2020-05-23,Mono,California,6051.0,34,1.0
172607,2020-05-24,Mono,California,6051.0,34,1.0
175651,2020-05-25,Mono,California,6051.0,34,1.0
178695,2020-05-26,Mono,California,6051.0,35,1.0
181739,2020-05-27,Mono,California,6051.0,35,1.0
184793,2020-05-28,Mono,California,6051.0,35,1.0
187849,2020-05-29,Mono,California,6051.0,35,1.0
190914,2020-05-30,Mono,California,6051.0,35,1.0
193981,2020-05-31,Mono,California,6051.0,38,1.0
197051,2020-06-01,Mono,California,6051.0,37,1.0
200124,2020-06-02,Mono,California,6051.0,37,1.0
203200,2020-06-03,Mono,California,6051.0,37,1.0
206280,2020-06-04,Mono,California,6051.0,37,1.0
209361,2020-06-05,Mono,California,6051.0,37,1.0
212446,2020-06-06,Mono,California,6051.0,37,1.0
215533,2020-06-07,Mono,California,6051.0,37,1.0
218624,2020-06-08,Mono,California,6051.0,37,1.0
221719,2020-06-09,Mono,California,6051.0,37,1.0
224814,2020-06-10,Mono,California,6051.0,37,1.0
227916,2020-06-11,Mono,California,6051.0,37,1.0
231019,2020-06-12,Mono,California,6051.0,37,1.0
234125,2020-06-13,Mono,California,6051.0,37,1.0
237232,2020-06-14,Mono,California,6051.0,37,1.0
240340,2020-06-15,Mono,California,6051.0,37,1.0
243451,2020-06-16,Mono,California,6051.0,37,1.0
246564,2020-06-17,Mono,California,6051.0,37,1.0
249676,2020-06-18,Mono,California,6051.0,37,1.0
252791,2020-06-19,Mono,California,6051.0,37,1.0
255910,2020-06-20,Mono,California,6051.0,37,1.0
259037,2020-06-21,Mono,California,6051.0,37,1.0
262164,2020-06-22,Mono,California,6051.0,40,1.0
265292,2020-06-23,Mono,California,6051.0,40,1.0
268422,2020-06-24,Mono,California,6051.0,40,1.0
271557,2020-06-25,Mono,California,6051.0,40,1.0
274697,2020-06-26,Mono,California,6051.0,40,1.0
277845,2020-06-27,Mono,California,6051.0,40,1.0
280992,2020-06-28,Mono,California,6051.0,40,1.0
284138,2020-06-29,Mono,California,6051.0,41,1.0
287284,2020-06-30,Mono,California,6051.0,41,1.0
290435,2020-07-01,Mono,California,6051.0,41,1.0
293589,2020-07-02,Mono,California,6051.0,41,1.0
296745,2020-07-03,Mono,California,6051.0,42,1.0
299907,2020-07-04,Mono,California,6051.0,45,1.0
303071,2020-07-05,Mono,California,6051.0,44,1.0
306235,2020-07-06,Mono,California,6051.0,48,1.0
309403,2020-07-07,Mono,California,6051.0,48,1.0
312573,2020-07-08,Mono,California,6051.0,49,1.0
315748,2020-07-09,Mono,California,6051.0,49,1.0
318921,2020-07-10,Mono,California,6051.0,49,1.0
322100,2020-07-11,Mono,California,6051.0,50,1.0
325281,2020-07-12,Mono,California,6051.0,51,1.0
328467,2020-07-13,Mono,California,6051.0,52,1.0
331653,2020-07-14,Mono,California,6051.0,52,1.0
334846,2020-07-15,Mono,California,6051.0,54,1.0
338041,2020-07-16,Mono,California,6051.0,63,1.0
341237,2020-07-17,Mono,California,6051.0,74,1.0
344436,2020-07-18,Mono,California,6051.0,76,1.0
347636,2020-07-19,Mono,California,6051.0,79,1.0
350837,2020-07-20,Mono,California,6051.0,84,1.0
354039,2020-07-21,Mono,California,6051.0,84,1.0
357242,2020-07-22,Mono,California,6051.0,91,1.0
360447,2020-07-23,Mono,California,6051.0,101,1.0
363654,2020-07-24,Mono,California,6051.0,107,1.0
366861,2020-07-25,Mono,California,6051.0,111,1.0
370071,2020-07-26,Mono,California,6051.0,112,1.0
373283,2020-07-27,Mono,California,6051.0,118,1.0
376497,2020-07-28,Mono,California,6051.0,117,1.0
379714,2020-07-29,Mono,California,6051.0,125,1.0
382931,2020-07-30,Mono,California,6051.0,141,1.0
386149,2020-07-31,Mono,California,6051.0,141,1.0
389366,2020-08-01,Mono,California,6051.0,141,1.0
392583,2020-08-02,Mono,California,6051.0,145,1.0
395799,2020-08-03,Mono,California,6051.0,145,1.0
399015,2020-08-04,Mono,California,6051.0,145,1.0
402231,2020-08-05,Mono,California,6051.0,147,1.0
405449,2020-08-06,Mono,California,6051.0,152,1.0
408669,2020-08-07,Mono,California,6051.0,153,1.0
411888,2020-08-08,Mono,California,6051.0,153,1.0
415108,2020-08-09,Mono,California,6051.0,153,1.0
418329,2020-08-10,Mono,California,6051.0,158,1.0
421550,2020-08-11,Mono,California,6051.0,158,1.0
424771,2020-08-12,Mono,California,6051.0,160,1.0
427995,2020-08-13,Mono,California,6051.0,160,1.0
431223,2020-08-14,Mono,California,6051.0,160,1.0
434448,2020-08-15,Mono,California,6051.0,159,1.0
437674,2020-08-16,Mono,California,6051.0,159,1.0
440900,2020-08-17,Mono,California,6051.0,160,1.0
444126,2020-08-18,Mono,California,6051.0,160,1.0
447353,2020-08-19,Mono,California,6051.0,161,2.0
450581,2020-08-20,Mono,California,6051.0,161,2.0
453809,2020-08-21,Mono,California,6051.0,161,2.0
457037,2020-08-22,Mono,California,6051.0,161,2.0
460264,2020-08-23,Mono,California,6051.0,161,2.0
463493,2020-08-24,Mono,California,6051.0,161,2.0
466722,2020-08-25,Mono,California,6051.0,162,2.0
469951,2020-08-26,Mono,California,6051.0,162,2.0
473183,2020-08-27,Mono,California,6051.0,162,2.0
476416,2020-08-28,Mono,California,6051.0,162,2.0
479649,2020-08-29,Mono,California,6051.0,162,2.0
482883,2020-08-30,Mono,California,6051.0,162,2.0
486118,2020-08-31,Mono,California,6051.0,162,2.0
489351,2020-09-01,Mono,California,6051.0,162,2.0
492584,2020-09-02,Mono,California,6051.0,162,2.0
495818,2020-09-03,Mono,California,6051.0,162,2.0
499051,2020-09-04,Mono,California,6051.0,162,2.0
502285,2020-09-05,Mono,California,6051.0,162,2.0
505519,2020-09-06,Mono,California,6051.0,162,2.0
