date,county,state,fips,cases,deaths
2020-03-25,Morehouse,Louisiana,22067.0,1,0.0
2020-03-26,Morehouse,Louisiana,22067.0,3,0.0
2020-03-27,Morehouse,Louisiana,22067.0,2,0.0
2020-03-28,Morehouse,Louisiana,22067.0,2,0.0
2020-03-29,Morehouse,Louisiana,22067.0,2,0.0
2020-03-30,Morehouse,Louisiana,22067.0,2,0.0
2020-03-31,Morehouse,Louisiana,22067.0,2,0.0
2020-04-01,Morehouse,Louisiana,22067.0,2,0.0
2020-04-02,Morehouse,Louisiana,22067.0,4,0.0
2020-04-03,Morehouse,Louisiana,22067.0,7,0.0
2020-04-04,Morehouse,Louisiana,22067.0,9,0.0
2020-04-05,Morehouse,Louisiana,22067.0,10,0.0
2020-04-06,Morehouse,Louisiana,22067.0,15,0.0
2020-04-07,Morehouse,Louisiana,22067.0,20,0.0
2020-04-08,Morehouse,Louisiana,22067.0,23,0.0
2020-04-09,Morehouse,Louisiana,22067.0,24,0.0
2020-04-10,Morehouse,Louisiana,22067.0,27,2.0
2020-04-11,Morehouse,Louisiana,22067.0,31,2.0
2020-04-12,Morehouse,Louisiana,22067.0,31,2.0
2020-04-13,Morehouse,Louisiana,22067.0,32,2.0
2020-04-14,Morehouse,Louisiana,22067.0,32,2.0
2020-04-15,Morehouse,Louisiana,22067.0,32,2.0
2020-04-16,Morehouse,Louisiana,22067.0,34,2.0
2020-04-17,Morehouse,Louisiana,22067.0,34,2.0
2020-04-18,Morehouse,Louisiana,22067.0,35,2.0
2020-04-19,Morehouse,Louisiana,22067.0,37,3.0
2020-04-20,Morehouse,Louisiana,22067.0,38,3.0
2020-04-21,Morehouse,Louisiana,22067.0,39,4.0
2020-04-22,Morehouse,Louisiana,22067.0,41,4.0
2020-04-23,Morehouse,Louisiana,22067.0,45,4.0
2020-04-24,Morehouse,Louisiana,22067.0,46,4.0
2020-04-25,Morehouse,Louisiana,22067.0,46,4.0
2020-04-26,Morehouse,Louisiana,22067.0,46,4.0
2020-04-27,Morehouse,Louisiana,22067.0,48,4.0
2020-04-28,Morehouse,Louisiana,22067.0,48,4.0
2020-04-29,Morehouse,Louisiana,22067.0,51,4.0
2020-04-30,Morehouse,Louisiana,22067.0,52,4.0
2020-05-01,Morehouse,Louisiana,22067.0,52,4.0
2020-05-02,Morehouse,Louisiana,22067.0,54,4.0
2020-05-03,Morehouse,Louisiana,22067.0,55,4.0
2020-05-04,Morehouse,Louisiana,22067.0,55,4.0
2020-05-05,Morehouse,Louisiana,22067.0,55,4.0
2020-05-06,Morehouse,Louisiana,22067.0,55,4.0
2020-05-07,Morehouse,Louisiana,22067.0,57,5.0
2020-05-08,Morehouse,Louisiana,22067.0,57,5.0
2020-05-09,Morehouse,Louisiana,22067.0,60,5.0
2020-05-10,Morehouse,Louisiana,22067.0,62,5.0
2020-05-11,Morehouse,Louisiana,22067.0,65,5.0
2020-05-12,Morehouse,Louisiana,22067.0,67,5.0
2020-05-13,Morehouse,Louisiana,22067.0,87,5.0
2020-05-14,Morehouse,Louisiana,22067.0,89,5.0
2020-05-15,Morehouse,Louisiana,22067.0,92,5.0
2020-05-16,Morehouse,Louisiana,22067.0,85,5.0
2020-05-17,Morehouse,Louisiana,22067.0,91,5.0
2020-05-18,Morehouse,Louisiana,22067.0,93,5.0
2020-05-19,Morehouse,Louisiana,22067.0,93,5.0
2020-05-20,Morehouse,Louisiana,22067.0,94,5.0
2020-05-21,Morehouse,Louisiana,22067.0,108,5.0
2020-05-22,Morehouse,Louisiana,22067.0,110,5.0
2020-05-23,Morehouse,Louisiana,22067.0,110,5.0
2020-05-24,Morehouse,Louisiana,22067.0,111,5.0
2020-05-25,Morehouse,Louisiana,22067.0,117,5.0
2020-05-26,Morehouse,Louisiana,22067.0,119,5.0
2020-05-27,Morehouse,Louisiana,22067.0,121,5.0
2020-05-28,Morehouse,Louisiana,22067.0,121,5.0
2020-05-29,Morehouse,Louisiana,22067.0,121,5.0
2020-05-30,Morehouse,Louisiana,22067.0,121,5.0
2020-05-31,Morehouse,Louisiana,22067.0,122,5.0
2020-06-01,Morehouse,Louisiana,22067.0,122,5.0
2020-06-02,Morehouse,Louisiana,22067.0,122,5.0
2020-06-03,Morehouse,Louisiana,22067.0,131,5.0
2020-06-04,Morehouse,Louisiana,22067.0,132,5.0
2020-06-05,Morehouse,Louisiana,22067.0,132,5.0
2020-06-06,Morehouse,Louisiana,22067.0,133,5.0
2020-06-07,Morehouse,Louisiana,22067.0,133,5.0
2020-06-08,Morehouse,Louisiana,22067.0,134,5.0
2020-06-09,Morehouse,Louisiana,22067.0,135,5.0
2020-06-10,Morehouse,Louisiana,22067.0,136,6.0
2020-06-11,Morehouse,Louisiana,22067.0,138,6.0
2020-06-12,Morehouse,Louisiana,22067.0,138,6.0
2020-06-13,Morehouse,Louisiana,22067.0,153,6.0
2020-06-14,Morehouse,Louisiana,22067.0,158,6.0
2020-06-15,Morehouse,Louisiana,22067.0,161,6.0
2020-06-16,Morehouse,Louisiana,22067.0,165,6.0
2020-06-17,Morehouse,Louisiana,22067.0,186,6.0
2020-06-18,Morehouse,Louisiana,22067.0,186,6.0
2020-06-19,Morehouse,Louisiana,22067.0,182,6.0
2020-06-20,Morehouse,Louisiana,22067.0,182,6.0
2020-06-21,Morehouse,Louisiana,22067.0,186,6.0
2020-06-22,Morehouse,Louisiana,22067.0,188,7.0
2020-06-23,Morehouse,Louisiana,22067.0,213,7.0
2020-06-24,Morehouse,Louisiana,22067.0,216,7.0
2020-06-25,Morehouse,Louisiana,22067.0,218,7.0
2020-06-26,Morehouse,Louisiana,22067.0,227,8.0
2020-06-27,Morehouse,Louisiana,22067.0,227,8.0
2020-06-28,Morehouse,Louisiana,22067.0,236,8.0
2020-06-29,Morehouse,Louisiana,22067.0,237,8.0
2020-06-30,Morehouse,Louisiana,22067.0,235,8.0
2020-07-01,Morehouse,Louisiana,22067.0,239,8.0
2020-07-02,Morehouse,Louisiana,22067.0,242,9.0
2020-07-03,Morehouse,Louisiana,22067.0,248,10.0
2020-07-04,Morehouse,Louisiana,22067.0,248,10.0
2020-07-05,Morehouse,Louisiana,22067.0,250,10.0
2020-07-06,Morehouse,Louisiana,22067.0,251,10.0
2020-07-07,Morehouse,Louisiana,22067.0,254,10.0
2020-07-08,Morehouse,Louisiana,22067.0,256,10.0
2020-07-09,Morehouse,Louisiana,22067.0,265,10.0
2020-07-10,Morehouse,Louisiana,22067.0,273,10.0
2020-07-11,Morehouse,Louisiana,22067.0,282,10.0
2020-07-12,Morehouse,Louisiana,22067.0,283,10.0
2020-07-13,Morehouse,Louisiana,22067.0,291,10.0
2020-07-14,Morehouse,Louisiana,22067.0,294,10.0
2020-07-15,Morehouse,Louisiana,22067.0,300,10.0
2020-07-16,Morehouse,Louisiana,22067.0,308,10.0
2020-07-17,Morehouse,Louisiana,22067.0,319,10.0
2020-07-18,Morehouse,Louisiana,22067.0,319,10.0
2020-07-19,Morehouse,Louisiana,22067.0,335,10.0
2020-07-20,Morehouse,Louisiana,22067.0,339,10.0
2020-07-21,Morehouse,Louisiana,22067.0,345,11.0
2020-07-22,Morehouse,Louisiana,22067.0,358,11.0
2020-07-23,Morehouse,Louisiana,22067.0,366,11.0
2020-07-24,Morehouse,Louisiana,22067.0,371,11.0
2020-07-25,Morehouse,Louisiana,22067.0,371,11.0
2020-07-26,Morehouse,Louisiana,22067.0,387,11.0
2020-07-27,Morehouse,Louisiana,22067.0,396,11.0
2020-07-28,Morehouse,Louisiana,22067.0,401,11.0
2020-07-29,Morehouse,Louisiana,22067.0,420,11.0
2020-07-30,Morehouse,Louisiana,22067.0,422,11.0
2020-07-31,Morehouse,Louisiana,22067.0,428,11.0
2020-08-01,Morehouse,Louisiana,22067.0,428,11.0
2020-08-02,Morehouse,Louisiana,22067.0,441,11.0
2020-08-03,Morehouse,Louisiana,22067.0,443,11.0
2020-08-04,Morehouse,Louisiana,22067.0,461,11.0
2020-08-05,Morehouse,Louisiana,22067.0,467,11.0
2020-08-06,Morehouse,Louisiana,22067.0,479,11.0
2020-08-07,Morehouse,Louisiana,22067.0,494,11.0
2020-08-08,Morehouse,Louisiana,22067.0,494,11.0
2020-08-09,Morehouse,Louisiana,22067.0,529,11.0
2020-08-10,Morehouse,Louisiana,22067.0,531,12.0
2020-08-11,Morehouse,Louisiana,22067.0,536,12.0
2020-08-12,Morehouse,Louisiana,22067.0,536,13.0
2020-08-13,Morehouse,Louisiana,22067.0,542,13.0
2020-08-14,Morehouse,Louisiana,22067.0,549,14.0
2020-08-15,Morehouse,Louisiana,22067.0,549,14.0
2020-08-16,Morehouse,Louisiana,22067.0,554,14.0
2020-08-17,Morehouse,Louisiana,22067.0,553,14.0
2020-08-18,Morehouse,Louisiana,22067.0,553,14.0
2020-08-19,Morehouse,Louisiana,22067.0,558,14.0
2020-08-20,Morehouse,Louisiana,22067.0,560,15.0
2020-08-21,Morehouse,Louisiana,22067.0,563,15.0
2020-08-22,Morehouse,Louisiana,22067.0,563,15.0
2020-08-23,Morehouse,Louisiana,22067.0,570,15.0
2020-08-24,Morehouse,Louisiana,22067.0,570,15.0
2020-08-25,Morehouse,Louisiana,22067.0,580,15.0
2020-08-26,Morehouse,Louisiana,22067.0,582,16.0
2020-08-27,Morehouse,Louisiana,22067.0,585,16.0
2020-08-28,Morehouse,Louisiana,22067.0,587,17.0
2020-08-29,Morehouse,Louisiana,22067.0,587,17.0
2020-08-30,Morehouse,Louisiana,22067.0,595,17.0
2020-08-31,Morehouse,Louisiana,22067.0,597,17.0
