date,county,state,fips,cases,deaths
2020-03-28,Mountrail,North Dakota,38061.0,2,0.0
2020-03-29,Mountrail,North Dakota,38061.0,2,0.0
2020-03-30,Mountrail,North Dakota,38061.0,4,0.0
2020-03-31,Mountrail,North Dakota,38061.0,5,0.0
2020-04-01,Mountrail,North Dakota,38061.0,6,0.0
2020-04-02,Mountrail,North Dakota,38061.0,8,0.0
2020-04-03,Mountrail,North Dakota,38061.0,11,0.0
2020-04-04,Mountrail,North Dakota,38061.0,13,0.0
2020-04-05,Mountrail,North Dakota,38061.0,19,0.0
2020-04-06,Mountrail,North Dakota,38061.0,19,0.0
2020-04-07,Mountrail,North Dakota,38061.0,20,0.0
2020-04-08,Mountrail,North Dakota,38061.0,20,0.0
2020-04-09,Mountrail,North Dakota,38061.0,20,0.0
2020-04-10,Mountrail,North Dakota,38061.0,20,0.0
2020-04-11,Mountrail,North Dakota,38061.0,21,0.0
2020-04-12,Mountrail,North Dakota,38061.0,21,0.0
2020-04-13,Mountrail,North Dakota,38061.0,27,0.0
2020-04-14,Mountrail,North Dakota,38061.0,27,0.0
2020-04-15,Mountrail,North Dakota,38061.0,29,0.0
2020-04-16,Mountrail,North Dakota,38061.0,29,0.0
2020-04-17,Mountrail,North Dakota,38061.0,29,0.0
2020-04-18,Mountrail,North Dakota,38061.0,29,0.0
2020-04-19,Mountrail,North Dakota,38061.0,30,0.0
2020-04-20,Mountrail,North Dakota,38061.0,30,0.0
2020-04-21,Mountrail,North Dakota,38061.0,31,0.0
2020-04-22,Mountrail,North Dakota,38061.0,31,0.0
2020-04-23,Mountrail,North Dakota,38061.0,33,0.0
2020-04-24,Mountrail,North Dakota,38061.0,33,0.0
2020-04-25,Mountrail,North Dakota,38061.0,33,0.0
2020-04-26,Mountrail,North Dakota,38061.0,33,0.0
2020-04-27,Mountrail,North Dakota,38061.0,34,0.0
2020-04-28,Mountrail,North Dakota,38061.0,35,0.0
2020-04-29,Mountrail,North Dakota,38061.0,35,0.0
2020-04-30,Mountrail,North Dakota,38061.0,35,0.0
2020-05-01,Mountrail,North Dakota,38061.0,35,0.0
2020-05-02,Mountrail,North Dakota,38061.0,35,0.0
2020-05-03,Mountrail,North Dakota,38061.0,35,0.0
2020-05-04,Mountrail,North Dakota,38061.0,35,0.0
2020-05-05,Mountrail,North Dakota,38061.0,35,0.0
2020-05-06,Mountrail,North Dakota,38061.0,36,0.0
2020-05-07,Mountrail,North Dakota,38061.0,35,0.0
2020-05-08,Mountrail,North Dakota,38061.0,37,0.0
2020-05-09,Mountrail,North Dakota,38061.0,37,0.0
2020-05-10,Mountrail,North Dakota,38061.0,37,0.0
2020-05-11,Mountrail,North Dakota,38061.0,37,0.0
2020-05-12,Mountrail,North Dakota,38061.0,37,0.0
2020-05-13,Mountrail,North Dakota,38061.0,37,0.0
2020-05-14,Mountrail,North Dakota,38061.0,38,0.0
2020-05-15,Mountrail,North Dakota,38061.0,38,0.0
2020-05-16,Mountrail,North Dakota,38061.0,40,0.0
2020-05-17,Mountrail,North Dakota,38061.0,42,0.0
2020-05-18,Mountrail,North Dakota,38061.0,42,0.0
2020-05-19,Mountrail,North Dakota,38061.0,39,0.0
2020-05-20,Mountrail,North Dakota,38061.0,39,0.0
2020-05-21,Mountrail,North Dakota,38061.0,39,0.0
2020-05-22,Mountrail,North Dakota,38061.0,39,0.0
2020-05-23,Mountrail,North Dakota,38061.0,39,0.0
2020-05-24,Mountrail,North Dakota,38061.0,39,0.0
2020-05-25,Mountrail,North Dakota,38061.0,39,0.0
2020-05-26,Mountrail,North Dakota,38061.0,39,0.0
2020-05-27,Mountrail,North Dakota,38061.0,39,0.0
2020-05-28,Mountrail,North Dakota,38061.0,39,0.0
2020-05-29,Mountrail,North Dakota,38061.0,39,0.0
2020-05-30,Mountrail,North Dakota,38061.0,39,0.0
2020-05-31,Mountrail,North Dakota,38061.0,39,0.0
2020-06-01,Mountrail,North Dakota,38061.0,40,0.0
2020-06-02,Mountrail,North Dakota,38061.0,41,0.0
2020-06-03,Mountrail,North Dakota,38061.0,41,0.0
2020-06-04,Mountrail,North Dakota,38061.0,42,0.0
2020-06-05,Mountrail,North Dakota,38061.0,42,0.0
2020-06-06,Mountrail,North Dakota,38061.0,42,0.0
2020-06-07,Mountrail,North Dakota,38061.0,43,0.0
2020-06-08,Mountrail,North Dakota,38061.0,43,0.0
2020-06-09,Mountrail,North Dakota,38061.0,43,0.0
2020-06-10,Mountrail,North Dakota,38061.0,43,0.0
2020-06-11,Mountrail,North Dakota,38061.0,43,0.0
2020-06-12,Mountrail,North Dakota,38061.0,43,0.0
2020-06-13,Mountrail,North Dakota,38061.0,43,0.0
2020-06-14,Mountrail,North Dakota,38061.0,43,0.0
2020-06-15,Mountrail,North Dakota,38061.0,43,0.0
2020-06-16,Mountrail,North Dakota,38061.0,43,0.0
2020-06-17,Mountrail,North Dakota,38061.0,43,0.0
2020-06-18,Mountrail,North Dakota,38061.0,43,0.0
2020-06-19,Mountrail,North Dakota,38061.0,43,0.0
2020-06-20,Mountrail,North Dakota,38061.0,43,0.0
2020-06-21,Mountrail,North Dakota,38061.0,43,0.0
2020-06-22,Mountrail,North Dakota,38061.0,43,0.0
2020-06-23,Mountrail,North Dakota,38061.0,43,0.0
2020-06-24,Mountrail,North Dakota,38061.0,43,0.0
2020-06-25,Mountrail,North Dakota,38061.0,43,0.0
2020-06-26,Mountrail,North Dakota,38061.0,44,0.0
2020-06-27,Mountrail,North Dakota,38061.0,44,0.0
2020-06-28,Mountrail,North Dakota,38061.0,45,0.0
2020-06-29,Mountrail,North Dakota,38061.0,47,0.0
2020-06-30,Mountrail,North Dakota,38061.0,50,0.0
2020-07-01,Mountrail,North Dakota,38061.0,50,0.0
2020-07-02,Mountrail,North Dakota,38061.0,50,0.0
2020-07-03,Mountrail,North Dakota,38061.0,51,0.0
2020-07-04,Mountrail,North Dakota,38061.0,54,0.0
2020-07-05,Mountrail,North Dakota,38061.0,54,0.0
2020-07-06,Mountrail,North Dakota,38061.0,54,0.0
2020-07-07,Mountrail,North Dakota,38061.0,54,0.0
2020-07-08,Mountrail,North Dakota,38061.0,54,0.0
2020-07-09,Mountrail,North Dakota,38061.0,55,0.0
2020-07-10,Mountrail,North Dakota,38061.0,59,0.0
2020-07-11,Mountrail,North Dakota,38061.0,61,0.0
2020-07-12,Mountrail,North Dakota,38061.0,64,0.0
2020-07-13,Mountrail,North Dakota,38061.0,66,0.0
