,date,county,state,fips,cases,deaths
564,2020-03-05,Nassau,New York,36059.0,1,0.0
626,2020-03-06,Nassau,New York,36059.0,4,0.0
714,2020-03-07,Nassau,New York,36059.0,4,0.0
819,2020-03-08,Nassau,New York,36059.0,5,0.0
946,2020-03-09,Nassau,New York,36059.0,17,0.0
1038,2020-03-10,Nassau,Florida,12089.0,1,0.0
1097,2020-03-10,Nassau,New York,36059.0,19,0.0
1208,2020-03-11,Nassau,Florida,12089.0,1,0.0
1284,2020-03-11,Nassau,New York,36059.0,28,0.0
1419,2020-03-12,Nassau,Florida,12089.0,1,0.0
1520,2020-03-12,Nassau,New York,36059.0,41,0.0
1685,2020-03-13,Nassau,Florida,12089.0,1,0.0
1813,2020-03-13,Nassau,New York,36059.0,51,0.0
2007,2020-03-14,Nassau,Florida,12089.0,1,0.0
2162,2020-03-14,Nassau,New York,36059.0,79,0.0
2391,2020-03-15,Nassau,Florida,12089.0,1,0.0
2573,2020-03-15,Nassau,New York,36059.0,98,0.0
2828,2020-03-16,Nassau,Florida,12089.0,1,0.0
3032,2020-03-16,Nassau,New York,36059.0,109,0.0
3312,2020-03-17,Nassau,Florida,12089.0,1,0.0
3548,2020-03-17,Nassau,New York,36059.0,131,2.0
3870,2020-03-18,Nassau,Florida,12089.0,1,0.0
4149,2020-03-18,Nassau,New York,36059.0,183,2.0
4539,2020-03-19,Nassau,Florida,12089.0,1,0.0
4878,2020-03-19,Nassau,New York,36059.0,382,3.0
5319,2020-03-20,Nassau,Florida,12089.0,1,0.0
5727,2020-03-20,Nassau,New York,36059.0,754,4.0
6249,2020-03-21,Nassau,Florida,12089.0,1,0.0
6721,2020-03-21,Nassau,New York,36059.0,1234,7.0
7289,2020-03-22,Nassau,Florida,12089.0,1,0.0
7816,2020-03-22,Nassau,New York,36059.0,1900,7.0
8435,2020-03-23,Nassau,Florida,12089.0,1,0.0
9014,2020-03-23,Nassau,New York,36059.0,2442,9.0
9680,2020-03-24,Nassau,Florida,12089.0,1,0.0
10321,2020-03-24,Nassau,New York,36059.0,2869,9.0
11055,2020-03-25,Nassau,Florida,12089.0,4,0.0
11757,2020-03-25,Nassau,New York,36059.0,3285,17.0
12603,2020-03-26,Nassau,Florida,12089.0,5,0.0
13360,2020-03-26,Nassau,New York,36059.0,3914,19.0
14273,2020-03-27,Nassau,Florida,12089.0,6,0.0
15094,2020-03-27,Nassau,New York,36059.0,4657,27.0
16058,2020-03-28,Nassau,Florida,12089.0,7,0.0
16924,2020-03-28,Nassau,New York,36059.0,5537,35.0
17951,2020-03-29,Nassau,Florida,12089.0,8,0.0
18849,2020-03-29,Nassau,New York,36059.0,6445,39.0
19932,2020-03-30,Nassau,Florida,12089.0,7,0.0
20888,2020-03-30,Nassau,New York,36059.0,7344,48.0
22010,2020-03-31,Nassau,Florida,12089.0,10,0.0
23011,2020-03-31,Nassau,New York,36059.0,8544,63.0
24172,2020-04-01,Nassau,Florida,12089.0,11,0.0
