,date,county,state,fips,cases,deaths
1994,2020-03-14,New Haven,Connecticut,9009.0,1,0.0
2376,2020-03-15,New Haven,Connecticut,9009.0,3,0.0
2811,2020-03-16,New Haven,Connecticut,9009.0,4,0.0
3293,2020-03-17,New Haven,Connecticut,9009.0,8,0.0
3849,2020-03-18,New Haven,Connecticut,9009.0,10,0.0
4512,2020-03-19,New Haven,Connecticut,9009.0,24,0.0
5290,2020-03-20,New Haven,Connecticut,9009.0,24,0.0
6217,2020-03-21,New Haven,Connecticut,9009.0,24,0.0
7253,2020-03-22,New Haven,Connecticut,9009.0,29,0.0
8399,2020-03-23,New Haven,Connecticut,9009.0,41,0.0
9644,2020-03-24,New Haven,Connecticut,9009.0,89,0.0
11018,2020-03-25,New Haven,Connecticut,9009.0,127,2.0
12566,2020-03-26,New Haven,Connecticut,9009.0,156,2.0
14235,2020-03-27,New Haven,Connecticut,9009.0,222,6.0
16019,2020-03-28,New Haven,Connecticut,9009.0,236,6.0
17911,2020-03-29,New Haven,Connecticut,9009.0,280,6.0
19890,2020-03-30,New Haven,Connecticut,9009.0,373,6.0
21967,2020-03-31,New Haven,Connecticut,9009.0,517,12.0
24126,2020-04-01,New Haven,Connecticut,9009.0,611,15.0
26356,2020-04-02,New Haven,Connecticut,9009.0,647,17.0
28658,2020-04-03,New Haven,Connecticut,9009.0,891,18.0
31016,2020-04-04,New Haven,Connecticut,9009.0,1024,29.0
33422,2020-04-05,New Haven,Connecticut,9009.0,1162,36.0
35867,2020-04-06,New Haven,Connecticut,9009.0,1468,41.0
38357,2020-04-07,New Haven,Connecticut,9009.0,1664,60.0
40900,2020-04-08,New Haven,Connecticut,9009.0,1945,70.0
43474,2020-04-09,New Haven,Connecticut,9009.0,2183,78.0
46074,2020-04-10,New Haven,Connecticut,9009.0,2383,98.0
48704,2020-04-11,New Haven,Connecticut,9009.0,2715,107.0
51366,2020-04-12,New Haven,Connecticut,9009.0,2946,119.0
54045,2020-04-13,New Haven,Connecticut,9009.0,3358,135.0
56737,2020-04-14,New Haven,Connecticut,9009.0,3543,151.0
59445,2020-04-15,New Haven,Connecticut,9009.0,3758,195.0
62164,2020-04-16,New Haven,Connecticut,9009.0,4163,214.0
64897,2020-04-17,New Haven,Connecticut,9009.0,4520,229.0
67645,2020-04-18,New Haven,Connecticut,9009.0,4743,241.0
70407,2020-04-19,New Haven,Connecticut,9009.0,4871,257.0
73176,2020-04-20,New Haven,Connecticut,9009.0,5272,301.0
75952,2020-04-21,New Haven,Connecticut,9009.0,5493,322.0
78736,2020-04-22,New Haven,Connecticut,9009.0,5811,345.0
81530,2020-04-23,New Haven,Connecticut,9009.0,6064,372.0
84330,2020-04-24,New Haven,Connecticut,9009.0,6286,396.0
87138,2020-04-25,New Haven,Connecticut,9009.0,6509,416.0
89955,2020-04-26,New Haven,Connecticut,9009.0,6715,429.0
92773,2020-04-27,New Haven,Connecticut,9009.0,6993,456.0
95605,2020-04-28,New Haven,Connecticut,9009.0,7089,478.0
98450,2020-04-29,New Haven,Connecticut,9009.0,7205,493.0
101300,2020-04-30,New Haven,Connecticut,9009.0,7536,512.0
104155,2020-05-01,New Haven,Connecticut,9009.0,7900,533.0
107020,2020-05-02,New Haven,Connecticut,9009.0,8024,565.0
109889,2020-05-03,New Haven,Connecticut,9009.0,8024,565.0
112764,2020-05-04,New Haven,Connecticut,9009.0,8110,595.0
115647,2020-05-05,New Haven,Connecticut,9009.0,8337,610.0
118607,2020-05-06,New Haven,Connecticut,9009.0,8419,629.0
121576,2020-05-07,New Haven,Connecticut,9009.0,8678,643.0
124556,2020-05-08,New Haven,Connecticut,9009.0,8887,669.0
127542,2020-05-09,New Haven,Connecticut,9009.0,9091,686.0
130533,2020-05-10,New Haven,Connecticut,9009.0,9209,701.0
133524,2020-05-11,New Haven,Connecticut,9009.0,9260,716.0
136513,2020-05-12,New Haven,Connecticut,9009.0,9430,723.0
139504,2020-05-13,New Haven,Connecticut,9009.0,9570,745.0
142500,2020-05-14,New Haven,Connecticut,9009.0,9712,767.0
145500,2020-05-15,New Haven,Connecticut,9009.0,9881,783.0
148503,2020-05-16,New Haven,Connecticut,9009.0,10075,800.0
151512,2020-05-17,New Haven,Connecticut,9009.0,10159,817.0
154524,2020-05-18,New Haven,Connecticut,9009.0,10338,830.0
157540,2020-05-19,New Haven,Connecticut,9009.0,10427,838.0
160566,2020-05-20,New Haven,Connecticut,9009.0,10587,855.0
163594,2020-05-21,New Haven,Connecticut,9009.0,10663,874.0
166627,2020-05-22,New Haven,Connecticut,9009.0,10756,888.0
169664,2020-05-23,New Haven,Connecticut,9009.0,10847,897.0
172705,2020-05-24,New Haven,Connecticut,9009.0,10905,903.0
175748,2020-05-25,New Haven,Connecticut,9009.0,11017,922.0
178792,2020-05-26,New Haven,Connecticut,9009.0,11121,925.0
181836,2020-05-27,New Haven,Connecticut,9009.0,11124,934.0
184890,2020-05-28,New Haven,Connecticut,9009.0,11198,946.0
187946,2020-05-29,New Haven,Connecticut,9009.0,11241,957.0
191011,2020-05-30,New Haven,Connecticut,9009.0,11309,966.0
194078,2020-05-31,New Haven,Connecticut,9009.0,11323,972.0
197148,2020-06-01,New Haven,Connecticut,9009.0,11479,973.0
200221,2020-06-02,New Haven,Connecticut,9009.0,11525,985.0
203297,2020-06-03,New Haven,Connecticut,9009.0,11548,990.0
206377,2020-06-04,New Haven,Connecticut,9009.0,11582,992.0
209458,2020-06-05,New Haven,Connecticut,9009.0,11673,999.0
212543,2020-06-06,New Haven,Connecticut,9009.0,11817,1007.0
215630,2020-06-07,New Haven,Connecticut,9009.0,11828,1010.0
218721,2020-06-08,New Haven,Connecticut,9009.0,11860,1013.0
221816,2020-06-09,New Haven,Connecticut,9009.0,11875,1016.0
224911,2020-06-10,New Haven,Connecticut,9009.0,11911,1024.0
228013,2020-06-11,New Haven,Connecticut,9009.0,11930,1031.0
