date,county,state,fips,cases,deaths
2020-03-28,New Kent,Virginia,51127.0,1,0.0
2020-03-29,New Kent,Virginia,51127.0,1,0.0
2020-03-30,New Kent,Virginia,51127.0,1,0.0
2020-03-31,New Kent,Virginia,51127.0,1,0.0
2020-04-01,New Kent,Virginia,51127.0,1,0.0
2020-04-02,New Kent,Virginia,51127.0,3,0.0
2020-04-03,New Kent,Virginia,51127.0,6,0.0
2020-04-04,New Kent,Virginia,51127.0,8,0.0
2020-04-05,New Kent,Virginia,51127.0,9,0.0
2020-04-06,New Kent,Virginia,51127.0,12,0.0
2020-04-07,New Kent,Virginia,51127.0,12,0.0
2020-04-08,New Kent,Virginia,51127.0,11,0.0
2020-04-09,New Kent,Virginia,51127.0,11,0.0
2020-04-10,New Kent,Virginia,51127.0,13,0.0
2020-04-11,New Kent,Virginia,51127.0,12,0.0
2020-04-12,New Kent,Virginia,51127.0,12,0.0
2020-04-13,New Kent,Virginia,51127.0,13,0.0
2020-04-14,New Kent,Virginia,51127.0,15,0.0
2020-04-15,New Kent,Virginia,51127.0,16,0.0
2020-04-16,New Kent,Virginia,51127.0,16,0.0
2020-04-17,New Kent,Virginia,51127.0,17,0.0
2020-04-18,New Kent,Virginia,51127.0,17,0.0
2020-04-19,New Kent,Virginia,51127.0,17,0.0
2020-04-20,New Kent,Virginia,51127.0,18,0.0
2020-04-21,New Kent,Virginia,51127.0,20,2.0
2020-04-22,New Kent,Virginia,51127.0,20,1.0
2020-04-23,New Kent,Virginia,51127.0,20,2.0
2020-04-24,New Kent,Virginia,51127.0,20,2.0
2020-04-25,New Kent,Virginia,51127.0,20,1.0
2020-04-26,New Kent,Virginia,51127.0,20,1.0
2020-04-27,New Kent,Virginia,51127.0,20,1.0
2020-04-28,New Kent,Virginia,51127.0,21,1.0
2020-04-29,New Kent,Virginia,51127.0,23,1.0
2020-04-30,New Kent,Virginia,51127.0,23,1.0
2020-05-01,New Kent,Virginia,51127.0,23,1.0
2020-05-02,New Kent,Virginia,51127.0,23,1.0
2020-05-03,New Kent,Virginia,51127.0,25,1.0
2020-05-04,New Kent,Virginia,51127.0,26,1.0
2020-05-05,New Kent,Virginia,51127.0,26,1.0
2020-05-06,New Kent,Virginia,51127.0,26,1.0
2020-05-07,New Kent,Virginia,51127.0,26,1.0
2020-05-08,New Kent,Virginia,51127.0,26,1.0
2020-05-09,New Kent,Virginia,51127.0,26,1.0
2020-05-10,New Kent,Virginia,51127.0,26,1.0
2020-05-11,New Kent,Virginia,51127.0,26,1.0
2020-05-12,New Kent,Virginia,51127.0,26,1.0
2020-05-13,New Kent,Virginia,51127.0,28,1.0
2020-05-14,New Kent,Virginia,51127.0,28,2.0
2020-05-15,New Kent,Virginia,51127.0,26,1.0
2020-05-16,New Kent,Virginia,51127.0,26,1.0
2020-05-17,New Kent,Virginia,51127.0,26,1.0
2020-05-18,New Kent,Virginia,51127.0,26,1.0
2020-05-19,New Kent,Virginia,51127.0,27,1.0
2020-05-20,New Kent,Virginia,51127.0,27,1.0
2020-05-21,New Kent,Virginia,51127.0,26,1.0
2020-05-22,New Kent,Virginia,51127.0,26,1.0
2020-05-23,New Kent,Virginia,51127.0,27,1.0
2020-05-24,New Kent,Virginia,51127.0,27,1.0
2020-05-25,New Kent,Virginia,51127.0,29,1.0
2020-05-26,New Kent,Virginia,51127.0,35,1.0
2020-05-27,New Kent,Virginia,51127.0,35,1.0
2020-05-28,New Kent,Virginia,51127.0,36,1.0
2020-05-29,New Kent,Virginia,51127.0,36,1.0
2020-05-30,New Kent,Virginia,51127.0,36,1.0
2020-05-31,New Kent,Virginia,51127.0,36,1.0
2020-06-01,New Kent,Virginia,51127.0,36,1.0
2020-06-02,New Kent,Virginia,51127.0,38,1.0
2020-06-03,New Kent,Virginia,51127.0,38,1.0
2020-06-04,New Kent,Virginia,51127.0,39,1.0
2020-06-05,New Kent,Virginia,51127.0,39,1.0
2020-06-06,New Kent,Virginia,51127.0,43,1.0
2020-06-07,New Kent,Virginia,51127.0,44,1.0
2020-06-08,New Kent,Virginia,51127.0,44,1.0
2020-06-09,New Kent,Virginia,51127.0,45,1.0
2020-06-10,New Kent,Virginia,51127.0,45,1.0
2020-06-11,New Kent,Virginia,51127.0,45,1.0
2020-06-12,New Kent,Virginia,51127.0,44,1.0
2020-06-13,New Kent,Virginia,51127.0,45,1.0
2020-06-14,New Kent,Virginia,51127.0,46,1.0
2020-06-15,New Kent,Virginia,51127.0,46,1.0
2020-06-16,New Kent,Virginia,51127.0,46,1.0
2020-06-17,New Kent,Virginia,51127.0,47,1.0
2020-06-18,New Kent,Virginia,51127.0,48,1.0
2020-06-19,New Kent,Virginia,51127.0,48,1.0
2020-06-20,New Kent,Virginia,51127.0,48,1.0
2020-06-21,New Kent,Virginia,51127.0,49,1.0
2020-06-22,New Kent,Virginia,51127.0,49,1.0
2020-06-23,New Kent,Virginia,51127.0,50,1.0
2020-06-24,New Kent,Virginia,51127.0,50,1.0
2020-06-25,New Kent,Virginia,51127.0,52,1.0
2020-06-26,New Kent,Virginia,51127.0,55,1.0
2020-06-27,New Kent,Virginia,51127.0,57,1.0
2020-06-28,New Kent,Virginia,51127.0,57,1.0
2020-06-29,New Kent,Virginia,51127.0,57,1.0
2020-06-30,New Kent,Virginia,51127.0,57,1.0
2020-07-01,New Kent,Virginia,51127.0,57,1.0
2020-07-02,New Kent,Virginia,51127.0,57,1.0
2020-07-03,New Kent,Virginia,51127.0,60,1.0
2020-07-04,New Kent,Virginia,51127.0,60,1.0
2020-07-05,New Kent,Virginia,51127.0,60,1.0
2020-07-06,New Kent,Virginia,51127.0,60,1.0
2020-07-07,New Kent,Virginia,51127.0,62,1.0
2020-07-08,New Kent,Virginia,51127.0,62,1.0
2020-07-09,New Kent,Virginia,51127.0,62,1.0
2020-07-10,New Kent,Virginia,51127.0,63,1.0
2020-07-11,New Kent,Virginia,51127.0,68,1.0
2020-07-12,New Kent,Virginia,51127.0,73,1.0
2020-07-13,New Kent,Virginia,51127.0,74,1.0
2020-07-14,New Kent,Virginia,51127.0,76,1.0
2020-07-15,New Kent,Virginia,51127.0,76,1.0
2020-07-16,New Kent,Virginia,51127.0,76,1.0
2020-07-17,New Kent,Virginia,51127.0,84,1.0
2020-07-18,New Kent,Virginia,51127.0,84,1.0
2020-07-19,New Kent,Virginia,51127.0,88,1.0
2020-07-20,New Kent,Virginia,51127.0,90,1.0
2020-07-21,New Kent,Virginia,51127.0,94,1.0
2020-07-22,New Kent,Virginia,51127.0,98,1.0
2020-07-23,New Kent,Virginia,51127.0,99,1.0
2020-07-24,New Kent,Virginia,51127.0,103,1.0
2020-07-25,New Kent,Virginia,51127.0,106,1.0
2020-07-26,New Kent,Virginia,51127.0,106,1.0
2020-07-27,New Kent,Virginia,51127.0,108,1.0
2020-07-28,New Kent,Virginia,51127.0,111,1.0
2020-07-29,New Kent,Virginia,51127.0,112,1.0
2020-07-30,New Kent,Virginia,51127.0,113,1.0
2020-07-31,New Kent,Virginia,51127.0,115,1.0
2020-08-01,New Kent,Virginia,51127.0,116,1.0
2020-08-02,New Kent,Virginia,51127.0,117,1.0
2020-08-03,New Kent,Virginia,51127.0,119,1.0
2020-08-04,New Kent,Virginia,51127.0,121,1.0
2020-08-05,New Kent,Virginia,51127.0,121,1.0
2020-08-06,New Kent,Virginia,51127.0,122,1.0
2020-08-07,New Kent,Virginia,51127.0,124,1.0
2020-08-08,New Kent,Virginia,51127.0,127,1.0
2020-08-09,New Kent,Virginia,51127.0,128,1.0
2020-08-10,New Kent,Virginia,51127.0,129,1.0
2020-08-11,New Kent,Virginia,51127.0,128,1.0
2020-08-12,New Kent,Virginia,51127.0,129,1.0
2020-08-13,New Kent,Virginia,51127.0,132,1.0
2020-08-14,New Kent,Virginia,51127.0,133,1.0
2020-08-15,New Kent,Virginia,51127.0,134,1.0
2020-08-16,New Kent,Virginia,51127.0,135,1.0
2020-08-17,New Kent,Virginia,51127.0,136,1.0
2020-08-18,New Kent,Virginia,51127.0,134,1.0
2020-08-19,New Kent,Virginia,51127.0,136,1.0
2020-08-20,New Kent,Virginia,51127.0,137,1.0
2020-08-21,New Kent,Virginia,51127.0,138,1.0
2020-08-22,New Kent,Virginia,51127.0,139,1.0
2020-08-23,New Kent,Virginia,51127.0,140,1.0
2020-08-24,New Kent,Virginia,51127.0,142,1.0
2020-08-25,New Kent,Virginia,51127.0,143,1.0
2020-08-26,New Kent,Virginia,51127.0,145,1.0
2020-08-27,New Kent,Virginia,51127.0,146,1.0
2020-08-28,New Kent,Virginia,51127.0,147,1.0
2020-08-29,New Kent,Virginia,51127.0,150,1.0
2020-08-30,New Kent,Virginia,51127.0,150,1.0
2020-08-31,New Kent,Virginia,51127.0,151,1.0
2020-09-01,New Kent,Virginia,51127.0,151,1.0
2020-09-02,New Kent,Virginia,51127.0,153,1.0
2020-09-03,New Kent,Virginia,51127.0,155,1.0
2020-09-04,New Kent,Virginia,51127.0,157,1.0
2020-09-05,New Kent,Virginia,51127.0,158,1.0
2020-09-06,New Kent,Virginia,51127.0,159,1.0
2020-09-07,New Kent,Virginia,51127.0,159,1.0
2020-09-08,New Kent,Virginia,51127.0,160,1.0
2020-09-09,New Kent,Virginia,51127.0,160,1.0
2020-09-10,New Kent,Virginia,51127.0,161,1.0
2020-09-11,New Kent,Virginia,51127.0,164,2.0
2020-09-12,New Kent,Virginia,51127.0,164,2.0
2020-09-13,New Kent,Virginia,51127.0,167,2.0
2020-09-14,New Kent,Virginia,51127.0,168,2.0
2020-09-15,New Kent,Virginia,51127.0,168,2.0
