,date,county,state,fips,cases,deaths
6900,2020-03-21,Newberry,South Carolina,45071.0,1,0.0
8021,2020-03-22,Newberry,South Carolina,45071.0,1,0.0
9234,2020-03-23,Newberry,South Carolina,45071.0,1,0.0
10560,2020-03-24,Newberry,South Carolina,45071.0,1,0.0
12032,2020-03-25,Newberry,South Carolina,45071.0,1,0.0
13654,2020-03-26,Newberry,South Carolina,45071.0,1,0.0
15401,2020-03-27,Newberry,South Carolina,45071.0,1,0.0
17256,2020-03-28,Newberry,South Carolina,45071.0,2,0.0
19196,2020-03-29,Newberry,South Carolina,45071.0,2,0.0
21248,2020-03-30,Newberry,South Carolina,45071.0,2,0.0
23386,2020-03-31,Newberry,South Carolina,45071.0,2,0.0
25584,2020-04-01,Newberry,South Carolina,45071.0,2,0.0
27860,2020-04-02,Newberry,South Carolina,45071.0,4,0.0
30195,2020-04-03,Newberry,South Carolina,45071.0,5,0.0
32586,2020-04-04,Newberry,South Carolina,45071.0,8,0.0
35022,2020-04-05,Newberry,South Carolina,45071.0,7,0.0
37497,2020-04-06,Newberry,South Carolina,45071.0,7,0.0
40020,2020-04-07,Newberry,South Carolina,45071.0,7,0.0
42580,2020-04-08,Newberry,South Carolina,45071.0,9,1.0
45166,2020-04-09,Newberry,South Carolina,45071.0,11,1.0
47783,2020-04-10,Newberry,South Carolina,45071.0,13,1.0
50440,2020-04-11,Newberry,South Carolina,45071.0,13,1.0
53113,2020-04-12,Newberry,South Carolina,45071.0,13,1.0
55798,2020-04-13,Newberry,South Carolina,45071.0,13,1.0
58501,2020-04-14,Newberry,South Carolina,45071.0,15,1.0
61216,2020-04-15,Newberry,South Carolina,45071.0,16,1.0
63942,2020-04-16,Newberry,South Carolina,45071.0,22,1.0
66688,2020-04-17,Newberry,South Carolina,45071.0,23,1.0
69446,2020-04-18,Newberry,South Carolina,45071.0,23,1.0
72213,2020-04-19,Newberry,South Carolina,45071.0,21,1.0
74988,2020-04-20,Newberry,South Carolina,45071.0,20,1.0
77770,2020-04-21,Newberry,South Carolina,45071.0,22,1.0
80560,2020-04-22,Newberry,South Carolina,45071.0,21,1.0
83359,2020-04-23,Newberry,South Carolina,45071.0,21,1.0
86163,2020-04-24,Newberry,South Carolina,45071.0,22,1.0
88977,2020-04-25,Newberry,South Carolina,45071.0,22,1.0
91793,2020-04-26,Newberry,South Carolina,45071.0,23,1.0
94620,2020-04-27,Newberry,South Carolina,45071.0,23,1.0
97459,2020-04-28,Newberry,South Carolina,45071.0,23,1.0
100308,2020-04-29,Newberry,South Carolina,45071.0,24,1.0
103161,2020-04-30,Newberry,South Carolina,45071.0,26,1.0
106024,2020-05-01,Newberry,South Carolina,45071.0,27,1.0
108891,2020-05-02,Newberry,South Carolina,45071.0,28,1.0
111765,2020-05-03,Newberry,South Carolina,45071.0,30,1.0
114647,2020-05-04,Newberry,South Carolina,45071.0,30,1.0
117603,2020-05-05,Newberry,South Carolina,45071.0,31,1.0
120565,2020-05-06,Newberry,South Carolina,45071.0,31,1.0
123543,2020-05-07,Newberry,South Carolina,45071.0,31,1.0
126526,2020-05-08,Newberry,South Carolina,45071.0,32,1.0
129515,2020-05-09,Newberry,South Carolina,45071.0,31,1.0
132504,2020-05-10,Newberry,South Carolina,45071.0,31,1.0
135495,2020-05-11,Newberry,South Carolina,45071.0,31,1.0
138485,2020-05-12,Newberry,South Carolina,45071.0,32,1.0
141481,2020-05-13,Newberry,South Carolina,45071.0,31,1.0
144477,2020-05-14,Newberry,South Carolina,45071.0,30,1.0
147478,2020-05-15,Newberry,South Carolina,45071.0,30,1.0
150486,2020-05-16,Newberry,South Carolina,45071.0,31,1.0
153497,2020-05-17,Newberry,South Carolina,45071.0,31,1.0
156514,2020-05-18,Newberry,South Carolina,45071.0,33,1.0
159535,2020-05-19,Newberry,South Carolina,45071.0,33,1.0
162562,2020-05-20,Newberry,South Carolina,45071.0,33,1.0
165591,2020-05-21,Newberry,South Carolina,45071.0,36,1.0
168627,2020-05-22,Newberry,South Carolina,45071.0,44,1.0
