,date,county,state,fips,cases,deaths
60393,2020-04-15,Norman,Minnesota,27107.0,1,0.0
63116,2020-04-16,Norman,Minnesota,27107.0,1,0.0
65855,2020-04-17,Norman,Minnesota,27107.0,2,0.0
68607,2020-04-18,Norman,Minnesota,27107.0,2,0.0
71373,2020-04-19,Norman,Minnesota,27107.0,4,0.0
74146,2020-04-20,Norman,Minnesota,27107.0,5,0.0
76926,2020-04-21,Norman,Minnesota,27107.0,5,0.0
79711,2020-04-22,Norman,Minnesota,27107.0,6,0.0
82507,2020-04-23,Norman,Minnesota,27107.0,6,0.0
85311,2020-04-24,Norman,Minnesota,27107.0,7,0.0
88121,2020-04-25,Norman,Minnesota,27107.0,7,0.0
90937,2020-04-26,Norman,Minnesota,27107.0,7,0.0
93758,2020-04-27,Norman,Minnesota,27107.0,7,0.0
96593,2020-04-28,Norman,Minnesota,27107.0,7,0.0
99439,2020-04-29,Norman,Minnesota,27107.0,8,0.0
102291,2020-04-30,Norman,Minnesota,27107.0,8,0.0
105152,2020-05-01,Norman,Minnesota,27107.0,8,0.0
108017,2020-05-02,Norman,Minnesota,27107.0,8,0.0
110888,2020-05-03,Norman,Minnesota,27107.0,8,0.0
113767,2020-05-04,Norman,Minnesota,27107.0,9,0.0
116648,2020-05-05,Norman,Minnesota,27107.0,9,0.0
119608,2020-05-06,Norman,Minnesota,27107.0,9,0.0
122582,2020-05-07,Norman,Minnesota,27107.0,9,0.0
125564,2020-05-08,Norman,Minnesota,27107.0,9,0.0
128551,2020-05-09,Norman,Minnesota,27107.0,9,0.0
131541,2020-05-10,Norman,Minnesota,27107.0,10,0.0
134532,2020-05-11,Norman,Minnesota,27107.0,10,0.0
137522,2020-05-12,Norman,Minnesota,27107.0,11,0.0
140516,2020-05-13,Norman,Minnesota,27107.0,11,0.0
143511,2020-05-14,Norman,Minnesota,27107.0,11,0.0
146511,2020-05-15,Norman,Minnesota,27107.0,11,0.0
149516,2020-05-16,Norman,Minnesota,27107.0,11,0.0
152527,2020-05-17,Norman,Minnesota,27107.0,11,0.0
155541,2020-05-18,Norman,Minnesota,27107.0,11,0.0
158559,2020-05-19,Norman,Minnesota,27107.0,11,0.0
161585,2020-05-20,Norman,Minnesota,27107.0,11,0.0
164614,2020-05-21,Norman,Minnesota,27107.0,11,0.0
167650,2020-05-22,Norman,Minnesota,27107.0,11,0.0
170688,2020-05-23,Norman,Minnesota,27107.0,11,0.0
173730,2020-05-24,Norman,Minnesota,27107.0,11,0.0
176773,2020-05-25,Norman,Minnesota,27107.0,11,0.0
179817,2020-05-26,Norman,Minnesota,27107.0,11,0.0
182863,2020-05-27,Norman,Minnesota,27107.0,11,0.0
185918,2020-05-28,Norman,Minnesota,27107.0,11,0.0
188976,2020-05-29,Norman,Minnesota,27107.0,12,0.0
192040,2020-05-30,Norman,Minnesota,27107.0,13,0.0
195108,2020-05-31,Norman,Minnesota,27107.0,13,0.0
198179,2020-06-01,Norman,Minnesota,27107.0,13,0.0
201252,2020-06-02,Norman,Minnesota,27107.0,13,0.0
204329,2020-06-03,Norman,Minnesota,27107.0,14,0.0
207410,2020-06-04,Norman,Minnesota,27107.0,15,0.0
210491,2020-06-05,Norman,Minnesota,27107.0,15,0.0
213575,2020-06-06,Norman,Minnesota,27107.0,15,0.0
216663,2020-06-07,Norman,Minnesota,27107.0,15,0.0
219755,2020-06-08,Norman,Minnesota,27107.0,16,0.0
222850,2020-06-09,Norman,Minnesota,27107.0,16,0.0
225948,2020-06-10,Norman,Minnesota,27107.0,16,0.0
229050,2020-06-11,Norman,Minnesota,27107.0,17,0.0
232154,2020-06-12,Norman,Minnesota,27107.0,17,0.0
235260,2020-06-13,Norman,Minnesota,27107.0,17,0.0
238367,2020-06-14,Norman,Minnesota,27107.0,17,0.0
241476,2020-06-15,Norman,Minnesota,27107.0,17,0.0
244587,2020-06-16,Norman,Minnesota,27107.0,17,0.0
247700,2020-06-17,Norman,Minnesota,27107.0,18,0.0
250812,2020-06-18,Norman,Minnesota,27107.0,18,0.0
253927,2020-06-19,Norman,Minnesota,27107.0,18,0.0
257047,2020-06-20,Norman,Minnesota,27107.0,18,0.0
260173,2020-06-21,Norman,Minnesota,27107.0,18,0.0
263302,2020-06-22,Norman,Minnesota,27107.0,18,0.0
266428,2020-06-23,Norman,Minnesota,27107.0,18,0.0
269561,2020-06-24,Norman,Minnesota,27107.0,18,0.0
272698,2020-06-25,Norman,Minnesota,27107.0,19,0.0
275841,2020-06-26,Norman,Minnesota,27107.0,19,0.0
278989,2020-06-27,Norman,Minnesota,27107.0,19,0.0
282137,2020-06-28,Norman,Minnesota,27107.0,19,0.0
285282,2020-06-29,Norman,Minnesota,27107.0,19,0.0
288432,2020-06-30,Norman,Minnesota,27107.0,20,0.0
291583,2020-07-01,Norman,Minnesota,27107.0,20,0.0
294737,2020-07-02,Norman,Minnesota,27107.0,20,0.0
297895,2020-07-03,Norman,Minnesota,27107.0,20,0.0
301058,2020-07-04,Norman,Minnesota,27107.0,20,0.0
304222,2020-07-05,Norman,Minnesota,27107.0,20,0.0
307389,2020-07-06,Norman,Minnesota,27107.0,20,0.0
310557,2020-07-07,Norman,Minnesota,27107.0,20,0.0
313727,2020-07-08,Norman,Minnesota,27107.0,21,0.0
316901,2020-07-09,Norman,Minnesota,27107.0,21,0.0
320076,2020-07-10,Norman,Minnesota,27107.0,21,0.0
323255,2020-07-11,Norman,Minnesota,27107.0,21,0.0
326438,2020-07-12,Norman,Minnesota,27107.0,21,0.0
329624,2020-07-13,Norman,Minnesota,27107.0,21,0.0
332811,2020-07-14,Norman,Minnesota,27107.0,21,0.0
336004,2020-07-15,Norman,Minnesota,27107.0,21,0.0
