,date,county,state,fips,cases,deaths
12257,2020-03-25,Nottoway,Virginia,51135.0,1,0.0
13900,2020-03-26,Nottoway,Virginia,51135.0,1,0.0
15668,2020-03-27,Nottoway,Virginia,51135.0,1,0.0
17547,2020-03-28,Nottoway,Virginia,51135.0,1,0.0
19509,2020-03-29,Nottoway,Virginia,51135.0,1,0.0
21574,2020-03-30,Nottoway,Virginia,51135.0,1,0.0
23720,2020-03-31,Nottoway,Virginia,51135.0,1,0.0
25936,2020-04-01,Nottoway,Virginia,51135.0,1,0.0
28226,2020-04-02,Nottoway,Virginia,51135.0,1,0.0
30573,2020-04-03,Nottoway,Virginia,51135.0,1,0.0
32972,2020-04-04,Nottoway,Virginia,51135.0,1,0.0
35410,2020-04-05,Nottoway,Virginia,51135.0,1,0.0
37893,2020-04-06,Nottoway,Virginia,51135.0,1,0.0
40427,2020-04-07,Nottoway,Virginia,51135.0,3,0.0
42996,2020-04-08,Nottoway,Virginia,51135.0,3,0.0
45592,2020-04-09,Nottoway,Virginia,51135.0,3,0.0
48218,2020-04-10,Nottoway,Virginia,51135.0,3,0.0
50876,2020-04-11,Nottoway,Virginia,51135.0,4,0.0
53551,2020-04-12,Nottoway,Virginia,51135.0,5,0.0
56241,2020-04-13,Nottoway,Virginia,51135.0,5,0.0
58947,2020-04-14,Nottoway,Virginia,51135.0,5,0.0
61666,2020-04-15,Nottoway,Virginia,51135.0,5,0.0
64399,2020-04-16,Nottoway,Virginia,51135.0,5,0.0
67147,2020-04-17,Nottoway,Virginia,51135.0,5,0.0
69909,2020-04-18,Nottoway,Virginia,51135.0,6,0.0
72679,2020-04-19,Nottoway,Virginia,51135.0,8,0.0
75455,2020-04-20,Nottoway,Virginia,51135.0,8,0.0
78238,2020-04-21,Nottoway,Virginia,51135.0,8,0.0
81031,2020-04-22,Nottoway,Virginia,51135.0,8,0.0
83832,2020-04-23,Nottoway,Virginia,51135.0,8,0.0
86639,2020-04-24,Nottoway,Virginia,51135.0,10,0.0
89454,2020-04-25,Nottoway,Virginia,51135.0,11,0.0
92271,2020-04-26,Nottoway,Virginia,51135.0,11,0.0
95100,2020-04-27,Nottoway,Virginia,51135.0,11,0.0
97944,2020-04-28,Nottoway,Virginia,51135.0,11,0.0
100794,2020-04-29,Nottoway,Virginia,51135.0,12,0.0
103649,2020-04-30,Nottoway,Virginia,51135.0,12,0.0
106513,2020-05-01,Nottoway,Virginia,51135.0,13,0.0
109382,2020-05-02,Nottoway,Virginia,51135.0,13,0.0
112256,2020-05-03,Nottoway,Virginia,51135.0,13,0.0
115139,2020-05-04,Nottoway,Virginia,51135.0,14,0.0
118098,2020-05-05,Nottoway,Virginia,51135.0,14,0.0
121062,2020-05-06,Nottoway,Virginia,51135.0,14,0.0
124043,2020-05-07,Nottoway,Virginia,51135.0,14,0.0
127028,2020-05-08,Nottoway,Virginia,51135.0,14,0.0
130018,2020-05-09,Nottoway,Virginia,51135.0,14,0.0
133008,2020-05-10,Nottoway,Virginia,51135.0,14,0.0
135998,2020-05-11,Nottoway,Virginia,51135.0,14,0.0
138989,2020-05-12,Nottoway,Virginia,51135.0,14,0.0
141985,2020-05-13,Nottoway,Virginia,51135.0,14,0.0
144982,2020-05-14,Nottoway,Virginia,51135.0,14,0.0
147985,2020-05-15,Nottoway,Virginia,51135.0,16,0.0
150994,2020-05-16,Nottoway,Virginia,51135.0,16,0.0
154005,2020-05-17,Nottoway,Virginia,51135.0,16,0.0
157022,2020-05-18,Nottoway,Virginia,51135.0,18,0.0
160046,2020-05-19,Nottoway,Virginia,51135.0,18,0.0
163074,2020-05-20,Nottoway,Virginia,51135.0,18,0.0
166103,2020-05-21,Nottoway,Virginia,51135.0,19,0.0
169139,2020-05-22,Nottoway,Virginia,51135.0,19,0.0
172180,2020-05-23,Nottoway,Virginia,51135.0,19,0.0
175223,2020-05-24,Nottoway,Virginia,51135.0,19,0.0
178268,2020-05-25,Nottoway,Virginia,51135.0,19,0.0
181312,2020-05-26,Nottoway,Virginia,51135.0,20,0.0
184363,2020-05-27,Nottoway,Virginia,51135.0,21,0.0
187420,2020-05-28,Nottoway,Virginia,51135.0,24,0.0
190484,2020-05-29,Nottoway,Virginia,51135.0,25,0.0
193550,2020-05-30,Nottoway,Virginia,51135.0,28,0.0
196620,2020-05-31,Nottoway,Virginia,51135.0,29,0.0
199693,2020-06-01,Nottoway,Virginia,51135.0,33,0.0
202769,2020-06-02,Nottoway,Virginia,51135.0,39,0.0
205848,2020-06-03,Nottoway,Virginia,51135.0,40,0.0
208930,2020-06-04,Nottoway,Virginia,51135.0,40,0.0
212015,2020-06-05,Nottoway,Virginia,51135.0,44,0.0
215102,2020-06-06,Nottoway,Virginia,51135.0,48,0.0
218192,2020-06-07,Nottoway,Virginia,51135.0,48,0.0
221284,2020-06-08,Nottoway,Virginia,51135.0,50,0.0
224380,2020-06-09,Nottoway,Virginia,51135.0,50,0.0
227480,2020-06-10,Nottoway,Virginia,51135.0,51,0.0
230584,2020-06-11,Nottoway,Virginia,51135.0,58,0.0
233689,2020-06-12,Nottoway,Virginia,51135.0,63,0.0
236796,2020-06-13,Nottoway,Virginia,51135.0,65,0.0
239904,2020-06-14,Nottoway,Virginia,51135.0,67,0.0
243015,2020-06-15,Nottoway,Virginia,51135.0,67,0.0
246128,2020-06-16,Nottoway,Virginia,51135.0,68,0.0
249240,2020-06-17,Nottoway,Virginia,51135.0,68,0.0
252355,2020-06-18,Nottoway,Virginia,51135.0,74,0.0
255474,2020-06-19,Nottoway,Virginia,51135.0,80,0.0
258601,2020-06-20,Nottoway,Virginia,51135.0,80,0.0
261728,2020-06-21,Nottoway,Virginia,51135.0,79,0.0
264857,2020-06-22,Nottoway,Virginia,51135.0,99,0.0
267986,2020-06-23,Nottoway,Virginia,51135.0,102,2.0
271120,2020-06-24,Nottoway,Virginia,51135.0,106,2.0
274260,2020-06-25,Nottoway,Virginia,51135.0,107,2.0
277408,2020-06-26,Nottoway,Virginia,51135.0,107,2.0
280556,2020-06-27,Nottoway,Virginia,51135.0,109,2.0
283702,2020-06-28,Nottoway,Virginia,51135.0,109,2.0
286848,2020-06-29,Nottoway,Virginia,51135.0,110,2.0
289998,2020-06-30,Nottoway,Virginia,51135.0,111,2.0
293151,2020-07-01,Nottoway,Virginia,51135.0,111,2.0
296306,2020-07-02,Nottoway,Virginia,51135.0,112,2.0
299468,2020-07-03,Nottoway,Virginia,51135.0,114,2.0
302632,2020-07-04,Nottoway,Virginia,51135.0,114,2.0
305796,2020-07-05,Nottoway,Virginia,51135.0,114,2.0
308964,2020-07-06,Nottoway,Virginia,51135.0,114,2.0
312133,2020-07-07,Nottoway,Virginia,51135.0,114,2.0
315308,2020-07-08,Nottoway,Virginia,51135.0,115,3.0
318481,2020-07-09,Nottoway,Virginia,51135.0,114,4.0
321660,2020-07-10,Nottoway,Virginia,51135.0,117,5.0
324841,2020-07-11,Nottoway,Virginia,51135.0,120,5.0
328026,2020-07-12,Nottoway,Virginia,51135.0,120,5.0
331212,2020-07-13,Nottoway,Virginia,51135.0,120,5.0
334405,2020-07-14,Nottoway,Virginia,51135.0,124,5.0
337600,2020-07-15,Nottoway,Virginia,51135.0,135,5.0
340796,2020-07-16,Nottoway,Virginia,51135.0,136,5.0
343995,2020-07-17,Nottoway,Virginia,51135.0,142,6.0
347195,2020-07-18,Nottoway,Virginia,51135.0,143,6.0
350396,2020-07-19,Nottoway,Virginia,51135.0,142,6.0
353598,2020-07-20,Nottoway,Virginia,51135.0,150,6.0
356801,2020-07-21,Nottoway,Virginia,51135.0,152,6.0
360006,2020-07-22,Nottoway,Virginia,51135.0,157,6.0
363212,2020-07-23,Nottoway,Virginia,51135.0,157,6.0
366418,2020-07-24,Nottoway,Virginia,51135.0,157,6.0
369627,2020-07-25,Nottoway,Virginia,51135.0,159,6.0
372839,2020-07-26,Nottoway,Virginia,51135.0,159,6.0
376053,2020-07-27,Nottoway,Virginia,51135.0,159,6.0
379269,2020-07-28,Nottoway,Virginia,51135.0,168,6.0
382486,2020-07-29,Nottoway,Virginia,51135.0,168,8.0
385704,2020-07-30,Nottoway,Virginia,51135.0,169,8.0
388921,2020-07-31,Nottoway,Virginia,51135.0,172,9.0
392138,2020-08-01,Nottoway,Virginia,51135.0,174,9.0
395354,2020-08-02,Nottoway,Virginia,51135.0,176,9.0
398570,2020-08-03,Nottoway,Virginia,51135.0,176,9.0
401786,2020-08-04,Nottoway,Virginia,51135.0,177,9.0
