date,county,state,fips,cases,deaths
2020-03-29,Obion,Tennessee,47131.0,1,0.0
2020-03-30,Obion,Tennessee,47131.0,1,0.0
2020-03-31,Obion,Tennessee,47131.0,1,0.0
2020-04-01,Obion,Tennessee,47131.0,2,0.0
2020-04-02,Obion,Tennessee,47131.0,2,1.0
2020-04-03,Obion,Tennessee,47131.0,2,1.0
2020-04-04,Obion,Tennessee,47131.0,2,1.0
2020-04-05,Obion,Tennessee,47131.0,2,1.0
2020-04-06,Obion,Tennessee,47131.0,2,1.0
2020-04-07,Obion,Tennessee,47131.0,3,1.0
2020-04-08,Obion,Tennessee,47131.0,4,1.0
2020-04-09,Obion,Tennessee,47131.0,4,1.0
2020-04-10,Obion,Tennessee,47131.0,5,1.0
2020-04-11,Obion,Tennessee,47131.0,7,1.0
2020-04-12,Obion,Tennessee,47131.0,7,1.0
2020-04-13,Obion,Tennessee,47131.0,8,1.0
2020-04-14,Obion,Tennessee,47131.0,8,1.0
2020-04-15,Obion,Tennessee,47131.0,8,1.0
2020-04-16,Obion,Tennessee,47131.0,8,1.0
2020-04-17,Obion,Tennessee,47131.0,9,1.0
2020-04-18,Obion,Tennessee,47131.0,9,1.0
2020-04-19,Obion,Tennessee,47131.0,9,1.0
2020-04-20,Obion,Tennessee,47131.0,9,1.0
2020-04-21,Obion,Tennessee,47131.0,9,1.0
2020-04-22,Obion,Tennessee,47131.0,10,1.0
2020-04-23,Obion,Tennessee,47131.0,12,1.0
2020-04-24,Obion,Tennessee,47131.0,12,1.0
2020-04-25,Obion,Tennessee,47131.0,12,1.0
2020-04-26,Obion,Tennessee,47131.0,12,1.0
2020-04-27,Obion,Tennessee,47131.0,12,1.0
2020-04-28,Obion,Tennessee,47131.0,12,1.0
2020-04-29,Obion,Tennessee,47131.0,12,1.0
2020-04-30,Obion,Tennessee,47131.0,13,1.0
2020-05-01,Obion,Tennessee,47131.0,14,1.0
2020-05-02,Obion,Tennessee,47131.0,15,1.0
2020-05-03,Obion,Tennessee,47131.0,15,1.0
2020-05-04,Obion,Tennessee,47131.0,17,1.0
2020-05-05,Obion,Tennessee,47131.0,16,1.0
2020-05-06,Obion,Tennessee,47131.0,15,1.0
2020-05-07,Obion,Tennessee,47131.0,15,1.0
