,date,county,state,fips,cases,deaths
13090,2020-03-26,Oceana,Michigan,26127.0,1,0.0
14802,2020-03-27,Oceana,Michigan,26127.0,1,0.0
16622,2020-03-28,Oceana,Michigan,26127.0,1,0.0
18538,2020-03-29,Oceana,Michigan,26127.0,2,0.0
20557,2020-03-30,Oceana,Michigan,26127.0,2,0.0
22668,2020-03-31,Oceana,Michigan,26127.0,2,0.0
24848,2020-04-01,Oceana,Michigan,26127.0,2,0.0
27101,2020-04-02,Oceana,Michigan,26127.0,2,0.0
29420,2020-04-03,Oceana,Michigan,26127.0,3,0.0
31798,2020-04-04,Oceana,Michigan,26127.0,3,0.0
34223,2020-04-05,Oceana,Michigan,26127.0,3,0.0
36682,2020-04-06,Oceana,Michigan,26127.0,3,0.0
39191,2020-04-07,Oceana,Michigan,26127.0,3,1.0
41743,2020-04-08,Oceana,Michigan,26127.0,3,1.0
44319,2020-04-09,Oceana,Michigan,26127.0,3,1.0
46928,2020-04-10,Oceana,Michigan,26127.0,3,1.0
49572,2020-04-11,Oceana,Michigan,26127.0,3,1.0
52242,2020-04-12,Oceana,Michigan,26127.0,3,1.0
54924,2020-04-13,Oceana,Michigan,26127.0,3,1.0
57622,2020-04-14,Oceana,Michigan,26127.0,3,1.0
60332,2020-04-15,Oceana,Michigan,26127.0,3,1.0
63054,2020-04-16,Oceana,Michigan,26127.0,3,1.0
65792,2020-04-17,Oceana,Michigan,26127.0,4,1.0
68543,2020-04-18,Oceana,Michigan,26127.0,3,1.0
71307,2020-04-19,Oceana,Michigan,26127.0,3,1.0
74079,2020-04-20,Oceana,Michigan,26127.0,3,1.0
76859,2020-04-21,Oceana,Michigan,26127.0,4,1.0
79645,2020-04-22,Oceana,Michigan,26127.0,4,1.0
82440,2020-04-23,Oceana,Michigan,26127.0,4,1.0
85244,2020-04-24,Oceana,Michigan,26127.0,4,1.0
88054,2020-04-25,Oceana,Michigan,26127.0,4,1.0
90870,2020-04-26,Oceana,Michigan,26127.0,5,1.0
93691,2020-04-27,Oceana,Michigan,26127.0,7,1.0
96526,2020-04-28,Oceana,Michigan,26127.0,8,1.0
99372,2020-04-29,Oceana,Michigan,26127.0,9,1.0
102224,2020-04-30,Oceana,Michigan,26127.0,9,1.0
105084,2020-05-01,Oceana,Michigan,26127.0,11,1.0
107948,2020-05-02,Oceana,Michigan,26127.0,14,1.0
110820,2020-05-03,Oceana,Michigan,26127.0,16,1.0
113698,2020-05-04,Oceana,Michigan,26127.0,19,1.0
116579,2020-05-05,Oceana,Michigan,26127.0,21,1.0
119540,2020-05-06,Oceana,Michigan,26127.0,22,1.0
122512,2020-05-07,Oceana,Michigan,26127.0,23,1.0
125494,2020-05-08,Oceana,Michigan,26127.0,24,1.0
128481,2020-05-09,Oceana,Michigan,26127.0,25,1.0
131471,2020-05-10,Oceana,Michigan,26127.0,28,1.0
134462,2020-05-11,Oceana,Michigan,26127.0,30,1.0
137452,2020-05-12,Oceana,Michigan,26127.0,34,1.0
140446,2020-05-13,Oceana,Michigan,26127.0,38,2.0
143441,2020-05-14,Oceana,Michigan,26127.0,44,2.0
146441,2020-05-15,Oceana,Michigan,26127.0,46,2.0
149446,2020-05-16,Oceana,Michigan,26127.0,47,2.0
152457,2020-05-17,Oceana,Michigan,26127.0,50,2.0
155471,2020-05-18,Oceana,Michigan,26127.0,54,2.0
158489,2020-05-19,Oceana,Michigan,26127.0,58,2.0
161515,2020-05-20,Oceana,Michigan,26127.0,66,2.0
164544,2020-05-21,Oceana,Michigan,26127.0,69,2.0
167580,2020-05-22,Oceana,Michigan,26127.0,73,2.0
170617,2020-05-23,Oceana,Michigan,26127.0,74,2.0
173659,2020-05-24,Oceana,Michigan,26127.0,82,2.0
176702,2020-05-25,Oceana,Michigan,26127.0,84,2.0
179746,2020-05-26,Oceana,Michigan,26127.0,85,2.0
182792,2020-05-27,Oceana,Michigan,26127.0,85,2.0
185847,2020-05-28,Oceana,Michigan,26127.0,85,2.0
188905,2020-05-29,Oceana,Michigan,26127.0,85,2.0
191969,2020-05-30,Oceana,Michigan,26127.0,85,2.0
195037,2020-05-31,Oceana,Michigan,26127.0,85,2.0
198108,2020-06-01,Oceana,Michigan,26127.0,97,2.0
201181,2020-06-02,Oceana,Michigan,26127.0,97,2.0
204258,2020-06-03,Oceana,Michigan,26127.0,100,2.0
207339,2020-06-04,Oceana,Michigan,26127.0,102,2.0
210420,2020-06-05,Oceana,Michigan,26127.0,102,2.0
213504,2020-06-06,Oceana,Michigan,26127.0,102,2.0
216592,2020-06-07,Oceana,Michigan,26127.0,101,2.0
219684,2020-06-08,Oceana,Michigan,26127.0,101,3.0
222779,2020-06-09,Oceana,Michigan,26127.0,103,3.0
225877,2020-06-10,Oceana,Michigan,26127.0,103,3.0
228979,2020-06-11,Oceana,Michigan,26127.0,103,3.0
232083,2020-06-12,Oceana,Michigan,26127.0,105,3.0
235188,2020-06-13,Oceana,Michigan,26127.0,107,3.0
238295,2020-06-14,Oceana,Michigan,26127.0,109,3.0
241404,2020-06-15,Oceana,Michigan,26127.0,115,3.0
244515,2020-06-16,Oceana,Michigan,26127.0,117,3.0
247628,2020-06-17,Oceana,Michigan,26127.0,119,3.0
250740,2020-06-18,Oceana,Michigan,26127.0,145,3.0
253855,2020-06-19,Oceana,Michigan,26127.0,163,3.0
256975,2020-06-20,Oceana,Michigan,26127.0,173,3.0
260101,2020-06-21,Oceana,Michigan,26127.0,176,3.0
263230,2020-06-22,Oceana,Michigan,26127.0,186,3.0
266356,2020-06-23,Oceana,Michigan,26127.0,199,3.0
269489,2020-06-24,Oceana,Michigan,26127.0,210,3.0
272626,2020-06-25,Oceana,Michigan,26127.0,222,3.0
275769,2020-06-26,Oceana,Michigan,26127.0,235,3.0
278917,2020-06-27,Oceana,Michigan,26127.0,249,3.0
282065,2020-06-28,Oceana,Michigan,26127.0,263,3.0
285210,2020-06-29,Oceana,Michigan,26127.0,280,3.0
288360,2020-06-30,Oceana,Michigan,26127.0,287,3.0
291511,2020-07-01,Oceana,Michigan,26127.0,292,3.0
294665,2020-07-02,Oceana,Michigan,26127.0,307,3.0
297823,2020-07-03,Oceana,Michigan,26127.0,320,3.0
300985,2020-07-04,Oceana,Michigan,26127.0,342,4.0
304149,2020-07-05,Oceana,Michigan,26127.0,345,4.0
307316,2020-07-06,Oceana,Michigan,26127.0,347,4.0
310484,2020-07-07,Oceana,Michigan,26127.0,354,4.0
313654,2020-07-08,Oceana,Michigan,26127.0,365,4.0
316828,2020-07-09,Oceana,Michigan,26127.0,372,4.0
320003,2020-07-10,Oceana,Michigan,26127.0,384,4.0
323182,2020-07-11,Oceana,Michigan,26127.0,397,5.0
326365,2020-07-12,Oceana,Michigan,26127.0,405,5.0
329551,2020-07-13,Oceana,Michigan,26127.0,406,5.0
332738,2020-07-14,Oceana,Michigan,26127.0,407,5.0
335931,2020-07-15,Oceana,Michigan,26127.0,414,5.0
339127,2020-07-16,Oceana,Michigan,26127.0,417,5.0
342323,2020-07-17,Oceana,Michigan,26127.0,426,5.0
345523,2020-07-18,Oceana,Michigan,26127.0,432,5.0
348724,2020-07-19,Oceana,Michigan,26127.0,436,5.0
351924,2020-07-20,Oceana,Michigan,26127.0,437,5.0
355126,2020-07-21,Oceana,Michigan,26127.0,444,5.0
358329,2020-07-22,Oceana,Michigan,26127.0,445,5.0
361534,2020-07-23,Oceana,Michigan,26127.0,452,5.0
