date,county,state,fips,cases,deaths
2020-03-26,Ogemaw,Michigan,26129.0,1,0.0
2020-03-27,Ogemaw,Michigan,26129.0,1,0.0
2020-03-28,Ogemaw,Michigan,26129.0,1,0.0
2020-03-29,Ogemaw,Michigan,26129.0,1,0.0
2020-03-30,Ogemaw,Michigan,26129.0,4,0.0
2020-03-31,Ogemaw,Michigan,26129.0,1,0.0
2020-04-01,Ogemaw,Michigan,26129.0,1,0.0
2020-04-02,Ogemaw,Michigan,26129.0,2,0.0
2020-04-03,Ogemaw,Michigan,26129.0,2,0.0
2020-04-04,Ogemaw,Michigan,26129.0,2,0.0
2020-04-05,Ogemaw,Michigan,26129.0,3,0.0
2020-04-06,Ogemaw,Michigan,26129.0,3,0.0
2020-04-07,Ogemaw,Michigan,26129.0,3,0.0
2020-04-08,Ogemaw,Michigan,26129.0,3,0.0
2020-04-09,Ogemaw,Michigan,26129.0,3,0.0
2020-04-10,Ogemaw,Michigan,26129.0,3,0.0
2020-04-11,Ogemaw,Michigan,26129.0,4,0.0
2020-04-12,Ogemaw,Michigan,26129.0,4,0.0
2020-04-13,Ogemaw,Michigan,26129.0,4,0.0
2020-04-14,Ogemaw,Michigan,26129.0,4,0.0
2020-04-15,Ogemaw,Michigan,26129.0,4,0.0
2020-04-16,Ogemaw,Michigan,26129.0,5,0.0
2020-04-17,Ogemaw,Michigan,26129.0,5,0.0
2020-04-18,Ogemaw,Michigan,26129.0,5,0.0
2020-04-19,Ogemaw,Michigan,26129.0,6,0.0
2020-04-20,Ogemaw,Michigan,26129.0,6,0.0
2020-04-21,Ogemaw,Michigan,26129.0,6,0.0
2020-04-22,Ogemaw,Michigan,26129.0,6,0.0
2020-04-23,Ogemaw,Michigan,26129.0,8,0.0
2020-04-24,Ogemaw,Michigan,26129.0,8,0.0
2020-04-25,Ogemaw,Michigan,26129.0,8,0.0
2020-04-26,Ogemaw,Michigan,26129.0,9,0.0
2020-04-27,Ogemaw,Michigan,26129.0,10,0.0
2020-04-28,Ogemaw,Michigan,26129.0,11,0.0
2020-04-29,Ogemaw,Michigan,26129.0,12,0.0
2020-04-30,Ogemaw,Michigan,26129.0,13,0.0
2020-05-01,Ogemaw,Michigan,26129.0,14,0.0
2020-05-02,Ogemaw,Michigan,26129.0,15,0.0
2020-05-03,Ogemaw,Michigan,26129.0,14,0.0
2020-05-04,Ogemaw,Michigan,26129.0,15,0.0
2020-05-05,Ogemaw,Michigan,26129.0,15,0.0
2020-05-06,Ogemaw,Michigan,26129.0,15,0.0
2020-05-07,Ogemaw,Michigan,26129.0,15,0.0
2020-05-08,Ogemaw,Michigan,26129.0,15,0.0
2020-05-09,Ogemaw,Michigan,26129.0,15,0.0
2020-05-10,Ogemaw,Michigan,26129.0,15,0.0
2020-05-11,Ogemaw,Michigan,26129.0,16,0.0
