,date,county,state,fips,cases,deaths
24174,2020-04-01,Okeechobee,Florida,12093.0,1,0.0
26404,2020-04-02,Okeechobee,Florida,12093.0,1,0.0
28707,2020-04-03,Okeechobee,Florida,12093.0,2,0.0
31067,2020-04-04,Okeechobee,Florida,12093.0,3,0.0
33473,2020-04-05,Okeechobee,Florida,12093.0,3,0.0
35919,2020-04-06,Okeechobee,Florida,12093.0,4,0.0
38410,2020-04-07,Okeechobee,Florida,12093.0,5,0.0
40954,2020-04-08,Okeechobee,Florida,12093.0,5,0.0
43528,2020-04-09,Okeechobee,Florida,12093.0,5,0.0
46130,2020-04-10,Okeechobee,Florida,12093.0,5,0.0
48760,2020-04-11,Okeechobee,Florida,12093.0,5,0.0
51421,2020-04-12,Okeechobee,Florida,12093.0,5,0.0
54101,2020-04-13,Okeechobee,Florida,12093.0,5,0.0
56793,2020-04-14,Okeechobee,Florida,12093.0,5,0.0
59501,2020-04-15,Okeechobee,Florida,12093.0,5,0.0
62220,2020-04-16,Okeechobee,Florida,12093.0,5,0.0
64953,2020-04-17,Okeechobee,Florida,12093.0,5,0.0
67701,2020-04-18,Okeechobee,Florida,12093.0,6,0.0
70463,2020-04-19,Okeechobee,Florida,12093.0,7,0.0
73232,2020-04-20,Okeechobee,Florida,12093.0,7,0.0
76008,2020-04-21,Okeechobee,Florida,12093.0,8,0.0
78792,2020-04-22,Okeechobee,Florida,12093.0,8,0.0
81586,2020-04-23,Okeechobee,Florida,12093.0,9,0.0
84386,2020-04-24,Okeechobee,Florida,12093.0,9,0.0
87194,2020-04-25,Okeechobee,Florida,12093.0,9,0.0
90011,2020-04-26,Okeechobee,Florida,12093.0,9,0.0
92829,2020-04-27,Okeechobee,Florida,12093.0,10,0.0
95661,2020-04-28,Okeechobee,Florida,12093.0,10,0.0
98506,2020-04-29,Okeechobee,Florida,12093.0,10,0.0
101356,2020-04-30,Okeechobee,Florida,12093.0,11,0.0
104211,2020-05-01,Okeechobee,Florida,12093.0,12,0.0
107076,2020-05-02,Okeechobee,Florida,12093.0,13,0.0
109945,2020-05-03,Okeechobee,Florida,12093.0,14,0.0
112820,2020-05-04,Okeechobee,Florida,12093.0,18,0.0
115703,2020-05-05,Okeechobee,Florida,12093.0,18,0.0
118663,2020-05-06,Okeechobee,Florida,12093.0,18,0.0
121632,2020-05-07,Okeechobee,Florida,12093.0,22,0.0
124611,2020-05-08,Okeechobee,Florida,12093.0,23,0.0
127598,2020-05-09,Okeechobee,Florida,12093.0,23,0.0
130589,2020-05-10,Okeechobee,Florida,12093.0,28,0.0
133580,2020-05-11,Okeechobee,Florida,12093.0,28,0.0
136569,2020-05-12,Okeechobee,Florida,12093.0,28,0.0
139560,2020-05-13,Okeechobee,Florida,12093.0,25,0.0
142556,2020-05-14,Okeechobee,Florida,12093.0,32,0.0
145556,2020-05-15,Okeechobee,Florida,12093.0,33,0.0
148559,2020-05-16,Okeechobee,Florida,12093.0,34,0.0
151568,2020-05-17,Okeechobee,Florida,12093.0,35,0.0
154580,2020-05-18,Okeechobee,Florida,12093.0,43,0.0
157596,2020-05-19,Okeechobee,Florida,12093.0,45,0.0
160622,2020-05-20,Okeechobee,Florida,12093.0,49,0.0
163650,2020-05-21,Okeechobee,Florida,12093.0,51,0.0
166683,2020-05-22,Okeechobee,Florida,12093.0,55,0.0
169720,2020-05-23,Okeechobee,Florida,12093.0,57,0.0
172761,2020-05-24,Okeechobee,Florida,12093.0,60,0.0
175804,2020-05-25,Okeechobee,Florida,12093.0,64,0.0
178848,2020-05-26,Okeechobee,Florida,12093.0,67,0.0
181892,2020-05-27,Okeechobee,Florida,12093.0,67,0.0
184946,2020-05-28,Okeechobee,Florida,12093.0,68,0.0
188002,2020-05-29,Okeechobee,Florida,12093.0,70,0.0
191067,2020-05-30,Okeechobee,Florida,12093.0,76,0.0
194134,2020-05-31,Okeechobee,Florida,12093.0,83,0.0
197204,2020-06-01,Okeechobee,Florida,12093.0,84,0.0
200277,2020-06-02,Okeechobee,Florida,12093.0,85,0.0
203353,2020-06-03,Okeechobee,Florida,12093.0,97,0.0
206433,2020-06-04,Okeechobee,Florida,12093.0,104,0.0
209514,2020-06-05,Okeechobee,Florida,12093.0,122,0.0
212599,2020-06-06,Okeechobee,Florida,12093.0,125,0.0
215686,2020-06-07,Okeechobee,Florida,12093.0,138,0.0
218777,2020-06-08,Okeechobee,Florida,12093.0,138,0.0
221872,2020-06-09,Okeechobee,Florida,12093.0,143,0.0
224967,2020-06-10,Okeechobee,Florida,12093.0,149,0.0
228069,2020-06-11,Okeechobee,Florida,12093.0,154,0.0
231172,2020-06-12,Okeechobee,Florida,12093.0,158,0.0
234278,2020-06-13,Okeechobee,Florida,12093.0,166,0.0
237385,2020-06-14,Okeechobee,Florida,12093.0,183,0.0
240493,2020-06-15,Okeechobee,Florida,12093.0,189,0.0
243604,2020-06-16,Okeechobee,Florida,12093.0,195,0.0
246717,2020-06-17,Okeechobee,Florida,12093.0,200,0.0
249829,2020-06-18,Okeechobee,Florida,12093.0,207,0.0
252944,2020-06-19,Okeechobee,Florida,12093.0,230,0.0
256063,2020-06-20,Okeechobee,Florida,12093.0,240,0.0
259190,2020-06-21,Okeechobee,Florida,12093.0,245,0.0
262317,2020-06-22,Okeechobee,Florida,12093.0,250,0.0
265445,2020-06-23,Okeechobee,Florida,12093.0,256,0.0
268575,2020-06-24,Okeechobee,Florida,12093.0,276,0.0
271711,2020-06-25,Okeechobee,Florida,12093.0,289,0.0
274851,2020-06-26,Okeechobee,Florida,12093.0,307,0.0
277999,2020-06-27,Okeechobee,Florida,12093.0,333,0.0
281146,2020-06-28,Okeechobee,Florida,12093.0,343,0.0
284292,2020-06-29,Okeechobee,Florida,12093.0,360,0.0
287438,2020-06-30,Okeechobee,Florida,12093.0,377,0.0
290589,2020-07-01,Okeechobee,Florida,12093.0,383,0.0
293743,2020-07-02,Okeechobee,Florida,12093.0,390,0.0
296899,2020-07-03,Okeechobee,Florida,12093.0,402,0.0
300061,2020-07-04,Okeechobee,Florida,12093.0,413,0.0
303225,2020-07-05,Okeechobee,Florida,12093.0,423,0.0
306389,2020-07-06,Okeechobee,Florida,12093.0,439,0.0
309557,2020-07-07,Okeechobee,Florida,12093.0,451,0.0
312727,2020-07-08,Okeechobee,Florida,12093.0,452,0.0
315902,2020-07-09,Okeechobee,Florida,12093.0,459,0.0
319075,2020-07-10,Okeechobee,Florida,12093.0,501,0.0
322254,2020-07-11,Okeechobee,Florida,12093.0,518,2.0
325435,2020-07-12,Okeechobee,Florida,12093.0,527,2.0
328621,2020-07-13,Okeechobee,Florida,12093.0,566,2.0
331808,2020-07-14,Okeechobee,Florida,12093.0,581,2.0
335001,2020-07-15,Okeechobee,Florida,12093.0,586,2.0
338196,2020-07-16,Okeechobee,Florida,12093.0,597,2.0
341393,2020-07-17,Okeechobee,Florida,12093.0,610,2.0
344592,2020-07-18,Okeechobee,Florida,12093.0,633,2.0
347792,2020-07-19,Okeechobee,Florida,12093.0,651,2.0
350993,2020-07-20,Okeechobee,Florida,12093.0,662,2.0
354195,2020-07-21,Okeechobee,Florida,12093.0,684,2.0
357398,2020-07-22,Okeechobee,Florida,12093.0,694,2.0
360603,2020-07-23,Okeechobee,Florida,12093.0,770,2.0
363810,2020-07-24,Okeechobee,Florida,12093.0,797,2.0
367017,2020-07-25,Okeechobee,Florida,12093.0,802,2.0
370227,2020-07-26,Okeechobee,Florida,12093.0,812,2.0
373439,2020-07-27,Okeechobee,Florida,12093.0,837,2.0
376653,2020-07-28,Okeechobee,Florida,12093.0,853,2.0
379870,2020-07-29,Okeechobee,Florida,12093.0,858,3.0
383087,2020-07-30,Okeechobee,Florida,12093.0,878,2.0
386305,2020-07-31,Okeechobee,Florida,12093.0,893,6.0
389522,2020-08-01,Okeechobee,Florida,12093.0,920,6.0
392739,2020-08-02,Okeechobee,Florida,12093.0,945,6.0
395955,2020-08-03,Okeechobee,Florida,12093.0,958,6.0
399171,2020-08-04,Okeechobee,Florida,12093.0,967,6.0
402387,2020-08-05,Okeechobee,Florida,12093.0,975,6.0
405605,2020-08-06,Okeechobee,Florida,12093.0,989,7.0
408825,2020-08-07,Okeechobee,Florida,12093.0,1013,9.0
412044,2020-08-08,Okeechobee,Florida,12093.0,1027,10.0
415264,2020-08-09,Okeechobee,Florida,12093.0,1039,12.0
418485,2020-08-10,Okeechobee,Florida,12093.0,1055,12.0
421706,2020-08-11,Okeechobee,Florida,12093.0,1077,12.0
424927,2020-08-12,Okeechobee,Florida,12093.0,1081,12.0
428151,2020-08-13,Okeechobee,Florida,12093.0,1087,12.0
431379,2020-08-14,Okeechobee,Florida,12093.0,1093,12.0
434604,2020-08-15,Okeechobee,Florida,12093.0,1125,12.0
437830,2020-08-16,Okeechobee,Florida,12093.0,1142,12.0
441056,2020-08-17,Okeechobee,Florida,12093.0,1148,12.0
444282,2020-08-18,Okeechobee,Florida,12093.0,1155,12.0
447509,2020-08-19,Okeechobee,Florida,12093.0,1169,12.0
450737,2020-08-20,Okeechobee,Florida,12093.0,1177,12.0
453965,2020-08-21,Okeechobee,Florida,12093.0,1183,12.0
457193,2020-08-22,Okeechobee,Florida,12093.0,1195,13.0
460420,2020-08-23,Okeechobee,Florida,12093.0,1202,13.0
463649,2020-08-24,Okeechobee,Florida,12093.0,1202,13.0
466878,2020-08-25,Okeechobee,Florida,12093.0,1208,13.0
470107,2020-08-26,Okeechobee,Florida,12093.0,1210,14.0
473339,2020-08-27,Okeechobee,Florida,12093.0,1211,15.0
476572,2020-08-28,Okeechobee,Florida,12093.0,1219,15.0
479805,2020-08-29,Okeechobee,Florida,12093.0,1234,15.0
483039,2020-08-30,Okeechobee,Florida,12093.0,1239,15.0
486274,2020-08-31,Okeechobee,Florida,12093.0,1243,15.0
489507,2020-09-01,Okeechobee,Florida,12093.0,1248,15.0
492740,2020-09-02,Okeechobee,Florida,12093.0,1250,19.0
495974,2020-09-03,Okeechobee,Florida,12093.0,1267,19.0
499207,2020-09-04,Okeechobee,Florida,12093.0,1271,20.0
502441,2020-09-05,Okeechobee,Florida,12093.0,1279,20.0
505675,2020-09-06,Okeechobee,Florida,12093.0,1283,20.0
508907,2020-09-07,Okeechobee,Florida,12093.0,1284,20.0
512140,2020-09-08,Okeechobee,Florida,12093.0,1288,20.0
515373,2020-09-09,Okeechobee,Florida,12093.0,1289,20.0
518608,2020-09-10,Okeechobee,Florida,12093.0,1295,20.0
521845,2020-09-11,Okeechobee,Florida,12093.0,1313,20.0
525081,2020-09-12,Okeechobee,Florida,12093.0,1325,21.0
528317,2020-09-13,Okeechobee,Florida,12093.0,1333,21.0
531554,2020-09-14,Okeechobee,Florida,12093.0,1335,21.0
534789,2020-09-15,Okeechobee,Florida,12093.0,1341,21.0
538025,2020-09-16,Okeechobee,Florida,12093.0,1357,22.0
541262,2020-09-17,Okeechobee,Florida,12093.0,1376,22.0
544498,2020-09-18,Okeechobee,Florida,12093.0,1409,22.0
547736,2020-09-19,Okeechobee,Florida,12093.0,1443,23.0
550975,2020-09-20,Okeechobee,Florida,12093.0,1453,23.0
554214,2020-09-21,Okeechobee,Florida,12093.0,1464,23.0
557451,2020-09-22,Okeechobee,Florida,12093.0,1489,23.0
560687,2020-09-23,Okeechobee,Florida,12093.0,1501,24.0
563927,2020-09-24,Okeechobee,Florida,12093.0,1504,24.0
567167,2020-09-25,Okeechobee,Florida,12093.0,1521,25.0
570409,2020-09-26,Okeechobee,Florida,12093.0,1537,26.0
573651,2020-09-27,Okeechobee,Florida,12093.0,1554,26.0
576894,2020-09-28,Okeechobee,Florida,12093.0,1556,27.0
580135,2020-09-29,Okeechobee,Florida,12093.0,1566,27.0
