,date,county,state,fips,cases,deaths
11924,2020-03-25,Osage,Oklahoma,40113.0,1,0.0
13538,2020-03-26,Osage,Oklahoma,40113.0,3,0.0
14599,2020-03-27,Osage,Kansas,20139.0,1,0.0
15281,2020-03-27,Osage,Oklahoma,40113.0,5,0.0
16407,2020-03-28,Osage,Kansas,20139.0,1,0.0
17128,2020-03-28,Osage,Oklahoma,40113.0,6,0.0
18314,2020-03-29,Osage,Kansas,20139.0,1,0.0
19063,2020-03-29,Osage,Oklahoma,40113.0,10,0.0
20327,2020-03-30,Osage,Kansas,20139.0,2,0.0
20737,2020-03-30,Osage,Missouri,29151.0,1,0.0
21113,2020-03-30,Osage,Oklahoma,40113.0,11,0.0
22426,2020-03-31,Osage,Kansas,20139.0,3,0.0
22856,2020-03-31,Osage,Missouri,29151.0,1,0.0
23246,2020-03-31,Osage,Oklahoma,40113.0,16,0.0
24601,2020-04-01,Osage,Kansas,20139.0,3,0.0
25044,2020-04-01,Osage,Missouri,29151.0,2,0.0
25443,2020-04-01,Osage,Oklahoma,40113.0,19,0.0
26845,2020-04-02,Osage,Kansas,20139.0,3,0.0
27301,2020-04-02,Osage,Missouri,29151.0,2,0.0
27715,2020-04-02,Osage,Oklahoma,40113.0,22,1.0
29160,2020-04-03,Osage,Kansas,20139.0,3,0.0
29622,2020-04-03,Osage,Missouri,29151.0,2,0.0
30047,2020-04-03,Osage,Oklahoma,40113.0,22,1.0
31534,2020-04-04,Osage,Kansas,20139.0,3,0.0
32003,2020-04-04,Osage,Missouri,29151.0,2,0.0
32436,2020-04-04,Osage,Oklahoma,40113.0,25,2.0
33948,2020-04-05,Osage,Kansas,20139.0,3,0.0
34431,2020-04-05,Osage,Missouri,29151.0,3,0.0
34870,2020-04-05,Osage,Oklahoma,40113.0,27,2.0
36406,2020-04-06,Osage,Kansas,20139.0,3,0.0
36896,2020-04-06,Osage,Missouri,29151.0,3,0.0
37344,2020-04-06,Osage,Oklahoma,40113.0,31,3.0
38908,2020-04-07,Osage,Kansas,20139.0,3,0.0
39410,2020-04-07,Osage,Missouri,29151.0,4,0.0
39865,2020-04-07,Osage,Oklahoma,40113.0,34,5.0
41455,2020-04-08,Osage,Kansas,20139.0,3,0.0
41964,2020-04-08,Osage,Missouri,29151.0,4,0.0
42425,2020-04-08,Osage,Oklahoma,40113.0,33,5.0
44031,2020-04-09,Osage,Kansas,20139.0,3,0.0
44541,2020-04-09,Osage,Missouri,29151.0,4,0.0
45011,2020-04-09,Osage,Oklahoma,40113.0,41,5.0
46638,2020-04-10,Osage,Kansas,20139.0,3,0.0
47150,2020-04-10,Osage,Missouri,29151.0,4,0.0
47628,2020-04-10,Osage,Oklahoma,40113.0,45,7.0
49274,2020-04-11,Osage,Kansas,20139.0,3,0.0
49798,2020-04-11,Osage,Missouri,29151.0,4,0.0
50284,2020-04-11,Osage,Oklahoma,40113.0,45,7.0
51939,2020-04-12,Osage,Kansas,20139.0,4,0.0
52471,2020-04-12,Osage,Missouri,29151.0,4,0.0
52957,2020-04-12,Osage,Oklahoma,40113.0,50,7.0
54621,2020-04-13,Osage,Kansas,20139.0,4,0.0
55153,2020-04-13,Osage,Missouri,29151.0,4,0.0
55642,2020-04-13,Osage,Oklahoma,40113.0,56,7.0
57315,2020-04-14,Osage,Kansas,20139.0,4,0.0
57851,2020-04-14,Osage,Missouri,29151.0,4,0.0
58344,2020-04-14,Osage,Oklahoma,40113.0,59,8.0
60023,2020-04-15,Osage,Kansas,20139.0,4,0.0
60565,2020-04-15,Osage,Missouri,29151.0,4,0.0
61059,2020-04-15,Osage,Oklahoma,40113.0,61,8.0
62744,2020-04-16,Osage,Kansas,20139.0,4,0.0
63287,2020-04-16,Osage,Missouri,29151.0,4,0.0
