,date,county,state,fips,cases,deaths
48285,2020-04-10,Pacific,Washington,53049.0,1,0.0
50943,2020-04-11,Pacific,Washington,53049.0,1,0.0
53618,2020-04-12,Pacific,Washington,53049.0,1,0.0
56308,2020-04-13,Pacific,Washington,53049.0,1,0.0
59014,2020-04-14,Pacific,Washington,53049.0,1,0.0
61733,2020-04-15,Pacific,Washington,53049.0,1,0.0
64466,2020-04-16,Pacific,Washington,53049.0,1,0.0
67214,2020-04-17,Pacific,Washington,53049.0,1,0.0
69976,2020-04-18,Pacific,Washington,53049.0,1,0.0
72746,2020-04-19,Pacific,Washington,53049.0,2,0.0
75522,2020-04-20,Pacific,Washington,53049.0,3,0.0
78305,2020-04-21,Pacific,Washington,53049.0,3,0.0
81098,2020-04-22,Pacific,Washington,53049.0,3,0.0
83899,2020-04-23,Pacific,Washington,53049.0,4,0.0
86706,2020-04-24,Pacific,Washington,53049.0,4,0.0
89521,2020-04-25,Pacific,Washington,53049.0,4,0.0
92338,2020-04-26,Pacific,Washington,53049.0,4,0.0
95167,2020-04-27,Pacific,Washington,53049.0,4,0.0
98012,2020-04-28,Pacific,Washington,53049.0,4,0.0
100862,2020-04-29,Pacific,Washington,53049.0,4,0.0
103717,2020-04-30,Pacific,Washington,53049.0,4,0.0
106581,2020-05-01,Pacific,Washington,53049.0,4,0.0
109450,2020-05-02,Pacific,Washington,53049.0,4,0.0
112324,2020-05-03,Pacific,Washington,53049.0,4,0.0
115207,2020-05-04,Pacific,Washington,53049.0,4,0.0
118166,2020-05-05,Pacific,Washington,53049.0,4,0.0
121130,2020-05-06,Pacific,Washington,53049.0,4,0.0
124110,2020-05-07,Pacific,Washington,53049.0,4,0.0
127095,2020-05-08,Pacific,Washington,53049.0,8,0.0
130085,2020-05-09,Pacific,Washington,53049.0,9,0.0
133075,2020-05-10,Pacific,Washington,53049.0,9,0.0
136065,2020-05-11,Pacific,Washington,53049.0,9,0.0
139056,2020-05-12,Pacific,Washington,53049.0,9,1.0
142052,2020-05-13,Pacific,Washington,53049.0,9,1.0
145049,2020-05-14,Pacific,Washington,53049.0,9,1.0
148052,2020-05-15,Pacific,Washington,53049.0,9,1.0
151061,2020-05-16,Pacific,Washington,53049.0,9,1.0
154072,2020-05-17,Pacific,Washington,53049.0,9,1.0
157089,2020-05-18,Pacific,Washington,53049.0,9,1.0
160113,2020-05-19,Pacific,Washington,53049.0,9,1.0
163141,2020-05-20,Pacific,Washington,53049.0,9,1.0
166170,2020-05-21,Pacific,Washington,53049.0,9,1.0
169206,2020-05-22,Pacific,Washington,53049.0,9,1.0
172247,2020-05-23,Pacific,Washington,53049.0,9,1.0
175290,2020-05-24,Pacific,Washington,53049.0,9,1.0
178335,2020-05-25,Pacific,Washington,53049.0,9,1.0
181379,2020-05-26,Pacific,Washington,53049.0,9,1.0
184430,2020-05-27,Pacific,Washington,53049.0,9,1.0
187487,2020-05-28,Pacific,Washington,53049.0,9,1.0
190551,2020-05-29,Pacific,Washington,53049.0,9,1.0
193617,2020-05-30,Pacific,Washington,53049.0,9,1.0
196687,2020-05-31,Pacific,Washington,53049.0,9,1.0
199760,2020-06-01,Pacific,Washington,53049.0,9,1.0
202836,2020-06-02,Pacific,Washington,53049.0,9,1.0
205915,2020-06-03,Pacific,Washington,53049.0,9,1.0
208997,2020-06-04,Pacific,Washington,53049.0,9,1.0
212082,2020-06-05,Pacific,Washington,53049.0,9,1.0
215169,2020-06-06,Pacific,Washington,53049.0,9,1.0
218259,2020-06-07,Pacific,Washington,53049.0,9,1.0
221351,2020-06-08,Pacific,Washington,53049.0,9,1.0
224447,2020-06-09,Pacific,Washington,53049.0,10,1.0
227547,2020-06-10,Pacific,Washington,53049.0,10,1.0
230651,2020-06-11,Pacific,Washington,53049.0,10,1.0
233756,2020-06-12,Pacific,Washington,53049.0,11,1.0
