date,county,state,fips,cases,deaths
2020-03-21,Panola,Mississippi,28107.0,1,0.0
2020-03-22,Panola,Mississippi,28107.0,2,0.0
2020-03-23,Panola,Mississippi,28107.0,2,0.0
2020-03-24,Panola,Mississippi,28107.0,2,0.0
2020-03-25,Panola,Mississippi,28107.0,2,0.0
2020-03-26,Panola,Mississippi,28107.0,4,0.0
2020-03-27,Panola,Mississippi,28107.0,4,0.0
2020-03-28,Panola,Mississippi,28107.0,4,0.0
2020-03-29,Panola,Mississippi,28107.0,5,0.0
2020-03-30,Panola,Mississippi,28107.0,6,0.0
2020-03-31,Panola,Mississippi,28107.0,7,1.0
2020-04-01,Panola,Mississippi,28107.0,8,1.0
2020-04-02,Panola,Mississippi,28107.0,8,1.0
2020-04-02,Panola,Texas,48365.0,3,0.0
2020-04-03,Panola,Mississippi,28107.0,8,1.0
2020-04-03,Panola,Texas,48365.0,4,1.0
2020-04-04,Panola,Mississippi,28107.0,10,1.0
2020-04-04,Panola,Texas,48365.0,4,1.0
2020-04-05,Panola,Mississippi,28107.0,17,1.0
2020-04-05,Panola,Texas,48365.0,4,1.0
2020-04-06,Panola,Mississippi,28107.0,17,1.0
2020-04-06,Panola,Texas,48365.0,4,1.0
2020-04-07,Panola,Mississippi,28107.0,19,1.0
2020-04-07,Panola,Texas,48365.0,4,1.0
2020-04-08,Panola,Mississippi,28107.0,19,1.0
2020-04-08,Panola,Texas,48365.0,4,1.0
2020-04-09,Panola,Mississippi,28107.0,21,1.0
2020-04-09,Panola,Texas,48365.0,7,1.0
2020-04-10,Panola,Mississippi,28107.0,22,1.0
2020-04-10,Panola,Texas,48365.0,10,1.0
2020-04-11,Panola,Mississippi,28107.0,22,2.0
2020-04-11,Panola,Texas,48365.0,10,1.0
2020-04-12,Panola,Mississippi,28107.0,22,2.0
2020-04-12,Panola,Texas,48365.0,10,1.0
2020-04-13,Panola,Mississippi,28107.0,23,2.0
2020-04-13,Panola,Texas,48365.0,13,1.0
2020-04-14,Panola,Mississippi,28107.0,26,2.0
2020-04-14,Panola,Texas,48365.0,20,1.0
2020-04-15,Panola,Mississippi,28107.0,26,2.0
2020-04-15,Panola,Texas,48365.0,22,1.0
2020-04-16,Panola,Mississippi,28107.0,27,2.0
2020-04-16,Panola,Texas,48365.0,32,1.0
2020-04-17,Panola,Mississippi,28107.0,27,2.0
2020-04-17,Panola,Texas,48365.0,35,1.0
2020-04-18,Panola,Mississippi,28107.0,30,2.0
2020-04-18,Panola,Texas,48365.0,37,1.0
2020-04-19,Panola,Mississippi,28107.0,35,2.0
2020-04-19,Panola,Texas,48365.0,37,1.0
2020-04-20,Panola,Mississippi,28107.0,36,2.0
2020-04-20,Panola,Texas,48365.0,38,1.0
2020-04-21,Panola,Mississippi,28107.0,37,2.0
2020-04-21,Panola,Texas,48365.0,47,5.0
2020-04-22,Panola,Mississippi,28107.0,37,2.0
2020-04-22,Panola,Texas,48365.0,49,5.0
2020-04-23,Panola,Mississippi,28107.0,38,2.0
2020-04-23,Panola,Texas,48365.0,61,5.0
2020-04-24,Panola,Mississippi,28107.0,38,2.0
2020-04-24,Panola,Texas,48365.0,70,5.0
2020-04-25,Panola,Mississippi,28107.0,36,2.0
2020-04-25,Panola,Texas,48365.0,70,5.0
2020-04-26,Panola,Mississippi,28107.0,37,2.0
2020-04-26,Panola,Texas,48365.0,76,5.0
2020-04-27,Panola,Mississippi,28107.0,38,2.0
2020-04-27,Panola,Texas,48365.0,78,5.0
2020-04-28,Panola,Mississippi,28107.0,38,2.0
2020-04-28,Panola,Texas,48365.0,80,5.0
2020-04-29,Panola,Mississippi,28107.0,38,2.0
2020-04-29,Panola,Texas,48365.0,80,5.0
2020-04-30,Panola,Mississippi,28107.0,39,2.0
2020-04-30,Panola,Texas,48365.0,107,5.0
2020-05-01,Panola,Mississippi,28107.0,39,2.0
2020-05-01,Panola,Texas,48365.0,128,5.0
2020-05-02,Panola,Mississippi,28107.0,39,2.0
2020-05-02,Panola,Texas,48365.0,133,5.0
2020-05-03,Panola,Mississippi,28107.0,40,2.0
2020-05-03,Panola,Texas,48365.0,133,5.0
2020-05-04,Panola,Mississippi,28107.0,40,2.0
2020-05-04,Panola,Texas,48365.0,135,5.0
2020-05-05,Panola,Mississippi,28107.0,40,2.0
2020-05-05,Panola,Texas,48365.0,135,5.0
2020-05-06,Panola,Mississippi,28107.0,42,2.0
2020-05-06,Panola,Texas,48365.0,136,5.0
2020-05-07,Panola,Mississippi,28107.0,43,2.0
2020-05-07,Panola,Texas,48365.0,139,5.0
2020-05-08,Panola,Mississippi,28107.0,43,2.0
2020-05-08,Panola,Texas,48365.0,138,5.0
2020-05-09,Panola,Mississippi,28107.0,43,2.0
2020-05-09,Panola,Texas,48365.0,138,5.0
2020-05-10,Panola,Mississippi,28107.0,43,2.0
2020-05-10,Panola,Texas,48365.0,142,8.0
2020-05-11,Panola,Mississippi,28107.0,43,2.0
2020-05-11,Panola,Texas,48365.0,144,8.0
2020-05-12,Panola,Mississippi,28107.0,45,2.0
2020-05-12,Panola,Texas,48365.0,149,8.0
2020-05-13,Panola,Mississippi,28107.0,45,2.0
2020-05-13,Panola,Texas,48365.0,149,8.0
2020-05-14,Panola,Mississippi,28107.0,46,2.0
2020-05-14,Panola,Texas,48365.0,155,8.0
2020-05-15,Panola,Mississippi,28107.0,47,2.0
2020-05-15,Panola,Texas,48365.0,158,15.0
2020-05-16,Panola,Mississippi,28107.0,50,2.0
2020-05-16,Panola,Texas,48365.0,159,15.0
2020-05-17,Panola,Mississippi,28107.0,50,2.0
2020-05-17,Panola,Texas,48365.0,162,15.0
2020-05-18,Panola,Mississippi,28107.0,50,2.0
2020-05-18,Panola,Texas,48365.0,162,15.0
2020-05-19,Panola,Mississippi,28107.0,52,2.0
2020-05-19,Panola,Texas,48365.0,162,16.0
2020-05-20,Panola,Mississippi,28107.0,54,2.0
2020-05-20,Panola,Texas,48365.0,164,19.0
2020-05-21,Panola,Mississippi,28107.0,58,2.0
2020-05-21,Panola,Texas,48365.0,164,19.0
2020-05-22,Panola,Mississippi,28107.0,59,2.0
2020-05-22,Panola,Texas,48365.0,164,19.0
2020-05-23,Panola,Mississippi,28107.0,61,2.0
2020-05-23,Panola,Texas,48365.0,166,20.0
2020-05-24,Panola,Mississippi,28107.0,62,2.0
2020-05-24,Panola,Texas,48365.0,171,21.0
2020-05-25,Panola,Mississippi,28107.0,62,2.0
2020-05-25,Panola,Texas,48365.0,172,21.0
2020-05-26,Panola,Mississippi,28107.0,64,2.0
2020-05-26,Panola,Texas,48365.0,172,21.0
2020-05-27,Panola,Mississippi,28107.0,64,3.0
2020-05-27,Panola,Texas,48365.0,173,21.0
2020-05-28,Panola,Mississippi,28107.0,64,3.0
2020-05-28,Panola,Texas,48365.0,174,22.0
2020-05-29,Panola,Mississippi,28107.0,66,3.0
2020-05-29,Panola,Texas,48365.0,175,23.0
2020-05-30,Panola,Mississippi,28107.0,70,3.0
2020-05-30,Panola,Texas,48365.0,178,23.0
2020-05-31,Panola,Mississippi,28107.0,71,3.0
2020-05-31,Panola,Texas,48365.0,179,23.0
2020-06-01,Panola,Mississippi,28107.0,71,3.0
2020-06-01,Panola,Texas,48365.0,180,23.0
2020-06-02,Panola,Mississippi,28107.0,84,3.0
2020-06-02,Panola,Texas,48365.0,180,23.0
2020-06-03,Panola,Mississippi,28107.0,85,3.0
2020-06-03,Panola,Texas,48365.0,181,23.0
2020-06-04,Panola,Mississippi,28107.0,84,3.0
2020-06-04,Panola,Texas,48365.0,213,23.0
2020-06-05,Panola,Mississippi,28107.0,87,3.0
2020-06-05,Panola,Texas,48365.0,213,23.0
2020-06-06,Panola,Mississippi,28107.0,93,3.0
2020-06-06,Panola,Texas,48365.0,213,23.0
2020-06-07,Panola,Mississippi,28107.0,96,3.0
2020-06-07,Panola,Texas,48365.0,214,23.0
2020-06-08,Panola,Mississippi,28107.0,102,3.0
2020-06-08,Panola,Texas,48365.0,214,23.0
2020-06-09,Panola,Mississippi,28107.0,105,3.0
2020-06-09,Panola,Texas,48365.0,214,23.0
2020-06-10,Panola,Mississippi,28107.0,110,3.0
2020-06-10,Panola,Texas,48365.0,214,23.0
2020-06-11,Panola,Mississippi,28107.0,110,3.0
2020-06-11,Panola,Texas,48365.0,214,23.0
2020-06-12,Panola,Mississippi,28107.0,118,3.0
2020-06-12,Panola,Texas,48365.0,216,23.0
2020-06-13,Panola,Mississippi,28107.0,121,3.0
2020-06-13,Panola,Texas,48365.0,216,23.0
2020-06-14,Panola,Mississippi,28107.0,122,3.0
2020-06-14,Panola,Texas,48365.0,219,23.0
2020-06-15,Panola,Mississippi,28107.0,127,4.0
2020-06-15,Panola,Texas,48365.0,221,23.0
2020-06-16,Panola,Mississippi,28107.0,137,4.0
2020-06-16,Panola,Texas,48365.0,187,23.0
2020-06-17,Panola,Mississippi,28107.0,146,4.0
2020-06-17,Panola,Texas,48365.0,188,23.0
2020-06-18,Panola,Mississippi,28107.0,146,4.0
2020-06-18,Panola,Texas,48365.0,191,23.0
2020-06-19,Panola,Mississippi,28107.0,146,4.0
2020-06-19,Panola,Texas,48365.0,191,23.0
2020-06-20,Panola,Mississippi,28107.0,146,4.0
2020-06-20,Panola,Texas,48365.0,193,23.0
2020-06-21,Panola,Mississippi,28107.0,146,4.0
2020-06-21,Panola,Texas,48365.0,193,23.0
2020-06-22,Panola,Mississippi,28107.0,179,5.0
2020-06-22,Panola,Texas,48365.0,194,23.0
2020-06-23,Panola,Mississippi,28107.0,190,5.0
2020-06-23,Panola,Texas,48365.0,195,23.0
2020-06-24,Panola,Mississippi,28107.0,204,5.0
2020-06-24,Panola,Texas,48365.0,196,24.0
2020-06-25,Panola,Mississippi,28107.0,221,5.0
2020-06-25,Panola,Texas,48365.0,200,25.0
2020-06-26,Panola,Mississippi,28107.0,227,5.0
2020-06-26,Panola,Texas,48365.0,200,25.0
2020-06-27,Panola,Mississippi,28107.0,237,6.0
2020-06-27,Panola,Texas,48365.0,205,25.0
2020-06-28,Panola,Mississippi,28107.0,240,6.0
2020-06-28,Panola,Texas,48365.0,205,25.0
2020-06-29,Panola,Mississippi,28107.0,246,6.0
2020-06-29,Panola,Texas,48365.0,209,25.0
2020-06-30,Panola,Mississippi,28107.0,254,6.0
2020-06-30,Panola,Texas,48365.0,209,25.0
2020-07-01,Panola,Mississippi,28107.0,270,6.0
2020-07-01,Panola,Texas,48365.0,209,24.0
2020-07-02,Panola,Mississippi,28107.0,295,6.0
