,date,county,state,fips,cases,deaths
72502,2020-04-19,Parmer,Texas,48369.0,1,0.0
75278,2020-04-20,Parmer,Texas,48369.0,1,0.0
78060,2020-04-21,Parmer,Texas,48369.0,2,0.0
80851,2020-04-22,Parmer,Texas,48369.0,3,0.0
83652,2020-04-23,Parmer,Texas,48369.0,3,0.0
86459,2020-04-24,Parmer,Texas,48369.0,4,0.0
89274,2020-04-25,Parmer,Texas,48369.0,4,0.0
92091,2020-04-26,Parmer,Texas,48369.0,4,0.0
94920,2020-04-27,Parmer,Texas,48369.0,4,0.0
97761,2020-04-28,Parmer,Texas,48369.0,6,0.0
100611,2020-04-29,Parmer,Texas,48369.0,6,0.0
103466,2020-04-30,Parmer,Texas,48369.0,6,0.0
106330,2020-05-01,Parmer,Texas,48369.0,8,0.0
109199,2020-05-02,Parmer,Texas,48369.0,8,0.0
112073,2020-05-03,Parmer,Texas,48369.0,8,0.0
114955,2020-05-04,Parmer,Texas,48369.0,13,0.0
117914,2020-05-05,Parmer,Texas,48369.0,13,0.0
120878,2020-05-06,Parmer,Texas,48369.0,14,0.0
123857,2020-05-07,Parmer,Texas,48369.0,17,0.0
126841,2020-05-08,Parmer,Texas,48369.0,17,0.0
129830,2020-05-09,Parmer,Texas,48369.0,19,0.0
132820,2020-05-10,Parmer,Texas,48369.0,19,0.0
135811,2020-05-11,Parmer,Texas,48369.0,19,0.0
138801,2020-05-12,Parmer,Texas,48369.0,21,0.0
141797,2020-05-13,Parmer,Texas,48369.0,22,0.0
144794,2020-05-14,Parmer,Texas,48369.0,23,0.0
147798,2020-05-15,Parmer,Texas,48369.0,23,0.0
150806,2020-05-16,Parmer,Texas,48369.0,25,0.0
153817,2020-05-17,Parmer,Texas,48369.0,26,0.0
156834,2020-05-18,Parmer,Texas,48369.0,34,0.0
159857,2020-05-19,Parmer,Texas,48369.0,36,0.0
162885,2020-05-20,Parmer,Texas,48369.0,39,0.0
165914,2020-05-21,Parmer,Texas,48369.0,39,0.0
168950,2020-05-22,Parmer,Texas,48369.0,39,0.0
171990,2020-05-23,Parmer,Texas,48369.0,51,0.0
175033,2020-05-24,Parmer,Texas,48369.0,53,0.0
178077,2020-05-25,Parmer,Texas,48369.0,53,0.0
181121,2020-05-26,Parmer,Texas,48369.0,54,0.0
184171,2020-05-27,Parmer,Texas,48369.0,54,0.0
187228,2020-05-28,Parmer,Texas,48369.0,53,0.0
190292,2020-05-29,Parmer,Texas,48369.0,55,0.0
193358,2020-05-30,Parmer,Texas,48369.0,59,0.0
196428,2020-05-31,Parmer,Texas,48369.0,59,0.0
199501,2020-06-01,Parmer,Texas,48369.0,59,0.0
202577,2020-06-02,Parmer,Texas,48369.0,59,0.0
205656,2020-06-03,Parmer,Texas,48369.0,69,0.0
208738,2020-06-04,Parmer,Texas,48369.0,71,0.0
211822,2020-06-05,Parmer,Texas,48369.0,88,0.0
214909,2020-06-06,Parmer,Texas,48369.0,89,0.0
217999,2020-06-07,Parmer,Texas,48369.0,89,0.0
221091,2020-06-08,Parmer,Texas,48369.0,89,0.0
224186,2020-06-09,Parmer,Texas,48369.0,98,0.0
227286,2020-06-10,Parmer,Texas,48369.0,98,0.0
230390,2020-06-11,Parmer,Texas,48369.0,100,0.0
233494,2020-06-12,Parmer,Texas,48369.0,111,0.0
236600,2020-06-13,Parmer,Texas,48369.0,120,0.0
239708,2020-06-14,Parmer,Texas,48369.0,120,0.0
242818,2020-06-15,Parmer,Texas,48369.0,120,0.0
245930,2020-06-16,Parmer,Texas,48369.0,124,0.0
249043,2020-06-17,Parmer,Texas,48369.0,132,0.0
252158,2020-06-18,Parmer,Texas,48369.0,139,0.0
255273,2020-06-19,Parmer,Texas,48369.0,155,0.0
258400,2020-06-20,Parmer,Texas,48369.0,155,0.0
261527,2020-06-21,Parmer,Texas,48369.0,155,0.0
