date,county,state,fips,cases,deaths
2020-04-05,Pender,North Carolina,37141.0,1,0.0
2020-04-06,Pender,North Carolina,37141.0,2,0.0
2020-04-07,Pender,North Carolina,37141.0,2,0.0
2020-04-08,Pender,North Carolina,37141.0,2,0.0
2020-04-09,Pender,North Carolina,37141.0,3,0.0
2020-04-10,Pender,North Carolina,37141.0,4,0.0
2020-04-11,Pender,North Carolina,37141.0,5,0.0
2020-04-12,Pender,North Carolina,37141.0,5,0.0
2020-04-13,Pender,North Carolina,37141.0,5,0.0
2020-04-14,Pender,North Carolina,37141.0,5,0.0
2020-04-15,Pender,North Carolina,37141.0,5,0.0
2020-04-16,Pender,North Carolina,37141.0,5,0.0
2020-04-17,Pender,North Carolina,37141.0,5,0.0
2020-04-18,Pender,North Carolina,37141.0,6,0.0
2020-04-19,Pender,North Carolina,37141.0,7,0.0
2020-04-20,Pender,North Carolina,37141.0,8,0.0
2020-04-21,Pender,North Carolina,37141.0,9,0.0
2020-04-22,Pender,North Carolina,37141.0,9,0.0
2020-04-23,Pender,North Carolina,37141.0,10,0.0
2020-04-24,Pender,North Carolina,37141.0,10,0.0
2020-04-25,Pender,North Carolina,37141.0,10,0.0
2020-04-26,Pender,North Carolina,37141.0,10,0.0
2020-04-27,Pender,North Carolina,37141.0,10,0.0
2020-04-28,Pender,North Carolina,37141.0,10,0.0
2020-04-29,Pender,North Carolina,37141.0,11,0.0
2020-04-30,Pender,North Carolina,37141.0,13,0.0
2020-05-01,Pender,North Carolina,37141.0,13,0.0
2020-05-02,Pender,North Carolina,37141.0,16,0.0
2020-05-03,Pender,North Carolina,37141.0,16,0.0
2020-05-04,Pender,North Carolina,37141.0,17,0.0
2020-05-05,Pender,North Carolina,37141.0,16,1.0
2020-05-06,Pender,North Carolina,37141.0,19,1.0
2020-05-07,Pender,North Carolina,37141.0,20,1.0
2020-05-08,Pender,North Carolina,37141.0,23,1.0
2020-05-09,Pender,North Carolina,37141.0,36,1.0
2020-05-10,Pender,North Carolina,37141.0,39,1.0
2020-05-11,Pender,North Carolina,37141.0,39,1.0
2020-05-12,Pender,North Carolina,37141.0,38,1.0
2020-05-13,Pender,North Carolina,37141.0,40,1.0
2020-05-14,Pender,North Carolina,37141.0,43,1.0
2020-05-15,Pender,North Carolina,37141.0,42,1.0
2020-05-16,Pender,North Carolina,37141.0,44,1.0
2020-05-17,Pender,North Carolina,37141.0,45,1.0
2020-05-18,Pender,North Carolina,37141.0,49,1.0
2020-05-19,Pender,North Carolina,37141.0,50,1.0
2020-05-20,Pender,North Carolina,37141.0,50,1.0
2020-05-21,Pender,North Carolina,37141.0,59,1.0
2020-05-22,Pender,North Carolina,37141.0,61,1.0
2020-05-23,Pender,North Carolina,37141.0,65,1.0
2020-05-24,Pender,North Carolina,37141.0,70,1.0
2020-05-25,Pender,North Carolina,37141.0,72,1.0
2020-05-26,Pender,North Carolina,37141.0,72,1.0
2020-05-27,Pender,North Carolina,37141.0,74,1.0
2020-05-28,Pender,North Carolina,37141.0,74,1.0
2020-05-29,Pender,North Carolina,37141.0,75,1.0
