date,county,state,fips,cases,deaths
2020-03-23,Pennington,South Dakota,46103.0,1,0.0
2020-03-24,Pennington,South Dakota,46103.0,1,0.0
2020-03-25,Pennington,South Dakota,46103.0,1,0.0
2020-03-26,Pennington,South Dakota,46103.0,1,0.0
2020-03-27,Pennington,South Dakota,46103.0,3,0.0
2020-03-28,Pennington,South Dakota,46103.0,3,0.0
2020-03-29,Pennington,South Dakota,46103.0,4,0.0
2020-03-30,Pennington,South Dakota,46103.0,5,0.0
2020-03-31,Pennington,South Dakota,46103.0,5,0.0
2020-04-01,Pennington,South Dakota,46103.0,5,0.0
2020-04-02,Pennington,South Dakota,46103.0,6,0.0
2020-04-03,Pennington,South Dakota,46103.0,6,0.0
2020-04-04,Pennington,South Dakota,46103.0,6,0.0
2020-04-05,Pennington,South Dakota,46103.0,6,0.0
2020-04-06,Pennington,South Dakota,46103.0,6,0.0
2020-04-07,Pennington,South Dakota,46103.0,6,0.0
2020-04-08,Pennington,South Dakota,46103.0,6,0.0
2020-04-09,Pennington,South Dakota,46103.0,7,0.0
2020-04-10,Pennington,South Dakota,46103.0,8,0.0
2020-04-11,Pennington,South Dakota,46103.0,8,0.0
2020-04-12,Pennington,South Dakota,46103.0,8,0.0
2020-04-13,Pennington,South Dakota,46103.0,9,0.0
2020-04-14,Pennington,South Dakota,46103.0,9,0.0
2020-04-15,Pennington,South Dakota,46103.0,9,0.0
2020-04-16,Pennington,South Dakota,46103.0,10,0.0
2020-04-17,Pennington,South Dakota,46103.0,10,0.0
2020-04-18,Pennington,South Dakota,46103.0,10,0.0
2020-04-19,Pennington,South Dakota,46103.0,10,0.0
2020-04-20,Pennington,South Dakota,46103.0,11,0.0
2020-04-21,Pennington,Minnesota,27113.0,1,0.0
2020-04-21,Pennington,South Dakota,46103.0,11,0.0
2020-04-22,Pennington,Minnesota,27113.0,1,0.0
2020-04-22,Pennington,South Dakota,46103.0,11,0.0
2020-04-23,Pennington,Minnesota,27113.0,1,0.0
2020-04-23,Pennington,South Dakota,46103.0,11,0.0
2020-04-24,Pennington,Minnesota,27113.0,1,0.0
2020-04-24,Pennington,South Dakota,46103.0,11,0.0
2020-04-25,Pennington,Minnesota,27113.0,1,0.0
2020-04-25,Pennington,South Dakota,46103.0,11,0.0
2020-04-26,Pennington,Minnesota,27113.0,1,0.0
2020-04-26,Pennington,South Dakota,46103.0,12,0.0
2020-04-27,Pennington,Minnesota,27113.0,1,0.0
