date,county,state,fips,cases,deaths
2020-05-05,Penuelas,Puerto Rico,72111.0,2,
2020-05-06,Penuelas,Puerto Rico,72111.0,2,
2020-05-07,Penuelas,Puerto Rico,72111.0,4,
2020-05-08,Penuelas,Puerto Rico,72111.0,4,
2020-05-09,Penuelas,Puerto Rico,72111.0,4,
2020-05-10,Penuelas,Puerto Rico,72111.0,4,
2020-05-11,Penuelas,Puerto Rico,72111.0,4,
2020-05-12,Penuelas,Puerto Rico,72111.0,5,
2020-05-13,Penuelas,Puerto Rico,72111.0,5,
2020-05-14,Penuelas,Puerto Rico,72111.0,5,
2020-05-15,Penuelas,Puerto Rico,72111.0,5,
2020-05-16,Penuelas,Puerto Rico,72111.0,5,
2020-05-17,Penuelas,Puerto Rico,72111.0,6,
2020-05-18,Penuelas,Puerto Rico,72111.0,6,
2020-05-19,Penuelas,Puerto Rico,72111.0,6,
2020-05-20,Penuelas,Puerto Rico,72111.0,6,
2020-05-21,Penuelas,Puerto Rico,72111.0,6,
2020-05-22,Penuelas,Puerto Rico,72111.0,7,
2020-05-23,Penuelas,Puerto Rico,72111.0,7,
2020-05-24,Penuelas,Puerto Rico,72111.0,7,
2020-05-25,Penuelas,Puerto Rico,72111.0,7,
2020-05-26,Penuelas,Puerto Rico,72111.0,7,
2020-05-27,Penuelas,Puerto Rico,72111.0,9,
2020-05-28,Penuelas,Puerto Rico,72111.0,11,
2020-05-29,Penuelas,Puerto Rico,72111.0,13,
2020-05-30,Penuelas,Puerto Rico,72111.0,13,
2020-05-31,Penuelas,Puerto Rico,72111.0,13,
2020-06-01,Penuelas,Puerto Rico,72111.0,14,
2020-06-02,Penuelas,Puerto Rico,72111.0,14,
2020-06-03,Penuelas,Puerto Rico,72111.0,15,
2020-06-04,Penuelas,Puerto Rico,72111.0,17,
2020-06-05,Penuelas,Puerto Rico,72111.0,17,
2020-06-06,Penuelas,Puerto Rico,72111.0,17,
2020-06-07,Penuelas,Puerto Rico,72111.0,17,
2020-06-08,Penuelas,Puerto Rico,72111.0,18,
2020-06-09,Penuelas,Puerto Rico,72111.0,18,
2020-06-10,Penuelas,Puerto Rico,72111.0,18,
2020-06-11,Penuelas,Puerto Rico,72111.0,18,
2020-06-12,Penuelas,Puerto Rico,72111.0,18,
2020-06-13,Penuelas,Puerto Rico,72111.0,18,
2020-06-14,Penuelas,Puerto Rico,72111.0,18,
2020-06-15,Penuelas,Puerto Rico,72111.0,18,
2020-06-16,Penuelas,Puerto Rico,72111.0,18,
2020-06-17,Penuelas,Puerto Rico,72111.0,18,
2020-06-18,Penuelas,Puerto Rico,72111.0,18,
2020-06-19,Penuelas,Puerto Rico,72111.0,18,
2020-06-20,Penuelas,Puerto Rico,72111.0,18,
2020-06-21,Penuelas,Puerto Rico,72111.0,18,
2020-06-22,Penuelas,Puerto Rico,72111.0,18,
2020-06-23,Penuelas,Puerto Rico,72111.0,18,
2020-06-24,Penuelas,Puerto Rico,72111.0,18,
2020-06-25,Penuelas,Puerto Rico,72111.0,23,
2020-06-26,Penuelas,Puerto Rico,72111.0,23,
2020-06-27,Penuelas,Puerto Rico,72111.0,24,
2020-06-28,Penuelas,Puerto Rico,72111.0,25,
2020-06-29,Penuelas,Puerto Rico,72111.0,25,
2020-06-30,Penuelas,Puerto Rico,72111.0,25,
2020-07-01,Penuelas,Puerto Rico,72111.0,25,
2020-07-02,Penuelas,Puerto Rico,72111.0,25,
2020-07-03,Penuelas,Puerto Rico,72111.0,25,
2020-07-04,Penuelas,Puerto Rico,72111.0,26,
2020-07-05,Penuelas,Puerto Rico,72111.0,26,
2020-07-06,Penuelas,Puerto Rico,72111.0,26,
2020-07-07,Penuelas,Puerto Rico,72111.0,26,
2020-07-08,Penuelas,Puerto Rico,72111.0,26,
2020-07-09,Penuelas,Puerto Rico,72111.0,27,
2020-07-10,Penuelas,Puerto Rico,72111.0,28,
2020-07-11,Penuelas,Puerto Rico,72111.0,28,
2020-07-12,Penuelas,Puerto Rico,72111.0,33,
2020-07-13,Penuelas,Puerto Rico,72111.0,33,
2020-07-14,Penuelas,Puerto Rico,72111.0,34,
2020-07-15,Penuelas,Puerto Rico,72111.0,34,
