date,county,state,fips,cases,deaths
2020-03-16,Peoria,Illinois,17143.0,1,0.0
2020-03-17,Peoria,Illinois,17143.0,1,0.0
2020-03-18,Peoria,Illinois,17143.0,3,0.0
2020-03-19,Peoria,Illinois,17143.0,3,0.0
2020-03-20,Peoria,Illinois,17143.0,3,0.0
2020-03-21,Peoria,Illinois,17143.0,3,0.0
2020-03-22,Peoria,Illinois,17143.0,3,0.0
2020-03-23,Peoria,Illinois,17143.0,3,0.0
2020-03-24,Peoria,Illinois,17143.0,3,0.0
2020-03-25,Peoria,Illinois,17143.0,4,0.0
2020-03-26,Peoria,Illinois,17143.0,5,0.0
2020-03-27,Peoria,Illinois,17143.0,6,0.0
2020-03-28,Peoria,Illinois,17143.0,7,0.0
2020-03-29,Peoria,Illinois,17143.0,8,0.0
2020-03-30,Peoria,Illinois,17143.0,8,0.0
2020-03-31,Peoria,Illinois,17143.0,8,0.0
2020-04-01,Peoria,Illinois,17143.0,10,0.0
2020-04-02,Peoria,Illinois,17143.0,11,0.0
2020-04-03,Peoria,Illinois,17143.0,11,0.0
2020-04-04,Peoria,Illinois,17143.0,11,0.0
2020-04-05,Peoria,Illinois,17143.0,14,2.0
2020-04-06,Peoria,Illinois,17143.0,12,1.0
2020-04-07,Peoria,Illinois,17143.0,13,1.0
2020-04-08,Peoria,Illinois,17143.0,16,1.0
2020-04-09,Peoria,Illinois,17143.0,16,1.0
2020-04-10,Peoria,Illinois,17143.0,20,1.0
2020-04-11,Peoria,Illinois,17143.0,23,1.0
2020-04-12,Peoria,Illinois,17143.0,27,1.0
2020-04-13,Peoria,Illinois,17143.0,30,1.0
2020-04-14,Peoria,Illinois,17143.0,31,1.0
2020-04-15,Peoria,Illinois,17143.0,33,1.0
2020-04-16,Peoria,Illinois,17143.0,34,1.0
2020-04-17,Peoria,Illinois,17143.0,34,1.0
2020-04-18,Peoria,Illinois,17143.0,37,2.0
2020-04-19,Peoria,Illinois,17143.0,39,2.0
2020-04-20,Peoria,Illinois,17143.0,43,2.0
2020-04-21,Peoria,Illinois,17143.0,44,2.0
2020-04-22,Peoria,Illinois,17143.0,46,2.0
2020-04-23,Peoria,Illinois,17143.0,54,2.0
2020-04-24,Peoria,Illinois,17143.0,56,2.0
2020-04-25,Peoria,Illinois,17143.0,60,2.0
2020-04-26,Peoria,Illinois,17143.0,65,2.0
2020-04-27,Peoria,Illinois,17143.0,68,2.0
2020-04-28,Peoria,Illinois,17143.0,78,2.0
2020-04-29,Peoria,Illinois,17143.0,85,2.0
2020-04-30,Peoria,Illinois,17143.0,86,3.0
2020-05-01,Peoria,Illinois,17143.0,93,3.0
2020-05-02,Peoria,Illinois,17143.0,101,3.0
2020-05-03,Peoria,Illinois,17143.0,106,3.0
2020-05-04,Peoria,Illinois,17143.0,107,3.0
2020-05-05,Peoria,Illinois,17143.0,113,3.0
2020-05-06,Peoria,Illinois,17143.0,126,4.0
2020-05-07,Peoria,Illinois,17143.0,130,5.0
2020-05-08,Peoria,Illinois,17143.0,132,5.0
2020-05-09,Peoria,Illinois,17143.0,136,5.0
2020-05-10,Peoria,Illinois,17143.0,139,5.0
2020-05-11,Peoria,Illinois,17143.0,142,6.0
2020-05-12,Peoria,Illinois,17143.0,145,6.0
2020-05-13,Peoria,Illinois,17143.0,148,6.0
2020-05-14,Peoria,Illinois,17143.0,151,6.0
2020-05-15,Peoria,Illinois,17143.0,156,6.0
2020-05-16,Peoria,Illinois,17143.0,156,6.0
2020-05-17,Peoria,Illinois,17143.0,159,6.0
2020-05-18,Peoria,Illinois,17143.0,160,6.0
2020-05-19,Peoria,Illinois,17143.0,165,6.0
2020-05-20,Peoria,Illinois,17143.0,167,6.0
2020-05-21,Peoria,Illinois,17143.0,169,6.0
2020-05-22,Peoria,Illinois,17143.0,176,7.0
2020-05-23,Peoria,Illinois,17143.0,177,8.0
2020-05-24,Peoria,Illinois,17143.0,178,8.0
2020-05-25,Peoria,Illinois,17143.0,181,8.0
2020-05-26,Peoria,Illinois,17143.0,186,8.0
2020-05-27,Peoria,Illinois,17143.0,189,8.0
2020-05-28,Peoria,Illinois,17143.0,192,8.0
2020-05-29,Peoria,Illinois,17143.0,213,8.0
2020-05-30,Peoria,Illinois,17143.0,225,8.0
2020-05-31,Peoria,Illinois,17143.0,234,9.0
2020-06-01,Peoria,Illinois,17143.0,241,9.0
2020-06-02,Peoria,Illinois,17143.0,265,11.0
2020-06-03,Peoria,Illinois,17143.0,275,11.0
2020-06-04,Peoria,Illinois,17143.0,288,11.0
2020-06-05,Peoria,Illinois,17143.0,301,11.0
2020-06-06,Peoria,Illinois,17143.0,310,11.0
2020-06-07,Peoria,Illinois,17143.0,315,11.0
2020-06-08,Peoria,Illinois,17143.0,324,13.0
2020-06-09,Peoria,Illinois,17143.0,328,16.0
2020-06-10,Peoria,Illinois,17143.0,342,19.0
2020-06-11,Peoria,Illinois,17143.0,354,19.0
2020-06-12,Peoria,Illinois,17143.0,367,19.0
2020-06-13,Peoria,Illinois,17143.0,386,20.0
2020-06-14,Peoria,Illinois,17143.0,389,20.0
2020-06-15,Peoria,Illinois,17143.0,395,20.0
2020-06-16,Peoria,Illinois,17143.0,399,21.0
2020-06-17,Peoria,Illinois,17143.0,406,21.0
2020-06-18,Peoria,Illinois,17143.0,411,21.0
2020-06-19,Peoria,Illinois,17143.0,419,23.0
2020-06-20,Peoria,Illinois,17143.0,424,25.0
2020-06-21,Peoria,Illinois,17143.0,428,25.0
2020-06-22,Peoria,Illinois,17143.0,434,26.0
2020-06-23,Peoria,Illinois,17143.0,446,26.0
2020-06-24,Peoria,Illinois,17143.0,447,26.0
2020-06-25,Peoria,Illinois,17143.0,459,27.0
2020-06-26,Peoria,Illinois,17143.0,463,27.0
2020-06-27,Peoria,Illinois,17143.0,468,27.0
2020-06-28,Peoria,Illinois,17143.0,476,28.0
2020-06-29,Peoria,Illinois,17143.0,487,28.0
2020-06-30,Peoria,Illinois,17143.0,487,28.0
2020-07-01,Peoria,Illinois,17143.0,499,28.0
2020-07-02,Peoria,Illinois,17143.0,507,28.0
2020-07-03,Peoria,Illinois,17143.0,546,28.0
2020-07-04,Peoria,Illinois,17143.0,551,28.0
2020-07-05,Peoria,Illinois,17143.0,559,28.0
2020-07-06,Peoria,Illinois,17143.0,567,29.0
2020-07-07,Peoria,Illinois,17143.0,574,29.0
2020-07-08,Peoria,Illinois,17143.0,583,29.0
2020-07-09,Peoria,Illinois,17143.0,609,29.0
2020-07-10,Peoria,Illinois,17143.0,628,30.0
2020-07-11,Peoria,Illinois,17143.0,644,30.0
2020-07-12,Peoria,Illinois,17143.0,666,30.0
2020-07-13,Peoria,Illinois,17143.0,687,30.0
2020-07-14,Peoria,Illinois,17143.0,710,30.0
2020-07-15,Peoria,Illinois,17143.0,736,30.0
2020-07-16,Peoria,Illinois,17143.0,772,30.0
2020-07-17,Peoria,Illinois,17143.0,794,30.0
2020-07-18,Peoria,Illinois,17143.0,818,31.0
2020-07-19,Peoria,Illinois,17143.0,826,31.0
2020-07-20,Peoria,Illinois,17143.0,840,32.0
2020-07-21,Peoria,Illinois,17143.0,853,32.0
2020-07-22,Peoria,Illinois,17143.0,884,32.0
2020-07-23,Peoria,Illinois,17143.0,923,32.0
2020-07-24,Peoria,Illinois,17143.0,951,32.0
2020-07-25,Peoria,Illinois,17143.0,984,32.0
2020-07-26,Peoria,Illinois,17143.0,1020,32.0
2020-07-27,Peoria,Illinois,17143.0,1036,33.0
2020-07-28,Peoria,Illinois,17143.0,1066,33.0
2020-07-29,Peoria,Illinois,17143.0,1106,34.0
2020-07-30,Peoria,Illinois,17143.0,1189,34.0
2020-07-31,Peoria,Illinois,17143.0,1254,34.0
2020-08-01,Peoria,Illinois,17143.0,1280,34.0
2020-08-02,Peoria,Illinois,17143.0,1302,34.0
2020-08-03,Peoria,Illinois,17143.0,1341,35.0
2020-08-04,Peoria,Illinois,17143.0,1399,35.0
2020-08-05,Peoria,Illinois,17143.0,1455,35.0
2020-08-06,Peoria,Illinois,17143.0,1488,35.0
2020-08-07,Peoria,Illinois,17143.0,1525,35.0
2020-08-08,Peoria,Illinois,17143.0,1574,35.0
2020-08-09,Peoria,Illinois,17143.0,1607,35.0
2020-08-10,Peoria,Illinois,17143.0,1630,35.0
2020-08-11,Peoria,Illinois,17143.0,1667,36.0
2020-08-12,Peoria,Illinois,17143.0,1717,36.0
2020-08-13,Peoria,Illinois,17143.0,1758,37.0
2020-08-14,Peoria,Illinois,17143.0,1808,37.0
2020-08-15,Peoria,Illinois,17143.0,1866,37.0
2020-08-16,Peoria,Illinois,17143.0,1890,37.0
2020-08-17,Peoria,Illinois,17143.0,1917,37.0
2020-08-18,Peoria,Illinois,17143.0,1966,37.0
2020-08-19,Peoria,Illinois,17143.0,2016,37.0
2020-08-20,Peoria,Illinois,17143.0,2059,38.0
2020-08-21,Peoria,Illinois,17143.0,2095,38.0
2020-08-22,Peoria,Illinois,17143.0,2142,38.0
2020-08-23,Peoria,Illinois,17143.0,2165,38.0
2020-08-24,Peoria,Illinois,17143.0,2191,38.0
2020-08-25,Peoria,Illinois,17143.0,2224,39.0
2020-08-26,Peoria,Illinois,17143.0,2255,40.0
2020-08-27,Peoria,Illinois,17143.0,2271,40.0
2020-08-28,Peoria,Illinois,17143.0,2301,40.0
2020-08-29,Peoria,Illinois,17143.0,2325,40.0
2020-08-30,Peoria,Illinois,17143.0,2382,40.0
2020-08-31,Peoria,Illinois,17143.0,2408,40.0
2020-09-01,Peoria,Illinois,17143.0,2414,40.0
2020-09-02,Peoria,Illinois,17143.0,2451,40.0
2020-09-03,Peoria,Illinois,17143.0,2480,41.0
2020-09-04,Peoria,Illinois,17143.0,2548,41.0
2020-09-05,Peoria,Illinois,17143.0,2581,41.0
2020-09-06,Peoria,Illinois,17143.0,2624,41.0
2020-09-07,Peoria,Illinois,17143.0,2647,41.0
2020-09-08,Peoria,Illinois,17143.0,2659,41.0
2020-09-09,Peoria,Illinois,17143.0,2715,42.0
2020-09-10,Peoria,Illinois,17143.0,2760,42.0
2020-09-11,Peoria,Illinois,17143.0,2802,43.0
2020-09-12,Peoria,Illinois,17143.0,2845,44.0
2020-09-13,Peoria,Illinois,17143.0,2898,44.0
2020-09-14,Peoria,Illinois,17143.0,2954,44.0
2020-09-15,Peoria,Illinois,17143.0,2983,47.0
2020-09-16,Peoria,Illinois,17143.0,3052,48.0
2020-09-17,Peoria,Illinois,17143.0,3092,48.0
2020-09-18,Peoria,Illinois,17143.0,3138,48.0
2020-09-19,Peoria,Illinois,17143.0,3174,48.0
2020-09-20,Peoria,Illinois,17143.0,3208,48.0
2020-09-21,Peoria,Illinois,17143.0,3227,48.0
2020-09-22,Peoria,Illinois,17143.0,3258,48.0
2020-09-23,Peoria,Illinois,17143.0,3314,49.0
2020-09-24,Peoria,Illinois,17143.0,3358,49.0
2020-09-25,Peoria,Illinois,17143.0,3413,49.0
2020-09-26,Peoria,Illinois,17143.0,3459,49.0
