,date,county,state,fips,cases,deaths
35667,2020-04-06,Petersburg Borough,Alaska,2195.0,1,0.0
38156,2020-04-07,Petersburg Borough,Alaska,2195.0,1,0.0
40698,2020-04-08,Petersburg Borough,Alaska,2195.0,1,0.0
43272,2020-04-09,Petersburg Borough,Alaska,2195.0,1,0.0
45870,2020-04-10,Petersburg Borough,Alaska,2195.0,1,0.0
48499,2020-04-11,Petersburg Borough,Alaska,2195.0,1,0.0
51161,2020-04-12,Petersburg Borough,Alaska,2195.0,1,0.0
53839,2020-04-13,Petersburg Borough,Alaska,2195.0,1,0.0
56531,2020-04-14,Petersburg Borough,Alaska,2195.0,1,0.0
59240,2020-04-15,Petersburg Borough,Alaska,2195.0,1,0.0
61959,2020-04-16,Petersburg Borough,Alaska,2195.0,1,0.0
64692,2020-04-17,Petersburg Borough,Alaska,2195.0,1,0.0
67440,2020-04-18,Petersburg Borough,Alaska,2195.0,1,0.0
70202,2020-04-19,Petersburg Borough,Alaska,2195.0,2,0.0
72971,2020-04-20,Petersburg Borough,Alaska,2195.0,2,0.0
75747,2020-04-21,Petersburg Borough,Alaska,2195.0,2,0.0
78530,2020-04-22,Petersburg Borough,Alaska,2195.0,2,0.0
81323,2020-04-23,Petersburg Borough,Alaska,2195.0,2,0.0
84124,2020-04-24,Petersburg Borough,Alaska,2195.0,2,0.0
86932,2020-04-25,Petersburg Borough,Alaska,2195.0,2,0.0
89748,2020-04-26,Petersburg Borough,Alaska,2195.0,2,0.0
92566,2020-04-27,Petersburg Borough,Alaska,2195.0,2,0.0
95396,2020-04-28,Petersburg Borough,Alaska,2195.0,3,0.0
98241,2020-04-29,Petersburg Borough,Alaska,2195.0,3,0.0
101091,2020-04-30,Petersburg Borough,Alaska,2195.0,3,0.0
103946,2020-05-01,Petersburg Borough,Alaska,2195.0,3,0.0
106811,2020-05-02,Petersburg Borough,Alaska,2195.0,3,0.0
109680,2020-05-03,Petersburg Borough,Alaska,2195.0,3,0.0
112555,2020-05-04,Petersburg Borough,Alaska,2195.0,3,0.0
115438,2020-05-05,Petersburg Borough,Alaska,2195.0,3,0.0
118397,2020-05-06,Petersburg Borough,Alaska,2195.0,3,0.0
121363,2020-05-07,Petersburg Borough,Alaska,2195.0,3,0.0
124343,2020-05-08,Petersburg Borough,Alaska,2195.0,3,0.0
127328,2020-05-09,Petersburg Borough,Alaska,2195.0,3,0.0
130318,2020-05-10,Petersburg Borough,Alaska,2195.0,3,0.0
133308,2020-05-11,Petersburg Borough,Alaska,2195.0,3,0.0
136298,2020-05-12,Petersburg Borough,Alaska,2195.0,3,0.0
139289,2020-05-13,Petersburg Borough,Alaska,2195.0,3,0.0
142285,2020-05-14,Petersburg Borough,Alaska,2195.0,3,0.0
145284,2020-05-15,Petersburg Borough,Alaska,2195.0,3,0.0
148287,2020-05-16,Petersburg Borough,Alaska,2195.0,3,0.0
151296,2020-05-17,Petersburg Borough,Alaska,2195.0,3,0.0
154308,2020-05-18,Petersburg Borough,Alaska,2195.0,3,0.0
157324,2020-05-19,Petersburg Borough,Alaska,2195.0,3,0.0
160350,2020-05-20,Petersburg Borough,Alaska,2195.0,3,0.0
163378,2020-05-21,Petersburg Borough,Alaska,2195.0,3,0.0
166410,2020-05-22,Petersburg Borough,Alaska,2195.0,3,0.0
169446,2020-05-23,Petersburg Borough,Alaska,2195.0,3,0.0
172487,2020-05-24,Petersburg Borough,Alaska,2195.0,3,0.0
175530,2020-05-25,Petersburg Borough,Alaska,2195.0,3,0.0
178575,2020-05-26,Petersburg Borough,Alaska,2195.0,3,0.0
181619,2020-05-27,Petersburg Borough,Alaska,2195.0,3,0.0
184672,2020-05-28,Petersburg Borough,Alaska,2195.0,3,0.0
187729,2020-05-29,Petersburg Borough,Alaska,2195.0,3,0.0
190793,2020-05-30,Petersburg Borough,Alaska,2195.0,3,0.0
193860,2020-05-31,Petersburg Borough,Alaska,2195.0,3,0.0
196930,2020-06-01,Petersburg Borough,Alaska,2195.0,3,0.0
200003,2020-06-02,Petersburg Borough,Alaska,2195.0,3,0.0
203079,2020-06-03,Petersburg Borough,Alaska,2195.0,3,0.0
206159,2020-06-04,Petersburg Borough,Alaska,2195.0,3,0.0
209241,2020-06-05,Petersburg Borough,Alaska,2195.0,3,0.0
212326,2020-06-06,Petersburg Borough,Alaska,2195.0,3,0.0
215413,2020-06-07,Petersburg Borough,Alaska,2195.0,3,0.0
218503,2020-06-08,Petersburg Borough,Alaska,2195.0,3,0.0
221597,2020-06-09,Petersburg Borough,Alaska,2195.0,3,0.0
224693,2020-06-10,Petersburg Borough,Alaska,2195.0,3,0.0
227794,2020-06-11,Petersburg Borough,Alaska,2195.0,3,0.0
230898,2020-06-12,Petersburg Borough,Alaska,2195.0,3,0.0
234003,2020-06-13,Petersburg Borough,Alaska,2195.0,3,0.0
237110,2020-06-14,Petersburg Borough,Alaska,2195.0,3,0.0
240218,2020-06-15,Petersburg Borough,Alaska,2195.0,3,0.0
243329,2020-06-16,Petersburg Borough,Alaska,2195.0,3,0.0
246442,2020-06-17,Petersburg Borough,Alaska,2195.0,3,0.0
249554,2020-06-18,Petersburg Borough,Alaska,2195.0,3,0.0
252669,2020-06-19,Petersburg Borough,Alaska,2195.0,3,0.0
255788,2020-06-20,Petersburg Borough,Alaska,2195.0,3,0.0
258915,2020-06-21,Petersburg Borough,Alaska,2195.0,3,0.0
262042,2020-06-22,Petersburg Borough,Alaska,2195.0,3,0.0
265171,2020-06-23,Petersburg Borough,Alaska,2195.0,4,0.0
268300,2020-06-24,Petersburg Borough,Alaska,2195.0,4,0.0
271435,2020-06-25,Petersburg Borough,Alaska,2195.0,4,0.0
274575,2020-06-26,Petersburg Borough,Alaska,2195.0,4,0.0
277723,2020-06-27,Petersburg Borough,Alaska,2195.0,4,0.0
280871,2020-06-28,Petersburg Borough,Alaska,2195.0,4,0.0
284017,2020-06-29,Petersburg Borough,Alaska,2195.0,4,0.0
287163,2020-06-30,Petersburg Borough,Alaska,2195.0,4,0.0
290313,2020-07-01,Petersburg Borough,Alaska,2195.0,4,0.0
293466,2020-07-02,Petersburg Borough,Alaska,2195.0,5,0.0
296622,2020-07-03,Petersburg Borough,Alaska,2195.0,5,0.0
299784,2020-07-04,Petersburg Borough,Alaska,2195.0,6,0.0
302948,2020-07-05,Petersburg Borough,Alaska,2195.0,7,0.0
306112,2020-07-06,Petersburg Borough,Alaska,2195.0,7,0.0
309281,2020-07-07,Petersburg Borough,Alaska,2195.0,7,0.0
312450,2020-07-08,Petersburg Borough,Alaska,2195.0,7,0.0
315625,2020-07-09,Petersburg Borough,Alaska,2195.0,8,0.0
318798,2020-07-10,Petersburg Borough,Alaska,2195.0,8,0.0
321977,2020-07-11,Petersburg Borough,Alaska,2195.0,8,0.0
325158,2020-07-12,Petersburg Borough,Alaska,2195.0,8,0.0
328344,2020-07-13,Petersburg Borough,Alaska,2195.0,8,0.0
331530,2020-07-14,Petersburg Borough,Alaska,2195.0,9,0.0
334723,2020-07-15,Petersburg Borough,Alaska,2195.0,9,0.0
337918,2020-07-16,Petersburg Borough,Alaska,2195.0,9,0.0
341114,2020-07-17,Petersburg Borough,Alaska,2195.0,9,0.0
344313,2020-07-18,Petersburg Borough,Alaska,2195.0,9,0.0
347513,2020-07-19,Petersburg Borough,Alaska,2195.0,9,0.0
350714,2020-07-20,Petersburg Borough,Alaska,2195.0,9,0.0
353916,2020-07-21,Petersburg Borough,Alaska,2195.0,9,0.0
357119,2020-07-22,Petersburg Borough,Alaska,2195.0,9,0.0
360324,2020-07-23,Petersburg Borough,Alaska,2195.0,9,0.0
363530,2020-07-24,Petersburg Borough,Alaska,2195.0,9,0.0
366737,2020-07-25,Petersburg Borough,Alaska,2195.0,9,0.0
369947,2020-07-26,Petersburg Borough,Alaska,2195.0,9,0.0
373159,2020-07-27,Petersburg Borough,Alaska,2195.0,9,0.0
376373,2020-07-28,Petersburg Borough,Alaska,2195.0,9,0.0
379589,2020-07-29,Petersburg Borough,Alaska,2195.0,9,0.0
382806,2020-07-30,Petersburg Borough,Alaska,2195.0,9,0.0
386024,2020-07-31,Petersburg Borough,Alaska,2195.0,9,0.0
389241,2020-08-01,Petersburg Borough,Alaska,2195.0,9,0.0
392458,2020-08-02,Petersburg Borough,Alaska,2195.0,9,0.0
395674,2020-08-03,Petersburg Borough,Alaska,2195.0,9,0.0
398890,2020-08-04,Petersburg Borough,Alaska,2195.0,9,0.0
402106,2020-08-05,Petersburg Borough,Alaska,2195.0,9,0.0
405324,2020-08-06,Petersburg Borough,Alaska,2195.0,9,0.0
408544,2020-08-07,Petersburg Borough,Alaska,2195.0,9,0.0
411763,2020-08-08,Petersburg Borough,Alaska,2195.0,9,0.0
414983,2020-08-09,Petersburg Borough,Alaska,2195.0,9,0.0
418204,2020-08-10,Petersburg Borough,Alaska,2195.0,9,0.0
421425,2020-08-11,Petersburg Borough,Alaska,2195.0,9,0.0
424646,2020-08-12,Petersburg Borough,Alaska,2195.0,9,0.0
427870,2020-08-13,Petersburg Borough,Alaska,2195.0,10,0.0
431098,2020-08-14,Petersburg Borough,Alaska,2195.0,10,0.0
434323,2020-08-15,Petersburg Borough,Alaska,2195.0,10,0.0
437549,2020-08-16,Petersburg Borough,Alaska,2195.0,10,0.0
440775,2020-08-17,Petersburg Borough,Alaska,2195.0,10,0.0
444001,2020-08-18,Petersburg Borough,Alaska,2195.0,11,0.0
447228,2020-08-19,Petersburg Borough,Alaska,2195.0,11,0.0
450456,2020-08-20,Petersburg Borough,Alaska,2195.0,11,0.0
453684,2020-08-21,Petersburg Borough,Alaska,2195.0,11,0.0
456912,2020-08-22,Petersburg Borough,Alaska,2195.0,11,0.0
460139,2020-08-23,Petersburg Borough,Alaska,2195.0,11,0.0
463368,2020-08-24,Petersburg Borough,Alaska,2195.0,11,0.0
466597,2020-08-25,Petersburg Borough,Alaska,2195.0,11,0.0
469826,2020-08-26,Petersburg Borough,Alaska,2195.0,11,0.0
473058,2020-08-27,Petersburg Borough,Alaska,2195.0,11,0.0
476291,2020-08-28,Petersburg Borough,Alaska,2195.0,11,0.0
479524,2020-08-29,Petersburg Borough,Alaska,2195.0,11,0.0
482758,2020-08-30,Petersburg Borough,Alaska,2195.0,11,0.0
485993,2020-08-31,Petersburg Borough,Alaska,2195.0,11,0.0
489226,2020-09-01,Petersburg Borough,Alaska,2195.0,11,0.0
492459,2020-09-02,Petersburg Borough,Alaska,2195.0,11,0.0
495693,2020-09-03,Petersburg Borough,Alaska,2195.0,11,0.0
498926,2020-09-04,Petersburg Borough,Alaska,2195.0,11,0.0
502160,2020-09-05,Petersburg Borough,Alaska,2195.0,11,0.0
505394,2020-09-06,Petersburg Borough,Alaska,2195.0,11,0.0
508626,2020-09-07,Petersburg Borough,Alaska,2195.0,11,0.0
511859,2020-09-08,Petersburg Borough,Alaska,2195.0,11,0.0
515092,2020-09-09,Petersburg Borough,Alaska,2195.0,11,0.0
518327,2020-09-10,Petersburg Borough,Alaska,2195.0,11,0.0
521564,2020-09-11,Petersburg Borough,Alaska,2195.0,11,0.0
524800,2020-09-12,Petersburg Borough,Alaska,2195.0,11,0.0
528036,2020-09-13,Petersburg Borough,Alaska,2195.0,11,0.0
531273,2020-09-14,Petersburg Borough,Alaska,2195.0,11,0.0
534508,2020-09-15,Petersburg Borough,Alaska,2195.0,11,0.0
537744,2020-09-16,Petersburg Borough,Alaska,2195.0,11,0.0
540981,2020-09-17,Petersburg Borough,Alaska,2195.0,11,0.0
544217,2020-09-18,Petersburg Borough,Alaska,2195.0,11,0.0
547454,2020-09-19,Petersburg Borough,Alaska,2195.0,11,0.0
550693,2020-09-20,Petersburg Borough,Alaska,2195.0,11,0.0
553932,2020-09-21,Petersburg Borough,Alaska,2195.0,11,0.0
557169,2020-09-22,Petersburg Borough,Alaska,2195.0,10,0.0
560405,2020-09-23,Petersburg Borough,Alaska,2195.0,10,0.0
563644,2020-09-24,Petersburg Borough,Alaska,2195.0,10,0.0
566885,2020-09-25,Petersburg Borough,Alaska,2195.0,10,0.0
570126,2020-09-26,Petersburg Borough,Alaska,2195.0,10,0.0
573368,2020-09-27,Petersburg Borough,Alaska,2195.0,10,0.0
576612,2020-09-28,Petersburg Borough,Alaska,2195.0,10,0.0
579853,2020-09-29,Petersburg Borough,Alaska,2195.0,10,0.0
583092,2020-09-30,Petersburg Borough,Alaska,2195.0,10,0.0
586332,2020-10-01,Petersburg Borough,Alaska,2195.0,10,0.0
589573,2020-10-02,Petersburg Borough,Alaska,2195.0,11,0.0
592813,2020-10-03,Petersburg Borough,Alaska,2195.0,11,0.0
596055,2020-10-04,Petersburg Borough,Alaska,2195.0,11,0.0
599298,2020-10-05,Petersburg Borough,Alaska,2195.0,11,0.0
602541,2020-10-06,Petersburg Borough,Alaska,2195.0,11,0.0
605783,2020-10-07,Petersburg Borough,Alaska,2195.0,11,0.0
609026,2020-10-08,Petersburg Borough,Alaska,2195.0,11,0.0
612268,2020-10-09,Petersburg Borough,Alaska,2195.0,11,0.0
615509,2020-10-10,Petersburg Borough,Alaska,2195.0,11,0.0
618751,2020-10-11,Petersburg Borough,Alaska,2195.0,11,0.0
621994,2020-10-12,Petersburg Borough,Alaska,2195.0,11,0.0
625237,2020-10-13,Petersburg Borough,Alaska,2195.0,11,0.0
628480,2020-10-14,Petersburg Borough,Alaska,2195.0,11,0.0
631724,2020-10-15,Petersburg Borough,Alaska,2195.0,11,0.0
634969,2020-10-16,Petersburg Borough,Alaska,2195.0,11,0.0
638214,2020-10-17,Petersburg Borough,Alaska,2195.0,14,0.0
641461,2020-10-18,Petersburg Borough,Alaska,2195.0,14,0.0
644709,2020-10-19,Petersburg Borough,Alaska,2195.0,14,0.0
647954,2020-10-20,Petersburg Borough,Alaska,2195.0,14,0.0
651198,2020-10-21,Petersburg Borough,Alaska,2195.0,14,0.0
654443,2020-10-22,Petersburg Borough,Alaska,2195.0,14,0.0
657688,2020-10-23,Petersburg Borough,Alaska,2195.0,14,0.0
660932,2020-10-24,Petersburg Borough,Alaska,2195.0,14,0.0
664176,2020-10-25,Petersburg Borough,Alaska,2195.0,14,0.0
667421,2020-10-26,Petersburg Borough,Alaska,2195.0,15,0.0
670664,2020-10-27,Petersburg Borough,Alaska,2195.0,15,0.0
673906,2020-10-28,Petersburg Borough,Alaska,2195.0,15,0.0
677149,2020-10-29,Petersburg Borough,Alaska,2195.0,17,0.0
680392,2020-10-30,Petersburg Borough,Alaska,2195.0,17,0.0
683635,2020-10-31,Petersburg Borough,Alaska,2195.0,18,0.0
686879,2020-11-01,Petersburg Borough,Alaska,2195.0,18,0.0
690124,2020-11-02,Petersburg Borough,Alaska,2195.0,18,0.0
693367,2020-11-03,Petersburg Borough,Alaska,2195.0,18,0.0
696609,2020-11-04,Petersburg Borough,Alaska,2195.0,18,0.0
699853,2020-11-05,Petersburg Borough,Alaska,2195.0,18,0.0
703096,2020-11-06,Petersburg Borough,Alaska,2195.0,18,0.0
706339,2020-11-07,Petersburg Borough,Alaska,2195.0,19,0.0
709583,2020-11-08,Petersburg Borough,Alaska,2195.0,19,0.0
712827,2020-11-09,Petersburg Borough,Alaska,2195.0,19,0.0
716071,2020-11-10,Petersburg Borough,Alaska,2195.0,19,0.0
719314,2020-11-11,Petersburg Borough,Alaska,2195.0,19,0.0
722557,2020-11-12,Petersburg Borough,Alaska,2195.0,19,0.0
725800,2020-11-13,Petersburg Borough,Alaska,2195.0,20,0.0
729043,2020-11-14,Petersburg Borough,Alaska,2195.0,20,0.0
732288,2020-11-15,Petersburg Borough,Alaska,2195.0,20,0.0
735534,2020-11-16,Petersburg Borough,Alaska,2195.0,20,0.0
738778,2020-11-17,Petersburg Borough,Alaska,2195.0,20,0.0
742025,2020-11-18,Petersburg Borough,Alaska,2195.0,20,0.0
745272,2020-11-19,Petersburg Borough,Alaska,2195.0,20,0.0
748518,2020-11-20,Petersburg Borough,Alaska,2195.0,20,0.0
751764,2020-11-21,Petersburg Borough,Alaska,2195.0,20,0.0
755010,2020-11-22,Petersburg Borough,Alaska,2195.0,20,0.0
758257,2020-11-23,Petersburg Borough,Alaska,2195.0,20,0.0
761502,2020-11-24,Petersburg Borough,Alaska,2195.0,20,0.0
764747,2020-11-25,Petersburg Borough,Alaska,2195.0,20,0.0
767992,2020-11-26,Petersburg Borough,Alaska,2195.0,20,0.0
771238,2020-11-27,Petersburg Borough,Alaska,2195.0,20,0.0
774483,2020-11-28,Petersburg Borough,Alaska,2195.0,21,0.0
777728,2020-11-29,Petersburg Borough,Alaska,2195.0,22,0.0
780974,2020-11-30,Petersburg Borough,Alaska,2195.0,22,0.0
784219,2020-12-01,Petersburg Borough,Alaska,2195.0,22,0.0
787463,2020-12-02,Petersburg Borough,Alaska,2195.0,22,0.0
790708,2020-12-03,Petersburg Borough,Alaska,2195.0,23,0.0
793953,2020-12-04,Petersburg Borough,Alaska,2195.0,23,0.0
797198,2020-12-05,Petersburg Borough,Alaska,2195.0,23,0.0
800443,2020-12-06,Petersburg Borough,Alaska,2195.0,23,0.0
803688,2020-12-07,Petersburg Borough,Alaska,2195.0,26,0.0
806933,2020-12-08,Petersburg Borough,Alaska,2195.0,26,0.0
810178,2020-12-09,Petersburg Borough,Alaska,2195.0,26,0.0
813422,2020-12-10,Petersburg Borough,Alaska,2195.0,26,0.0
816668,2020-12-11,Petersburg Borough,Alaska,2195.0,26,0.0
819914,2020-12-12,Petersburg Borough,Alaska,2195.0,26,0.0
823160,2020-12-13,Petersburg Borough,Alaska,2195.0,25,0.0
826407,2020-12-14,Petersburg Borough,Alaska,2195.0,25,0.0
829653,2020-12-15,Petersburg Borough,Alaska,2195.0,25,0.0
832900,2020-12-16,Petersburg Borough,Alaska,2195.0,25,0.0
836146,2020-12-17,Petersburg Borough,Alaska,2195.0,25,0.0
839391,2020-12-18,Petersburg Borough,Alaska,2195.0,25,0.0
842636,2020-12-19,Petersburg Borough,Alaska,2195.0,25,0.0
845882,2020-12-20,Petersburg Borough,Alaska,2195.0,25,0.0
849127,2020-12-21,Petersburg Borough,Alaska,2195.0,25,0.0
852372,2020-12-22,Petersburg Borough,Alaska,2195.0,25,0.0
855617,2020-12-23,Petersburg Borough,Alaska,2195.0,25,0.0
858862,2020-12-24,Petersburg Borough,Alaska,2195.0,25,0.0
862107,2020-12-25,Petersburg Borough,Alaska,2195.0,25,0.0
865352,2020-12-26,Petersburg Borough,Alaska,2195.0,26,0.0
868597,2020-12-27,Petersburg Borough,Alaska,2195.0,25,0.0
871842,2020-12-28,Petersburg Borough,Alaska,2195.0,25,0.0
875087,2020-12-29,Petersburg Borough,Alaska,2195.0,25,0.0
878332,2020-12-30,Petersburg Borough,Alaska,2195.0,25,0.0
881577,2020-12-31,Petersburg Borough,Alaska,2195.0,27,0.0
884822,2021-01-01,Petersburg Borough,Alaska,2195.0,27,0.0
888067,2021-01-02,Petersburg Borough,Alaska,2195.0,27,0.0
891314,2021-01-03,Petersburg Borough,Alaska,2195.0,27,0.0
894560,2021-01-04,Petersburg Borough,Alaska,2195.0,28,0.0
897806,2021-01-05,Petersburg Borough,Alaska,2195.0,29,0.0
901051,2021-01-06,Petersburg Borough,Alaska,2195.0,32,0.0
904296,2021-01-07,Petersburg Borough,Alaska,2195.0,34,0.0
907542,2021-01-08,Petersburg Borough,Alaska,2195.0,34,0.0
910787,2021-01-09,Petersburg Borough,Alaska,2195.0,34,0.0
914032,2021-01-10,Petersburg Borough,Alaska,2195.0,34,0.0
917277,2021-01-11,Petersburg Borough,Alaska,2195.0,34,0.0
920522,2021-01-12,Petersburg Borough,Alaska,2195.0,34,0.0
923767,2021-01-13,Petersburg Borough,Alaska,2195.0,41,0.0
927013,2021-01-14,Petersburg Borough,Alaska,2195.0,42,0.0
930258,2021-01-15,Petersburg Borough,Alaska,2195.0,42,0.0
933503,2021-01-16,Petersburg Borough,Alaska,2195.0,42,0.0
936748,2021-01-17,Petersburg Borough,Alaska,2195.0,42,0.0
939993,2021-01-18,Petersburg Borough,Alaska,2195.0,43,0.0
943238,2021-01-19,Petersburg Borough,Alaska,2195.0,43,0.0
946485,2021-01-20,Petersburg Borough,Alaska,2195.0,43,0.0
949731,2021-01-21,Petersburg Borough,Alaska,2195.0,43,0.0
952976,2021-01-22,Petersburg Borough,Alaska,2195.0,43,0.0
956221,2021-01-23,Petersburg Borough,Alaska,2195.0,43,0.0
959467,2021-01-24,Petersburg Borough,Alaska,2195.0,43,0.0
962712,2021-01-25,Petersburg Borough,Alaska,2195.0,43,0.0
965957,2021-01-26,Petersburg Borough,Alaska,2195.0,43,0.0
969201,2021-01-27,Petersburg Borough,Alaska,2195.0,43,0.0
972446,2021-01-28,Petersburg Borough,Alaska,2195.0,43,0.0
975691,2021-01-29,Petersburg Borough,Alaska,2195.0,43,0.0
978936,2021-01-30,Petersburg Borough,Alaska,2195.0,43,0.0
982182,2021-01-31,Petersburg Borough,Alaska,2195.0,43,0.0
985429,2021-02-01,Petersburg Borough,Alaska,2195.0,43,0.0
988676,2021-02-02,Petersburg Borough,Alaska,2195.0,43,0.0
991922,2021-02-03,Petersburg Borough,Alaska,2195.0,44,0.0
995168,2021-02-04,Petersburg Borough,Alaska,2195.0,45,0.0
998414,2021-02-05,Petersburg Borough,Alaska,2195.0,45,0.0
1001660,2021-02-06,Petersburg Borough,Alaska,2195.0,45,0.0
1004906,2021-02-07,Petersburg Borough,Alaska,2195.0,45,0.0
1008152,2021-02-08,Petersburg Borough,Alaska,2195.0,45,0.0
1011398,2021-02-09,Petersburg Borough,Alaska,2195.0,45,0.0
1014643,2021-02-10,Petersburg Borough,Alaska,2195.0,45,0.0
1017888,2021-02-11,Petersburg Borough,Alaska,2195.0,46,0.0
1021133,2021-02-12,Petersburg Borough,Alaska,2195.0,46,0.0
1024378,2021-02-13,Petersburg Borough,Alaska,2195.0,46,0.0
1027623,2021-02-14,Petersburg Borough,Alaska,2195.0,46,0.0
1030870,2021-02-15,Petersburg Borough,Alaska,2195.0,46,0.0
1034116,2021-02-16,Petersburg Borough,Alaska,2195.0,46,0.0
1037361,2021-02-17,Petersburg Borough,Alaska,2195.0,46,0.0
1040606,2021-02-18,Petersburg Borough,Alaska,2195.0,47,0.0
1043851,2021-02-19,Petersburg Borough,Alaska,2195.0,48,0.0
1047096,2021-02-20,Petersburg Borough,Alaska,2195.0,48,0.0
1050343,2021-02-21,Petersburg Borough,Alaska,2195.0,48,0.0
1053590,2021-02-22,Petersburg Borough,Alaska,2195.0,55,0.0
1056836,2021-02-23,Petersburg Borough,Alaska,2195.0,58,0.0
1060082,2021-02-24,Petersburg Borough,Alaska,2195.0,68,0.0
1063327,2021-02-25,Petersburg Borough,Alaska,2195.0,78,0.0
1066572,2021-02-26,Petersburg Borough,Alaska,2195.0,79,0.0
1069817,2021-02-27,Petersburg Borough,Alaska,2195.0,79,0.0
1073063,2021-02-28,Petersburg Borough,Alaska,2195.0,79,0.0
1076309,2021-03-01,Petersburg Borough,Alaska,2195.0,106,0.0
1079554,2021-03-02,Petersburg Borough,Alaska,2195.0,112,0.0
1082800,2021-03-03,Petersburg Borough,Alaska,2195.0,125,0.0
1086046,2021-03-04,Petersburg Borough,Alaska,2195.0,128,0.0
1089291,2021-03-05,Petersburg Borough,Alaska,2195.0,133,0.0
1092537,2021-03-06,Petersburg Borough,Alaska,2195.0,133,0.0
1095783,2021-03-07,Petersburg Borough,Alaska,2195.0,133,0.0
1099031,2021-03-08,Petersburg Borough,Alaska,2195.0,135,0.0
1102277,2021-03-09,Petersburg Borough,Alaska,2195.0,137,0.0
1105523,2021-03-10,Petersburg Borough,Alaska,2195.0,137,0.0
1108769,2021-03-11,Petersburg Borough,Alaska,2195.0,141,0.0
1112015,2021-03-12,Petersburg Borough,Alaska,2195.0,141,0.0
1115261,2021-03-13,Petersburg Borough,Alaska,2195.0,141,0.0
1118508,2021-03-14,Petersburg Borough,Alaska,2195.0,141,0.0
1121755,2021-03-15,Petersburg Borough,Alaska,2195.0,145,0.0
1125001,2021-03-16,Petersburg Borough,Alaska,2195.0,144,0.0
1128247,2021-03-17,Petersburg Borough,Alaska,2195.0,145,0.0
