date,county,state,fips,cases,deaths
2020-03-27,Pettis,Missouri,29159.0,1,0.0
2020-03-28,Pettis,Missouri,29159.0,1,0.0
2020-03-29,Pettis,Missouri,29159.0,1,0.0
2020-03-30,Pettis,Missouri,29159.0,1,0.0
2020-03-31,Pettis,Missouri,29159.0,1,0.0
2020-04-01,Pettis,Missouri,29159.0,1,0.0
2020-04-02,Pettis,Missouri,29159.0,1,0.0
2020-04-03,Pettis,Missouri,29159.0,2,0.0
2020-04-04,Pettis,Missouri,29159.0,2,0.0
2020-04-05,Pettis,Missouri,29159.0,2,0.0
2020-04-06,Pettis,Missouri,29159.0,2,0.0
2020-04-07,Pettis,Missouri,29159.0,3,0.0
2020-04-08,Pettis,Missouri,29159.0,3,0.0
2020-04-09,Pettis,Missouri,29159.0,3,0.0
2020-04-10,Pettis,Missouri,29159.0,4,0.0
2020-04-11,Pettis,Missouri,29159.0,3,0.0
2020-04-12,Pettis,Missouri,29159.0,3,0.0
2020-04-13,Pettis,Missouri,29159.0,3,0.0
2020-04-14,Pettis,Missouri,29159.0,3,0.0
2020-04-15,Pettis,Missouri,29159.0,4,0.0
2020-04-16,Pettis,Missouri,29159.0,8,0.0
2020-04-17,Pettis,Missouri,29159.0,10,0.0
2020-04-18,Pettis,Missouri,29159.0,13,0.0
2020-04-19,Pettis,Missouri,29159.0,13,0.0
2020-04-20,Pettis,Missouri,29159.0,13,0.0
2020-04-21,Pettis,Missouri,29159.0,14,0.0
2020-04-22,Pettis,Missouri,29159.0,16,0.0
2020-04-23,Pettis,Missouri,29159.0,19,0.0
2020-04-24,Pettis,Missouri,29159.0,25,0.0
2020-04-25,Pettis,Missouri,29159.0,25,0.0
2020-04-26,Pettis,Missouri,29159.0,27,0.0
2020-04-27,Pettis,Missouri,29159.0,27,0.0
2020-04-28,Pettis,Missouri,29159.0,31,0.0
2020-04-29,Pettis,Missouri,29159.0,34,0.0
2020-04-30,Pettis,Missouri,29159.0,35,0.0
2020-05-01,Pettis,Missouri,29159.0,36,0.0
2020-05-02,Pettis,Missouri,29159.0,41,0.0
2020-05-03,Pettis,Missouri,29159.0,43,0.0
2020-05-04,Pettis,Missouri,29159.0,48,0.0
2020-05-05,Pettis,Missouri,29159.0,53,0.0
2020-05-06,Pettis,Missouri,29159.0,55,0.0
2020-05-07,Pettis,Missouri,29159.0,56,0.0
2020-05-08,Pettis,Missouri,29159.0,57,0.0
2020-05-09,Pettis,Missouri,29159.0,64,0.0
2020-05-10,Pettis,Missouri,29159.0,64,0.0
2020-05-11,Pettis,Missouri,29159.0,67,0.0
2020-05-12,Pettis,Missouri,29159.0,68,1.0
2020-05-13,Pettis,Missouri,29159.0,69,1.0
2020-05-14,Pettis,Missouri,29159.0,70,1.0
2020-05-15,Pettis,Missouri,29159.0,69,1.0
2020-05-16,Pettis,Missouri,29159.0,69,1.0
2020-05-17,Pettis,Missouri,29159.0,69,1.0
2020-05-18,Pettis,Missouri,29159.0,69,1.0
2020-05-19,Pettis,Missouri,29159.0,69,1.0
2020-05-20,Pettis,Missouri,29159.0,69,1.0
2020-05-21,Pettis,Missouri,29159.0,69,1.0
2020-05-22,Pettis,Missouri,29159.0,69,1.0
2020-05-23,Pettis,Missouri,29159.0,69,1.0
2020-05-24,Pettis,Missouri,29159.0,69,1.0
2020-05-25,Pettis,Missouri,29159.0,69,1.0
2020-05-26,Pettis,Missouri,29159.0,70,1.0
2020-05-27,Pettis,Missouri,29159.0,71,1.0
2020-05-28,Pettis,Missouri,29159.0,77,1.0
2020-05-29,Pettis,Missouri,29159.0,77,1.0
2020-05-30,Pettis,Missouri,29159.0,77,1.0
2020-05-31,Pettis,Missouri,29159.0,77,1.0
2020-06-01,Pettis,Missouri,29159.0,77,1.0
2020-06-02,Pettis,Missouri,29159.0,77,1.0
2020-06-03,Pettis,Missouri,29159.0,78,1.0
2020-06-04,Pettis,Missouri,29159.0,78,1.0
2020-06-05,Pettis,Missouri,29159.0,78,1.0
2020-06-06,Pettis,Missouri,29159.0,79,1.0
2020-06-07,Pettis,Missouri,29159.0,81,1.0
2020-06-08,Pettis,Missouri,29159.0,81,1.0
2020-06-09,Pettis,Missouri,29159.0,82,1.0
2020-06-10,Pettis,Missouri,29159.0,84,1.0
2020-06-11,Pettis,Missouri,29159.0,84,1.0
2020-06-12,Pettis,Missouri,29159.0,84,1.0
2020-06-13,Pettis,Missouri,29159.0,85,1.0
2020-06-14,Pettis,Missouri,29159.0,85,1.0
2020-06-15,Pettis,Missouri,29159.0,86,1.0
2020-06-16,Pettis,Missouri,29159.0,89,1.0
2020-06-17,Pettis,Missouri,29159.0,89,1.0
2020-06-18,Pettis,Missouri,29159.0,94,1.0
2020-06-19,Pettis,Missouri,29159.0,95,1.0
2020-06-20,Pettis,Missouri,29159.0,98,1.0
2020-06-21,Pettis,Missouri,29159.0,98,1.0
2020-06-22,Pettis,Missouri,29159.0,100,1.0
2020-06-23,Pettis,Missouri,29159.0,102,1.0
2020-06-24,Pettis,Missouri,29159.0,102,1.0
2020-06-25,Pettis,Missouri,29159.0,110,1.0
2020-06-26,Pettis,Missouri,29159.0,110,1.0
2020-06-27,Pettis,Missouri,29159.0,116,1.0
2020-06-28,Pettis,Missouri,29159.0,116,1.0
2020-06-29,Pettis,Missouri,29159.0,116,1.0
2020-06-30,Pettis,Missouri,29159.0,120,1.0
2020-07-01,Pettis,Missouri,29159.0,120,1.0
2020-07-02,Pettis,Missouri,29159.0,122,1.0
2020-07-03,Pettis,Missouri,29159.0,125,1.0
2020-07-04,Pettis,Missouri,29159.0,128,1.0
2020-07-05,Pettis,Missouri,29159.0,134,1.0
2020-07-06,Pettis,Missouri,29159.0,135,1.0
2020-07-07,Pettis,Missouri,29159.0,136,1.0
2020-07-08,Pettis,Missouri,29159.0,139,1.0
2020-07-09,Pettis,Missouri,29159.0,150,1.0
2020-07-10,Pettis,Missouri,29159.0,154,1.0
2020-07-11,Pettis,Missouri,29159.0,154,1.0
2020-07-12,Pettis,Missouri,29159.0,154,1.0
2020-07-13,Pettis,Missouri,29159.0,172,2.0
2020-07-14,Pettis,Missouri,29159.0,185,2.0
2020-07-15,Pettis,Missouri,29159.0,188,2.0
2020-07-16,Pettis,Missouri,29159.0,192,2.0
2020-07-17,Pettis,Missouri,29159.0,216,2.0
2020-07-18,Pettis,Missouri,29159.0,216,2.0
2020-07-19,Pettis,Missouri,29159.0,216,2.0
2020-07-20,Pettis,Missouri,29159.0,231,2.0
2020-07-21,Pettis,Missouri,29159.0,241,2.0
2020-07-22,Pettis,Missouri,29159.0,256,3.0
2020-07-23,Pettis,Missouri,29159.0,281,3.0
2020-07-24,Pettis,Missouri,29159.0,288,3.0
2020-07-25,Pettis,Missouri,29159.0,288,3.0
2020-07-26,Pettis,Missouri,29159.0,288,3.0
2020-07-27,Pettis,Missouri,29159.0,326,3.0
2020-07-28,Pettis,Missouri,29159.0,344,3.0
2020-07-29,Pettis,Missouri,29159.0,358,3.0
2020-07-30,Pettis,Missouri,29159.0,382,3.0
2020-07-31,Pettis,Missouri,29159.0,405,4.0
2020-08-01,Pettis,Missouri,29159.0,407,4.0
2020-08-02,Pettis,Missouri,29159.0,410,4.0
2020-08-03,Pettis,Missouri,29159.0,435,4.0
2020-08-04,Pettis,Missouri,29159.0,450,4.0
2020-08-05,Pettis,Missouri,29159.0,454,4.0
2020-08-06,Pettis,Missouri,29159.0,473,4.0
2020-08-07,Pettis,Missouri,29159.0,487,4.0
2020-08-08,Pettis,Missouri,29159.0,487,4.0
2020-08-09,Pettis,Missouri,29159.0,505,4.0
2020-08-10,Pettis,Missouri,29159.0,550,4.0
2020-08-11,Pettis,Missouri,29159.0,560,4.0
2020-08-12,Pettis,Missouri,29159.0,580,4.0
2020-08-13,Pettis,Missouri,29159.0,589,4.0
2020-08-14,Pettis,Missouri,29159.0,624,6.0
2020-08-15,Pettis,Missouri,29159.0,639,5.0
2020-08-16,Pettis,Missouri,29159.0,651,5.0
2020-08-17,Pettis,Missouri,29159.0,656,5.0
2020-08-18,Pettis,Missouri,29159.0,666,5.0
2020-08-19,Pettis,Missouri,29159.0,684,5.0
2020-08-20,Pettis,Missouri,29159.0,701,5.0
2020-08-21,Pettis,Missouri,29159.0,721,5.0
2020-08-22,Pettis,Missouri,29159.0,735,5.0
2020-08-23,Pettis,Missouri,29159.0,736,5.0
2020-08-24,Pettis,Missouri,29159.0,742,6.0
2020-08-25,Pettis,Missouri,29159.0,746,8.0
2020-08-26,Pettis,Missouri,29159.0,754,8.0
2020-08-27,Pettis,Missouri,29159.0,758,8.0
2020-08-28,Pettis,Missouri,29159.0,774,8.0
2020-08-29,Pettis,Missouri,29159.0,789,8.0
2020-08-30,Pettis,Missouri,29159.0,790,8.0
2020-08-31,Pettis,Missouri,29159.0,797,9.0
2020-09-01,Pettis,Missouri,29159.0,802,9.0
2020-09-02,Pettis,Missouri,29159.0,816,9.0
2020-09-03,Pettis,Missouri,29159.0,822,9.0
2020-09-04,Pettis,Missouri,29159.0,824,9.0
2020-09-05,Pettis,Missouri,29159.0,833,9.0
2020-09-06,Pettis,Missouri,29159.0,847,9.0
2020-09-07,Pettis,Missouri,29159.0,858,9.0
2020-09-08,Pettis,Missouri,29159.0,860,9.0
2020-09-09,Pettis,Missouri,29159.0,860,10.0
2020-09-10,Pettis,Missouri,29159.0,867,10.0
2020-09-11,Pettis,Missouri,29159.0,871,10.0
2020-09-12,Pettis,Missouri,29159.0,882,10.0
2020-09-13,Pettis,Missouri,29159.0,894,10.0
2020-09-14,Pettis,Missouri,29159.0,907,10.0
2020-09-15,Pettis,Missouri,29159.0,919,10.0
2020-09-16,Pettis,Missouri,29159.0,919,10.0
2020-09-17,Pettis,Missouri,29159.0,927,11.0
2020-09-18,Pettis,Missouri,29159.0,974,11.0
2020-09-19,Pettis,Missouri,29159.0,992,11.0
2020-09-20,Pettis,Missouri,29159.0,1004,11.0
2020-09-21,Pettis,Missouri,29159.0,1026,16.0
2020-09-22,Pettis,Missouri,29159.0,1043,17.0
2020-09-23,Pettis,Missouri,29159.0,1065,18.0
2020-09-24,Pettis,Missouri,29159.0,1077,18.0
2020-09-25,Pettis,Missouri,29159.0,1100,18.0
2020-09-26,Pettis,Missouri,29159.0,1124,18.0
2020-09-27,Pettis,Missouri,29159.0,1149,18.0
2020-09-28,Pettis,Missouri,29159.0,1159,20.0
2020-09-29,Pettis,Missouri,29159.0,1159,20.0
2020-09-30,Pettis,Missouri,29159.0,1156,20.0
2020-10-01,Pettis,Missouri,29159.0,1182,20.0
2020-10-02,Pettis,Missouri,29159.0,1210,20.0
2020-10-03,Pettis,Missouri,29159.0,1210,20.0
2020-10-04,Pettis,Missouri,29159.0,1210,20.0
2020-10-05,Pettis,Missouri,29159.0,1234,21.0
2020-10-06,Pettis,Missouri,29159.0,1234,21.0
2020-10-07,Pettis,Missouri,29159.0,1275,21.0
2020-10-08,Pettis,Missouri,29159.0,1311,22.0
2020-10-09,Pettis,Missouri,29159.0,1339,22.0
2020-10-10,Pettis,Missouri,29159.0,1339,22.0
2020-10-11,Pettis,Missouri,29159.0,1339,22.0
2020-10-12,Pettis,Missouri,29159.0,1339,22.0
2020-10-13,Pettis,Missouri,29159.0,1395,22.0
2020-10-14,Pettis,Missouri,29159.0,1417,22.0
2020-10-15,Pettis,Missouri,29159.0,1417,22.0
2020-10-16,Pettis,Missouri,29159.0,1500,24.0
2020-10-17,Pettis,Missouri,29159.0,1500,24.0
2020-10-18,Pettis,Missouri,29159.0,1500,24.0
2020-10-19,Pettis,Missouri,29159.0,1567,24.0
2020-10-20,Pettis,Missouri,29159.0,1567,24.0
2020-10-21,Pettis,Missouri,29159.0,1616,24.0
2020-10-22,Pettis,Missouri,29159.0,1646,24.0
2020-10-23,Pettis,Missouri,29159.0,1668,24.0
2020-10-24,Pettis,Missouri,29159.0,1668,24.0
2020-10-25,Pettis,Missouri,29159.0,1668,24.0
2020-10-26,Pettis,Missouri,29159.0,1727,26.0
2020-10-27,Pettis,Missouri,29159.0,1754,26.0
2020-10-28,Pettis,Missouri,29159.0,1788,26.0
2020-10-29,Pettis,Missouri,29159.0,1831,26.0
2020-10-30,Pettis,Missouri,29159.0,1860,26.0
2020-10-31,Pettis,Missouri,29159.0,1860,26.0
2020-11-01,Pettis,Missouri,29159.0,1860,26.0
2020-11-02,Pettis,Missouri,29159.0,1984,28.0
2020-11-03,Pettis,Missouri,29159.0,1984,28.0
2020-11-04,Pettis,Missouri,29159.0,2081,28.0
2020-11-05,Pettis,Missouri,29159.0,2166,28.0
2020-11-06,Pettis,Missouri,29159.0,2268,28.0
2020-11-07,Pettis,Missouri,29159.0,2268,28.0
2020-11-08,Pettis,Missouri,29159.0,2268,28.0
2020-11-09,Pettis,Missouri,29159.0,2424,28.0
2020-11-10,Pettis,Missouri,29159.0,2503,28.0
2020-11-11,Pettis,Missouri,29159.0,2503,28.0
2020-11-12,Pettis,Missouri,29159.0,2503,28.0
2020-11-13,Pettis,Missouri,29159.0,2660,28.0
2020-11-14,Pettis,Missouri,29159.0,2660,28.0
2020-11-15,Pettis,Missouri,29159.0,2660,28.0
2020-11-16,Pettis,Missouri,29159.0,2719,28.0
2020-11-17,Pettis,Missouri,29159.0,2809,30.0
2020-11-18,Pettis,Missouri,29159.0,2907,30.0
2020-11-19,Pettis,Missouri,29159.0,2978,30.0
2020-11-20,Pettis,Missouri,29159.0,2997,30.0
2020-11-21,Pettis,Missouri,29159.0,2997,30.0
2020-11-22,Pettis,Missouri,29159.0,2997,30.0
2020-11-23,Pettis,Missouri,29159.0,3089,30.0
2020-11-24,Pettis,Missouri,29159.0,3188,32.0
2020-11-25,Pettis,Missouri,29159.0,3188,32.0
2020-11-26,Pettis,Missouri,29159.0,3188,32.0
2020-11-27,Pettis,Missouri,29159.0,3188,32.0
2020-11-28,Pettis,Missouri,29159.0,3188,32.0
2020-11-29,Pettis,Missouri,29159.0,3188,32.0
2020-11-30,Pettis,Missouri,29159.0,3304,32.0
2020-12-01,Pettis,Missouri,29159.0,3304,36.0
2020-12-02,Pettis,Missouri,29159.0,3381,36.0
2020-12-03,Pettis,Missouri,29159.0,3439,36.0
2020-12-04,Pettis,Missouri,29159.0,3439,36.0
2020-12-05,Pettis,Missouri,29159.0,3439,36.0
2020-12-06,Pettis,Missouri,29159.0,3439,36.0
2020-12-07,Pettis,Missouri,29159.0,3562,36.0
2020-12-08,Pettis,Missouri,29159.0,3658,38.0
2020-12-09,Pettis,Missouri,29159.0,3671,38.0
2020-12-10,Pettis,Missouri,29159.0,3705,38.0
2020-12-11,Pettis,Missouri,29159.0,3705,38.0
2020-12-12,Pettis,Missouri,29159.0,3748,40.0
2020-12-13,Pettis,Missouri,29159.0,3748,40.0
2020-12-14,Pettis,Missouri,29159.0,3748,40.0
2020-12-15,Pettis,Missouri,29159.0,3798,47.0
2020-12-16,Pettis,Missouri,29159.0,3846,47.0
2020-12-17,Pettis,Missouri,29159.0,3862,50.0
2020-12-18,Pettis,Missouri,29159.0,3902,50.0
2020-12-19,Pettis,Missouri,29159.0,3902,50.0
2020-12-20,Pettis,Missouri,29159.0,3902,50.0
2020-12-21,Pettis,Missouri,29159.0,3902,50.0
2020-12-22,Pettis,Missouri,29159.0,3982,57.0
2020-12-23,Pettis,Missouri,29159.0,4007,60.0
2020-12-24,Pettis,Missouri,29159.0,4007,60.0
2020-12-25,Pettis,Missouri,29159.0,4007,60.0
2020-12-26,Pettis,Missouri,29159.0,4007,60.0
2020-12-27,Pettis,Missouri,29159.0,4007,60.0
2020-12-28,Pettis,Missouri,29159.0,4007,60.0
2020-12-29,Pettis,Missouri,29159.0,4077,61.0
2020-12-30,Pettis,Missouri,29159.0,4112,61.0
2020-12-31,Pettis,Missouri,29159.0,4186,61.0
2021-01-01,Pettis,Missouri,29159.0,4186,61.0
2021-01-02,Pettis,Missouri,29159.0,4186,61.0
2021-01-03,Pettis,Missouri,29159.0,4186,61.0
2021-01-04,Pettis,Missouri,29159.0,4186,61.0
2021-01-05,Pettis,Missouri,29159.0,4326,66.0
2021-01-06,Pettis,Missouri,29159.0,4326,66.0
2021-01-07,Pettis,Missouri,29159.0,4402,66.0
2021-01-08,Pettis,Missouri,29159.0,4439,67.0
2021-01-09,Pettis,Missouri,29159.0,4439,67.0
2021-01-10,Pettis,Missouri,29159.0,4439,67.0
2021-01-11,Pettis,Missouri,29159.0,4473,67.0
2021-01-12,Pettis,Missouri,29159.0,4527,68.0
2021-01-13,Pettis,Missouri,29159.0,4527,68.0
2021-01-14,Pettis,Missouri,29159.0,4530,68.0
2021-01-15,Pettis,Missouri,29159.0,4592,68.0
2021-01-16,Pettis,Missouri,29159.0,4592,68.0
2021-01-17,Pettis,Missouri,29159.0,4592,68.0
2021-01-18,Pettis,Missouri,29159.0,4592,68.0
2021-01-19,Pettis,Missouri,29159.0,4609,68.0
2021-01-20,Pettis,Missouri,29159.0,4609,68.0
2021-01-21,Pettis,Missouri,29159.0,4668,68.0
2021-01-22,Pettis,Missouri,29159.0,4668,68.0
2021-01-23,Pettis,Missouri,29159.0,4668,68.0
2021-01-24,Pettis,Missouri,29159.0,4668,68.0
2021-01-25,Pettis,Missouri,29159.0,4668,68.0
2021-01-26,Pettis,Missouri,29159.0,4668,69.0
2021-01-27,Pettis,Missouri,29159.0,4732,69.0
2021-01-28,Pettis,Missouri,29159.0,4732,69.0
2021-01-29,Pettis,Missouri,29159.0,4732,69.0
2021-01-30,Pettis,Missouri,29159.0,4732,69.0
2021-01-31,Pettis,Missouri,29159.0,4732,69.0
2021-02-01,Pettis,Missouri,29159.0,4773,69.0
2021-02-02,Pettis,Missouri,29159.0,4773,72.0
2021-02-03,Pettis,Missouri,29159.0,4773,72.0
2021-02-04,Pettis,Missouri,29159.0,4825,71.0
2021-02-05,Pettis,Missouri,29159.0,4825,71.0
2021-02-06,Pettis,Missouri,29159.0,4825,71.0
2021-02-07,Pettis,Missouri,29159.0,4825,71.0
