,date,county,state,fips,cases,deaths
26651,2020-04-02,Piatt,Illinois,17147.0,1,0.0
28961,2020-04-03,Piatt,Illinois,17147.0,1,0.0
31326,2020-04-04,Piatt,Illinois,17147.0,1,0.0
33736,2020-04-05,Piatt,Illinois,17147.0,1,0.0
36188,2020-04-06,Piatt,Illinois,17147.0,3,0.0
38684,2020-04-07,Piatt,Illinois,17147.0,4,0.0
41229,2020-04-08,Piatt,Illinois,17147.0,4,0.0
43803,2020-04-09,Piatt,Illinois,17147.0,5,0.0
46407,2020-04-10,Piatt,Illinois,17147.0,6,0.0
49040,2020-04-11,Piatt,Illinois,17147.0,6,0.0
51702,2020-04-12,Piatt,Illinois,17147.0,6,0.0
54383,2020-04-13,Piatt,Illinois,17147.0,6,0.0
57076,2020-04-14,Piatt,Illinois,17147.0,6,0.0
59783,2020-04-15,Piatt,Illinois,17147.0,6,0.0
62504,2020-04-16,Piatt,Illinois,17147.0,7,0.0
65237,2020-04-17,Piatt,Illinois,17147.0,7,0.0
67986,2020-04-18,Piatt,Illinois,17147.0,7,0.0
70748,2020-04-19,Piatt,Illinois,17147.0,7,0.0
73518,2020-04-20,Piatt,Illinois,17147.0,7,0.0
76295,2020-04-21,Piatt,Illinois,17147.0,7,0.0
79079,2020-04-22,Piatt,Illinois,17147.0,7,0.0
81872,2020-04-23,Piatt,Illinois,17147.0,7,0.0
84672,2020-04-24,Piatt,Illinois,17147.0,7,0.0
87482,2020-04-25,Piatt,Illinois,17147.0,7,0.0
90298,2020-04-26,Piatt,Illinois,17147.0,7,0.0
93117,2020-04-27,Piatt,Illinois,17147.0,7,0.0
95949,2020-04-28,Piatt,Illinois,17147.0,7,0.0
98793,2020-04-29,Piatt,Illinois,17147.0,7,0.0
101644,2020-04-30,Piatt,Illinois,17147.0,7,0.0
104500,2020-05-01,Piatt,Illinois,17147.0,7,0.0
107365,2020-05-02,Piatt,Illinois,17147.0,7,0.0
110235,2020-05-03,Piatt,Illinois,17147.0,7,0.0
113110,2020-05-04,Piatt,Illinois,17147.0,7,0.0
115993,2020-05-05,Piatt,Illinois,17147.0,7,0.0
118953,2020-05-06,Piatt,Illinois,17147.0,7,0.0
121923,2020-05-07,Piatt,Illinois,17147.0,7,0.0
124902,2020-05-08,Piatt,Illinois,17147.0,7,0.0
