date,county,state,fips,cases,deaths
2020-03-06,Polk,Georgia,13233.0,1,0.0
2020-03-07,Polk,Georgia,13233.0,1,0.0
2020-03-08,Polk,Georgia,13233.0,1,0.0
2020-03-09,Polk,Georgia,13233.0,1,0.0
2020-03-10,Polk,Georgia,13233.0,1,0.0
2020-03-11,Polk,Georgia,13233.0,1,0.0
2020-03-11,Polk,Oregon,41053.0,1,0.0
2020-03-12,Polk,Georgia,13233.0,1,0.0
2020-03-12,Polk,Oregon,41053.0,1,0.0
2020-03-13,Polk,Georgia,13233.0,1,0.0
2020-03-13,Polk,Oregon,41053.0,1,0.0
2020-03-14,Polk,Georgia,13233.0,1,0.0
2020-03-14,Polk,Oregon,41053.0,1,0.0
2020-03-15,Polk,Georgia,13233.0,1,0.0
2020-03-15,Polk,Iowa,19153.0,1,0.0
2020-03-15,Polk,Oregon,41053.0,1,0.0
2020-03-16,Polk,Georgia,13233.0,1,0.0
2020-03-16,Polk,Iowa,19153.0,1,0.0
2020-03-16,Polk,Oregon,41053.0,1,0.0
2020-03-17,Polk,Florida,12105.0,1,0.0
2020-03-17,Polk,Georgia,13233.0,1,0.0
2020-03-17,Polk,Iowa,19153.0,1,0.0
2020-03-17,Polk,Oregon,41053.0,1,0.0
2020-03-18,Polk,Florida,12105.0,2,0.0
2020-03-18,Polk,Georgia,13233.0,1,0.0
2020-03-18,Polk,Iowa,19153.0,3,0.0
2020-03-18,Polk,Oregon,41053.0,1,0.0
2020-03-19,Polk,Arkansas,5113.0,1,0.0
2020-03-19,Polk,Florida,12105.0,4,0.0
2020-03-19,Polk,Georgia,13233.0,1,0.0
2020-03-19,Polk,Iowa,19153.0,6,0.0
2020-03-19,Polk,Oregon,41053.0,1,0.0
2020-03-20,Polk,Arkansas,5113.0,1,0.0
2020-03-20,Polk,Florida,12105.0,9,0.0
2020-03-20,Polk,Georgia,13233.0,3,0.0
2020-03-20,Polk,Iowa,19153.0,6,0.0
2020-03-20,Polk,Oregon,41053.0,1,0.0
2020-03-21,Polk,Arkansas,5113.0,1,0.0
2020-03-21,Polk,Florida,12105.0,10,0.0
2020-03-21,Polk,Georgia,13233.0,4,0.0
2020-03-21,Polk,Iowa,19153.0,10,0.0
2020-03-21,Polk,Oregon,41053.0,1,0.0
2020-03-22,Polk,Arkansas,5113.0,1,0.0
2020-03-22,Polk,Florida,12105.0,11,0.0
2020-03-22,Polk,Georgia,13233.0,4,0.0
2020-03-22,Polk,Iowa,19153.0,10,0.0
2020-03-22,Polk,Oregon,41053.0,1,0.0
2020-03-23,Polk,Arkansas,5113.0,1,0.0
2020-03-23,Polk,Florida,12105.0,13,0.0
2020-03-23,Polk,Georgia,13233.0,4,0.0
2020-03-23,Polk,Iowa,19153.0,12,0.0
2020-03-23,Polk,Oregon,41053.0,3,0.0
2020-03-24,Polk,Arkansas,5113.0,2,0.0
2020-03-24,Polk,Florida,12105.0,13,0.0
2020-03-24,Polk,Georgia,13233.0,8,0.0
2020-03-24,Polk,Iowa,19153.0,17,0.0
2020-03-24,Polk,Oregon,41053.0,3,0.0
2020-03-25,Polk,Arkansas,5113.0,2,0.0
2020-03-25,Polk,Florida,12105.0,15,0.0
2020-03-25,Polk,Georgia,13233.0,9,0.0
2020-03-25,Polk,Iowa,19153.0,20,0.0
2020-03-25,Polk,Oregon,41053.0,3,0.0
2020-03-26,Polk,Arkansas,5113.0,2,0.0
2020-03-26,Polk,Florida,12105.0,20,0.0
2020-03-26,Polk,Georgia,13233.0,10,0.0
2020-03-26,Polk,Iowa,19153.0,24,0.0
2020-03-26,Polk,Oregon,41053.0,6,0.0
2020-03-27,Polk,Arkansas,5113.0,2,0.0
2020-03-27,Polk,Florida,12105.0,28,0.0
2020-03-27,Polk,Georgia,13233.0,10,0.0
2020-03-27,Polk,Iowa,19153.0,28,0.0
2020-03-27,Polk,Oregon,41053.0,10,0.0
2020-03-28,Polk,Arkansas,5113.0,2,0.0
2020-03-28,Polk,Florida,12105.0,37,0.0
2020-03-28,Polk,Georgia,13233.0,10,0.0
2020-03-28,Polk,Iowa,19153.0,40,0.0
2020-03-28,Polk,North Carolina,37149.0,2,0.0
