,date,county,state,fips,cases,deaths
9931,2020-03-24,Pottawatomie,Kansas,20149.0,1,0.0
11330,2020-03-25,Pottawatomie,Kansas,20149.0,1,0.0
11928,2020-03-25,Pottawatomie,Oklahoma,40125.0,1,0.0
12898,2020-03-26,Pottawatomie,Kansas,20149.0,1,0.0
13543,2020-03-26,Pottawatomie,Oklahoma,40125.0,2,0.0
14601,2020-03-27,Pottawatomie,Kansas,20149.0,1,0.0
15287,2020-03-27,Pottawatomie,Oklahoma,40125.0,2,0.0
16409,2020-03-28,Pottawatomie,Kansas,20149.0,1,0.0
17134,2020-03-28,Pottawatomie,Oklahoma,40125.0,2,0.0
18316,2020-03-29,Pottawatomie,Kansas,20149.0,1,0.0
19069,2020-03-29,Pottawatomie,Oklahoma,40125.0,2,0.0
20329,2020-03-30,Pottawatomie,Kansas,20149.0,1,0.0
21119,2020-03-30,Pottawatomie,Oklahoma,40125.0,2,0.0
22428,2020-03-31,Pottawatomie,Kansas,20149.0,2,0.0
23252,2020-03-31,Pottawatomie,Oklahoma,40125.0,5,0.0
24603,2020-04-01,Pottawatomie,Kansas,20149.0,2,0.0
25449,2020-04-01,Pottawatomie,Oklahoma,40125.0,6,0.0
26847,2020-04-02,Pottawatomie,Kansas,20149.0,2,0.0
27721,2020-04-02,Pottawatomie,Oklahoma,40125.0,9,0.0
29163,2020-04-03,Pottawatomie,Kansas,20149.0,2,0.0
30053,2020-04-03,Pottawatomie,Oklahoma,40125.0,11,0.0
31537,2020-04-04,Pottawatomie,Kansas,20149.0,2,0.0
32442,2020-04-04,Pottawatomie,Oklahoma,40125.0,11,0.0
33951,2020-04-05,Pottawatomie,Kansas,20149.0,2,0.0
34876,2020-04-05,Pottawatomie,Oklahoma,40125.0,12,0.0
36409,2020-04-06,Pottawatomie,Kansas,20149.0,3,0.0
37350,2020-04-06,Pottawatomie,Oklahoma,40125.0,13,1.0
38911,2020-04-07,Pottawatomie,Kansas,20149.0,3,0.0
39871,2020-04-07,Pottawatomie,Oklahoma,40125.0,19,1.0
41458,2020-04-08,Pottawatomie,Kansas,20149.0,5,0.0
42431,2020-04-08,Pottawatomie,Oklahoma,40125.0,20,1.0
44034,2020-04-09,Pottawatomie,Kansas,20149.0,5,0.0
45017,2020-04-09,Pottawatomie,Oklahoma,40125.0,24,1.0
46641,2020-04-10,Pottawatomie,Kansas,20149.0,5,0.0
47634,2020-04-10,Pottawatomie,Oklahoma,40125.0,25,2.0
49278,2020-04-11,Pottawatomie,Kansas,20149.0,5,0.0
50290,2020-04-11,Pottawatomie,Oklahoma,40125.0,25,2.0
51943,2020-04-12,Pottawatomie,Kansas,20149.0,5,0.0
52963,2020-04-12,Pottawatomie,Oklahoma,40125.0,26,3.0
54625,2020-04-13,Pottawatomie,Kansas,20149.0,5,0.0
55648,2020-04-13,Pottawatomie,Oklahoma,40125.0,26,3.0
57319,2020-04-14,Pottawatomie,Kansas,20149.0,5,0.0
58350,2020-04-14,Pottawatomie,Oklahoma,40125.0,28,3.0
60027,2020-04-15,Pottawatomie,Kansas,20149.0,5,0.0
61065,2020-04-15,Pottawatomie,Oklahoma,40125.0,28,3.0
62748,2020-04-16,Pottawatomie,Kansas,20149.0,5,0.0
63791,2020-04-16,Pottawatomie,Oklahoma,40125.0,32,3.0
65484,2020-04-17,Pottawatomie,Kansas,20149.0,5,0.0
66536,2020-04-17,Pottawatomie,Oklahoma,40125.0,33,3.0
68233,2020-04-18,Pottawatomie,Kansas,20149.0,6,0.0
69294,2020-04-18,Pottawatomie,Oklahoma,40125.0,35,4.0
70994,2020-04-19,Pottawatomie,Kansas,20149.0,6,0.0
72061,2020-04-19,Pottawatomie,Oklahoma,40125.0,36,4.0
73766,2020-04-20,Pottawatomie,Kansas,20149.0,6,0.0
74836,2020-04-20,Pottawatomie,Oklahoma,40125.0,36,4.0
76546,2020-04-21,Pottawatomie,Kansas,20149.0,6,0.0
77618,2020-04-21,Pottawatomie,Oklahoma,40125.0,36,4.0
79331,2020-04-22,Pottawatomie,Kansas,20149.0,6,0.0
80408,2020-04-22,Pottawatomie,Oklahoma,40125.0,37,4.0
82126,2020-04-23,Pottawatomie,Kansas,20149.0,7,0.0
83207,2020-04-23,Pottawatomie,Oklahoma,40125.0,38,4.0
84929,2020-04-24,Pottawatomie,Kansas,20149.0,8,0.0
86011,2020-04-24,Pottawatomie,Oklahoma,40125.0,40,4.0
87738,2020-04-25,Pottawatomie,Kansas,20149.0,9,0.0
88825,2020-04-25,Pottawatomie,Oklahoma,40125.0,40,4.0
90554,2020-04-26,Pottawatomie,Kansas,20149.0,9,0.0
91641,2020-04-26,Pottawatomie,Oklahoma,40125.0,40,4.0
93375,2020-04-27,Pottawatomie,Kansas,20149.0,9,0.0
94467,2020-04-27,Pottawatomie,Oklahoma,40125.0,42,4.0
96208,2020-04-28,Pottawatomie,Kansas,20149.0,9,0.0
97305,2020-04-28,Pottawatomie,Oklahoma,40125.0,43,4.0
99054,2020-04-29,Pottawatomie,Kansas,20149.0,9,0.0
100154,2020-04-29,Pottawatomie,Oklahoma,40125.0,43,4.0
101906,2020-04-30,Pottawatomie,Kansas,20149.0,13,0.0
103007,2020-04-30,Pottawatomie,Oklahoma,40125.0,45,4.0
104767,2020-05-01,Pottawatomie,Kansas,20149.0,13,0.0
105870,2020-05-01,Pottawatomie,Oklahoma,40125.0,48,4.0
107632,2020-05-02,Pottawatomie,Kansas,20149.0,13,0.0
108737,2020-05-02,Pottawatomie,Oklahoma,40125.0,51,4.0
110503,2020-05-03,Pottawatomie,Kansas,20149.0,15,0.0
111611,2020-05-03,Pottawatomie,Oklahoma,40125.0,52,4.0
113380,2020-05-04,Pottawatomie,Kansas,20149.0,15,0.0
114493,2020-05-04,Pottawatomie,Oklahoma,40125.0,52,4.0
116262,2020-05-05,Pottawatomie,Kansas,20149.0,15,0.0
117374,2020-05-05,Pottawatomie,Oklahoma,40125.0,52,4.0
119223,2020-05-06,Pottawatomie,Kansas,20149.0,15,0.0
120335,2020-05-06,Pottawatomie,Oklahoma,40125.0,52,4.0
122193,2020-05-07,Pottawatomie,Kansas,20149.0,16,0.0
123312,2020-05-07,Pottawatomie,Oklahoma,40125.0,53,4.0
125175,2020-05-08,Pottawatomie,Kansas,20149.0,17,0.0
126295,2020-05-08,Pottawatomie,Oklahoma,40125.0,54,4.0
128163,2020-05-09,Pottawatomie,Kansas,20149.0,18,0.0
129284,2020-05-09,Pottawatomie,Oklahoma,40125.0,54,4.0
131153,2020-05-10,Pottawatomie,Kansas,20149.0,21,0.0
132273,2020-05-10,Pottawatomie,Oklahoma,40125.0,54,4.0
134144,2020-05-11,Pottawatomie,Kansas,20149.0,21,0.0
135264,2020-05-11,Pottawatomie,Oklahoma,40125.0,54,4.0
137134,2020-05-12,Pottawatomie,Kansas,20149.0,21,0.0
138254,2020-05-12,Pottawatomie,Oklahoma,40125.0,54,4.0
140127,2020-05-13,Pottawatomie,Kansas,20149.0,21,0.0
141250,2020-05-13,Pottawatomie,Oklahoma,40125.0,55,4.0
143123,2020-05-14,Pottawatomie,Kansas,20149.0,21,0.0
144245,2020-05-14,Pottawatomie,Oklahoma,40125.0,55,4.0
146123,2020-05-15,Pottawatomie,Kansas,20149.0,22,0.0
147246,2020-05-15,Pottawatomie,Oklahoma,40125.0,55,4.0
149127,2020-05-16,Pottawatomie,Kansas,20149.0,22,0.0
150253,2020-05-16,Pottawatomie,Oklahoma,40125.0,56,4.0
152138,2020-05-17,Pottawatomie,Kansas,20149.0,22,0.0
153264,2020-05-17,Pottawatomie,Oklahoma,40125.0,57,4.0
155151,2020-05-18,Pottawatomie,Kansas,20149.0,23,0.0
156281,2020-05-18,Pottawatomie,Oklahoma,40125.0,57,4.0
158168,2020-05-19,Pottawatomie,Kansas,20149.0,23,0.0
159302,2020-05-19,Pottawatomie,Oklahoma,40125.0,57,4.0
161193,2020-05-20,Pottawatomie,Kansas,20149.0,24,0.0
162329,2020-05-20,Pottawatomie,Oklahoma,40125.0,56,4.0
164222,2020-05-21,Pottawatomie,Kansas,20149.0,24,0.0
165358,2020-05-21,Pottawatomie,Oklahoma,40125.0,56,4.0
167257,2020-05-22,Pottawatomie,Kansas,20149.0,24,0.0
168394,2020-05-22,Pottawatomie,Oklahoma,40125.0,56,4.0
170295,2020-05-23,Pottawatomie,Kansas,20149.0,24,0.0
171433,2020-05-23,Pottawatomie,Oklahoma,40125.0,56,4.0
173336,2020-05-24,Pottawatomie,Kansas,20149.0,24,0.0
174475,2020-05-24,Pottawatomie,Oklahoma,40125.0,57,4.0
176380,2020-05-25,Pottawatomie,Kansas,20149.0,25,0.0
177519,2020-05-25,Pottawatomie,Oklahoma,40125.0,57,4.0
179424,2020-05-26,Pottawatomie,Kansas,20149.0,25,0.0
180562,2020-05-26,Pottawatomie,Oklahoma,40125.0,57,4.0
182469,2020-05-27,Pottawatomie,Kansas,20149.0,25,0.0
183611,2020-05-27,Pottawatomie,Oklahoma,40125.0,58,4.0
185523,2020-05-28,Pottawatomie,Kansas,20149.0,25,0.0
186668,2020-05-28,Pottawatomie,Oklahoma,40125.0,59,4.0
188581,2020-05-29,Pottawatomie,Kansas,20149.0,27,0.0
189729,2020-05-29,Pottawatomie,Oklahoma,40125.0,59,4.0
191645,2020-05-30,Pottawatomie,Kansas,20149.0,27,0.0
192794,2020-05-30,Pottawatomie,Oklahoma,40125.0,59,4.0
194713,2020-05-31,Pottawatomie,Kansas,20149.0,27,0.0
195863,2020-05-31,Pottawatomie,Oklahoma,40125.0,60,4.0
197783,2020-06-01,Pottawatomie,Kansas,20149.0,27,0.0
198936,2020-06-01,Pottawatomie,Oklahoma,40125.0,62,4.0
200855,2020-06-02,Pottawatomie,Kansas,20149.0,27,0.0
202011,2020-06-02,Pottawatomie,Oklahoma,40125.0,63,4.0
