date,county,state,fips,cases,deaths
2020-04-11,Prince of Wales-Hyder Census Area,Alaska,2198.0,1,0.0
2020-04-12,Prince of Wales-Hyder Census Area,Alaska,2198.0,1,0.0
2020-04-13,Prince of Wales-Hyder Census Area,Alaska,2198.0,1,0.0
2020-04-14,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-15,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-16,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-17,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-18,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-19,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-20,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-21,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-22,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-23,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-24,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-25,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-26,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-27,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-28,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-29,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-04-30,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-01,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-02,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-03,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-04,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-05,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-06,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-07,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-08,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-09,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-10,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-11,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-12,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-13,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-14,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-15,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-16,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-17,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
2020-05-18,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0
