,date,county,state,fips,cases,deaths
117542,2020-05-05,Quebradillas,Puerto Rico,72115.0,20,
120504,2020-05-06,Quebradillas,Puerto Rico,72115.0,20,
123481,2020-05-07,Quebradillas,Puerto Rico,72115.0,20,
126464,2020-05-08,Quebradillas,Puerto Rico,72115.0,22,
129453,2020-05-09,Quebradillas,Puerto Rico,72115.0,22,
132442,2020-05-10,Quebradillas,Puerto Rico,72115.0,24,
135433,2020-05-11,Quebradillas,Puerto Rico,72115.0,24,
138423,2020-05-12,Quebradillas,Puerto Rico,72115.0,25,
141419,2020-05-13,Quebradillas,Puerto Rico,72115.0,26,
144415,2020-05-14,Quebradillas,Puerto Rico,72115.0,26,
147416,2020-05-15,Quebradillas,Puerto Rico,72115.0,27,
150424,2020-05-16,Quebradillas,Puerto Rico,72115.0,27,
153435,2020-05-17,Quebradillas,Puerto Rico,72115.0,27,
156452,2020-05-18,Quebradillas,Puerto Rico,72115.0,27,
159473,2020-05-19,Quebradillas,Puerto Rico,72115.0,27,
162500,2020-05-20,Quebradillas,Puerto Rico,72115.0,27,
165529,2020-05-21,Quebradillas,Puerto Rico,72115.0,27,
168565,2020-05-22,Quebradillas,Puerto Rico,72115.0,27,
171604,2020-05-23,Quebradillas,Puerto Rico,72115.0,27,
174646,2020-05-24,Quebradillas,Puerto Rico,72115.0,27,
177690,2020-05-25,Quebradillas,Puerto Rico,72115.0,27,
180733,2020-05-26,Quebradillas,Puerto Rico,72115.0,27,
183783,2020-05-27,Quebradillas,Puerto Rico,72115.0,28,
186840,2020-05-28,Quebradillas,Puerto Rico,72115.0,27,
189902,2020-05-29,Quebradillas,Puerto Rico,72115.0,28,
192967,2020-05-30,Quebradillas,Puerto Rico,72115.0,28,
196036,2020-05-31,Quebradillas,Puerto Rico,72115.0,28,
199109,2020-06-01,Quebradillas,Puerto Rico,72115.0,28,
202184,2020-06-02,Quebradillas,Puerto Rico,72115.0,28,
205261,2020-06-03,Quebradillas,Puerto Rico,72115.0,29,
208342,2020-06-04,Quebradillas,Puerto Rico,72115.0,30,
211424,2020-06-05,Quebradillas,Puerto Rico,72115.0,30,
214510,2020-06-06,Quebradillas,Puerto Rico,72115.0,32,
217600,2020-06-07,Quebradillas,Puerto Rico,72115.0,32,
220692,2020-06-08,Quebradillas,Puerto Rico,72115.0,32,
223787,2020-06-09,Quebradillas,Puerto Rico,72115.0,32,
226887,2020-06-10,Quebradillas,Puerto Rico,72115.0,34,
229991,2020-06-11,Quebradillas,Puerto Rico,72115.0,34,
233096,2020-06-12,Quebradillas,Puerto Rico,72115.0,34,
236201,2020-06-13,Quebradillas,Puerto Rico,72115.0,35,
239309,2020-06-14,Quebradillas,Puerto Rico,72115.0,35,
242418,2020-06-15,Quebradillas,Puerto Rico,72115.0,35,
245530,2020-06-16,Quebradillas,Puerto Rico,72115.0,35,
248643,2020-06-17,Quebradillas,Puerto Rico,72115.0,35,
251758,2020-06-18,Quebradillas,Puerto Rico,72115.0,35,
254873,2020-06-19,Quebradillas,Puerto Rico,72115.0,35,
257999,2020-06-20,Quebradillas,Puerto Rico,72115.0,36,
261126,2020-06-21,Quebradillas,Puerto Rico,72115.0,36,
264254,2020-06-22,Quebradillas,Puerto Rico,72115.0,36,
267382,2020-06-23,Quebradillas,Puerto Rico,72115.0,37,
270516,2020-06-24,Quebradillas,Puerto Rico,72115.0,37,
273655,2020-06-25,Quebradillas,Puerto Rico,72115.0,37,
276802,2020-06-26,Quebradillas,Puerto Rico,72115.0,38,
279950,2020-06-27,Quebradillas,Puerto Rico,72115.0,39,
283096,2020-06-28,Quebradillas,Puerto Rico,72115.0,39,
286241,2020-06-29,Quebradillas,Puerto Rico,72115.0,40,
289392,2020-06-30,Quebradillas,Puerto Rico,72115.0,41,
292544,2020-07-01,Quebradillas,Puerto Rico,72115.0,42,
295700,2020-07-02,Quebradillas,Puerto Rico,72115.0,42,
298859,2020-07-03,Quebradillas,Puerto Rico,72115.0,42,
