,date,county,state,fips,cases,deaths
48055,2020-04-10,Rains,Texas,48379.0,1,0.0
50713,2020-04-11,Rains,Texas,48379.0,1,0.0
53388,2020-04-12,Rains,Texas,48379.0,1,0.0
56077,2020-04-13,Rains,Texas,48379.0,1,0.0
58782,2020-04-14,Rains,Texas,48379.0,1,0.0
61500,2020-04-15,Rains,Texas,48379.0,2,0.0
64229,2020-04-16,Rains,Texas,48379.0,2,0.0
66976,2020-04-17,Rains,Texas,48379.0,2,0.0
69736,2020-04-18,Rains,Texas,48379.0,2,0.0
72506,2020-04-19,Rains,Texas,48379.0,2,0.0
75282,2020-04-20,Rains,Texas,48379.0,2,0.0
78064,2020-04-21,Rains,Texas,48379.0,2,0.0
80855,2020-04-22,Rains,Texas,48379.0,2,0.0
83656,2020-04-23,Rains,Texas,48379.0,2,0.0
86463,2020-04-24,Rains,Texas,48379.0,2,0.0
89278,2020-04-25,Rains,Texas,48379.0,2,0.0
92095,2020-04-26,Rains,Texas,48379.0,2,0.0
94924,2020-04-27,Rains,Texas,48379.0,2,0.0
97765,2020-04-28,Rains,Texas,48379.0,2,0.0
100615,2020-04-29,Rains,Texas,48379.0,2,0.0
103470,2020-04-30,Rains,Texas,48379.0,2,0.0
106334,2020-05-01,Rains,Texas,48379.0,2,0.0
109203,2020-05-02,Rains,Texas,48379.0,2,0.0
112077,2020-05-03,Rains,Texas,48379.0,2,0.0
114959,2020-05-04,Rains,Texas,48379.0,2,0.0
117918,2020-05-05,Rains,Texas,48379.0,2,0.0
120882,2020-05-06,Rains,Texas,48379.0,2,0.0
123861,2020-05-07,Rains,Texas,48379.0,2,0.0
126845,2020-05-08,Rains,Texas,48379.0,2,0.0
129834,2020-05-09,Rains,Texas,48379.0,2,0.0
132824,2020-05-10,Rains,Texas,48379.0,2,0.0
135815,2020-05-11,Rains,Texas,48379.0,2,0.0
138805,2020-05-12,Rains,Texas,48379.0,2,0.0
141801,2020-05-13,Rains,Texas,48379.0,2,0.0
144798,2020-05-14,Rains,Texas,48379.0,2,0.0
147802,2020-05-15,Rains,Texas,48379.0,2,0.0
150810,2020-05-16,Rains,Texas,48379.0,2,0.0
153821,2020-05-17,Rains,Texas,48379.0,2,0.0
156838,2020-05-18,Rains,Texas,48379.0,2,0.0
159861,2020-05-19,Rains,Texas,48379.0,2,0.0
162889,2020-05-20,Rains,Texas,48379.0,2,0.0
165918,2020-05-21,Rains,Texas,48379.0,3,0.0
168954,2020-05-22,Rains,Texas,48379.0,3,0.0
171994,2020-05-23,Rains,Texas,48379.0,3,0.0
175037,2020-05-24,Rains,Texas,48379.0,3,0.0
178082,2020-05-25,Rains,Texas,48379.0,3,0.0
181126,2020-05-26,Rains,Texas,48379.0,3,0.0
184176,2020-05-27,Rains,Texas,48379.0,3,0.0
187233,2020-05-28,Rains,Texas,48379.0,3,0.0
190297,2020-05-29,Rains,Texas,48379.0,3,0.0
193363,2020-05-30,Rains,Texas,48379.0,3,0.0
