date,county,state,fips,cases,deaths
2020-03-06,Ramsey,Minnesota,27123.0,1,0.0
2020-03-07,Ramsey,Minnesota,27123.0,1,0.0
2020-03-08,Ramsey,Minnesota,27123.0,1,0.0
2020-03-09,Ramsey,Minnesota,27123.0,1,0.0
2020-03-10,Ramsey,Minnesota,27123.0,1,0.0
2020-03-11,Ramsey,Minnesota,27123.0,2,0.0
2020-03-12,Ramsey,Minnesota,27123.0,2,0.0
2020-03-13,Ramsey,Minnesota,27123.0,3,0.0
2020-03-14,Ramsey,Minnesota,27123.0,4,0.0
2020-03-15,Ramsey,Minnesota,27123.0,8,0.0
2020-03-16,Ramsey,Minnesota,27123.0,8,0.0
2020-03-17,Ramsey,Minnesota,27123.0,8,0.0
2020-03-18,Ramsey,Minnesota,27123.0,8,0.0
2020-03-19,Ramsey,Minnesota,27123.0,12,0.0
2020-03-20,Ramsey,Minnesota,27123.0,16,0.0
2020-03-20,Ramsey,North Dakota,38071.0,1,0.0
2020-03-21,Ramsey,Minnesota,27123.0,17,1.0
2020-03-21,Ramsey,North Dakota,38071.0,1,0.0
2020-03-22,Ramsey,Minnesota,27123.0,18,1.0
2020-03-22,Ramsey,North Dakota,38071.0,1,0.0
2020-03-23,Ramsey,Minnesota,27123.0,24,1.0
2020-03-23,Ramsey,North Dakota,38071.0,1,0.0
2020-03-24,Ramsey,Minnesota,27123.0,26,1.0
2020-03-24,Ramsey,North Dakota,38071.0,1,0.0
2020-03-25,Ramsey,Minnesota,27123.0,27,1.0
2020-03-25,Ramsey,North Dakota,38071.0,3,0.0
2020-03-26,Ramsey,Minnesota,27123.0,32,1.0
2020-03-26,Ramsey,North Dakota,38071.0,3,0.0
2020-03-27,Ramsey,Minnesota,27123.0,34,1.0
2020-03-27,Ramsey,North Dakota,38071.0,3,0.0
2020-03-28,Ramsey,Minnesota,27123.0,42,2.0
2020-03-28,Ramsey,North Dakota,38071.0,3,0.0
2020-03-29,Ramsey,Minnesota,27123.0,46,2.0
2020-03-29,Ramsey,North Dakota,38071.0,3,0.0
2020-03-30,Ramsey,Minnesota,27123.0,50,2.0
2020-03-30,Ramsey,North Dakota,38071.0,3,0.0
2020-03-31,Ramsey,Minnesota,27123.0,56,2.0
2020-03-31,Ramsey,North Dakota,38071.0,3,0.0
2020-04-01,Ramsey,Minnesota,27123.0,66,2.0
2020-04-01,Ramsey,North Dakota,38071.0,3,0.0
2020-04-02,Ramsey,Minnesota,27123.0,67,2.0
2020-04-02,Ramsey,North Dakota,38071.0,3,0.0
2020-04-03,Ramsey,Minnesota,27123.0,71,2.0
2020-04-03,Ramsey,North Dakota,38071.0,3,0.0
2020-04-04,Ramsey,Minnesota,27123.0,79,2.0
2020-04-04,Ramsey,North Dakota,38071.0,3,0.0
2020-04-05,Ramsey,Minnesota,27123.0,91,2.0
2020-04-05,Ramsey,North Dakota,38071.0,3,0.0
2020-04-06,Ramsey,Minnesota,27123.0,96,3.0
2020-04-06,Ramsey,North Dakota,38071.0,3,0.0
2020-04-07,Ramsey,Minnesota,27123.0,101,3.0
2020-04-07,Ramsey,North Dakota,38071.0,3,0.0
2020-04-08,Ramsey,Minnesota,27123.0,112,3.0
2020-04-08,Ramsey,North Dakota,38071.0,3,0.0
2020-04-09,Ramsey,Minnesota,27123.0,121,5.0
2020-04-09,Ramsey,North Dakota,38071.0,3,0.0
2020-04-10,Ramsey,Minnesota,27123.0,124,5.0
2020-04-10,Ramsey,North Dakota,38071.0,3,0.0
2020-04-11,Ramsey,Minnesota,27123.0,132,6.0
2020-04-11,Ramsey,North Dakota,38071.0,3,0.0
2020-04-12,Ramsey,Minnesota,27123.0,152,6.0
2020-04-12,Ramsey,North Dakota,38071.0,3,0.0
2020-04-13,Ramsey,Minnesota,27123.0,152,6.0
2020-04-13,Ramsey,North Dakota,38071.0,3,0.0
2020-04-14,Ramsey,Minnesota,27123.0,153,7.0
2020-04-14,Ramsey,North Dakota,38071.0,3,0.0
2020-04-15,Ramsey,Minnesota,27123.0,164,7.0
2020-04-15,Ramsey,North Dakota,38071.0,3,0.0
2020-04-16,Ramsey,Minnesota,27123.0,177,9.0
2020-04-16,Ramsey,North Dakota,38071.0,3,0.0
2020-04-17,Ramsey,Minnesota,27123.0,178,9.0
2020-04-17,Ramsey,North Dakota,38071.0,3,0.0
2020-04-18,Ramsey,Minnesota,27123.0,192,9.0
2020-04-18,Ramsey,North Dakota,38071.0,3,0.0
2020-04-19,Ramsey,Minnesota,27123.0,196,9.0
2020-04-19,Ramsey,North Dakota,38071.0,3,0.0
2020-04-20,Ramsey,Minnesota,27123.0,202,10.0
2020-04-20,Ramsey,North Dakota,38071.0,3,0.0
2020-04-21,Ramsey,Minnesota,27123.0,215,11.0
2020-04-21,Ramsey,North Dakota,38071.0,3,0.0
2020-04-22,Ramsey,Minnesota,27123.0,219,11.0
2020-04-22,Ramsey,North Dakota,38071.0,3,0.0
2020-04-23,Ramsey,Minnesota,27123.0,235,14.0
2020-04-23,Ramsey,North Dakota,38071.0,3,0.0
2020-04-24,Ramsey,Minnesota,27123.0,247,18.0
2020-04-24,Ramsey,North Dakota,38071.0,3,0.0
2020-04-25,Ramsey,Minnesota,27123.0,261,20.0
2020-04-25,Ramsey,North Dakota,38071.0,3,0.0
2020-04-26,Ramsey,Minnesota,27123.0,278,20.0
2020-04-26,Ramsey,North Dakota,38071.0,3,0.0
2020-04-27,Ramsey,Minnesota,27123.0,297,22.0
2020-04-27,Ramsey,North Dakota,38071.0,4,0.0
2020-04-28,Ramsey,Minnesota,27123.0,317,22.0
2020-04-28,Ramsey,North Dakota,38071.0,4,0.0
2020-04-29,Ramsey,Minnesota,27123.0,332,24.0
2020-04-29,Ramsey,North Dakota,38071.0,3,0.0
2020-04-30,Ramsey,Minnesota,27123.0,374,26.0
2020-04-30,Ramsey,North Dakota,38071.0,3,0.0
2020-05-01,Ramsey,Minnesota,27123.0,405,29.0
2020-05-01,Ramsey,North Dakota,38071.0,3,0.0
2020-05-02,Ramsey,Minnesota,27123.0,453,31.0
2020-05-02,Ramsey,North Dakota,38071.0,3,0.0
2020-05-03,Ramsey,Minnesota,27123.0,493,34.0
2020-05-03,Ramsey,North Dakota,38071.0,3,0.0
2020-05-04,Ramsey,Minnesota,27123.0,535,34.0
2020-05-04,Ramsey,North Dakota,38071.0,3,0.0
2020-05-05,Ramsey,Minnesota,27123.0,583,37.0
2020-05-05,Ramsey,North Dakota,38071.0,3,0.0
2020-05-06,Ramsey,Minnesota,27123.0,656,38.0
2020-05-06,Ramsey,North Dakota,38071.0,3,0.0
2020-05-07,Ramsey,Minnesota,27123.0,717,39.0
2020-05-07,Ramsey,North Dakota,38071.0,5,0.0
2020-05-08,Ramsey,Minnesota,27123.0,800,42.0
2020-05-08,Ramsey,North Dakota,38071.0,5,0.0
2020-05-09,Ramsey,Minnesota,27123.0,875,43.0
2020-05-09,Ramsey,North Dakota,38071.0,7,0.0
2020-05-10,Ramsey,Minnesota,27123.0,920,45.0
2020-05-10,Ramsey,North Dakota,38071.0,7,0.0
