date,county,state,fips,cases,deaths
2020-03-29,Red River,Louisiana,22081.0,1,0.0
2020-03-30,Red River,Louisiana,22081.0,1,0.0
2020-03-31,Red River,Louisiana,22081.0,1,0.0
2020-04-01,Red River,Louisiana,22081.0,1,0.0
2020-04-02,Red River,Louisiana,22081.0,1,0.0
2020-04-03,Red River,Louisiana,22081.0,2,0.0
2020-04-04,Red River,Louisiana,22081.0,2,0.0
2020-04-05,Red River,Louisiana,22081.0,2,0.0
2020-04-06,Red River,Louisiana,22081.0,2,0.0
2020-04-07,Red River,Louisiana,22081.0,2,1.0
2020-04-08,Red River,Louisiana,22081.0,3,1.0
2020-04-09,Red River,Louisiana,22081.0,5,1.0
2020-04-10,Red River,Louisiana,22081.0,7,1.0
2020-04-11,Red River,Louisiana,22081.0,9,1.0
2020-04-12,Red River,Louisiana,22081.0,11,2.0
2020-04-13,Red River,Louisiana,22081.0,12,2.0
2020-04-14,Red River,Louisiana,22081.0,13,2.0
2020-04-15,Red River,Louisiana,22081.0,13,2.0
2020-04-16,Red River,Louisiana,22081.0,15,3.0
2020-04-16,Red River,Texas,48387.0,1,0.0
2020-04-17,Red River,Louisiana,22081.0,18,3.0
2020-04-17,Red River,Texas,48387.0,1,0.0
2020-04-18,Red River,Louisiana,22081.0,19,3.0
2020-04-18,Red River,Texas,48387.0,1,0.0
2020-04-19,Red River,Louisiana,22081.0,20,3.0
2020-04-19,Red River,Texas,48387.0,1,0.0
2020-04-20,Red River,Louisiana,22081.0,21,4.0
2020-04-20,Red River,Texas,48387.0,1,0.0
2020-04-21,Red River,Louisiana,22081.0,21,4.0
2020-04-21,Red River,Texas,48387.0,1,0.0
2020-04-22,Red River,Louisiana,22081.0,22,4.0
2020-04-22,Red River,Texas,48387.0,1,0.0
2020-04-23,Red River,Louisiana,22081.0,22,4.0
2020-04-23,Red River,Texas,48387.0,1,0.0
2020-04-24,Red River,Louisiana,22081.0,22,4.0
2020-04-24,Red River,Texas,48387.0,1,0.0
2020-04-25,Red River,Louisiana,22081.0,22,4.0
2020-04-25,Red River,Texas,48387.0,1,0.0
2020-04-26,Red River,Louisiana,22081.0,22,4.0
2020-04-26,Red River,Texas,48387.0,1,0.0
2020-04-27,Red River,Louisiana,22081.0,22,5.0
2020-04-27,Red River,Texas,48387.0,1,0.0
2020-04-28,Red River,Louisiana,22081.0,23,5.0
2020-04-28,Red River,Texas,48387.0,1,0.0
2020-04-29,Red River,Louisiana,22081.0,24,5.0
2020-04-29,Red River,Texas,48387.0,1,0.0
2020-04-30,Red River,Louisiana,22081.0,25,5.0
2020-04-30,Red River,Texas,48387.0,1,0.0
2020-05-01,Red River,Louisiana,22081.0,29,5.0
2020-05-01,Red River,Texas,48387.0,1,0.0
2020-05-02,Red River,Louisiana,22081.0,32,5.0
2020-05-02,Red River,Texas,48387.0,1,0.0
2020-05-03,Red River,Louisiana,22081.0,32,5.0
2020-05-03,Red River,Texas,48387.0,1,0.0
2020-05-04,Red River,Louisiana,22081.0,33,5.0
2020-05-04,Red River,Texas,48387.0,1,0.0
2020-05-05,Red River,Louisiana,22081.0,34,6.0
2020-05-05,Red River,Texas,48387.0,1,0.0
2020-05-06,Red River,Louisiana,22081.0,34,6.0
2020-05-06,Red River,Texas,48387.0,1,0.0
2020-05-07,Red River,Louisiana,22081.0,34,6.0
2020-05-07,Red River,Texas,48387.0,2,0.0
2020-05-08,Red River,Louisiana,22081.0,34,6.0
2020-05-08,Red River,Texas,48387.0,3,0.0
2020-05-09,Red River,Louisiana,22081.0,36,6.0
2020-05-09,Red River,Texas,48387.0,3,0.0
2020-05-10,Red River,Louisiana,22081.0,36,6.0
2020-05-10,Red River,Texas,48387.0,9,0.0
2020-05-11,Red River,Louisiana,22081.0,36,6.0
2020-05-11,Red River,Texas,48387.0,9,0.0
2020-05-12,Red River,Louisiana,22081.0,36,6.0
2020-05-12,Red River,Texas,48387.0,27,0.0
2020-05-13,Red River,Louisiana,22081.0,37,6.0
2020-05-13,Red River,Texas,48387.0,28,0.0
2020-05-14,Red River,Louisiana,22081.0,38,6.0
2020-05-14,Red River,Texas,48387.0,33,0.0
2020-05-15,Red River,Louisiana,22081.0,40,6.0
2020-05-15,Red River,Texas,48387.0,35,0.0
2020-05-16,Red River,Louisiana,22081.0,42,6.0
2020-05-16,Red River,Texas,48387.0,35,0.0
2020-05-17,Red River,Louisiana,22081.0,42,6.0
2020-05-17,Red River,Texas,48387.0,35,0.0
2020-05-18,Red River,Louisiana,22081.0,43,6.0
2020-05-18,Red River,Texas,48387.0,35,0.0
2020-05-19,Red River,Louisiana,22081.0,43,6.0
2020-05-19,Red River,Texas,48387.0,36,0.0
2020-05-20,Red River,Louisiana,22081.0,43,6.0
2020-05-20,Red River,Texas,48387.0,40,4.0
2020-05-21,Red River,Louisiana,22081.0,44,6.0
2020-05-21,Red River,Texas,48387.0,42,4.0
2020-05-22,Red River,Louisiana,22081.0,46,6.0
2020-05-22,Red River,Texas,48387.0,42,4.0
