date,county,state,fips,cases,deaths
2020-03-19,Roosevelt,Montana,30085.0,1,0.0
2020-03-20,Roosevelt,Montana,30085.0,1,0.0
2020-03-21,Roosevelt,Montana,30085.0,1,0.0
2020-03-22,Roosevelt,Montana,30085.0,1,0.0
2020-03-23,Roosevelt,Montana,30085.0,1,0.0
2020-03-24,Roosevelt,Montana,30085.0,1,0.0
2020-03-25,Roosevelt,Montana,30085.0,1,0.0
2020-03-26,Roosevelt,Montana,30085.0,1,0.0
2020-03-27,Roosevelt,Montana,30085.0,1,0.0
2020-03-27,Roosevelt,New Mexico,35041.0,1,0.0
2020-03-28,Roosevelt,Montana,30085.0,1,0.0
2020-03-28,Roosevelt,New Mexico,35041.0,1,0.0
2020-03-29,Roosevelt,Montana,30085.0,1,0.0
2020-03-29,Roosevelt,New Mexico,35041.0,1,0.0
2020-03-30,Roosevelt,Montana,30085.0,1,0.0
2020-03-30,Roosevelt,New Mexico,35041.0,1,0.0
2020-03-31,Roosevelt,Montana,30085.0,1,0.0
2020-03-31,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-01,Roosevelt,Montana,30085.0,1,0.0
2020-04-01,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-02,Roosevelt,Montana,30085.0,1,0.0
2020-04-02,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-03,Roosevelt,Montana,30085.0,1,0.0
2020-04-03,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-04,Roosevelt,Montana,30085.0,1,0.0
2020-04-04,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-05,Roosevelt,Montana,30085.0,1,0.0
2020-04-05,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-06,Roosevelt,Montana,30085.0,1,0.0
2020-04-06,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-07,Roosevelt,Montana,30085.0,1,0.0
2020-04-07,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-08,Roosevelt,Montana,30085.0,2,0.0
2020-04-08,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-09,Roosevelt,Montana,30085.0,2,0.0
2020-04-09,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-10,Roosevelt,Montana,30085.0,2,0.0
2020-04-10,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-11,Roosevelt,Montana,30085.0,3,0.0
2020-04-11,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-12,Roosevelt,Montana,30085.0,3,0.0
2020-04-12,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-13,Roosevelt,Montana,30085.0,3,0.0
2020-04-13,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-14,Roosevelt,Montana,30085.0,3,0.0
2020-04-14,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-15,Roosevelt,Montana,30085.0,4,0.0
2020-04-15,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-16,Roosevelt,Montana,30085.0,4,0.0
2020-04-16,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-17,Roosevelt,Montana,30085.0,6,0.0
2020-04-17,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-18,Roosevelt,Montana,30085.0,6,0.0
2020-04-18,Roosevelt,New Mexico,35041.0,1,0.0
2020-04-19,Roosevelt,Montana,30085.0,6,0.0
2020-04-19,Roosevelt,New Mexico,35041.0,1,0.0
