date,county,state,fips,cases,deaths
2020-03-22,Roscommon,Michigan,26143.0,1,0.0
2020-03-23,Roscommon,Michigan,26143.0,1,0.0
2020-03-24,Roscommon,Michigan,26143.0,1,0.0
2020-03-25,Roscommon,Michigan,26143.0,1,0.0
2020-03-26,Roscommon,Michigan,26143.0,1,0.0
2020-03-27,Roscommon,Michigan,26143.0,1,0.0
2020-03-28,Roscommon,Michigan,26143.0,1,0.0
2020-03-29,Roscommon,Michigan,26143.0,1,0.0
2020-03-30,Roscommon,Michigan,26143.0,1,0.0
2020-03-31,Roscommon,Michigan,26143.0,1,0.0
2020-04-01,Roscommon,Michigan,26143.0,1,0.0
2020-04-02,Roscommon,Michigan,26143.0,1,0.0
2020-04-03,Roscommon,Michigan,26143.0,2,0.0
2020-04-04,Roscommon,Michigan,26143.0,2,0.0
2020-04-05,Roscommon,Michigan,26143.0,5,0.0
2020-04-06,Roscommon,Michigan,26143.0,5,0.0
2020-04-07,Roscommon,Michigan,26143.0,6,0.0
2020-04-08,Roscommon,Michigan,26143.0,6,0.0
2020-04-09,Roscommon,Michigan,26143.0,8,0.0
2020-04-10,Roscommon,Michigan,26143.0,8,0.0
2020-04-11,Roscommon,Michigan,26143.0,8,0.0
2020-04-12,Roscommon,Michigan,26143.0,9,0.0
2020-04-13,Roscommon,Michigan,26143.0,9,0.0
2020-04-14,Roscommon,Michigan,26143.0,9,0.0
2020-04-15,Roscommon,Michigan,26143.0,9,0.0
2020-04-16,Roscommon,Michigan,26143.0,9,0.0
2020-04-17,Roscommon,Michigan,26143.0,9,0.0
2020-04-18,Roscommon,Michigan,26143.0,9,0.0
2020-04-19,Roscommon,Michigan,26143.0,10,0.0
2020-04-20,Roscommon,Michigan,26143.0,11,0.0
2020-04-21,Roscommon,Michigan,26143.0,11,0.0
2020-04-22,Roscommon,Michigan,26143.0,11,0.0
2020-04-23,Roscommon,Michigan,26143.0,11,0.0
2020-04-24,Roscommon,Michigan,26143.0,12,0.0
2020-04-25,Roscommon,Michigan,26143.0,13,0.0
2020-04-26,Roscommon,Michigan,26143.0,13,0.0
2020-04-27,Roscommon,Michigan,26143.0,13,0.0
2020-04-28,Roscommon,Michigan,26143.0,14,0.0
2020-04-29,Roscommon,Michigan,26143.0,15,0.0
2020-04-30,Roscommon,Michigan,26143.0,16,0.0
2020-05-01,Roscommon,Michigan,26143.0,16,0.0
2020-05-02,Roscommon,Michigan,26143.0,17,0.0
2020-05-03,Roscommon,Michigan,26143.0,17,0.0
2020-05-04,Roscommon,Michigan,26143.0,18,0.0
2020-05-05,Roscommon,Michigan,26143.0,18,0.0
2020-05-06,Roscommon,Michigan,26143.0,18,0.0
2020-05-07,Roscommon,Michigan,26143.0,18,0.0
2020-05-08,Roscommon,Michigan,26143.0,20,0.0
2020-05-09,Roscommon,Michigan,26143.0,20,0.0
2020-05-10,Roscommon,Michigan,26143.0,20,0.0
2020-05-11,Roscommon,Michigan,26143.0,20,0.0
2020-05-12,Roscommon,Michigan,26143.0,20,0.0
2020-05-13,Roscommon,Michigan,26143.0,20,0.0
2020-05-14,Roscommon,Michigan,26143.0,20,0.0
2020-05-15,Roscommon,Michigan,26143.0,21,0.0
2020-05-16,Roscommon,Michigan,26143.0,21,0.0
2020-05-17,Roscommon,Michigan,26143.0,21,0.0
2020-05-18,Roscommon,Michigan,26143.0,21,0.0
2020-05-19,Roscommon,Michigan,26143.0,21,0.0
2020-05-20,Roscommon,Michigan,26143.0,21,0.0
2020-05-21,Roscommon,Michigan,26143.0,21,0.0
2020-05-22,Roscommon,Michigan,26143.0,21,0.0
2020-05-23,Roscommon,Michigan,26143.0,21,0.0
2020-05-24,Roscommon,Michigan,26143.0,21,0.0
2020-05-25,Roscommon,Michigan,26143.0,21,0.0
2020-05-26,Roscommon,Michigan,26143.0,21,0.0
2020-05-27,Roscommon,Michigan,26143.0,21,0.0
2020-05-28,Roscommon,Michigan,26143.0,21,0.0
2020-05-29,Roscommon,Michigan,26143.0,21,0.0
2020-05-30,Roscommon,Michigan,26143.0,21,0.0
2020-05-31,Roscommon,Michigan,26143.0,21,0.0
2020-06-01,Roscommon,Michigan,26143.0,21,0.0
2020-06-02,Roscommon,Michigan,26143.0,21,0.0
2020-06-03,Roscommon,Michigan,26143.0,21,0.0
2020-06-04,Roscommon,Michigan,26143.0,21,0.0
2020-06-05,Roscommon,Michigan,26143.0,24,0.0
2020-06-06,Roscommon,Michigan,26143.0,24,0.0
2020-06-07,Roscommon,Michigan,26143.0,24,0.0
2020-06-08,Roscommon,Michigan,26143.0,24,0.0
2020-06-09,Roscommon,Michigan,26143.0,24,0.0
2020-06-10,Roscommon,Michigan,26143.0,24,0.0
2020-06-11,Roscommon,Michigan,26143.0,24,0.0
2020-06-12,Roscommon,Michigan,26143.0,25,0.0
2020-06-13,Roscommon,Michigan,26143.0,25,0.0
2020-06-14,Roscommon,Michigan,26143.0,25,0.0
2020-06-15,Roscommon,Michigan,26143.0,25,0.0
2020-06-16,Roscommon,Michigan,26143.0,25,0.0
2020-06-17,Roscommon,Michigan,26143.0,25,0.0
2020-06-18,Roscommon,Michigan,26143.0,25,0.0
2020-06-19,Roscommon,Michigan,26143.0,26,0.0
2020-06-20,Roscommon,Michigan,26143.0,26,0.0
2020-06-21,Roscommon,Michigan,26143.0,26,0.0
2020-06-22,Roscommon,Michigan,26143.0,26,0.0
2020-06-23,Roscommon,Michigan,26143.0,26,0.0
2020-06-24,Roscommon,Michigan,26143.0,26,0.0
2020-06-25,Roscommon,Michigan,26143.0,26,0.0
2020-06-26,Roscommon,Michigan,26143.0,26,0.0
2020-06-27,Roscommon,Michigan,26143.0,26,0.0
2020-06-28,Roscommon,Michigan,26143.0,26,0.0
2020-06-29,Roscommon,Michigan,26143.0,26,0.0
2020-06-30,Roscommon,Michigan,26143.0,26,0.0
2020-07-01,Roscommon,Michigan,26143.0,28,0.0
2020-07-02,Roscommon,Michigan,26143.0,28,0.0
2020-07-03,Roscommon,Michigan,26143.0,28,0.0
2020-07-04,Roscommon,Michigan,26143.0,28,0.0
2020-07-05,Roscommon,Michigan,26143.0,28,0.0
2020-07-06,Roscommon,Michigan,26143.0,28,0.0
2020-07-07,Roscommon,Michigan,26143.0,29,0.0
2020-07-08,Roscommon,Michigan,26143.0,29,0.0
2020-07-09,Roscommon,Michigan,26143.0,29,0.0
2020-07-10,Roscommon,Michigan,26143.0,30,0.0
2020-07-11,Roscommon,Michigan,26143.0,31,0.0
2020-07-12,Roscommon,Michigan,26143.0,33,0.0
2020-07-13,Roscommon,Michigan,26143.0,34,0.0
2020-07-14,Roscommon,Michigan,26143.0,34,0.0
2020-07-15,Roscommon,Michigan,26143.0,38,0.0
2020-07-16,Roscommon,Michigan,26143.0,41,0.0
2020-07-17,Roscommon,Michigan,26143.0,43,0.0
2020-07-18,Roscommon,Michigan,26143.0,43,0.0
2020-07-19,Roscommon,Michigan,26143.0,44,0.0
2020-07-20,Roscommon,Michigan,26143.0,44,0.0
2020-07-21,Roscommon,Michigan,26143.0,44,0.0
2020-07-22,Roscommon,Michigan,26143.0,44,0.0
2020-07-23,Roscommon,Michigan,26143.0,45,0.0
2020-07-24,Roscommon,Michigan,26143.0,45,0.0
2020-07-25,Roscommon,Michigan,26143.0,45,0.0
2020-07-26,Roscommon,Michigan,26143.0,45,0.0
2020-07-27,Roscommon,Michigan,26143.0,45,0.0
2020-07-28,Roscommon,Michigan,26143.0,45,0.0
2020-07-29,Roscommon,Michigan,26143.0,46,0.0
2020-07-30,Roscommon,Michigan,26143.0,47,0.0
2020-07-31,Roscommon,Michigan,26143.0,47,0.0
2020-08-01,Roscommon,Michigan,26143.0,47,0.0
2020-08-02,Roscommon,Michigan,26143.0,48,0.0
2020-08-03,Roscommon,Michigan,26143.0,48,0.0
2020-08-04,Roscommon,Michigan,26143.0,48,0.0
2020-08-05,Roscommon,Michigan,26143.0,51,0.0
2020-08-06,Roscommon,Michigan,26143.0,52,0.0
2020-08-07,Roscommon,Michigan,26143.0,52,0.0
2020-08-08,Roscommon,Michigan,26143.0,53,0.0
2020-08-09,Roscommon,Michigan,26143.0,53,0.0
2020-08-10,Roscommon,Michigan,26143.0,53,0.0
2020-08-11,Roscommon,Michigan,26143.0,54,1.0
2020-08-12,Roscommon,Michigan,26143.0,55,2.0
2020-08-13,Roscommon,Michigan,26143.0,57,2.0
2020-08-14,Roscommon,Michigan,26143.0,57,2.0
2020-08-15,Roscommon,Michigan,26143.0,57,2.0
2020-08-16,Roscommon,Michigan,26143.0,57,2.0
2020-08-17,Roscommon,Michigan,26143.0,58,2.0
2020-08-18,Roscommon,Michigan,26143.0,59,2.0
