,date,county,state,fips,cases,deaths
5773,2020-03-20,Rowan,North Carolina,37159.0,1,0.0
6770,2020-03-21,Rowan,North Carolina,37159.0,1,0.0
7874,2020-03-22,Rowan,North Carolina,37159.0,2,0.0
9075,2020-03-23,Rowan,North Carolina,37159.0,2,0.0
10385,2020-03-24,Rowan,North Carolina,37159.0,5,0.0
11830,2020-03-25,Rowan,North Carolina,37159.0,6,0.0
13434,2020-03-26,Rowan,North Carolina,37159.0,6,0.0
15170,2020-03-27,Rowan,North Carolina,37159.0,10,0.0
17004,2020-03-28,Rowan,North Carolina,37159.0,14,1.0
18936,2020-03-29,Rowan,North Carolina,37159.0,17,1.0
20976,2020-03-30,Rowan,North Carolina,37159.0,18,1.0
23104,2020-03-31,Rowan,North Carolina,37159.0,24,1.0
25298,2020-04-01,Rowan,North Carolina,37159.0,24,1.0
27563,2020-04-02,Rowan,North Carolina,37159.0,31,1.0
29890,2020-04-03,Rowan,North Carolina,37159.0,36,1.0
32277,2020-04-04,Rowan,North Carolina,37159.0,44,1.0
34709,2020-04-05,Rowan,North Carolina,37159.0,45,1.0
37178,2020-04-06,Rowan,North Carolina,37159.0,51,1.0
39694,2020-04-07,Rowan,North Carolina,37159.0,62,2.0
42251,2020-04-08,Rowan,North Carolina,37159.0,64,2.0
44835,2020-04-09,Rowan,North Carolina,37159.0,71,2.0
47448,2020-04-10,Rowan,North Carolina,37159.0,75,2.0
49380,2020-04-11,Rowan,Kentucky,21205.0,1,0.0
50103,2020-04-11,Rowan,North Carolina,37159.0,105,2.0
52048,2020-04-12,Rowan,Kentucky,21205.0,1,0.0
52776,2020-04-12,Rowan,North Carolina,37159.0,111,2.0
54729,2020-04-13,Rowan,Kentucky,21205.0,1,0.0
55460,2020-04-13,Rowan,North Carolina,37159.0,204,3.0
57427,2020-04-14,Rowan,Kentucky,21205.0,1,0.0
58160,2020-04-14,Rowan,North Carolina,37159.0,201,7.0
60136,2020-04-15,Rowan,Kentucky,21205.0,1,0.0
60874,2020-04-15,Rowan,North Carolina,37159.0,206,7.0
62856,2020-04-16,Rowan,Kentucky,21205.0,1,0.0
63600,2020-04-16,Rowan,North Carolina,37159.0,214,8.0
65595,2020-04-17,Rowan,Kentucky,21205.0,2,0.0
66343,2020-04-17,Rowan,North Carolina,37159.0,220,10.0
68344,2020-04-18,Rowan,Kentucky,21205.0,2,0.0
69100,2020-04-18,Rowan,North Carolina,37159.0,244,12.0
71107,2020-04-19,Rowan,Kentucky,21205.0,2,0.0
71866,2020-04-19,Rowan,North Carolina,37159.0,247,12.0
73879,2020-04-20,Rowan,Kentucky,21205.0,2,0.0
74641,2020-04-20,Rowan,North Carolina,37159.0,250,12.0
76660,2020-04-21,Rowan,Kentucky,21205.0,2,0.0
77422,2020-04-21,Rowan,North Carolina,37159.0,254,13.0
79445,2020-04-22,Rowan,Kentucky,21205.0,2,0.0
80211,2020-04-22,Rowan,North Carolina,37159.0,269,14.0
82242,2020-04-23,Rowan,Kentucky,21205.0,2,0.0
83010,2020-04-23,Rowan,North Carolina,37159.0,290,16.0
85045,2020-04-24,Rowan,Kentucky,21205.0,2,0.0
85814,2020-04-24,Rowan,North Carolina,37159.0,323,16.0
87854,2020-04-25,Rowan,Kentucky,21205.0,2,0.0
88627,2020-04-25,Rowan,North Carolina,37159.0,342,20.0
90670,2020-04-26,Rowan,Kentucky,21205.0,2,0.0
91442,2020-04-26,Rowan,North Carolina,37159.0,346,20.0
93491,2020-04-27,Rowan,Kentucky,21205.0,2,0.0
94268,2020-04-27,Rowan,North Carolina,37159.0,352,21.0
96326,2020-04-28,Rowan,Kentucky,21205.0,2,0.0
97105,2020-04-28,Rowan,North Carolina,37159.0,353,21.0
99172,2020-04-29,Rowan,Kentucky,21205.0,2,0.0
99953,2020-04-29,Rowan,North Carolina,37159.0,366,22.0
102024,2020-04-30,Rowan,Kentucky,21205.0,2,0.0
102806,2020-04-30,Rowan,North Carolina,37159.0,381,22.0
104885,2020-05-01,Rowan,Kentucky,21205.0,2,0.0
105668,2020-05-01,Rowan,North Carolina,37159.0,382,22.0
107750,2020-05-02,Rowan,Kentucky,21205.0,2,0.0
108535,2020-05-02,Rowan,North Carolina,37159.0,388,25.0
110621,2020-05-03,Rowan,Kentucky,21205.0,2,0.0
111408,2020-05-03,Rowan,North Carolina,37159.0,388,25.0
113498,2020-05-04,Rowan,Kentucky,21205.0,2,0.0
114289,2020-05-04,Rowan,North Carolina,37159.0,392,25.0
116380,2020-05-05,Rowan,Kentucky,21205.0,2,0.0
117169,2020-05-05,Rowan,North Carolina,37159.0,417,25.0
119341,2020-05-06,Rowan,Kentucky,21205.0,2,0.0
120130,2020-05-06,Rowan,North Carolina,37159.0,439,25.0
122312,2020-05-07,Rowan,Kentucky,21205.0,2,0.0
123105,2020-05-07,Rowan,North Carolina,37159.0,452,25.0
125294,2020-05-08,Rowan,Kentucky,21205.0,3,0.0
126088,2020-05-08,Rowan,North Carolina,37159.0,467,25.0
128282,2020-05-09,Rowan,Kentucky,21205.0,3,0.0
129077,2020-05-09,Rowan,North Carolina,37159.0,480,25.0
131272,2020-05-10,Rowan,Kentucky,21205.0,3,0.0
132066,2020-05-10,Rowan,North Carolina,37159.0,483,25.0
134263,2020-05-11,Rowan,Kentucky,21205.0,6,0.0
135057,2020-05-11,Rowan,North Carolina,37159.0,488,26.0
137253,2020-05-12,Rowan,Kentucky,21205.0,6,0.0
138047,2020-05-12,Rowan,North Carolina,37159.0,492,26.0
140246,2020-05-13,Rowan,Kentucky,21205.0,6,0.0
141043,2020-05-13,Rowan,North Carolina,37159.0,497,26.0
143242,2020-05-14,Rowan,Kentucky,21205.0,6,0.0
144038,2020-05-14,Rowan,North Carolina,37159.0,510,26.0
146242,2020-05-15,Rowan,Kentucky,21205.0,6,0.0
147039,2020-05-15,Rowan,North Carolina,37159.0,521,27.0
149247,2020-05-16,Rowan,Kentucky,21205.0,6,0.0
150046,2020-05-16,Rowan,North Carolina,37159.0,525,27.0
152258,2020-05-17,Rowan,Kentucky,21205.0,6,0.0
153056,2020-05-17,Rowan,North Carolina,37159.0,526,27.0
155272,2020-05-18,Rowan,Kentucky,21205.0,6,0.0
156073,2020-05-18,Rowan,North Carolina,37159.0,540,27.0
158289,2020-05-19,Rowan,Kentucky,21205.0,6,0.0
159092,2020-05-19,Rowan,North Carolina,37159.0,560,27.0
161315,2020-05-20,Rowan,Kentucky,21205.0,7,0.0
162119,2020-05-20,Rowan,North Carolina,37159.0,570,27.0
164344,2020-05-21,Rowan,Kentucky,21205.0,7,0.0
165148,2020-05-21,Rowan,North Carolina,37159.0,579,27.0
167380,2020-05-22,Rowan,Kentucky,21205.0,7,0.0
168183,2020-05-22,Rowan,North Carolina,37159.0,597,27.0
170418,2020-05-23,Rowan,Kentucky,21205.0,7,0.0
171222,2020-05-23,Rowan,North Carolina,37159.0,603,27.0
173459,2020-05-24,Rowan,Kentucky,21205.0,7,0.0
174264,2020-05-24,Rowan,North Carolina,37159.0,605,27.0
176503,2020-05-25,Rowan,Kentucky,21205.0,7,0.0
177308,2020-05-25,Rowan,North Carolina,37159.0,609,27.0
179547,2020-05-26,Rowan,Kentucky,21205.0,7,0.0
180351,2020-05-26,Rowan,North Carolina,37159.0,612,32.0
182592,2020-05-27,Rowan,Kentucky,21205.0,7,0.0
183399,2020-05-27,Rowan,North Carolina,37159.0,613,34.0
185647,2020-05-28,Rowan,Kentucky,21205.0,7,0.0
186456,2020-05-28,Rowan,North Carolina,37159.0,620,37.0
188705,2020-05-29,Rowan,Kentucky,21205.0,7,0.0
189516,2020-05-29,Rowan,North Carolina,37159.0,630,37.0
191769,2020-05-30,Rowan,Kentucky,21205.0,7,0.0
192580,2020-05-30,Rowan,North Carolina,37159.0,640,37.0
194837,2020-05-31,Rowan,Kentucky,21205.0,7,0.0
195650,2020-05-31,Rowan,North Carolina,37159.0,658,37.0
197908,2020-06-01,Rowan,Kentucky,21205.0,7,0.0
198723,2020-06-01,Rowan,North Carolina,37159.0,673,38.0
200980,2020-06-02,Rowan,Kentucky,21205.0,7,0.0
201797,2020-06-02,Rowan,North Carolina,37159.0,675,38.0
204057,2020-06-03,Rowan,Kentucky,21205.0,7,0.0
204874,2020-06-03,Rowan,North Carolina,37159.0,703,38.0
207138,2020-06-04,Rowan,Kentucky,21205.0,7,0.0
207955,2020-06-04,Rowan,North Carolina,37159.0,716,38.0
210219,2020-06-05,Rowan,Kentucky,21205.0,7,0.0
211037,2020-06-05,Rowan,North Carolina,37159.0,729,38.0
213304,2020-06-06,Rowan,Kentucky,21205.0,8,0.0
214121,2020-06-06,Rowan,North Carolina,37159.0,739,38.0
216391,2020-06-07,Rowan,Kentucky,21205.0,8,0.0
217211,2020-06-07,Rowan,North Carolina,37159.0,761,38.0
219483,2020-06-08,Rowan,Kentucky,21205.0,8,0.0
220303,2020-06-08,Rowan,North Carolina,37159.0,772,39.0
222578,2020-06-09,Rowan,Kentucky,21205.0,11,0.0
223397,2020-06-09,Rowan,North Carolina,37159.0,784,39.0
225674,2020-06-10,Rowan,Kentucky,21205.0,11,0.0
226497,2020-06-10,Rowan,North Carolina,37159.0,801,39.0
228776,2020-06-11,Rowan,Kentucky,21205.0,11,0.0
229601,2020-06-11,Rowan,North Carolina,37159.0,830,40.0
231880,2020-06-12,Rowan,Kentucky,21205.0,13,0.0
232706,2020-06-12,Rowan,North Carolina,37159.0,855,40.0
234985,2020-06-13,Rowan,Kentucky,21205.0,13,0.0
