date,county,state,fips,cases,deaths
2020-05-05,Salinas,Puerto Rico,72123.0,22,
2020-05-06,Salinas,Puerto Rico,72123.0,22,
2020-05-07,Salinas,Puerto Rico,72123.0,22,
2020-05-08,Salinas,Puerto Rico,72123.0,26,
2020-05-09,Salinas,Puerto Rico,72123.0,27,
2020-05-10,Salinas,Puerto Rico,72123.0,30,
2020-05-11,Salinas,Puerto Rico,72123.0,33,
2020-05-12,Salinas,Puerto Rico,72123.0,33,
2020-05-13,Salinas,Puerto Rico,72123.0,37,
2020-05-14,Salinas,Puerto Rico,72123.0,39,
2020-05-15,Salinas,Puerto Rico,72123.0,42,
2020-05-16,Salinas,Puerto Rico,72123.0,44,
2020-05-17,Salinas,Puerto Rico,72123.0,46,
2020-05-18,Salinas,Puerto Rico,72123.0,51,
2020-05-19,Salinas,Puerto Rico,72123.0,54,
2020-05-20,Salinas,Puerto Rico,72123.0,54,
2020-05-21,Salinas,Puerto Rico,72123.0,56,
2020-05-22,Salinas,Puerto Rico,72123.0,59,
2020-05-23,Salinas,Puerto Rico,72123.0,60,
2020-05-24,Salinas,Puerto Rico,72123.0,60,
2020-05-25,Salinas,Puerto Rico,72123.0,62,
2020-05-26,Salinas,Puerto Rico,72123.0,62,
2020-05-27,Salinas,Puerto Rico,72123.0,64,
2020-05-28,Salinas,Puerto Rico,72123.0,63,
2020-05-29,Salinas,Puerto Rico,72123.0,68,
2020-05-30,Salinas,Puerto Rico,72123.0,69,
2020-05-31,Salinas,Puerto Rico,72123.0,69,
2020-06-01,Salinas,Puerto Rico,72123.0,69,
2020-06-02,Salinas,Puerto Rico,72123.0,70,
2020-06-03,Salinas,Puerto Rico,72123.0,74,
2020-06-04,Salinas,Puerto Rico,72123.0,78,
2020-06-05,Salinas,Puerto Rico,72123.0,79,
2020-06-06,Salinas,Puerto Rico,72123.0,81,
2020-06-07,Salinas,Puerto Rico,72123.0,83,
2020-06-08,Salinas,Puerto Rico,72123.0,86,
2020-06-09,Salinas,Puerto Rico,72123.0,86,
2020-06-10,Salinas,Puerto Rico,72123.0,86,
2020-06-11,Salinas,Puerto Rico,72123.0,86,
2020-06-12,Salinas,Puerto Rico,72123.0,87,
2020-06-13,Salinas,Puerto Rico,72123.0,88,
2020-06-14,Salinas,Puerto Rico,72123.0,92,
2020-06-15,Salinas,Puerto Rico,72123.0,93,
2020-06-16,Salinas,Puerto Rico,72123.0,94,
2020-06-17,Salinas,Puerto Rico,72123.0,93,
2020-06-18,Salinas,Puerto Rico,72123.0,94,
2020-06-19,Salinas,Puerto Rico,72123.0,94,
2020-06-20,Salinas,Puerto Rico,72123.0,95,
2020-06-21,Salinas,Puerto Rico,72123.0,95,
2020-06-22,Salinas,Puerto Rico,72123.0,96,
2020-06-23,Salinas,Puerto Rico,72123.0,98,
2020-06-24,Salinas,Puerto Rico,72123.0,101,
2020-06-25,Salinas,Puerto Rico,72123.0,102,
2020-06-26,Salinas,Puerto Rico,72123.0,102,
2020-06-27,Salinas,Puerto Rico,72123.0,102,
2020-06-28,Salinas,Puerto Rico,72123.0,102,
2020-06-29,Salinas,Puerto Rico,72123.0,102,
2020-06-30,Salinas,Puerto Rico,72123.0,103,
2020-07-01,Salinas,Puerto Rico,72123.0,104,
2020-07-02,Salinas,Puerto Rico,72123.0,104,
2020-07-03,Salinas,Puerto Rico,72123.0,104,
2020-07-04,Salinas,Puerto Rico,72123.0,104,
2020-07-05,Salinas,Puerto Rico,72123.0,104,
2020-07-06,Salinas,Puerto Rico,72123.0,108,
2020-07-07,Salinas,Puerto Rico,72123.0,110,
2020-07-08,Salinas,Puerto Rico,72123.0,111,
2020-07-09,Salinas,Puerto Rico,72123.0,114,
2020-07-10,Salinas,Puerto Rico,72123.0,117,
2020-07-11,Salinas,Puerto Rico,72123.0,119,
2020-07-12,Salinas,Puerto Rico,72123.0,119,
2020-07-13,Salinas,Puerto Rico,72123.0,119,
2020-07-14,Salinas,Puerto Rico,72123.0,119,
2020-07-15,Salinas,Puerto Rico,72123.0,119,
2020-07-16,Salinas,Puerto Rico,72123.0,120,
2020-07-17,Salinas,Puerto Rico,72123.0,120,
2020-07-18,Salinas,Puerto Rico,72123.0,120,
2020-07-19,Salinas,Puerto Rico,72123.0,122,
2020-07-20,Salinas,Puerto Rico,72123.0,123,
2020-07-21,Salinas,Puerto Rico,72123.0,124,
2020-07-22,Salinas,Puerto Rico,72123.0,124,
2020-07-23,Salinas,Puerto Rico,72123.0,127,
2020-07-24,Salinas,Puerto Rico,72123.0,128,
2020-07-25,Salinas,Puerto Rico,72123.0,129,
2020-07-26,Salinas,Puerto Rico,72123.0,130,
2020-07-27,Salinas,Puerto Rico,72123.0,130,
2020-07-28,Salinas,Puerto Rico,72123.0,130,
2020-07-29,Salinas,Puerto Rico,72123.0,130,
2020-07-30,Salinas,Puerto Rico,72123.0,131,
2020-07-31,Salinas,Puerto Rico,72123.0,132,
2020-08-01,Salinas,Puerto Rico,72123.0,131,
2020-08-02,Salinas,Puerto Rico,72123.0,131,
2020-08-03,Salinas,Puerto Rico,72123.0,134,
2020-08-04,Salinas,Puerto Rico,72123.0,139,
2020-08-05,Salinas,Puerto Rico,72123.0,140,
2020-08-06,Salinas,Puerto Rico,72123.0,145,
2020-08-07,Salinas,Puerto Rico,72123.0,155,
2020-08-08,Salinas,Puerto Rico,72123.0,164,
2020-08-09,Salinas,Puerto Rico,72123.0,171,
2020-08-10,Salinas,Puerto Rico,72123.0,187,
2020-08-11,Salinas,Puerto Rico,72123.0,193,
2020-08-12,Salinas,Puerto Rico,72123.0,196,
2020-08-13,Salinas,Puerto Rico,72123.0,200,
2020-08-14,Salinas,Puerto Rico,72123.0,212,
2020-08-15,Salinas,Puerto Rico,72123.0,222,
2020-08-16,Salinas,Puerto Rico,72123.0,232,
2020-08-17,Salinas,Puerto Rico,72123.0,240,
2020-08-18,Salinas,Puerto Rico,72123.0,254,
2020-08-19,Salinas,Puerto Rico,72123.0,259,
2020-08-20,Salinas,Puerto Rico,72123.0,261,
2020-08-21,Salinas,Puerto Rico,72123.0,267,
