,date,county,state,fips,cases,deaths
310,2020-02-25,Salt Lake,Utah,49035.0,1,0.0
330,2020-02-26,Salt Lake,Utah,49035.0,1,0.0
350,2020-02-27,Salt Lake,Utah,49035.0,1,0.0
371,2020-02-28,Salt Lake,Utah,49035.0,1,0.0
393,2020-02-29,Salt Lake,Utah,49035.0,1,0.0
420,2020-03-01,Salt Lake,Utah,49035.0,1,0.0
452,2020-03-02,Salt Lake,Utah,49035.0,1,0.0
487,2020-03-03,Salt Lake,Utah,49035.0,1,0.0
525,2020-03-04,Salt Lake,Utah,49035.0,1,0.0
574,2020-03-05,Salt Lake,Utah,49035.0,1,0.0
644,2020-03-06,Salt Lake,Utah,49035.0,1,0.0
736,2020-03-07,Salt Lake,Utah,49035.0,1,0.0
848,2020-03-08,Salt Lake,Utah,49035.0,1,0.0
978,2020-03-09,Salt Lake,Utah,49035.0,1,0.0
1139,2020-03-10,Salt Lake,Utah,49035.0,1,0.0
1336,2020-03-11,Salt Lake,Utah,49035.0,2,0.0
1583,2020-03-12,Salt Lake,Utah,49035.0,4,0.0
1892,2020-03-13,Salt Lake,Utah,49035.0,4,0.0
2259,2020-03-14,Salt Lake,Utah,49035.0,15,0.0
2685,2020-03-15,Salt Lake,Utah,49035.0,15,0.0
3154,2020-03-16,Salt Lake,Utah,49035.0,20,0.0
3690,2020-03-17,Salt Lake,Utah,49035.0,23,0.0
4322,2020-03-18,Salt Lake,Utah,49035.0,24,0.0
5078,2020-03-19,Salt Lake,Utah,49035.0,31,0.0
5972,2020-03-20,Salt Lake,Utah,49035.0,46,0.0
6995,2020-03-21,Salt Lake,Utah,49035.0,60,0.0
8125,2020-03-22,Salt Lake,Utah,49035.0,84,0.0
9345,2020-03-23,Salt Lake,Utah,49035.0,112,0.0
10689,2020-03-24,Salt Lake,Utah,49035.0,127,0.0
12199,2020-03-25,Salt Lake,Utah,49035.0,151,0.0
13835,2020-03-26,Salt Lake,Utah,49035.0,181,0.0
15600,2020-03-27,Salt Lake,Utah,49035.0,212,0.0
17473,2020-03-28,Salt Lake,Utah,49035.0,276,0.0
19432,2020-03-29,Salt Lake,Utah,49035.0,324,0.0
21495,2020-03-30,Salt Lake,Utah,49035.0,363,0.0
23634,2020-03-31,Salt Lake,Utah,49035.0,396,0.0
