,date,county,state,fips,cases,deaths
12180,2020-03-25,San Patricio,Texas,48409.0,1,0.0
13814,2020-03-26,San Patricio,Texas,48409.0,1,0.0
15573,2020-03-27,San Patricio,Texas,48409.0,1,0.0
17444,2020-03-28,San Patricio,Texas,48409.0,1,0.0
19401,2020-03-29,San Patricio,Texas,48409.0,1,0.0
21463,2020-03-30,San Patricio,Texas,48409.0,1,0.0
23602,2020-03-31,San Patricio,Texas,48409.0,1,0.0
25816,2020-04-01,San Patricio,Texas,48409.0,2,0.0
28104,2020-04-02,San Patricio,Texas,48409.0,2,0.0
30440,2020-04-03,San Patricio,Texas,48409.0,3,0.0
32836,2020-04-04,San Patricio,Texas,48409.0,4,0.0
35274,2020-04-05,San Patricio,Texas,48409.0,5,0.0
37751,2020-04-06,San Patricio,Texas,48409.0,7,0.0
40280,2020-04-07,San Patricio,Texas,48409.0,7,0.0
42848,2020-04-08,San Patricio,Texas,48409.0,7,0.0
45441,2020-04-09,San Patricio,Texas,48409.0,7,0.0
48063,2020-04-10,San Patricio,Texas,48409.0,7,0.0
50721,2020-04-11,San Patricio,Texas,48409.0,7,0.0
53396,2020-04-12,San Patricio,Texas,48409.0,7,0.0
56085,2020-04-13,San Patricio,Texas,48409.0,7,0.0
58790,2020-04-14,San Patricio,Texas,48409.0,9,0.0
61508,2020-04-15,San Patricio,Texas,48409.0,8,0.0
64239,2020-04-16,San Patricio,Texas,48409.0,8,0.0
66986,2020-04-17,San Patricio,Texas,48409.0,8,0.0
69746,2020-04-18,San Patricio,Texas,48409.0,8,0.0
72516,2020-04-19,San Patricio,Texas,48409.0,8,0.0
75292,2020-04-20,San Patricio,Texas,48409.0,8,0.0
78074,2020-04-21,San Patricio,Texas,48409.0,8,0.0
80865,2020-04-22,San Patricio,Texas,48409.0,9,0.0
83666,2020-04-23,San Patricio,Texas,48409.0,11,0.0
86473,2020-04-24,San Patricio,Texas,48409.0,11,0.0
89288,2020-04-25,San Patricio,Texas,48409.0,12,0.0
92105,2020-04-26,San Patricio,Texas,48409.0,12,0.0
94934,2020-04-27,San Patricio,Texas,48409.0,12,0.0
97776,2020-04-28,San Patricio,Texas,48409.0,13,0.0
100626,2020-04-29,San Patricio,Texas,48409.0,12,0.0
103481,2020-04-30,San Patricio,Texas,48409.0,12,0.0
106345,2020-05-01,San Patricio,Texas,48409.0,12,0.0
109214,2020-05-02,San Patricio,Texas,48409.0,12,0.0
112088,2020-05-03,San Patricio,Texas,48409.0,12,0.0
114971,2020-05-04,San Patricio,Texas,48409.0,13,0.0
117930,2020-05-05,San Patricio,Texas,48409.0,13,0.0
120894,2020-05-06,San Patricio,Texas,48409.0,14,0.0
123873,2020-05-07,San Patricio,Texas,48409.0,16,0.0
126858,2020-05-08,San Patricio,Texas,48409.0,16,0.0
129847,2020-05-09,San Patricio,Texas,48409.0,18,0.0
132837,2020-05-10,San Patricio,Texas,48409.0,20,0.0
135828,2020-05-11,San Patricio,Texas,48409.0,22,0.0
138818,2020-05-12,San Patricio,Texas,48409.0,22,0.0
141814,2020-05-13,San Patricio,Texas,48409.0,22,0.0
144811,2020-05-14,San Patricio,Texas,48409.0,23,0.0
147815,2020-05-15,San Patricio,Texas,48409.0,25,0.0
150823,2020-05-16,San Patricio,Texas,48409.0,25,0.0
153834,2020-05-17,San Patricio,Texas,48409.0,26,0.0
156851,2020-05-18,San Patricio,Texas,48409.0,26,0.0
159874,2020-05-19,San Patricio,Texas,48409.0,26,0.0
162902,2020-05-20,San Patricio,Texas,48409.0,26,0.0
165931,2020-05-21,San Patricio,Texas,48409.0,28,0.0
168967,2020-05-22,San Patricio,Texas,48409.0,28,0.0
172007,2020-05-23,San Patricio,Texas,48409.0,28,0.0
175050,2020-05-24,San Patricio,Texas,48409.0,28,0.0
178095,2020-05-25,San Patricio,Texas,48409.0,28,0.0
181139,2020-05-26,San Patricio,Texas,48409.0,28,0.0
184190,2020-05-27,San Patricio,Texas,48409.0,29,0.0
187247,2020-05-28,San Patricio,Texas,48409.0,32,0.0
190311,2020-05-29,San Patricio,Texas,48409.0,33,0.0
193377,2020-05-30,San Patricio,Texas,48409.0,33,0.0
196447,2020-05-31,San Patricio,Texas,48409.0,33,0.0
199520,2020-06-01,San Patricio,Texas,48409.0,33,0.0
202596,2020-06-02,San Patricio,Texas,48409.0,36,0.0
205675,2020-06-03,San Patricio,Texas,48409.0,36,0.0
208757,2020-06-04,San Patricio,Texas,48409.0,36,0.0
211842,2020-06-05,San Patricio,Texas,48409.0,38,0.0
214929,2020-06-06,San Patricio,Texas,48409.0,38,0.0
218019,2020-06-07,San Patricio,Texas,48409.0,39,0.0
221111,2020-06-08,San Patricio,Texas,48409.0,39,0.0
