date,county,state,fips,cases,deaths
2020-03-31,Screven,Georgia,13251.0,1,0.0
2020-04-01,Screven,Georgia,13251.0,2,0.0
2020-04-02,Screven,Georgia,13251.0,2,0.0
2020-04-03,Screven,Georgia,13251.0,2,0.0
2020-04-04,Screven,Georgia,13251.0,2,0.0
2020-04-05,Screven,Georgia,13251.0,2,0.0
2020-04-06,Screven,Georgia,13251.0,2,0.0
2020-04-07,Screven,Georgia,13251.0,4,0.0
2020-04-08,Screven,Georgia,13251.0,4,0.0
2020-04-09,Screven,Georgia,13251.0,5,0.0
2020-04-10,Screven,Georgia,13251.0,5,0.0
2020-04-11,Screven,Georgia,13251.0,5,0.0
2020-04-12,Screven,Georgia,13251.0,7,0.0
2020-04-13,Screven,Georgia,13251.0,7,0.0
2020-04-14,Screven,Georgia,13251.0,9,0.0
2020-04-15,Screven,Georgia,13251.0,9,1.0
2020-04-16,Screven,Georgia,13251.0,11,1.0
2020-04-17,Screven,Georgia,13251.0,11,1.0
2020-04-18,Screven,Georgia,13251.0,11,1.0
2020-04-19,Screven,Georgia,13251.0,11,1.0
2020-04-20,Screven,Georgia,13251.0,11,1.0
2020-04-21,Screven,Georgia,13251.0,14,1.0
2020-04-22,Screven,Georgia,13251.0,14,1.0
2020-04-23,Screven,Georgia,13251.0,14,1.0
2020-04-24,Screven,Georgia,13251.0,14,1.0
2020-04-25,Screven,Georgia,13251.0,14,1.0
2020-04-26,Screven,Georgia,13251.0,14,1.0
2020-04-27,Screven,Georgia,13251.0,14,1.0
2020-04-28,Screven,Georgia,13251.0,15,1.0
2020-04-29,Screven,Georgia,13251.0,15,1.0
2020-04-30,Screven,Georgia,13251.0,15,1.0
2020-05-01,Screven,Georgia,13251.0,15,1.0
2020-05-02,Screven,Georgia,13251.0,15,1.0
2020-05-03,Screven,Georgia,13251.0,15,1.0
2020-05-04,Screven,Georgia,13251.0,15,1.0
2020-05-05,Screven,Georgia,13251.0,16,1.0
2020-05-06,Screven,Georgia,13251.0,16,1.0
2020-05-07,Screven,Georgia,13251.0,17,1.0
2020-05-08,Screven,Georgia,13251.0,17,1.0
2020-05-09,Screven,Georgia,13251.0,17,1.0
2020-05-10,Screven,Georgia,13251.0,17,1.0
2020-05-11,Screven,Georgia,13251.0,17,1.0
2020-05-12,Screven,Georgia,13251.0,17,1.0
2020-05-13,Screven,Georgia,13251.0,18,1.0
2020-05-14,Screven,Georgia,13251.0,18,1.0
2020-05-15,Screven,Georgia,13251.0,18,1.0
2020-05-16,Screven,Georgia,13251.0,19,1.0
2020-05-17,Screven,Georgia,13251.0,19,1.0
2020-05-18,Screven,Georgia,13251.0,20,1.0
2020-05-19,Screven,Georgia,13251.0,20,1.0
2020-05-20,Screven,Georgia,13251.0,20,1.0
2020-05-21,Screven,Georgia,13251.0,22,1.0
2020-05-22,Screven,Georgia,13251.0,25,2.0
2020-05-23,Screven,Georgia,13251.0,26,2.0
2020-05-24,Screven,Georgia,13251.0,27,2.0
2020-05-25,Screven,Georgia,13251.0,28,2.0
2020-05-26,Screven,Georgia,13251.0,32,2.0
2020-05-27,Screven,Georgia,13251.0,47,2.0
2020-05-28,Screven,Georgia,13251.0,50,2.0
2020-05-29,Screven,Georgia,13251.0,50,2.0
2020-05-30,Screven,Georgia,13251.0,51,2.0
2020-05-31,Screven,Georgia,13251.0,51,3.0
2020-06-01,Screven,Georgia,13251.0,55,3.0
2020-06-02,Screven,Georgia,13251.0,55,3.0
2020-06-03,Screven,Georgia,13251.0,55,3.0
2020-06-04,Screven,Georgia,13251.0,56,3.0
2020-06-05,Screven,Georgia,13251.0,57,3.0
2020-06-06,Screven,Georgia,13251.0,57,3.0
2020-06-07,Screven,Georgia,13251.0,57,3.0
2020-06-08,Screven,Georgia,13251.0,58,3.0
2020-06-09,Screven,Georgia,13251.0,59,3.0
2020-06-10,Screven,Georgia,13251.0,60,3.0
2020-06-11,Screven,Georgia,13251.0,60,4.0
2020-06-12,Screven,Georgia,13251.0,61,4.0
2020-06-13,Screven,Georgia,13251.0,62,4.0
2020-06-14,Screven,Georgia,13251.0,62,4.0
2020-06-15,Screven,Georgia,13251.0,63,4.0
2020-06-16,Screven,Georgia,13251.0,65,4.0
2020-06-17,Screven,Georgia,13251.0,66,4.0
2020-06-18,Screven,Georgia,13251.0,71,4.0
2020-06-19,Screven,Georgia,13251.0,74,4.0
2020-06-20,Screven,Georgia,13251.0,75,4.0
2020-06-21,Screven,Georgia,13251.0,75,4.0
2020-06-22,Screven,Georgia,13251.0,79,4.0
2020-06-23,Screven,Georgia,13251.0,85,5.0
2020-06-24,Screven,Georgia,13251.0,86,5.0
2020-06-25,Screven,Georgia,13251.0,87,5.0
2020-06-26,Screven,Georgia,13251.0,88,6.0
2020-06-27,Screven,Georgia,13251.0,89,6.0
2020-06-28,Screven,Georgia,13251.0,89,6.0
2020-06-29,Screven,Georgia,13251.0,91,6.0
2020-06-30,Screven,Georgia,13251.0,92,6.0
2020-07-01,Screven,Georgia,13251.0,93,6.0
2020-07-02,Screven,Georgia,13251.0,95,7.0
2020-07-03,Screven,Georgia,13251.0,97,7.0
2020-07-04,Screven,Georgia,13251.0,97,7.0
2020-07-05,Screven,Georgia,13251.0,98,7.0
2020-07-06,Screven,Georgia,13251.0,99,7.0
2020-07-07,Screven,Georgia,13251.0,101,7.0
2020-07-08,Screven,Georgia,13251.0,102,7.0
2020-07-09,Screven,Georgia,13251.0,105,7.0
2020-07-10,Screven,Georgia,13251.0,107,7.0
2020-07-11,Screven,Georgia,13251.0,108,7.0
2020-07-12,Screven,Georgia,13251.0,110,7.0
2020-07-13,Screven,Georgia,13251.0,115,7.0
2020-07-14,Screven,Georgia,13251.0,121,8.0
2020-07-15,Screven,Georgia,13251.0,123,8.0
2020-07-16,Screven,Georgia,13251.0,130,8.0
2020-07-17,Screven,Georgia,13251.0,132,8.0
2020-07-18,Screven,Georgia,13251.0,133,8.0
2020-07-19,Screven,Georgia,13251.0,135,8.0
2020-07-20,Screven,Georgia,13251.0,136,8.0
2020-07-21,Screven,Georgia,13251.0,136,8.0
2020-07-22,Screven,Georgia,13251.0,138,8.0
2020-07-23,Screven,Georgia,13251.0,141,8.0
2020-07-24,Screven,Georgia,13251.0,144,9.0
2020-07-25,Screven,Georgia,13251.0,147,9.0
2020-07-26,Screven,Georgia,13251.0,151,9.0
2020-07-27,Screven,Georgia,13251.0,160,9.0
2020-07-28,Screven,Georgia,13251.0,157,9.0
2020-07-29,Screven,Georgia,13251.0,161,9.0
2020-07-30,Screven,Georgia,13251.0,165,9.0
2020-07-31,Screven,Georgia,13251.0,167,9.0
2020-08-01,Screven,Georgia,13251.0,172,9.0
2020-08-02,Screven,Georgia,13251.0,173,9.0
2020-08-03,Screven,Georgia,13251.0,175,9.0
2020-08-04,Screven,Georgia,13251.0,178,9.0
2020-08-05,Screven,Georgia,13251.0,182,9.0
2020-08-06,Screven,Georgia,13251.0,185,9.0
2020-08-07,Screven,Georgia,13251.0,189,9.0
2020-08-08,Screven,Georgia,13251.0,195,9.0
2020-08-09,Screven,Georgia,13251.0,198,9.0
2020-08-10,Screven,Georgia,13251.0,210,9.0
2020-08-11,Screven,Georgia,13251.0,215,9.0
2020-08-12,Screven,Georgia,13251.0,216,9.0
2020-08-13,Screven,Georgia,13251.0,220,9.0
2020-08-14,Screven,Georgia,13251.0,223,9.0
2020-08-15,Screven,Georgia,13251.0,228,9.0
2020-08-16,Screven,Georgia,13251.0,228,9.0
2020-08-17,Screven,Georgia,13251.0,240,9.0
2020-08-18,Screven,Georgia,13251.0,243,9.0
2020-08-19,Screven,Georgia,13251.0,246,9.0
2020-08-20,Screven,Georgia,13251.0,247,9.0
2020-08-21,Screven,Georgia,13251.0,247,9.0
2020-08-22,Screven,Georgia,13251.0,248,9.0
2020-08-23,Screven,Georgia,13251.0,251,9.0
2020-08-24,Screven,Georgia,13251.0,268,9.0
2020-08-25,Screven,Georgia,13251.0,274,9.0
2020-08-26,Screven,Georgia,13251.0,276,9.0
2020-08-27,Screven,Georgia,13251.0,277,9.0
2020-08-28,Screven,Georgia,13251.0,278,9.0
2020-08-29,Screven,Georgia,13251.0,280,9.0
2020-08-30,Screven,Georgia,13251.0,281,9.0
2020-08-31,Screven,Georgia,13251.0,293,9.0
2020-09-01,Screven,Georgia,13251.0,295,9.0
2020-09-02,Screven,Georgia,13251.0,298,9.0
2020-09-03,Screven,Georgia,13251.0,303,9.0
2020-09-04,Screven,Georgia,13251.0,305,9.0
