date,county,state,fips,cases,deaths
2020-03-19,Sedgwick,Kansas,20173.0,1,0.0
2020-03-20,Sedgwick,Kansas,20173.0,1,0.0
2020-03-21,Sedgwick,Kansas,20173.0,2,0.0
2020-03-22,Sedgwick,Kansas,20173.0,2,0.0
2020-03-23,Sedgwick,Kansas,20173.0,2,0.0
2020-03-24,Sedgwick,Kansas,20173.0,7,0.0
2020-03-25,Sedgwick,Kansas,20173.0,11,0.0
2020-03-26,Sedgwick,Kansas,20173.0,16,0.0
2020-03-27,Sedgwick,Kansas,20173.0,20,0.0
2020-03-28,Sedgwick,Kansas,20173.0,33,0.0
2020-03-29,Sedgwick,Kansas,20173.0,42,0.0
2020-03-30,Sedgwick,Kansas,20173.0,49,1.0
2020-03-31,Sedgwick,Kansas,20173.0,58,1.0
2020-04-01,Sedgwick,Kansas,20173.0,64,1.0
2020-04-02,Sedgwick,Kansas,20173.0,79,1.0
2020-04-03,Sedgwick,Kansas,20173.0,85,1.0
2020-04-04,Sedgwick,Kansas,20173.0,97,1.0
2020-04-05,Sedgwick,Kansas,20173.0,108,1.0
2020-04-06,Sedgwick,Kansas,20173.0,124,1.0
2020-04-07,Sedgwick,Kansas,20173.0,134,1.0
2020-04-08,Sedgwick,Kansas,20173.0,154,2.0
2020-04-09,Sedgwick,Kansas,20173.0,161,2.0
2020-04-10,Sedgwick,Kansas,20173.0,172,2.0
2020-04-11,Sedgwick,Kansas,20173.0,191,2.0
2020-04-12,Sedgwick,Kansas,20173.0,194,2.0
2020-04-13,Sedgwick,Kansas,20173.0,200,2.0
2020-04-14,Sedgwick,Kansas,20173.0,205,3.0
2020-04-15,Sedgwick,Kansas,20173.0,209,3.0
2020-04-16,Sedgwick,Kansas,20173.0,217,3.0
2020-04-17,Sedgwick,Kansas,20173.0,231,3.0
2020-04-18,Sedgwick,Kansas,20173.0,232,3.0
2020-04-19,Sedgwick,Kansas,20173.0,242,4.0
2020-04-20,Sedgwick,Kansas,20173.0,248,4.0
2020-04-21,Sedgwick,Kansas,20173.0,251,4.0
2020-04-22,Sedgwick,Kansas,20173.0,265,5.0
2020-04-23,Sedgwick,Kansas,20173.0,314,5.0
2020-04-24,Sedgwick,Kansas,20173.0,323,6.0
2020-04-25,Sedgwick,Kansas,20173.0,334,6.0
2020-04-26,Sedgwick,Kansas,20173.0,338,6.0
2020-04-27,Sedgwick,Kansas,20173.0,339,6.0
2020-04-28,Sedgwick,Kansas,20173.0,354,6.0
2020-04-29,Sedgwick,Kansas,20173.0,366,9.0
2020-04-30,Sedgwick,Kansas,20173.0,402,9.0
2020-05-01,Sedgwick,Kansas,20173.0,408,11.0
2020-05-02,Sedgwick,Kansas,20173.0,418,12.0
2020-05-03,Sedgwick,Kansas,20173.0,426,13.0
2020-05-04,Sedgwick,Kansas,20173.0,436,13.0
2020-05-05,Sedgwick,Kansas,20173.0,439,15.0
2020-05-06,Sedgwick,Kansas,20173.0,441,17.0
2020-05-07,Sedgwick,Kansas,20173.0,454,18.0
2020-05-08,Sedgwick,Kansas,20173.0,457,18.0
2020-05-09,Sedgwick,Kansas,20173.0,458,19.0
2020-05-10,Sedgwick,Kansas,20173.0,468,19.0
2020-05-11,Sedgwick,Kansas,20173.0,469,19.0
2020-05-12,Sedgwick,Kansas,20173.0,471,20.0
2020-05-13,Sedgwick,Kansas,20173.0,507,20.0
2020-05-14,Sedgwick,Kansas,20173.0,527,20.0
2020-05-15,Sedgwick,Kansas,20173.0,530,20.0
2020-05-16,Sedgwick,Kansas,20173.0,534,20.0
2020-05-17,Sedgwick,Kansas,20173.0,535,20.0
2020-05-18,Sedgwick,Kansas,20173.0,536,20.0
2020-05-19,Sedgwick,Kansas,20173.0,538,20.0
2020-05-20,Sedgwick,Kansas,20173.0,539,20.0
2020-05-21,Sedgwick,Kansas,20173.0,542,21.0
2020-05-22,Sedgwick,Kansas,20173.0,545,21.0
2020-05-23,Sedgwick,Kansas,20173.0,553,21.0
2020-05-24,Sedgwick,Kansas,20173.0,556,21.0
