date,county,state,fips,cases,deaths
2020-04-05,Seward,Nebraska,31159.0,1,0.0
2020-04-06,Seward,Nebraska,31159.0,1,0.0
2020-04-07,Seward,Kansas,20175.0,1,0.0
2020-04-07,Seward,Nebraska,31159.0,1,0.0
2020-04-08,Seward,Kansas,20175.0,3,0.0
2020-04-08,Seward,Nebraska,31159.0,1,0.0
2020-04-09,Seward,Kansas,20175.0,3,0.0
2020-04-09,Seward,Nebraska,31159.0,1,0.0
2020-04-10,Seward,Kansas,20175.0,3,0.0
2020-04-10,Seward,Nebraska,31159.0,1,0.0
2020-04-11,Seward,Kansas,20175.0,5,0.0
2020-04-11,Seward,Nebraska,31159.0,1,0.0
2020-04-12,Seward,Kansas,20175.0,5,0.0
2020-04-12,Seward,Nebraska,31159.0,1,0.0
2020-04-13,Seward,Kansas,20175.0,6,0.0
2020-04-13,Seward,Nebraska,31159.0,1,0.0
2020-04-14,Seward,Kansas,20175.0,6,0.0
2020-04-14,Seward,Nebraska,31159.0,1,0.0
2020-04-15,Seward,Kansas,20175.0,7,0.0
2020-04-15,Seward,Nebraska,31159.0,1,0.0
2020-04-16,Seward,Kansas,20175.0,10,0.0
2020-04-16,Seward,Nebraska,31159.0,1,0.0
2020-04-17,Seward,Kansas,20175.0,24,0.0
2020-04-17,Seward,Nebraska,31159.0,1,0.0
2020-04-18,Seward,Kansas,20175.0,35,0.0
2020-04-18,Seward,Nebraska,31159.0,2,0.0
2020-04-19,Seward,Kansas,20175.0,47,0.0
2020-04-19,Seward,Nebraska,31159.0,2,0.0
2020-04-20,Seward,Kansas,20175.0,77,0.0
2020-04-20,Seward,Nebraska,31159.0,2,0.0
2020-04-21,Seward,Kansas,20175.0,96,0.0
2020-04-21,Seward,Nebraska,31159.0,4,1.0
2020-04-22,Seward,Kansas,20175.0,142,0.0
2020-04-22,Seward,Nebraska,31159.0,4,1.0
2020-04-23,Seward,Kansas,20175.0,195,0.0
2020-04-23,Seward,Nebraska,31159.0,5,1.0
2020-04-24,Seward,Kansas,20175.0,249,0.0
2020-04-24,Seward,Nebraska,31159.0,6,1.0
2020-04-25,Seward,Kansas,20175.0,307,0.0
2020-04-25,Seward,Nebraska,31159.0,6,1.0
2020-04-26,Seward,Kansas,20175.0,336,0.0
2020-04-26,Seward,Nebraska,31159.0,6,1.0
2020-04-27,Seward,Kansas,20175.0,349,0.0
2020-04-27,Seward,Nebraska,31159.0,7,1.0
2020-04-28,Seward,Kansas,20175.0,422,0.0
2020-04-28,Seward,Nebraska,31159.0,7,1.0
2020-04-29,Seward,Kansas,20175.0,460,0.0
2020-04-29,Seward,Nebraska,31159.0,7,1.0
2020-04-30,Seward,Kansas,20175.0,500,0.0
2020-04-30,Seward,Nebraska,31159.0,8,1.0
2020-05-01,Seward,Kansas,20175.0,514,0.0
2020-05-01,Seward,Nebraska,31159.0,8,1.0
2020-05-02,Seward,Kansas,20175.0,539,0.0
2020-05-02,Seward,Nebraska,31159.0,8,1.0
2020-05-03,Seward,Kansas,20175.0,547,0.0
2020-05-03,Seward,Nebraska,31159.0,8,1.0
2020-05-04,Seward,Kansas,20175.0,580,0.0
2020-05-04,Seward,Nebraska,31159.0,12,1.0
