,date,county,state,fips,cases,deaths
33127,2020-04-04,Shawano,Wisconsin,55115.0,1,0.0
35566,2020-04-05,Shawano,Wisconsin,55115.0,1,0.0
38053,2020-04-06,Shawano,Wisconsin,55115.0,2,0.0
40595,2020-04-07,Shawano,Wisconsin,55115.0,3,0.0
43167,2020-04-08,Shawano,Wisconsin,55115.0,4,0.0
45765,2020-04-09,Shawano,Wisconsin,55115.0,4,0.0
48394,2020-04-10,Shawano,Wisconsin,55115.0,5,0.0
51055,2020-04-11,Shawano,Wisconsin,55115.0,5,0.0
53732,2020-04-12,Shawano,Wisconsin,55115.0,5,0.0
56423,2020-04-13,Shawano,Wisconsin,55115.0,5,0.0
59130,2020-04-14,Shawano,Wisconsin,55115.0,6,0.0
61849,2020-04-15,Shawano,Wisconsin,55115.0,6,0.0
64582,2020-04-16,Shawano,Wisconsin,55115.0,6,0.0
67330,2020-04-17,Shawano,Wisconsin,55115.0,6,0.0
70092,2020-04-18,Shawano,Wisconsin,55115.0,6,0.0
72861,2020-04-19,Shawano,Wisconsin,55115.0,6,0.0
75637,2020-04-20,Shawano,Wisconsin,55115.0,6,0.0
78420,2020-04-21,Shawano,Wisconsin,55115.0,6,0.0
81213,2020-04-22,Shawano,Wisconsin,55115.0,6,0.0
84014,2020-04-23,Shawano,Wisconsin,55115.0,6,0.0
86821,2020-04-24,Shawano,Wisconsin,55115.0,8,0.0
89637,2020-04-25,Shawano,Wisconsin,55115.0,8,0.0
92455,2020-04-26,Shawano,Wisconsin,55115.0,8,0.0
95285,2020-04-27,Shawano,Wisconsin,55115.0,8,0.0
98130,2020-04-28,Shawano,Wisconsin,55115.0,8,0.0
100980,2020-04-29,Shawano,Wisconsin,55115.0,10,0.0
103835,2020-04-30,Shawano,Wisconsin,55115.0,10,0.0
106700,2020-05-01,Shawano,Wisconsin,55115.0,15,0.0
109569,2020-05-02,Shawano,Wisconsin,55115.0,16,0.0
112444,2020-05-03,Shawano,Wisconsin,55115.0,16,0.0
115327,2020-05-04,Shawano,Wisconsin,55115.0,16,0.0
118286,2020-05-05,Shawano,Wisconsin,55115.0,17,0.0
121252,2020-05-06,Shawano,Wisconsin,55115.0,17,0.0
124232,2020-05-07,Shawano,Wisconsin,55115.0,17,0.0
127217,2020-05-08,Shawano,Wisconsin,55115.0,20,0.0
130207,2020-05-09,Shawano,Wisconsin,55115.0,20,0.0
133197,2020-05-10,Shawano,Wisconsin,55115.0,22,0.0
136187,2020-05-11,Shawano,Wisconsin,55115.0,25,0.0
139178,2020-05-12,Shawano,Wisconsin,55115.0,25,0.0
142174,2020-05-13,Shawano,Wisconsin,55115.0,27,0.0
145173,2020-05-14,Shawano,Wisconsin,55115.0,28,0.0
148176,2020-05-15,Shawano,Wisconsin,55115.0,29,0.0
151185,2020-05-16,Shawano,Wisconsin,55115.0,31,0.0
154197,2020-05-17,Shawano,Wisconsin,55115.0,31,0.0
157213,2020-05-18,Shawano,Wisconsin,55115.0,33,0.0
160237,2020-05-19,Shawano,Wisconsin,55115.0,33,0.0
163265,2020-05-20,Shawano,Wisconsin,55115.0,34,0.0
166295,2020-05-21,Shawano,Wisconsin,55115.0,36,0.0
169331,2020-05-22,Shawano,Wisconsin,55115.0,36,0.0
172372,2020-05-23,Shawano,Wisconsin,55115.0,37,0.0
175415,2020-05-24,Shawano,Wisconsin,55115.0,38,0.0
178460,2020-05-25,Shawano,Wisconsin,55115.0,38,0.0
181504,2020-05-26,Shawano,Wisconsin,55115.0,38,0.0
184555,2020-05-27,Shawano,Wisconsin,55115.0,41,0.0
187612,2020-05-28,Shawano,Wisconsin,55115.0,43,0.0
190676,2020-05-29,Shawano,Wisconsin,55115.0,45,0.0
193742,2020-05-30,Shawano,Wisconsin,55115.0,46,0.0
196812,2020-05-31,Shawano,Wisconsin,55115.0,47,0.0
199885,2020-06-01,Shawano,Wisconsin,55115.0,48,0.0
202961,2020-06-02,Shawano,Wisconsin,55115.0,50,0.0
206040,2020-06-03,Shawano,Wisconsin,55115.0,51,0.0
