date,county,state,fips,cases,deaths
2020-03-10,Skagit,Washington,53057.0,1,0.0
2020-03-11,Skagit,Washington,53057.0,1,0.0
2020-03-12,Skagit,Washington,53057.0,2,0.0
2020-03-13,Skagit,Washington,53057.0,3,0.0
2020-03-14,Skagit,Washington,53057.0,3,0.0
2020-03-15,Skagit,Washington,53057.0,4,0.0
2020-03-16,Skagit,Washington,53057.0,7,0.0
2020-03-17,Skagit,Washington,53057.0,9,0.0
2020-03-18,Skagit,Washington,53057.0,14,0.0
2020-03-19,Skagit,Washington,53057.0,18,0.0
2020-03-20,Skagit,Washington,53057.0,26,0.0
2020-03-21,Skagit,Washington,53057.0,28,0.0
2020-03-22,Skagit,Washington,53057.0,34,0.0
2020-03-23,Skagit,Washington,53057.0,45,1.0
2020-03-24,Skagit,Washington,53057.0,48,1.0
2020-03-25,Skagit,Washington,53057.0,63,1.0
2020-03-26,Skagit,Washington,53057.0,78,1.0
2020-03-27,Skagit,Washington,53057.0,91,1.0
2020-03-28,Skagit,Washington,53057.0,97,3.0
2020-03-29,Skagit,Washington,53057.0,101,3.0
2020-03-30,Skagit,Washington,53057.0,101,3.0
2020-03-31,Skagit,Washington,53057.0,101,3.0
2020-04-01,Skagit,Washington,53057.0,143,4.0
2020-04-02,Skagit,Washington,53057.0,153,4.0
2020-04-03,Skagit,Washington,53057.0,160,4.0
2020-04-04,Skagit,Washington,53057.0,161,4.0
2020-04-05,Skagit,Washington,53057.0,161,4.0
2020-04-06,Skagit,Washington,53057.0,166,4.0
2020-04-07,Skagit,Washington,53057.0,169,5.0
2020-04-08,Skagit,Washington,53057.0,169,5.0
2020-04-09,Skagit,Washington,53057.0,178,5.0
2020-04-10,Skagit,Washington,53057.0,178,5.0
2020-04-11,Skagit,Washington,53057.0,187,6.0
2020-04-12,Skagit,Washington,53057.0,191,6.0
2020-04-13,Skagit,Washington,53057.0,195,6.0
2020-04-14,Skagit,Washington,53057.0,203,6.0
2020-04-15,Skagit,Washington,53057.0,209,6.0
2020-04-16,Skagit,Washington,53057.0,218,6.0
2020-04-17,Skagit,Washington,53057.0,226,6.0
2020-04-18,Skagit,Washington,53057.0,230,7.0
2020-04-19,Skagit,Washington,53057.0,238,8.0
2020-04-20,Skagit,Washington,53057.0,255,8.0
2020-04-21,Skagit,Washington,53057.0,255,9.0
2020-04-22,Skagit,Washington,53057.0,271,9.0
2020-04-23,Skagit,Washington,53057.0,281,10.0
2020-04-24,Skagit,Washington,53057.0,283,10.0
2020-04-25,Skagit,Washington,53057.0,287,10.0
2020-04-26,Skagit,Washington,53057.0,299,11.0
2020-04-27,Skagit,Washington,53057.0,309,11.0
2020-04-28,Skagit,Washington,53057.0,309,11.0
2020-04-29,Skagit,Washington,53057.0,322,12.0
2020-04-30,Skagit,Washington,53057.0,338,13.0
2020-05-01,Skagit,Washington,53057.0,345,13.0
2020-05-02,Skagit,Washington,53057.0,345,13.0
2020-05-03,Skagit,Washington,53057.0,354,13.0
2020-05-04,Skagit,Washington,53057.0,357,13.0
2020-05-05,Skagit,Washington,53057.0,364,13.0
2020-05-06,Skagit,Washington,53057.0,379,13.0
2020-05-07,Skagit,Washington,53057.0,389,13.0
2020-05-08,Skagit,Washington,53057.0,391,13.0
2020-05-09,Skagit,Washington,53057.0,397,14.0
2020-05-10,Skagit,Washington,53057.0,401,14.0
2020-05-11,Skagit,Washington,53057.0,402,14.0
2020-05-12,Skagit,Washington,53057.0,406,14.0
2020-05-13,Skagit,Washington,53057.0,411,14.0
2020-05-14,Skagit,Washington,53057.0,411,14.0
2020-05-15,Skagit,Washington,53057.0,423,14.0
2020-05-16,Skagit,Washington,53057.0,425,14.0
2020-05-17,Skagit,Washington,53057.0,425,14.0
2020-05-18,Skagit,Washington,53057.0,426,14.0
2020-05-19,Skagit,Washington,53057.0,426,15.0
2020-05-20,Skagit,Washington,53057.0,426,15.0
2020-05-21,Skagit,Washington,53057.0,426,15.0
2020-05-22,Skagit,Washington,53057.0,426,15.0
2020-05-23,Skagit,Washington,53057.0,426,15.0
2020-05-24,Skagit,Washington,53057.0,426,15.0
2020-05-25,Skagit,Washington,53057.0,426,15.0
2020-05-26,Skagit,Washington,53057.0,427,15.0
2020-05-27,Skagit,Washington,53057.0,428,15.0
2020-05-28,Skagit,Washington,53057.0,428,15.0
2020-05-29,Skagit,Washington,53057.0,430,15.0
2020-05-30,Skagit,Washington,53057.0,432,15.0
2020-05-31,Skagit,Washington,53057.0,434,15.0
2020-06-01,Skagit,Washington,53057.0,435,15.0
2020-06-02,Skagit,Washington,53057.0,438,15.0
2020-06-03,Skagit,Washington,53057.0,443,15.0
2020-06-04,Skagit,Washington,53057.0,446,15.0
2020-06-05,Skagit,Washington,53057.0,450,15.0
