,date,county,state,fips,cases,deaths
224213,2020-06-09,Somervell,Texas,48425.0,1,0.0
227313,2020-06-10,Somervell,Texas,48425.0,1,0.0
230417,2020-06-11,Somervell,Texas,48425.0,2,0.0
233521,2020-06-12,Somervell,Texas,48425.0,2,0.0
236628,2020-06-13,Somervell,Texas,48425.0,2,0.0
239736,2020-06-14,Somervell,Texas,48425.0,2,0.0
242846,2020-06-15,Somervell,Texas,48425.0,2,0.0
245958,2020-06-16,Somervell,Texas,48425.0,3,0.0
249071,2020-06-17,Somervell,Texas,48425.0,3,0.0
252186,2020-06-18,Somervell,Texas,48425.0,3,0.0
255301,2020-06-19,Somervell,Texas,48425.0,3,0.0
258428,2020-06-20,Somervell,Texas,48425.0,3,0.0
261555,2020-06-21,Somervell,Texas,48425.0,3,0.0
264684,2020-06-22,Somervell,Texas,48425.0,3,0.0
267812,2020-06-23,Somervell,Texas,48425.0,3,0.0
270946,2020-06-24,Somervell,Texas,48425.0,5,0.0
274086,2020-06-25,Somervell,Texas,48425.0,5,0.0
277234,2020-06-26,Somervell,Texas,48425.0,5,0.0
280382,2020-06-27,Somervell,Texas,48425.0,5,0.0
283528,2020-06-28,Somervell,Texas,48425.0,5,0.0
286674,2020-06-29,Somervell,Texas,48425.0,5,0.0
289824,2020-06-30,Somervell,Texas,48425.0,6,0.0
292977,2020-07-01,Somervell,Texas,48425.0,8,0.0
296132,2020-07-02,Somervell,Texas,48425.0,9,0.0
299293,2020-07-03,Somervell,Texas,48425.0,9,0.0
302457,2020-07-04,Somervell,Texas,48425.0,11,0.0
305621,2020-07-05,Somervell,Texas,48425.0,11,0.0
308789,2020-07-06,Somervell,Texas,48425.0,11,0.0
311958,2020-07-07,Somervell,Texas,48425.0,16,0.0
315132,2020-07-08,Somervell,Texas,48425.0,20,0.0
318305,2020-07-09,Somervell,Texas,48425.0,22,0.0
321484,2020-07-10,Somervell,Texas,48425.0,23,0.0
324665,2020-07-11,Somervell,Texas,48425.0,25,0.0
327850,2020-07-12,Somervell,Texas,48425.0,25,0.0
331036,2020-07-13,Somervell,Texas,48425.0,25,0.0
334229,2020-07-14,Somervell,Texas,48425.0,30,0.0
337424,2020-07-15,Somervell,Texas,48425.0,30,0.0
340620,2020-07-16,Somervell,Texas,48425.0,33,0.0
343819,2020-07-17,Somervell,Texas,48425.0,35,0.0
347019,2020-07-18,Somervell,Texas,48425.0,35,0.0
350219,2020-07-19,Somervell,Texas,48425.0,35,0.0
353421,2020-07-20,Somervell,Texas,48425.0,35,0.0
356624,2020-07-21,Somervell,Texas,48425.0,39,0.0
359829,2020-07-22,Somervell,Texas,48425.0,39,0.0
363036,2020-07-23,Somervell,Texas,48425.0,39,0.0
366242,2020-07-24,Somervell,Texas,48425.0,45,0.0
369451,2020-07-25,Somervell,Texas,48425.0,46,0.0
372663,2020-07-26,Somervell,Texas,48425.0,46,0.0
375876,2020-07-27,Somervell,Texas,48425.0,46,0.0
379092,2020-07-28,Somervell,Texas,48425.0,46,0.0
382309,2020-07-29,Somervell,Texas,48425.0,49,0.0
385527,2020-07-30,Somervell,Texas,48425.0,51,0.0
388744,2020-07-31,Somervell,Texas,48425.0,56,0.0
391961,2020-08-01,Somervell,Texas,48425.0,58,0.0
395177,2020-08-02,Somervell,Texas,48425.0,58,0.0
398393,2020-08-03,Somervell,Texas,48425.0,58,0.0
401609,2020-08-04,Somervell,Texas,48425.0,61,0.0
404827,2020-08-05,Somervell,Texas,48425.0,65,0.0
408047,2020-08-06,Somervell,Texas,48425.0,66,0.0
411266,2020-08-07,Somervell,Texas,48425.0,73,0.0
414486,2020-08-08,Somervell,Texas,48425.0,74,0.0
417707,2020-08-09,Somervell,Texas,48425.0,74,0.0
420928,2020-08-10,Somervell,Texas,48425.0,74,0.0
424149,2020-08-11,Somervell,Texas,48425.0,77,0.0
427373,2020-08-12,Somervell,Texas,48425.0,79,0.0
430600,2020-08-13,Somervell,Texas,48425.0,83,0.0
433825,2020-08-14,Somervell,Texas,48425.0,84,0.0
437051,2020-08-15,Somervell,Texas,48425.0,85,0.0
440277,2020-08-16,Somervell,Texas,48425.0,85,0.0
443503,2020-08-17,Somervell,Texas,48425.0,85,0.0
446730,2020-08-18,Somervell,Texas,48425.0,95,0.0
449958,2020-08-19,Somervell,Texas,48425.0,105,0.0
453186,2020-08-20,Somervell,Texas,48425.0,106,0.0
456414,2020-08-21,Somervell,Texas,48425.0,108,1.0
459641,2020-08-22,Somervell,Texas,48425.0,113,1.0
462870,2020-08-23,Somervell,Texas,48425.0,113,2.0
466099,2020-08-24,Somervell,Texas,48425.0,113,2.0
469328,2020-08-25,Somervell,Texas,48425.0,114,2.0
472560,2020-08-26,Somervell,Texas,48425.0,114,2.0
475793,2020-08-27,Somervell,Texas,48425.0,117,3.0
479026,2020-08-28,Somervell,Texas,48425.0,117,3.0
482260,2020-08-29,Somervell,Texas,48425.0,118,3.0
485495,2020-08-30,Somervell,Texas,48425.0,118,4.0
488728,2020-08-31,Somervell,Texas,48425.0,118,4.0
491961,2020-09-01,Somervell,Texas,48425.0,119,4.0
495195,2020-09-02,Somervell,Texas,48425.0,119,4.0
498428,2020-09-03,Somervell,Texas,48425.0,121,4.0
501662,2020-09-04,Somervell,Texas,48425.0,123,4.0
504896,2020-09-05,Somervell,Texas,48425.0,125,4.0
508128,2020-09-06,Somervell,Texas,48425.0,125,4.0
511361,2020-09-07,Somervell,Texas,48425.0,125,4.0
514594,2020-09-08,Somervell,Texas,48425.0,125,4.0
517829,2020-09-09,Somervell,Texas,48425.0,126,4.0
521065,2020-09-10,Somervell,Texas,48425.0,126,4.0
524301,2020-09-11,Somervell,Texas,48425.0,132,5.0
527537,2020-09-12,Somervell,Texas,48425.0,133,5.0
530774,2020-09-13,Somervell,Texas,48425.0,133,5.0
534009,2020-09-14,Somervell,Texas,48425.0,133,5.0
537245,2020-09-15,Somervell,Texas,48425.0,134,5.0
540482,2020-09-16,Somervell,Texas,48425.0,134,5.0
543718,2020-09-17,Somervell,Texas,48425.0,134,5.0
546955,2020-09-18,Somervell,Texas,48425.0,137,5.0
550194,2020-09-19,Somervell,Texas,48425.0,137,5.0
553433,2020-09-20,Somervell,Texas,48425.0,137,5.0
556670,2020-09-21,Somervell,Texas,48425.0,137,5.0
559906,2020-09-22,Somervell,Texas,48425.0,140,5.0
563145,2020-09-23,Somervell,Texas,48425.0,140,5.0
566386,2020-09-24,Somervell,Texas,48425.0,140,5.0
569627,2020-09-25,Somervell,Texas,48425.0,140,5.0
572869,2020-09-26,Somervell,Texas,48425.0,143,5.0
576113,2020-09-27,Somervell,Texas,48425.0,143,5.0
579354,2020-09-28,Somervell,Texas,48425.0,143,5.0
582593,2020-09-29,Somervell,Texas,48425.0,145,5.0
585833,2020-09-30,Somervell,Texas,48425.0,146,5.0
589074,2020-10-01,Somervell,Texas,48425.0,148,5.0
592314,2020-10-02,Somervell,Texas,48425.0,147,5.0
595556,2020-10-03,Somervell,Texas,48425.0,148,5.0
598799,2020-10-04,Somervell,Texas,48425.0,148,5.0
602042,2020-10-05,Somervell,Texas,48425.0,148,5.0
605284,2020-10-06,Somervell,Texas,48425.0,150,5.0
608527,2020-10-07,Somervell,Texas,48425.0,150,5.0
611769,2020-10-08,Somervell,Texas,48425.0,151,5.0
615010,2020-10-09,Somervell,Texas,48425.0,152,5.0
618252,2020-10-10,Somervell,Texas,48425.0,151,5.0
621495,2020-10-11,Somervell,Texas,48425.0,151,5.0
624738,2020-10-12,Somervell,Texas,48425.0,151,5.0
627981,2020-10-13,Somervell,Texas,48425.0,151,5.0
631225,2020-10-14,Somervell,Texas,48425.0,151,5.0
634470,2020-10-15,Somervell,Texas,48425.0,152,5.0
637715,2020-10-16,Somervell,Texas,48425.0,153,5.0
640962,2020-10-17,Somervell,Texas,48425.0,154,5.0
644210,2020-10-18,Somervell,Texas,48425.0,154,5.0
647456,2020-10-19,Somervell,Texas,48425.0,154,5.0
650700,2020-10-20,Somervell,Texas,48425.0,154,5.0
653945,2020-10-21,Somervell,Texas,48425.0,156,5.0
657190,2020-10-22,Somervell,Texas,48425.0,156,5.0
660434,2020-10-23,Somervell,Texas,48425.0,157,5.0
663678,2020-10-24,Somervell,Texas,48425.0,156,5.0
666923,2020-10-25,Somervell,Texas,48425.0,156,5.0
670166,2020-10-26,Somervell,Texas,48425.0,156,5.0
673408,2020-10-27,Somervell,Texas,48425.0,158,5.0
676651,2020-10-28,Somervell,Texas,48425.0,159,5.0
679894,2020-10-29,Somervell,Texas,48425.0,159,5.0
683137,2020-10-30,Somervell,Texas,48425.0,159,5.0
686380,2020-10-31,Somervell,Texas,48425.0,160,5.0
689625,2020-11-01,Somervell,Texas,48425.0,160,5.0
692869,2020-11-02,Somervell,Texas,48425.0,160,5.0
696111,2020-11-03,Somervell,Texas,48425.0,165,5.0
699355,2020-11-04,Somervell,Texas,48425.0,165,5.0
702598,2020-11-05,Somervell,Texas,48425.0,174,5.0
705841,2020-11-06,Somervell,Texas,48425.0,176,5.0
709085,2020-11-07,Somervell,Texas,48425.0,176,5.0
712329,2020-11-08,Somervell,Texas,48425.0,176,5.0
715573,2020-11-09,Somervell,Texas,48425.0,176,5.0
718816,2020-11-10,Somervell,Texas,48425.0,191,5.0
722059,2020-11-11,Somervell,Texas,48425.0,191,5.0
725302,2020-11-12,Somervell,Texas,48425.0,191,5.0
728545,2020-11-13,Somervell,Texas,48425.0,205,5.0
731790,2020-11-14,Somervell,Texas,48425.0,210,5.0
735036,2020-11-15,Somervell,Texas,48425.0,210,5.0
738280,2020-11-16,Somervell,Texas,48425.0,210,5.0
741527,2020-11-17,Somervell,Texas,48425.0,217,5.0
744774,2020-11-18,Somervell,Texas,48425.0,222,5.0
748020,2020-11-19,Somervell,Texas,48425.0,224,5.0
751266,2020-11-20,Somervell,Texas,48425.0,225,5.0
754512,2020-11-21,Somervell,Texas,48425.0,228,5.0
757759,2020-11-22,Somervell,Texas,48425.0,228,5.0
761004,2020-11-23,Somervell,Texas,48425.0,228,5.0
764249,2020-11-24,Somervell,Texas,48425.0,242,5.0
767494,2020-11-25,Somervell,Texas,48425.0,245,5.0
770740,2020-11-26,Somervell,Texas,48425.0,260,5.0
773985,2020-11-27,Somervell,Texas,48425.0,260,5.0
777230,2020-11-28,Somervell,Texas,48425.0,260,5.0
780476,2020-11-29,Somervell,Texas,48425.0,261,5.0
783721,2020-11-30,Somervell,Texas,48425.0,261,5.0
786965,2020-12-01,Somervell,Texas,48425.0,261,5.0
790210,2020-12-02,Somervell,Texas,48425.0,284,5.0
793455,2020-12-03,Somervell,Texas,48425.0,295,5.0
796700,2020-12-04,Somervell,Texas,48425.0,298,5.0
799945,2020-12-05,Somervell,Texas,48425.0,303,5.0
803190,2020-12-06,Somervell,Texas,48425.0,303,5.0
806435,2020-12-07,Somervell,Texas,48425.0,303,5.0
809680,2020-12-08,Somervell,Texas,48425.0,316,5.0
812924,2020-12-09,Somervell,Texas,48425.0,318,5.0
816170,2020-12-10,Somervell,Texas,48425.0,322,5.0
819416,2020-12-11,Somervell,Texas,48425.0,564,5.0
822662,2020-12-12,Somervell,Texas,48425.0,569,5.0
