date,county,state,fips,cases,deaths
2020-03-21,Spencer,Kentucky,21215.0,1,0.0
2020-03-22,Spencer,Kentucky,21215.0,1,0.0
2020-03-23,Spencer,Kentucky,21215.0,1,0.0
2020-03-24,Spencer,Kentucky,21215.0,1,0.0
2020-03-25,Spencer,Kentucky,21215.0,1,0.0
2020-03-26,Spencer,Kentucky,21215.0,1,0.0
2020-03-27,Spencer,Kentucky,21215.0,1,0.0
2020-03-28,Spencer,Kentucky,21215.0,1,0.0
2020-03-29,Spencer,Kentucky,21215.0,1,0.0
2020-03-30,Spencer,Kentucky,21215.0,1,0.0
2020-03-31,Spencer,Kentucky,21215.0,2,0.0
2020-04-01,Spencer,Kentucky,21215.0,3,0.0
2020-04-02,Spencer,Indiana,18147.0,1,0.0
2020-04-02,Spencer,Kentucky,21215.0,4,0.0
2020-04-03,Spencer,Indiana,18147.0,1,0.0
2020-04-03,Spencer,Kentucky,21215.0,4,0.0
2020-04-04,Spencer,Indiana,18147.0,1,0.0
2020-04-04,Spencer,Kentucky,21215.0,4,0.0
2020-04-05,Spencer,Indiana,18147.0,1,0.0
2020-04-05,Spencer,Kentucky,21215.0,2,0.0
2020-04-06,Spencer,Indiana,18147.0,1,0.0
2020-04-06,Spencer,Kentucky,21215.0,2,0.0
2020-04-07,Spencer,Indiana,18147.0,1,0.0
2020-04-07,Spencer,Kentucky,21215.0,3,0.0
2020-04-08,Spencer,Indiana,18147.0,1,0.0
2020-04-08,Spencer,Kentucky,21215.0,3,0.0
2020-04-09,Spencer,Indiana,18147.0,1,0.0
2020-04-09,Spencer,Kentucky,21215.0,4,0.0
2020-04-10,Spencer,Indiana,18147.0,1,0.0
2020-04-10,Spencer,Kentucky,21215.0,5,0.0
2020-04-11,Spencer,Indiana,18147.0,2,0.0
2020-04-11,Spencer,Kentucky,21215.0,6,0.0
2020-04-12,Spencer,Indiana,18147.0,3,0.0
2020-04-12,Spencer,Kentucky,21215.0,6,0.0
2020-04-13,Spencer,Indiana,18147.0,3,0.0
2020-04-13,Spencer,Kentucky,21215.0,6,0.0
2020-04-14,Spencer,Indiana,18147.0,3,0.0
2020-04-14,Spencer,Kentucky,21215.0,9,0.0
2020-04-15,Spencer,Indiana,18147.0,4,0.0
2020-04-15,Spencer,Kentucky,21215.0,8,0.0
2020-04-16,Spencer,Indiana,18147.0,4,0.0
2020-04-16,Spencer,Kentucky,21215.0,8,0.0
2020-04-17,Spencer,Indiana,18147.0,4,0.0
2020-04-17,Spencer,Kentucky,21215.0,8,0.0
2020-04-18,Spencer,Indiana,18147.0,4,0.0
2020-04-18,Spencer,Kentucky,21215.0,8,0.0
2020-04-19,Spencer,Indiana,18147.0,4,0.0
2020-04-19,Spencer,Kentucky,21215.0,9,0.0
2020-04-20,Spencer,Indiana,18147.0,4,0.0
2020-04-20,Spencer,Kentucky,21215.0,9,0.0
2020-04-21,Spencer,Indiana,18147.0,8,0.0
2020-04-21,Spencer,Kentucky,21215.0,9,0.0
2020-04-22,Spencer,Indiana,18147.0,8,0.0
2020-04-22,Spencer,Kentucky,21215.0,9,0.0
2020-04-23,Spencer,Indiana,18147.0,8,0.0
2020-04-23,Spencer,Kentucky,21215.0,9,0.0
2020-04-24,Spencer,Indiana,18147.0,8,0.0
2020-04-24,Spencer,Kentucky,21215.0,9,0.0
2020-04-25,Spencer,Indiana,18147.0,8,0.0
2020-04-25,Spencer,Kentucky,21215.0,10,0.0
2020-04-26,Spencer,Indiana,18147.0,8,0.0
2020-04-26,Spencer,Kentucky,21215.0,10,0.0
2020-04-27,Spencer,Indiana,18147.0,8,0.0
2020-04-27,Spencer,Kentucky,21215.0,10,0.0
2020-04-28,Spencer,Indiana,18147.0,8,0.0
2020-04-28,Spencer,Kentucky,21215.0,10,0.0
2020-04-29,Spencer,Indiana,18147.0,8,0.0
2020-04-29,Spencer,Kentucky,21215.0,12,0.0
2020-04-30,Spencer,Indiana,18147.0,8,0.0
2020-04-30,Spencer,Kentucky,21215.0,13,0.0
2020-05-01,Spencer,Indiana,18147.0,8,0.0
2020-05-01,Spencer,Kentucky,21215.0,13,0.0
2020-05-02,Spencer,Indiana,18147.0,8,1.0
2020-05-02,Spencer,Kentucky,21215.0,13,0.0
2020-05-03,Spencer,Indiana,18147.0,8,1.0
2020-05-03,Spencer,Kentucky,21215.0,13,0.0
2020-05-04,Spencer,Indiana,18147.0,8,1.0
2020-05-04,Spencer,Kentucky,21215.0,14,0.0
2020-05-05,Spencer,Indiana,18147.0,8,1.0
2020-05-05,Spencer,Kentucky,21215.0,15,0.0
2020-05-06,Spencer,Indiana,18147.0,9,1.0
2020-05-06,Spencer,Kentucky,21215.0,16,0.0
2020-05-07,Spencer,Indiana,18147.0,9,1.0
2020-05-07,Spencer,Kentucky,21215.0,16,0.0
2020-05-08,Spencer,Indiana,18147.0,10,1.0
2020-05-08,Spencer,Kentucky,21215.0,16,0.0
2020-05-09,Spencer,Indiana,18147.0,10,1.0
2020-05-09,Spencer,Kentucky,21215.0,16,0.0
2020-05-10,Spencer,Indiana,18147.0,10,1.0
2020-05-10,Spencer,Kentucky,21215.0,16,0.0
2020-05-11,Spencer,Indiana,18147.0,10,1.0
2020-05-11,Spencer,Kentucky,21215.0,17,0.0
2020-05-12,Spencer,Indiana,18147.0,10,1.0
2020-05-12,Spencer,Kentucky,21215.0,16,0.0
2020-05-13,Spencer,Indiana,18147.0,10,1.0
2020-05-13,Spencer,Kentucky,21215.0,16,0.0
2020-05-14,Spencer,Indiana,18147.0,10,1.0
2020-05-14,Spencer,Kentucky,21215.0,16,0.0
2020-05-15,Spencer,Indiana,18147.0,10,1.0
2020-05-15,Spencer,Kentucky,21215.0,16,0.0
2020-05-16,Spencer,Indiana,18147.0,11,1.0
2020-05-16,Spencer,Kentucky,21215.0,16,0.0
2020-05-17,Spencer,Indiana,18147.0,14,1.0
2020-05-17,Spencer,Kentucky,21215.0,16,0.0
2020-05-18,Spencer,Indiana,18147.0,15,1.0
2020-05-18,Spencer,Kentucky,21215.0,16,0.0
2020-05-19,Spencer,Indiana,18147.0,15,1.0
2020-05-19,Spencer,Kentucky,21215.0,16,0.0
2020-05-20,Spencer,Indiana,18147.0,16,1.0
2020-05-20,Spencer,Kentucky,21215.0,16,0.0
2020-05-21,Spencer,Indiana,18147.0,16,1.0
2020-05-21,Spencer,Kentucky,21215.0,16,0.0
2020-05-22,Spencer,Indiana,18147.0,17,1.0
2020-05-22,Spencer,Kentucky,21215.0,16,0.0
2020-05-23,Spencer,Indiana,18147.0,17,1.0
2020-05-23,Spencer,Kentucky,21215.0,16,0.0
2020-05-24,Spencer,Indiana,18147.0,17,1.0
2020-05-24,Spencer,Kentucky,21215.0,16,0.0
2020-05-25,Spencer,Indiana,18147.0,19,1.0
2020-05-25,Spencer,Kentucky,21215.0,16,0.0
2020-05-26,Spencer,Indiana,18147.0,20,1.0
2020-05-26,Spencer,Kentucky,21215.0,17,0.0
2020-05-27,Spencer,Indiana,18147.0,20,1.0
2020-05-27,Spencer,Kentucky,21215.0,17,0.0
2020-05-28,Spencer,Indiana,18147.0,22,1.0
2020-05-28,Spencer,Kentucky,21215.0,19,0.0
2020-05-29,Spencer,Indiana,18147.0,22,1.0
2020-05-29,Spencer,Kentucky,21215.0,19,0.0
2020-05-30,Spencer,Indiana,18147.0,23,1.0
2020-05-30,Spencer,Kentucky,21215.0,22,0.0
2020-05-31,Spencer,Indiana,18147.0,23,1.0
2020-05-31,Spencer,Kentucky,21215.0,22,0.0
2020-06-01,Spencer,Indiana,18147.0,23,1.0
2020-06-01,Spencer,Kentucky,21215.0,22,0.0
2020-06-02,Spencer,Indiana,18147.0,24,1.0
2020-06-02,Spencer,Kentucky,21215.0,22,0.0
2020-06-03,Spencer,Indiana,18147.0,24,1.0
2020-06-03,Spencer,Kentucky,21215.0,24,0.0
2020-06-04,Spencer,Indiana,18147.0,24,1.0
2020-06-04,Spencer,Kentucky,21215.0,24,0.0
2020-06-05,Spencer,Indiana,18147.0,25,1.0
2020-06-05,Spencer,Kentucky,21215.0,24,0.0
2020-06-06,Spencer,Indiana,18147.0,25,1.0
2020-06-06,Spencer,Kentucky,21215.0,25,0.0
2020-06-07,Spencer,Indiana,18147.0,25,1.0
2020-06-07,Spencer,Kentucky,21215.0,25,0.0
2020-06-08,Spencer,Indiana,18147.0,25,1.0
2020-06-08,Spencer,Kentucky,21215.0,25,0.0
2020-06-09,Spencer,Indiana,18147.0,25,1.0
2020-06-09,Spencer,Kentucky,21215.0,25,0.0
2020-06-10,Spencer,Indiana,18147.0,25,1.0
2020-06-10,Spencer,Kentucky,21215.0,25,0.0
2020-06-11,Spencer,Indiana,18147.0,25,1.0
2020-06-11,Spencer,Kentucky,21215.0,25,0.0
2020-06-12,Spencer,Indiana,18147.0,25,1.0
2020-06-12,Spencer,Kentucky,21215.0,25,0.0
2020-06-13,Spencer,Indiana,18147.0,25,1.0
2020-06-13,Spencer,Kentucky,21215.0,26,0.0
2020-06-14,Spencer,Indiana,18147.0,26,1.0
2020-06-14,Spencer,Kentucky,21215.0,26,0.0
2020-06-15,Spencer,Indiana,18147.0,26,1.0
2020-06-15,Spencer,Kentucky,21215.0,26,0.0
2020-06-16,Spencer,Indiana,18147.0,26,1.0
2020-06-16,Spencer,Kentucky,21215.0,26,0.0
2020-06-17,Spencer,Indiana,18147.0,26,1.0
2020-06-17,Spencer,Kentucky,21215.0,26,0.0
2020-06-18,Spencer,Indiana,18147.0,26,1.0
2020-06-18,Spencer,Kentucky,21215.0,28,0.0
2020-06-19,Spencer,Indiana,18147.0,27,1.0
2020-06-19,Spencer,Kentucky,21215.0,28,0.0
2020-06-20,Spencer,Indiana,18147.0,27,1.0
2020-06-20,Spencer,Kentucky,21215.0,29,0.0
2020-06-21,Spencer,Indiana,18147.0,27,1.0
2020-06-21,Spencer,Kentucky,21215.0,29,0.0
2020-06-22,Spencer,Indiana,18147.0,28,1.0
2020-06-22,Spencer,Kentucky,21215.0,29,0.0
2020-06-23,Spencer,Indiana,18147.0,28,1.0
2020-06-23,Spencer,Kentucky,21215.0,31,0.0
2020-06-24,Spencer,Indiana,18147.0,30,1.0
2020-06-24,Spencer,Kentucky,21215.0,33,0.0
2020-06-25,Spencer,Indiana,18147.0,31,1.0
2020-06-25,Spencer,Kentucky,21215.0,33,0.0
2020-06-26,Spencer,Indiana,18147.0,31,1.0
2020-06-26,Spencer,Kentucky,21215.0,33,0.0
2020-06-27,Spencer,Indiana,18147.0,33,1.0
2020-06-27,Spencer,Kentucky,21215.0,36,0.0
2020-06-28,Spencer,Indiana,18147.0,33,1.0
2020-06-28,Spencer,Kentucky,21215.0,36,0.0
2020-06-29,Spencer,Indiana,18147.0,33,1.0
2020-06-29,Spencer,Kentucky,21215.0,36,0.0
2020-06-30,Spencer,Indiana,18147.0,33,1.0
2020-06-30,Spencer,Kentucky,21215.0,36,0.0
2020-07-01,Spencer,Indiana,18147.0,34,1.0
2020-07-01,Spencer,Kentucky,21215.0,37,0.0
2020-07-02,Spencer,Indiana,18147.0,36,1.0
2020-07-02,Spencer,Kentucky,21215.0,37,0.0
2020-07-03,Spencer,Indiana,18147.0,38,1.0
2020-07-03,Spencer,Kentucky,21215.0,38,0.0
2020-07-04,Spencer,Indiana,18147.0,40,1.0
2020-07-04,Spencer,Kentucky,21215.0,38,0.0
2020-07-05,Spencer,Indiana,18147.0,41,1.0
2020-07-05,Spencer,Kentucky,21215.0,38,0.0
2020-07-06,Spencer,Indiana,18147.0,41,1.0
2020-07-06,Spencer,Kentucky,21215.0,40,0.0
2020-07-07,Spencer,Indiana,18147.0,44,1.0
2020-07-07,Spencer,Kentucky,21215.0,40,0.0
2020-07-08,Spencer,Indiana,18147.0,47,1.0
2020-07-08,Spencer,Kentucky,21215.0,41,0.0
2020-07-09,Spencer,Indiana,18147.0,49,1.0
2020-07-09,Spencer,Kentucky,21215.0,41,0.0
2020-07-10,Spencer,Indiana,18147.0,53,1.0
2020-07-10,Spencer,Kentucky,21215.0,43,0.0
2020-07-11,Spencer,Indiana,18147.0,57,1.0
2020-07-11,Spencer,Kentucky,21215.0,48,0.0
2020-07-12,Spencer,Indiana,18147.0,60,1.0
2020-07-12,Spencer,Kentucky,21215.0,48,0.0
2020-07-13,Spencer,Indiana,18147.0,62,1.0
2020-07-13,Spencer,Kentucky,21215.0,49,0.0
2020-07-14,Spencer,Indiana,18147.0,65,1.0
2020-07-14,Spencer,Kentucky,21215.0,52,0.0
2020-07-15,Spencer,Indiana,18147.0,67,1.0
2020-07-15,Spencer,Kentucky,21215.0,53,0.0
