,date,county,state,fips,cases,deaths
8915,2020-03-23,St. Francois,Missouri,29187.0,1,0.0
10217,2020-03-24,St. Francois,Missouri,29187.0,1,0.0
11646,2020-03-25,St. Francois,Missouri,29187.0,2,0.0
13244,2020-03-26,St. Francois,Missouri,29187.0,2,0.0
14972,2020-03-27,St. Francois,Missouri,29187.0,4,0.0
16797,2020-03-28,St. Francois,Missouri,29187.0,4,0.0
18719,2020-03-29,St. Francois,Missouri,29187.0,4,0.0
20752,2020-03-30,St. Francois,Missouri,29187.0,3,0.0
22871,2020-03-31,St. Francois,Missouri,29187.0,5,0.0
25059,2020-04-01,St. Francois,Missouri,29187.0,5,0.0
27316,2020-04-02,St. Francois,Missouri,29187.0,9,0.0
29638,2020-04-03,St. Francois,Missouri,29187.0,12,0.0
32019,2020-04-04,St. Francois,Missouri,29187.0,14,0.0
34447,2020-04-05,St. Francois,Missouri,29187.0,15,0.0
36913,2020-04-06,St. Francois,Missouri,29187.0,17,0.0
39429,2020-04-07,St. Francois,Missouri,29187.0,19,0.0
41983,2020-04-08,St. Francois,Missouri,29187.0,20,1.0
44561,2020-04-09,St. Francois,Missouri,29187.0,20,1.0
47170,2020-04-10,St. Francois,Missouri,29187.0,20,1.0
49818,2020-04-11,St. Francois,Missouri,29187.0,21,1.0
52491,2020-04-12,St. Francois,Missouri,29187.0,23,1.0
55173,2020-04-13,St. Francois,Missouri,29187.0,23,1.0
57871,2020-04-14,St. Francois,Missouri,29187.0,22,1.0
60585,2020-04-15,St. Francois,Missouri,29187.0,22,1.0
63307,2020-04-16,St. Francois,Missouri,29187.0,23,1.0
66047,2020-04-17,St. Francois,Missouri,29187.0,24,1.0
68801,2020-04-18,St. Francois,Missouri,29187.0,23,1.0
71568,2020-04-19,St. Francois,Missouri,29187.0,23,1.0
74341,2020-04-20,St. Francois,Missouri,29187.0,23,1.0
77122,2020-04-21,St. Francois,Missouri,29187.0,24,1.0
79909,2020-04-22,St. Francois,Missouri,29187.0,24,1.0
82705,2020-04-23,St. Francois,Missouri,29187.0,25,1.0
85509,2020-04-24,St. Francois,Missouri,29187.0,25,1.0
88319,2020-04-25,St. Francois,Missouri,29187.0,26,1.0
91135,2020-04-26,St. Francois,Missouri,29187.0,28,1.0
93956,2020-04-27,St. Francois,Missouri,29187.0,28,1.0
96792,2020-04-28,St. Francois,Missouri,29187.0,27,1.0
99638,2020-04-29,St. Francois,Missouri,29187.0,27,1.0
102490,2020-04-30,St. Francois,Missouri,29187.0,27,1.0
105351,2020-05-01,St. Francois,Missouri,29187.0,27,1.0
108216,2020-05-02,St. Francois,Missouri,29187.0,27,1.0
111088,2020-05-03,St. Francois,Missouri,29187.0,27,1.0
113967,2020-05-04,St. Francois,Missouri,29187.0,27,1.0
116849,2020-05-05,St. Francois,Missouri,29187.0,27,1.0
119809,2020-05-06,St. Francois,Missouri,29187.0,27,1.0
122783,2020-05-07,St. Francois,Missouri,29187.0,27,1.0
125765,2020-05-08,St. Francois,Missouri,29187.0,29,1.0
128753,2020-05-09,St. Francois,Missouri,29187.0,29,1.0
131743,2020-05-10,St. Francois,Missouri,29187.0,30,1.0
134734,2020-05-11,St. Francois,Missouri,29187.0,30,1.0
137724,2020-05-12,St. Francois,Missouri,29187.0,30,1.0
140718,2020-05-13,St. Francois,Missouri,29187.0,30,1.0
143713,2020-05-14,St. Francois,Missouri,29187.0,30,2.0
146714,2020-05-15,St. Francois,Missouri,29187.0,30,2.0
149720,2020-05-16,St. Francois,Missouri,29187.0,30,2.0
152731,2020-05-17,St. Francois,Missouri,29187.0,30,2.0
155745,2020-05-18,St. Francois,Missouri,29187.0,30,2.0
158763,2020-05-19,St. Francois,Missouri,29187.0,30,2.0
161789,2020-05-20,St. Francois,Missouri,29187.0,30,2.0
164818,2020-05-21,St. Francois,Missouri,29187.0,30,2.0
167854,2020-05-22,St. Francois,Missouri,29187.0,31,2.0
170893,2020-05-23,St. Francois,Missouri,29187.0,31,2.0
