,date,county,state,fips,cases,deaths
37819,2020-04-06,St. John,Virgin Islands,78020.0,2,0.0
40349,2020-04-07,St. John,Virgin Islands,78020.0,2,0.0
42918,2020-04-08,St. John,Virgin Islands,78020.0,2,0.0
45512,2020-04-09,St. John,Virgin Islands,78020.0,2,0.0
48136,2020-04-10,St. John,Virgin Islands,78020.0,2,0.0
50794,2020-04-11,St. John,Virgin Islands,78020.0,2,0.0
53469,2020-04-12,St. John,Virgin Islands,78020.0,2,0.0
56158,2020-04-13,St. John,Virgin Islands,78020.0,2,0.0
58864,2020-04-14,St. John,Virgin Islands,78020.0,2,0.0
61583,2020-04-15,St. John,Virgin Islands,78020.0,2,0.0
64315,2020-04-16,St. John,Virgin Islands,78020.0,2,0.0
67063,2020-04-17,St. John,Virgin Islands,78020.0,2,0.0
69825,2020-04-18,St. John,Virgin Islands,78020.0,2,0.0
72595,2020-04-19,St. John,Virgin Islands,78020.0,2,0.0
75371,2020-04-20,St. John,Virgin Islands,78020.0,2,0.0
78153,2020-04-21,St. John,Virgin Islands,78020.0,2,0.0
80945,2020-04-22,St. John,Virgin Islands,78020.0,2,0.0
83746,2020-04-23,St. John,Virgin Islands,78020.0,2,0.0
86553,2020-04-24,St. John,Virgin Islands,78020.0,2,0.0
89368,2020-04-25,St. John,Virgin Islands,78020.0,2,0.0
92185,2020-04-26,St. John,Virgin Islands,78020.0,2,0.0
95014,2020-04-27,St. John,Virgin Islands,78020.0,2,0.0
97856,2020-04-28,St. John,Virgin Islands,78020.0,2,0.0
100706,2020-04-29,St. John,Virgin Islands,78020.0,2,0.0
103561,2020-04-30,St. John,Virgin Islands,78020.0,2,0.0
106425,2020-05-01,St. John,Virgin Islands,78020.0,2,0.0
109294,2020-05-02,St. John,Virgin Islands,78020.0,2,0.0
112168,2020-05-03,St. John,Virgin Islands,78020.0,2,0.0
115051,2020-05-04,St. John,Virgin Islands,78020.0,2,0.0
118010,2020-05-05,St. John,Virgin Islands,78020.0,2,0.0
120974,2020-05-06,St. John,Virgin Islands,78020.0,2,0.0
123955,2020-05-07,St. John,Virgin Islands,78020.0,2,0.0
126940,2020-05-08,St. John,Virgin Islands,78020.0,2,0.0
129929,2020-05-09,St. John,Virgin Islands,78020.0,2,0.0
132919,2020-05-10,St. John,Virgin Islands,78020.0,2,0.0
135909,2020-05-11,St. John,Virgin Islands,78020.0,2,0.0
138900,2020-05-12,St. John,Virgin Islands,78020.0,2,0.0
141896,2020-05-13,St. John,Virgin Islands,78020.0,2,0.0
144893,2020-05-14,St. John,Virgin Islands,78020.0,2,0.0
147896,2020-05-15,St. John,Virgin Islands,78020.0,2,0.0
150905,2020-05-16,St. John,Virgin Islands,78020.0,2,0.0
153916,2020-05-17,St. John,Virgin Islands,78020.0,2,0.0
156933,2020-05-18,St. John,Virgin Islands,78020.0,2,0.0
159957,2020-05-19,St. John,Virgin Islands,78020.0,2,0.0
162985,2020-05-20,St. John,Virgin Islands,78020.0,2,0.0
166014,2020-05-21,St. John,Virgin Islands,78020.0,2,0.0
169050,2020-05-22,St. John,Virgin Islands,78020.0,2,0.0
172091,2020-05-23,St. John,Virgin Islands,78020.0,2,0.0
175134,2020-05-24,St. John,Virgin Islands,78020.0,2,0.0
178179,2020-05-25,St. John,Virgin Islands,78020.0,2,0.0
181223,2020-05-26,St. John,Virgin Islands,78020.0,2,0.0
184274,2020-05-27,St. John,Virgin Islands,78020.0,2,0.0
187331,2020-05-28,St. John,Virgin Islands,78020.0,2,0.0
190395,2020-05-29,St. John,Virgin Islands,78020.0,2,0.0
193461,2020-05-30,St. John,Virgin Islands,78020.0,2,0.0
196531,2020-05-31,St. John,Virgin Islands,78020.0,2,0.0
199604,2020-06-01,St. John,Virgin Islands,78020.0,2,0.0
202680,2020-06-02,St. John,Virgin Islands,78020.0,2,0.0
205759,2020-06-03,St. John,Virgin Islands,78020.0,2,0.0
208841,2020-06-04,St. John,Virgin Islands,78020.0,2,0.0
211926,2020-06-05,St. John,Virgin Islands,78020.0,2,0.0
215013,2020-06-06,St. John,Virgin Islands,78020.0,2,0.0
218103,2020-06-07,St. John,Virgin Islands,78020.0,2,0.0
221195,2020-06-08,St. John,Virgin Islands,78020.0,2,0.0
224291,2020-06-09,St. John,Virgin Islands,78020.0,2,0.0
227391,2020-06-10,St. John,Virgin Islands,78020.0,2,0.0
230495,2020-06-11,St. John,Virgin Islands,78020.0,2,0.0
233600,2020-06-12,St. John,Virgin Islands,78020.0,2,0.0
236707,2020-06-13,St. John,Virgin Islands,78020.0,2,0.0
239815,2020-06-14,St. John,Virgin Islands,78020.0,3,0.0
242926,2020-06-15,St. John,Virgin Islands,78020.0,3,0.0
246038,2020-06-16,St. John,Virgin Islands,78020.0,3,0.0
249150,2020-06-17,St. John,Virgin Islands,78020.0,3,0.0
252265,2020-06-18,St. John,Virgin Islands,78020.0,4,0.0
255383,2020-06-19,St. John,Virgin Islands,78020.0,4,0.0
258510,2020-06-20,St. John,Virgin Islands,78020.0,4,0.0
261637,2020-06-21,St. John,Virgin Islands,78020.0,4,0.0
264766,2020-06-22,St. John,Virgin Islands,78020.0,4,0.0
267895,2020-06-23,St. John,Virgin Islands,78020.0,4,0.0
271029,2020-06-24,St. John,Virgin Islands,78020.0,4,0.0
274169,2020-06-25,St. John,Virgin Islands,78020.0,4,0.0
277317,2020-06-26,St. John,Virgin Islands,78020.0,4,0.0
280465,2020-06-27,St. John,Virgin Islands,78020.0,4,0.0
283611,2020-06-28,St. John,Virgin Islands,78020.0,4,0.0
286757,2020-06-29,St. John,Virgin Islands,78020.0,4,0.0
289907,2020-06-30,St. John,Virgin Islands,78020.0,4,0.0
293060,2020-07-01,St. John,Virgin Islands,78020.0,4,0.0
296215,2020-07-02,St. John,Virgin Islands,78020.0,4,0.0
299377,2020-07-03,St. John,Virgin Islands,78020.0,4,0.0
302541,2020-07-04,St. John,Virgin Islands,78020.0,4,0.0
305705,2020-07-05,St. John,Virgin Islands,78020.0,4,0.0
308873,2020-07-06,St. John,Virgin Islands,78020.0,4,0.0
312042,2020-07-07,St. John,Virgin Islands,78020.0,4,0.0
315216,2020-07-08,St. John,Virgin Islands,78020.0,6,0.0
318389,2020-07-09,St. John,Virgin Islands,78020.0,6,0.0
321568,2020-07-10,St. John,Virgin Islands,78020.0,6,0.0
324749,2020-07-11,St. John,Virgin Islands,78020.0,6,0.0
327934,2020-07-12,St. John,Virgin Islands,78020.0,6,0.0
331120,2020-07-13,St. John,Virgin Islands,78020.0,7,0.0
334313,2020-07-14,St. John,Virgin Islands,78020.0,9,0.0
337508,2020-07-15,St. John,Virgin Islands,78020.0,9,0.0
340704,2020-07-16,St. John,Virgin Islands,78020.0,10,0.0
343903,2020-07-17,St. John,Virgin Islands,78020.0,11,0.0
347103,2020-07-18,St. John,Virgin Islands,78020.0,12,0.0
350304,2020-07-19,St. John,Virgin Islands,78020.0,12,0.0
353506,2020-07-20,St. John,Virgin Islands,78020.0,12,0.0
356709,2020-07-21,St. John,Virgin Islands,78020.0,12,0.0
359914,2020-07-22,St. John,Virgin Islands,78020.0,15,0.0
363121,2020-07-23,St. John,Virgin Islands,78020.0,15,0.0
366327,2020-07-24,St. John,Virgin Islands,78020.0,15,0.0
369536,2020-07-25,St. John,Virgin Islands,78020.0,15,0.0
372748,2020-07-26,St. John,Virgin Islands,78020.0,15,0.0
375962,2020-07-27,St. John,Virgin Islands,78020.0,16,0.0
379178,2020-07-28,St. John,Virgin Islands,78020.0,16,0.0
382395,2020-07-29,St. John,Virgin Islands,78020.0,16,0.0
385613,2020-07-30,St. John,Virgin Islands,78020.0,16,0.0
388830,2020-07-31,St. John,Virgin Islands,78020.0,16,0.0
392047,2020-08-01,St. John,Virgin Islands,78020.0,16,0.0
395263,2020-08-02,St. John,Virgin Islands,78020.0,16,0.0
398479,2020-08-03,St. John,Virgin Islands,78020.0,17,0.0
401695,2020-08-04,St. John,Virgin Islands,78020.0,17,0.0
404913,2020-08-05,St. John,Virgin Islands,78020.0,17,0.0
408133,2020-08-06,St. John,Virgin Islands,78020.0,18,0.0
411352,2020-08-07,St. John,Virgin Islands,78020.0,18,0.0
414572,2020-08-08,St. John,Virgin Islands,78020.0,18,0.0
417793,2020-08-09,St. John,Virgin Islands,78020.0,19,0.0
421014,2020-08-10,St. John,Virgin Islands,78020.0,19,0.0
424235,2020-08-11,St. John,Virgin Islands,78020.0,20,0.0
427459,2020-08-12,St. John,Virgin Islands,78020.0,20,0.0
430687,2020-08-13,St. John,Virgin Islands,78020.0,22,0.0
433912,2020-08-14,St. John,Virgin Islands,78020.0,23,0.0
437138,2020-08-15,St. John,Virgin Islands,78020.0,23,0.0
440364,2020-08-16,St. John,Virgin Islands,78020.0,23,0.0
443590,2020-08-17,St. John,Virgin Islands,78020.0,23,0.0
446817,2020-08-18,St. John,Virgin Islands,78020.0,23,0.0
450045,2020-08-19,St. John,Virgin Islands,78020.0,25,0.0
453273,2020-08-20,St. John,Virgin Islands,78020.0,27,0.0
456501,2020-08-21,St. John,Virgin Islands,78020.0,32,0.0
459728,2020-08-22,St. John,Virgin Islands,78020.0,32,0.0
462957,2020-08-23,St. John,Virgin Islands,78020.0,32,0.0
466186,2020-08-24,St. John,Virgin Islands,78020.0,32,0.0
469415,2020-08-25,St. John,Virgin Islands,78020.0,34,0.0
472647,2020-08-26,St. John,Virgin Islands,78020.0,34,0.0
475880,2020-08-27,St. John,Virgin Islands,78020.0,35,0.0
479113,2020-08-28,St. John,Virgin Islands,78020.0,35,0.0
482347,2020-08-29,St. John,Virgin Islands,78020.0,37,0.0
485582,2020-08-30,St. John,Virgin Islands,78020.0,37,0.0
488815,2020-08-31,St. John,Virgin Islands,78020.0,37,0.0
492048,2020-09-01,St. John,Virgin Islands,78020.0,37,0.0
495282,2020-09-02,St. John,Virgin Islands,78020.0,37,0.0
498515,2020-09-03,St. John,Virgin Islands,78020.0,40,1.0
501749,2020-09-04,St. John,Virgin Islands,78020.0,40,1.0
504983,2020-09-05,St. John,Virgin Islands,78020.0,43,1.0
508215,2020-09-06,St. John,Virgin Islands,78020.0,43,1.0
511448,2020-09-07,St. John,Virgin Islands,78020.0,44,1.0
514681,2020-09-08,St. John,Virgin Islands,78020.0,44,1.0
517916,2020-09-09,St. John,Virgin Islands,78020.0,43,1.0
521153,2020-09-10,St. John,Virgin Islands,78020.0,43,1.0
524389,2020-09-11,St. John,Virgin Islands,78020.0,43,1.0
527625,2020-09-12,St. John,Virgin Islands,78020.0,44,1.0
530862,2020-09-13,St. John,Virgin Islands,78020.0,44,1.0
534097,2020-09-14,St. John,Virgin Islands,78020.0,44,1.0
537333,2020-09-15,St. John,Virgin Islands,78020.0,45,1.0
540570,2020-09-16,St. John,Virgin Islands,78020.0,45,1.0
543806,2020-09-17,St. John,Virgin Islands,78020.0,45,1.0
547043,2020-09-18,St. John,Virgin Islands,78020.0,45,1.0
550282,2020-09-19,St. John,Virgin Islands,78020.0,45,1.0
553521,2020-09-20,St. John,Virgin Islands,78020.0,53,1.0
556758,2020-09-21,St. John,Virgin Islands,78020.0,53,1.0
559994,2020-09-22,St. John,Virgin Islands,78020.0,57,1.0
563233,2020-09-23,St. John,Virgin Islands,78020.0,57,1.0
566474,2020-09-24,St. John,Virgin Islands,78020.0,57,1.0
569715,2020-09-25,St. John,Virgin Islands,78020.0,57,1.0
572957,2020-09-26,St. John,Virgin Islands,78020.0,60,1.0
576201,2020-09-27,St. John,Virgin Islands,78020.0,60,1.0
579442,2020-09-28,St. John,Virgin Islands,78020.0,60,1.0
582681,2020-09-29,St. John,Virgin Islands,78020.0,60,1.0
585921,2020-09-30,St. John,Virgin Islands,78020.0,60,1.0
589162,2020-10-01,St. John,Virgin Islands,78020.0,64,1.0
592402,2020-10-02,St. John,Virgin Islands,78020.0,64,1.0
595644,2020-10-03,St. John,Virgin Islands,78020.0,64,1.0
598887,2020-10-04,St. John,Virgin Islands,78020.0,64,1.0
602130,2020-10-05,St. John,Virgin Islands,78020.0,64,1.0
605372,2020-10-06,St. John,Virgin Islands,78020.0,64,1.0
608615,2020-10-07,St. John,Virgin Islands,78020.0,64,1.0
611857,2020-10-08,St. John,Virgin Islands,78020.0,65,1.0
615098,2020-10-09,St. John,Virgin Islands,78020.0,65,1.0
618340,2020-10-10,St. John,Virgin Islands,78020.0,65,1.0
621583,2020-10-11,St. John,Virgin Islands,78020.0,65,1.0
624826,2020-10-12,St. John,Virgin Islands,78020.0,65,1.0
628069,2020-10-13,St. John,Virgin Islands,78020.0,65,1.0
631313,2020-10-14,St. John,Virgin Islands,78020.0,65,1.0
634558,2020-10-15,St. John,Virgin Islands,78020.0,66,1.0
637803,2020-10-16,St. John,Virgin Islands,78020.0,66,1.0
641050,2020-10-17,St. John,Virgin Islands,78020.0,66,1.0
644298,2020-10-18,St. John,Virgin Islands,78020.0,66,1.0
647544,2020-10-19,St. John,Virgin Islands,78020.0,66,1.0
650788,2020-10-20,St. John,Virgin Islands,78020.0,66,1.0
654033,2020-10-21,St. John,Virgin Islands,78020.0,66,1.0
657278,2020-10-22,St. John,Virgin Islands,78020.0,67,1.0
660522,2020-10-23,St. John,Virgin Islands,78020.0,67,1.0
663766,2020-10-24,St. John,Virgin Islands,78020.0,67,1.0
667011,2020-10-25,St. John,Virgin Islands,78020.0,67,1.0
670254,2020-10-26,St. John,Virgin Islands,78020.0,67,1.0
673496,2020-10-27,St. John,Virgin Islands,78020.0,67,1.0
676739,2020-10-28,St. John,Virgin Islands,78020.0,67,1.0
679982,2020-10-29,St. John,Virgin Islands,78020.0,67,1.0
683225,2020-10-30,St. John,Virgin Islands,78020.0,68,1.0
686468,2020-10-31,St. John,Virgin Islands,78020.0,68,1.0
689713,2020-11-01,St. John,Virgin Islands,78020.0,68,1.0
692957,2020-11-02,St. John,Virgin Islands,78020.0,68,1.0
696199,2020-11-03,St. John,Virgin Islands,78020.0,68,1.0
699443,2020-11-04,St. John,Virgin Islands,78020.0,68,1.0
702686,2020-11-05,St. John,Virgin Islands,78020.0,68,1.0
705929,2020-11-06,St. John,Virgin Islands,78020.0,68,1.0
709173,2020-11-07,St. John,Virgin Islands,78020.0,69,1.0
712417,2020-11-08,St. John,Virgin Islands,78020.0,69,1.0
715661,2020-11-09,St. John,Virgin Islands,78020.0,69,1.0
718904,2020-11-10,St. John,Virgin Islands,78020.0,69,1.0
722147,2020-11-11,St. John,Virgin Islands,78020.0,69,1.0
725390,2020-11-12,St. John,Virgin Islands,78020.0,69,1.0
728633,2020-11-13,St. John,Virgin Islands,78020.0,69,1.0
731878,2020-11-14,St. John,Virgin Islands,78020.0,73,1.0
735124,2020-11-15,St. John,Virgin Islands,78020.0,73,1.0
738368,2020-11-16,St. John,Virgin Islands,78020.0,73,1.0
741615,2020-11-17,St. John,Virgin Islands,78020.0,73,1.0
744862,2020-11-18,St. John,Virgin Islands,78020.0,75,1.0
748108,2020-11-19,St. John,Virgin Islands,78020.0,75,1.0
751354,2020-11-20,St. John,Virgin Islands,78020.0,75,1.0
754600,2020-11-21,St. John,Virgin Islands,78020.0,77,1.0
757847,2020-11-22,St. John,Virgin Islands,78020.0,78,1.0
761092,2020-11-23,St. John,Virgin Islands,78020.0,79,1.0
764337,2020-11-24,St. John,Virgin Islands,78020.0,79,1.0
767582,2020-11-25,St. John,Virgin Islands,78020.0,79,1.0
770828,2020-11-26,St. John,Virgin Islands,78020.0,79,1.0
774073,2020-11-27,St. John,Virgin Islands,78020.0,79,1.0
777318,2020-11-28,St. John,Virgin Islands,78020.0,85,1.0
780564,2020-11-29,St. John,Virgin Islands,78020.0,85,1.0
783809,2020-11-30,St. John,Virgin Islands,78020.0,85,1.0
787053,2020-12-01,St. John,Virgin Islands,78020.0,85,1.0
790298,2020-12-02,St. John,Virgin Islands,78020.0,94,1.0
793543,2020-12-03,St. John,Virgin Islands,78020.0,94,1.0
796788,2020-12-04,St. John,Virgin Islands,78020.0,106,1.0
800033,2020-12-05,St. John,Virgin Islands,78020.0,106,1.0
803278,2020-12-06,St. John,Virgin Islands,78020.0,106,1.0
806523,2020-12-07,St. John,Virgin Islands,78020.0,116,1.0
809768,2020-12-08,St. John,Virgin Islands,78020.0,126,1.0
813012,2020-12-09,St. John,Virgin Islands,78020.0,127,1.0
816258,2020-12-10,St. John,Virgin Islands,78020.0,130,1.0
819504,2020-12-11,St. John,Virgin Islands,78020.0,145,1.0
822750,2020-12-12,St. John,Virgin Islands,78020.0,145,1.0
825997,2020-12-13,St. John,Virgin Islands,78020.0,145,1.0
829243,2020-12-14,St. John,Virgin Islands,78020.0,145,1.0
