,date,county,state,fips,cases,deaths
5775,2020-03-20,Stanly,North Carolina,37167.0,1,0.0
6772,2020-03-21,Stanly,North Carolina,37167.0,1,0.0
7877,2020-03-22,Stanly,North Carolina,37167.0,1,0.0
9078,2020-03-23,Stanly,North Carolina,37167.0,1,0.0
10388,2020-03-24,Stanly,North Carolina,37167.0,1,0.0
11833,2020-03-25,Stanly,North Carolina,37167.0,1,0.0
13437,2020-03-26,Stanly,North Carolina,37167.0,1,0.0
15173,2020-03-27,Stanly,North Carolina,37167.0,2,0.0
17007,2020-03-28,Stanly,North Carolina,37167.0,2,0.0
18939,2020-03-29,Stanly,North Carolina,37167.0,5,0.0
20980,2020-03-30,Stanly,North Carolina,37167.0,5,0.0
23108,2020-03-31,Stanly,North Carolina,37167.0,5,0.0
25302,2020-04-01,Stanly,North Carolina,37167.0,5,0.0
27567,2020-04-02,Stanly,North Carolina,37167.0,5,0.0
29894,2020-04-03,Stanly,North Carolina,37167.0,7,0.0
32281,2020-04-04,Stanly,North Carolina,37167.0,7,0.0
34713,2020-04-05,Stanly,North Carolina,37167.0,7,0.0
37182,2020-04-06,Stanly,North Carolina,37167.0,8,0.0
39698,2020-04-07,Stanly,North Carolina,37167.0,8,0.0
42255,2020-04-08,Stanly,North Carolina,37167.0,8,0.0
44839,2020-04-09,Stanly,North Carolina,37167.0,8,1.0
47452,2020-04-10,Stanly,North Carolina,37167.0,11,1.0
50107,2020-04-11,Stanly,North Carolina,37167.0,14,1.0
52780,2020-04-12,Stanly,North Carolina,37167.0,16,1.0
55464,2020-04-13,Stanly,North Carolina,37167.0,17,1.0
58164,2020-04-14,Stanly,North Carolina,37167.0,17,1.0
60878,2020-04-15,Stanly,North Carolina,37167.0,17,1.0
63604,2020-04-16,Stanly,North Carolina,37167.0,19,1.0
66347,2020-04-17,Stanly,North Carolina,37167.0,20,1.0
69104,2020-04-18,Stanly,North Carolina,37167.0,20,3.0
71870,2020-04-19,Stanly,North Carolina,37167.0,20,3.0
74645,2020-04-20,Stanly,North Carolina,37167.0,21,3.0
77426,2020-04-21,Stanly,North Carolina,37167.0,21,3.0
80215,2020-04-22,Stanly,North Carolina,37167.0,22,4.0
83014,2020-04-23,Stanly,North Carolina,37167.0,24,4.0
85818,2020-04-24,Stanly,North Carolina,37167.0,24,4.0
88631,2020-04-25,Stanly,North Carolina,37167.0,28,4.0
91446,2020-04-26,Stanly,North Carolina,37167.0,28,4.0
94272,2020-04-27,Stanly,North Carolina,37167.0,29,4.0
97109,2020-04-28,Stanly,North Carolina,37167.0,28,4.0
