,date,county,state,fips,cases,deaths
7407,2020-03-22,Stephenson,Illinois,17177.0,1,0.0
8563,2020-03-23,Stephenson,Illinois,17177.0,1,0.0
9827,2020-03-24,Stephenson,Illinois,17177.0,1,0.0
11220,2020-03-25,Stephenson,Illinois,17177.0,1,0.0
12776,2020-03-26,Stephenson,Illinois,17177.0,2,0.0
14454,2020-03-27,Stephenson,Illinois,17177.0,2,0.0
16250,2020-03-28,Stephenson,Illinois,17177.0,2,0.0
18152,2020-03-29,Stephenson,Illinois,17177.0,3,0.0
20157,2020-03-30,Stephenson,Illinois,17177.0,3,0.0
22250,2020-03-31,Stephenson,Illinois,17177.0,3,0.0
24419,2020-04-01,Stephenson,Illinois,17177.0,3,0.0
26657,2020-04-02,Stephenson,Illinois,17177.0,3,0.0
28967,2020-04-03,Stephenson,Illinois,17177.0,3,0.0
31333,2020-04-04,Stephenson,Illinois,17177.0,3,0.0
33743,2020-04-05,Stephenson,Illinois,17177.0,3,0.0
36195,2020-04-06,Stephenson,Illinois,17177.0,5,0.0
38693,2020-04-07,Stephenson,Illinois,17177.0,6,0.0
41239,2020-04-08,Stephenson,Illinois,17177.0,6,0.0
43815,2020-04-09,Stephenson,Illinois,17177.0,7,0.0
46419,2020-04-10,Stephenson,Illinois,17177.0,8,0.0
49052,2020-04-11,Stephenson,Illinois,17177.0,8,0.0
51714,2020-04-12,Stephenson,Illinois,17177.0,8,0.0
54395,2020-04-13,Stephenson,Illinois,17177.0,8,0.0
57088,2020-04-14,Stephenson,Illinois,17177.0,9,0.0
59795,2020-04-15,Stephenson,Illinois,17177.0,9,0.0
62516,2020-04-16,Stephenson,Illinois,17177.0,9,0.0
65249,2020-04-17,Stephenson,Illinois,17177.0,10,0.0
67998,2020-04-18,Stephenson,Illinois,17177.0,12,0.0
70760,2020-04-19,Stephenson,Illinois,17177.0,12,0.0
73530,2020-04-20,Stephenson,Illinois,17177.0,12,0.0
76307,2020-04-21,Stephenson,Illinois,17177.0,13,0.0
79091,2020-04-22,Stephenson,Illinois,17177.0,13,0.0
81884,2020-04-23,Stephenson,Illinois,17177.0,13,0.0
84684,2020-04-24,Stephenson,Illinois,17177.0,13,0.0
87494,2020-04-25,Stephenson,Illinois,17177.0,16,0.0
90310,2020-04-26,Stephenson,Illinois,17177.0,16,0.0
93129,2020-04-27,Stephenson,Illinois,17177.0,16,0.0
95961,2020-04-28,Stephenson,Illinois,17177.0,22,0.0
98805,2020-04-29,Stephenson,Illinois,17177.0,29,0.0
101656,2020-04-30,Stephenson,Illinois,17177.0,35,0.0
104512,2020-05-01,Stephenson,Illinois,17177.0,45,0.0
107377,2020-05-02,Stephenson,Illinois,17177.0,53,0.0
110247,2020-05-03,Stephenson,Illinois,17177.0,63,0.0
113122,2020-05-04,Stephenson,Illinois,17177.0,71,0.0
116005,2020-05-05,Stephenson,Illinois,17177.0,70,0.0
118965,2020-05-06,Stephenson,Illinois,17177.0,72,0.0
121935,2020-05-07,Stephenson,Illinois,17177.0,78,0.0
124915,2020-05-08,Stephenson,Illinois,17177.0,84,0.0
127902,2020-05-09,Stephenson,Illinois,17177.0,88,0.0
130893,2020-05-10,Stephenson,Illinois,17177.0,97,0.0
133884,2020-05-11,Stephenson,Illinois,17177.0,99,0.0
136873,2020-05-12,Stephenson,Illinois,17177.0,110,0.0
139865,2020-05-13,Stephenson,Illinois,17177.0,118,0.0
142861,2020-05-14,Stephenson,Illinois,17177.0,119,0.0
145861,2020-05-15,Stephenson,Illinois,17177.0,135,0.0
148865,2020-05-16,Stephenson,Illinois,17177.0,136,0.0
151874,2020-05-17,Stephenson,Illinois,17177.0,150,1.0
154886,2020-05-18,Stephenson,Illinois,17177.0,156,1.0
157902,2020-05-19,Stephenson,Illinois,17177.0,160,1.0
160928,2020-05-20,Stephenson,Illinois,17177.0,161,1.0
163956,2020-05-21,Stephenson,Illinois,17177.0,167,2.0
166989,2020-05-22,Stephenson,Illinois,17177.0,173,2.0
170026,2020-05-23,Stephenson,Illinois,17177.0,176,2.0
173067,2020-05-24,Stephenson,Illinois,17177.0,187,2.0
176111,2020-05-25,Stephenson,Illinois,17177.0,190,2.0
179155,2020-05-26,Stephenson,Illinois,17177.0,195,2.0
182199,2020-05-27,Stephenson,Illinois,17177.0,194,2.0
185253,2020-05-28,Stephenson,Illinois,17177.0,199,2.0
188311,2020-05-29,Stephenson,Illinois,17177.0,199,2.0
191376,2020-05-30,Stephenson,Illinois,17177.0,201,2.0
194443,2020-05-31,Stephenson,Illinois,17177.0,206,2.0
197513,2020-06-01,Stephenson,Illinois,17177.0,209,2.0
200586,2020-06-02,Stephenson,Illinois,17177.0,211,2.0
203662,2020-06-03,Stephenson,Illinois,17177.0,210,5.0
206742,2020-06-04,Stephenson,Illinois,17177.0,209,5.0
209823,2020-06-05,Stephenson,Illinois,17177.0,211,5.0
212908,2020-06-06,Stephenson,Illinois,17177.0,214,5.0
215995,2020-06-07,Stephenson,Illinois,17177.0,216,5.0
219086,2020-06-08,Stephenson,Illinois,17177.0,219,5.0
222181,2020-06-09,Stephenson,Illinois,17177.0,220,5.0
225276,2020-06-10,Stephenson,Illinois,17177.0,222,5.0
228378,2020-06-11,Stephenson,Illinois,17177.0,223,5.0
231481,2020-06-12,Stephenson,Illinois,17177.0,226,5.0
234587,2020-06-13,Stephenson,Illinois,17177.0,228,5.0
237694,2020-06-14,Stephenson,Illinois,17177.0,231,5.0
240802,2020-06-15,Stephenson,Illinois,17177.0,231,5.0
243913,2020-06-16,Stephenson,Illinois,17177.0,231,5.0
247026,2020-06-17,Stephenson,Illinois,17177.0,233,5.0
250138,2020-06-18,Stephenson,Illinois,17177.0,236,5.0
253253,2020-06-19,Stephenson,Illinois,17177.0,242,5.0
256373,2020-06-20,Stephenson,Illinois,17177.0,249,5.0
259499,2020-06-21,Stephenson,Illinois,17177.0,249,5.0
262626,2020-06-22,Stephenson,Illinois,17177.0,248,5.0
