,date,county,state,fips,cases,deaths
44598,2020-04-09,Stillwater,Montana,30095.0,1,0.0
47208,2020-04-10,Stillwater,Montana,30095.0,1,0.0
49857,2020-04-11,Stillwater,Montana,30095.0,1,0.0
52530,2020-04-12,Stillwater,Montana,30095.0,1,0.0
55211,2020-04-13,Stillwater,Montana,30095.0,1,0.0
57910,2020-04-14,Stillwater,Montana,30095.0,1,0.0
60624,2020-04-15,Stillwater,Montana,30095.0,1,0.0
63347,2020-04-16,Stillwater,Montana,30095.0,1,0.0
66087,2020-04-17,Stillwater,Montana,30095.0,1,0.0
68841,2020-04-18,Stillwater,Montana,30095.0,1,0.0
71608,2020-04-19,Stillwater,Montana,30095.0,1,0.0
74381,2020-04-20,Stillwater,Montana,30095.0,1,0.0
77161,2020-04-21,Stillwater,Montana,30095.0,1,0.0
79949,2020-04-22,Stillwater,Montana,30095.0,1,0.0
82745,2020-04-23,Stillwater,Montana,30095.0,1,0.0
85549,2020-04-24,Stillwater,Montana,30095.0,1,0.0
88359,2020-04-25,Stillwater,Montana,30095.0,1,0.0
91174,2020-04-26,Stillwater,Montana,30095.0,1,0.0
93995,2020-04-27,Stillwater,Montana,30095.0,1,0.0
96831,2020-04-28,Stillwater,Montana,30095.0,1,0.0
99677,2020-04-29,Stillwater,Montana,30095.0,1,0.0
102529,2020-04-30,Stillwater,Montana,30095.0,1,0.0
105390,2020-05-01,Stillwater,Montana,30095.0,1,0.0
108256,2020-05-02,Stillwater,Montana,30095.0,1,0.0
111128,2020-05-03,Stillwater,Montana,30095.0,1,0.0
114007,2020-05-04,Stillwater,Montana,30095.0,1,0.0
116889,2020-05-05,Stillwater,Montana,30095.0,1,0.0
119849,2020-05-06,Stillwater,Montana,30095.0,1,0.0
122823,2020-05-07,Stillwater,Montana,30095.0,1,0.0
125805,2020-05-08,Stillwater,Montana,30095.0,1,0.0
128793,2020-05-09,Stillwater,Montana,30095.0,1,0.0
131783,2020-05-10,Stillwater,Montana,30095.0,1,0.0
134774,2020-05-11,Stillwater,Montana,30095.0,1,0.0
137764,2020-05-12,Stillwater,Montana,30095.0,1,0.0
140758,2020-05-13,Stillwater,Montana,30095.0,1,0.0
143753,2020-05-14,Stillwater,Montana,30095.0,1,0.0
146754,2020-05-15,Stillwater,Montana,30095.0,1,0.0
149760,2020-05-16,Stillwater,Montana,30095.0,1,0.0
152771,2020-05-17,Stillwater,Montana,30095.0,1,0.0
155785,2020-05-18,Stillwater,Montana,30095.0,1,0.0
158803,2020-05-19,Stillwater,Montana,30095.0,1,0.0
161829,2020-05-20,Stillwater,Montana,30095.0,1,0.0
164858,2020-05-21,Stillwater,Montana,30095.0,1,0.0
167894,2020-05-22,Stillwater,Montana,30095.0,1,0.0
170933,2020-05-23,Stillwater,Montana,30095.0,1,0.0
173975,2020-05-24,Stillwater,Montana,30095.0,1,0.0
177018,2020-05-25,Stillwater,Montana,30095.0,1,0.0
180062,2020-05-26,Stillwater,Montana,30095.0,1,0.0
183110,2020-05-27,Stillwater,Montana,30095.0,1,0.0
186166,2020-05-28,Stillwater,Montana,30095.0,1,0.0
189225,2020-05-29,Stillwater,Montana,30095.0,1,0.0
