date,county,state,fips,cases,deaths
2020-03-24,Stone,Arkansas,5137.0,2,0.0
2020-03-25,Stone,Arkansas,5137.0,3,0.0
2020-03-26,Stone,Arkansas,5137.0,4,0.0
2020-03-27,Stone,Arkansas,5137.0,4,0.0
2020-03-28,Stone,Arkansas,5137.0,4,0.0
2020-03-29,Stone,Arkansas,5137.0,4,0.0
2020-03-30,Stone,Arkansas,5137.0,5,0.0
2020-03-30,Stone,Missouri,29209.0,1,0.0
2020-03-31,Stone,Arkansas,5137.0,5,0.0
2020-03-31,Stone,Missouri,29209.0,1,0.0
2020-04-01,Stone,Arkansas,5137.0,5,0.0
2020-04-01,Stone,Missouri,29209.0,2,0.0
2020-04-02,Stone,Arkansas,5137.0,5,0.0
2020-04-02,Stone,Missouri,29209.0,2,0.0
2020-04-03,Stone,Arkansas,5137.0,5,0.0
2020-04-03,Stone,Missouri,29209.0,2,0.0
2020-04-04,Stone,Arkansas,5137.0,5,0.0
2020-04-04,Stone,Missouri,29209.0,2,0.0
2020-04-05,Stone,Arkansas,5137.0,5,0.0
2020-04-05,Stone,Mississippi,28131.0,1,0.0
2020-04-05,Stone,Missouri,29209.0,3,0.0
2020-04-06,Stone,Arkansas,5137.0,5,0.0
2020-04-06,Stone,Mississippi,28131.0,1,0.0
2020-04-06,Stone,Missouri,29209.0,3,0.0
2020-04-07,Stone,Arkansas,5137.0,5,0.0
2020-04-07,Stone,Mississippi,28131.0,3,0.0
2020-04-07,Stone,Missouri,29209.0,3,0.0
2020-04-08,Stone,Arkansas,5137.0,7,0.0
2020-04-08,Stone,Mississippi,28131.0,4,0.0
2020-04-08,Stone,Missouri,29209.0,3,0.0
2020-04-09,Stone,Arkansas,5137.0,7,0.0
2020-04-09,Stone,Mississippi,28131.0,5,0.0
2020-04-09,Stone,Missouri,29209.0,4,0.0
2020-04-10,Stone,Arkansas,5137.0,7,0.0
2020-04-10,Stone,Mississippi,28131.0,5,0.0
2020-04-10,Stone,Missouri,29209.0,3,0.0
2020-04-11,Stone,Arkansas,5137.0,7,0.0
2020-04-11,Stone,Mississippi,28131.0,9,0.0
2020-04-11,Stone,Missouri,29209.0,3,0.0
2020-04-12,Stone,Arkansas,5137.0,7,0.0
2020-04-12,Stone,Mississippi,28131.0,10,0.0
2020-04-12,Stone,Missouri,29209.0,3,0.0
2020-04-13,Stone,Arkansas,5137.0,7,0.0
2020-04-13,Stone,Mississippi,28131.0,11,0.0
2020-04-13,Stone,Missouri,29209.0,3,0.0
2020-04-14,Stone,Arkansas,5137.0,7,0.0
2020-04-14,Stone,Mississippi,28131.0,14,0.0
2020-04-14,Stone,Missouri,29209.0,3,0.0
2020-04-15,Stone,Arkansas,5137.0,7,0.0
2020-04-15,Stone,Mississippi,28131.0,15,0.0
2020-04-15,Stone,Missouri,29209.0,3,0.0
2020-04-16,Stone,Arkansas,5137.0,7,0.0
2020-04-16,Stone,Mississippi,28131.0,16,0.0
2020-04-16,Stone,Missouri,29209.0,3,0.0
2020-04-17,Stone,Arkansas,5137.0,7,0.0
2020-04-17,Stone,Mississippi,28131.0,17,0.0
2020-04-17,Stone,Missouri,29209.0,3,0.0
2020-04-18,Stone,Arkansas,5137.0,7,0.0
2020-04-18,Stone,Mississippi,28131.0,17,0.0
2020-04-18,Stone,Missouri,29209.0,3,0.0
2020-04-19,Stone,Arkansas,5137.0,7,0.0
2020-04-19,Stone,Mississippi,28131.0,18,0.0
2020-04-19,Stone,Missouri,29209.0,3,0.0
2020-04-20,Stone,Arkansas,5137.0,7,0.0
2020-04-20,Stone,Mississippi,28131.0,19,0.0
2020-04-20,Stone,Missouri,29209.0,3,0.0
2020-04-21,Stone,Arkansas,5137.0,7,0.0
2020-04-21,Stone,Mississippi,28131.0,19,0.0
2020-04-21,Stone,Missouri,29209.0,3,0.0
2020-04-22,Stone,Arkansas,5137.0,7,0.0
2020-04-22,Stone,Mississippi,28131.0,21,0.0
2020-04-22,Stone,Missouri,29209.0,3,0.0
2020-04-23,Stone,Arkansas,5137.0,7,0.0
2020-04-23,Stone,Mississippi,28131.0,22,0.0
2020-04-23,Stone,Missouri,29209.0,3,0.0
2020-04-24,Stone,Arkansas,5137.0,7,0.0
2020-04-24,Stone,Mississippi,28131.0,22,0.0
2020-04-24,Stone,Missouri,29209.0,3,0.0
2020-04-25,Stone,Arkansas,5137.0,7,0.0
2020-04-25,Stone,Mississippi,28131.0,22,0.0
2020-04-25,Stone,Missouri,29209.0,3,0.0
2020-04-26,Stone,Arkansas,5137.0,7,0.0
2020-04-26,Stone,Mississippi,28131.0,22,0.0
2020-04-26,Stone,Missouri,29209.0,3,0.0
2020-04-27,Stone,Arkansas,5137.0,7,0.0
2020-04-27,Stone,Mississippi,28131.0,22,0.0
2020-04-27,Stone,Missouri,29209.0,3,0.0
2020-04-28,Stone,Arkansas,5137.0,7,0.0
2020-04-28,Stone,Mississippi,28131.0,22,0.0
2020-04-28,Stone,Missouri,29209.0,3,0.0
2020-04-29,Stone,Arkansas,5137.0,7,0.0
2020-04-29,Stone,Mississippi,28131.0,22,0.0
2020-04-29,Stone,Missouri,29209.0,3,0.0
2020-04-30,Stone,Arkansas,5137.0,7,0.0
2020-04-30,Stone,Mississippi,28131.0,22,0.0
2020-04-30,Stone,Missouri,29209.0,3,0.0
2020-05-01,Stone,Arkansas,5137.0,7,0.0
2020-05-01,Stone,Mississippi,28131.0,22,0.0
2020-05-01,Stone,Missouri,29209.0,3,0.0
2020-05-02,Stone,Arkansas,5137.0,8,0.0
2020-05-02,Stone,Mississippi,28131.0,22,0.0
2020-05-02,Stone,Missouri,29209.0,3,0.0
2020-05-03,Stone,Arkansas,5137.0,8,0.0
2020-05-03,Stone,Mississippi,28131.0,22,0.0
2020-05-03,Stone,Missouri,29209.0,3,0.0
2020-05-04,Stone,Arkansas,5137.0,8,0.0
2020-05-04,Stone,Mississippi,28131.0,22,0.0
2020-05-04,Stone,Missouri,29209.0,3,0.0
2020-05-05,Stone,Arkansas,5137.0,8,0.0
2020-05-05,Stone,Mississippi,28131.0,22,0.0
2020-05-05,Stone,Missouri,29209.0,3,0.0
2020-05-06,Stone,Arkansas,5137.0,8,0.0
2020-05-06,Stone,Mississippi,28131.0,23,0.0
2020-05-06,Stone,Missouri,29209.0,3,0.0
2020-05-07,Stone,Arkansas,5137.0,8,0.0
2020-05-07,Stone,Mississippi,28131.0,23,0.0
2020-05-07,Stone,Missouri,29209.0,3,0.0
2020-05-08,Stone,Arkansas,5137.0,8,0.0
2020-05-08,Stone,Mississippi,28131.0,23,0.0
2020-05-08,Stone,Missouri,29209.0,3,0.0
2020-05-09,Stone,Arkansas,5137.0,8,0.0
2020-05-09,Stone,Mississippi,28131.0,24,0.0
2020-05-09,Stone,Missouri,29209.0,3,0.0
2020-05-10,Stone,Arkansas,5137.0,8,0.0
2020-05-10,Stone,Mississippi,28131.0,24,0.0
2020-05-10,Stone,Missouri,29209.0,3,0.0
2020-05-11,Stone,Arkansas,5137.0,8,0.0
2020-05-11,Stone,Mississippi,28131.0,24,0.0
2020-05-11,Stone,Missouri,29209.0,3,0.0
2020-05-12,Stone,Arkansas,5137.0,8,0.0
2020-05-12,Stone,Mississippi,28131.0,23,0.0
2020-05-12,Stone,Missouri,29209.0,3,0.0
2020-05-13,Stone,Arkansas,5137.0,8,0.0
2020-05-13,Stone,Mississippi,28131.0,23,0.0
2020-05-13,Stone,Missouri,29209.0,3,0.0
2020-05-14,Stone,Arkansas,5137.0,8,0.0
2020-05-14,Stone,Mississippi,28131.0,26,0.0
2020-05-14,Stone,Missouri,29209.0,3,0.0
2020-05-15,Stone,Arkansas,5137.0,8,0.0
2020-05-15,Stone,Mississippi,28131.0,24,0.0
2020-05-15,Stone,Missouri,29209.0,3,0.0
2020-05-16,Stone,Arkansas,5137.0,8,0.0
2020-05-16,Stone,Mississippi,28131.0,24,0.0
2020-05-16,Stone,Missouri,29209.0,3,0.0
2020-05-17,Stone,Arkansas,5137.0,8,0.0
2020-05-17,Stone,Mississippi,28131.0,24,0.0
2020-05-17,Stone,Missouri,29209.0,3,0.0
2020-05-18,Stone,Arkansas,5137.0,8,0.0
2020-05-18,Stone,Mississippi,28131.0,24,0.0
2020-05-18,Stone,Missouri,29209.0,4,0.0
2020-05-19,Stone,Arkansas,5137.0,8,0.0
2020-05-19,Stone,Mississippi,28131.0,24,0.0
2020-05-19,Stone,Missouri,29209.0,4,0.0
2020-05-20,Stone,Arkansas,5137.0,8,0.0
2020-05-20,Stone,Mississippi,28131.0,26,0.0
2020-05-20,Stone,Missouri,29209.0,4,0.0
2020-05-21,Stone,Arkansas,5137.0,8,0.0
2020-05-21,Stone,Mississippi,28131.0,25,0.0
2020-05-21,Stone,Missouri,29209.0,4,0.0
2020-05-22,Stone,Arkansas,5137.0,8,0.0
2020-05-22,Stone,Mississippi,28131.0,27,0.0
2020-05-22,Stone,Missouri,29209.0,4,0.0
2020-05-23,Stone,Arkansas,5137.0,8,0.0
2020-05-23,Stone,Mississippi,28131.0,30,0.0
2020-05-23,Stone,Missouri,29209.0,4,0.0
2020-05-24,Stone,Arkansas,5137.0,8,0.0
2020-05-24,Stone,Mississippi,28131.0,29,0.0
2020-05-24,Stone,Missouri,29209.0,4,0.0
2020-05-25,Stone,Arkansas,5137.0,8,0.0
2020-05-25,Stone,Mississippi,28131.0,30,0.0
2020-05-25,Stone,Missouri,29209.0,4,0.0
2020-05-26,Stone,Arkansas,5137.0,8,0.0
2020-05-26,Stone,Mississippi,28131.0,30,0.0
2020-05-26,Stone,Missouri,29209.0,4,0.0
2020-05-27,Stone,Arkansas,5137.0,8,0.0
2020-05-27,Stone,Mississippi,28131.0,30,0.0
2020-05-27,Stone,Missouri,29209.0,4,0.0
2020-05-28,Stone,Arkansas,5137.0,8,0.0
2020-05-28,Stone,Mississippi,28131.0,30,0.0
2020-05-28,Stone,Missouri,29209.0,4,0.0
2020-05-29,Stone,Arkansas,5137.0,8,0.0
2020-05-29,Stone,Mississippi,28131.0,30,0.0
2020-05-29,Stone,Missouri,29209.0,4,0.0
2020-05-30,Stone,Arkansas,5137.0,9,0.0
2020-05-30,Stone,Mississippi,28131.0,30,0.0
2020-05-30,Stone,Missouri,29209.0,4,0.0
2020-05-31,Stone,Arkansas,5137.0,9,0.0
2020-05-31,Stone,Mississippi,28131.0,30,0.0
2020-05-31,Stone,Missouri,29209.0,4,0.0
2020-06-01,Stone,Arkansas,5137.0,9,0.0
2020-06-01,Stone,Mississippi,28131.0,30,0.0
2020-06-01,Stone,Missouri,29209.0,4,0.0
2020-06-02,Stone,Arkansas,5137.0,9,0.0
2020-06-02,Stone,Mississippi,28131.0,31,0.0
2020-06-02,Stone,Missouri,29209.0,5,0.0
2020-06-03,Stone,Arkansas,5137.0,9,0.0
2020-06-03,Stone,Mississippi,28131.0,32,0.0
2020-06-03,Stone,Missouri,29209.0,5,0.0
2020-06-04,Stone,Arkansas,5137.0,10,0.0
2020-06-04,Stone,Mississippi,28131.0,32,0.0
2020-06-04,Stone,Missouri,29209.0,10,0.0
2020-06-05,Stone,Arkansas,5137.0,10,0.0
2020-06-05,Stone,Mississippi,28131.0,32,0.0
2020-06-05,Stone,Missouri,29209.0,9,0.0
2020-06-06,Stone,Arkansas,5137.0,10,0.0
2020-06-06,Stone,Mississippi,28131.0,32,0.0
2020-06-06,Stone,Missouri,29209.0,8,0.0
2020-06-07,Stone,Arkansas,5137.0,10,0.0
2020-06-07,Stone,Mississippi,28131.0,32,0.0
2020-06-07,Stone,Missouri,29209.0,8,0.0
2020-06-08,Stone,Arkansas,5137.0,11,0.0
2020-06-08,Stone,Mississippi,28131.0,34,0.0
2020-06-08,Stone,Missouri,29209.0,8,0.0
2020-06-09,Stone,Arkansas,5137.0,11,0.0
2020-06-09,Stone,Mississippi,28131.0,33,0.0
2020-06-09,Stone,Missouri,29209.0,8,0.0
2020-06-10,Stone,Arkansas,5137.0,11,0.0
2020-06-10,Stone,Mississippi,28131.0,33,0.0
2020-06-10,Stone,Missouri,29209.0,7,0.0
2020-06-11,Stone,Arkansas,5137.0,11,0.0
2020-06-11,Stone,Mississippi,28131.0,33,0.0
2020-06-11,Stone,Missouri,29209.0,7,0.0
2020-06-12,Stone,Arkansas,5137.0,11,0.0
2020-06-12,Stone,Mississippi,28131.0,34,0.0
2020-06-12,Stone,Missouri,29209.0,7,0.0
2020-06-13,Stone,Arkansas,5137.0,11,0.0
2020-06-13,Stone,Mississippi,28131.0,34,0.0
2020-06-13,Stone,Missouri,29209.0,7,0.0
2020-06-14,Stone,Arkansas,5137.0,11,0.0
2020-06-14,Stone,Mississippi,28131.0,34,0.0
2020-06-14,Stone,Missouri,29209.0,7,0.0
2020-06-15,Stone,Arkansas,5137.0,11,0.0
2020-06-15,Stone,Mississippi,28131.0,35,0.0
2020-06-15,Stone,Missouri,29209.0,7,0.0
2020-06-16,Stone,Arkansas,5137.0,11,0.0
2020-06-16,Stone,Mississippi,28131.0,34,0.0
2020-06-16,Stone,Missouri,29209.0,7,0.0
2020-06-17,Stone,Arkansas,5137.0,11,0.0
2020-06-17,Stone,Mississippi,28131.0,35,1.0
2020-06-17,Stone,Missouri,29209.0,7,0.0
2020-06-18,Stone,Arkansas,5137.0,11,0.0
2020-06-18,Stone,Mississippi,28131.0,35,1.0
2020-06-18,Stone,Missouri,29209.0,8,0.0
2020-06-19,Stone,Arkansas,5137.0,11,0.0
2020-06-19,Stone,Mississippi,28131.0,35,1.0
2020-06-19,Stone,Missouri,29209.0,10,0.0
2020-06-20,Stone,Arkansas,5137.0,11,0.0
2020-06-20,Stone,Mississippi,28131.0,35,1.0
2020-06-20,Stone,Missouri,29209.0,10,0.0
2020-06-21,Stone,Arkansas,5137.0,11,0.0
2020-06-21,Stone,Mississippi,28131.0,35,1.0
2020-06-21,Stone,Missouri,29209.0,10,0.0
