,date,county,state,fips,cases,deaths
347022,2020-07-18,Stonewall,Texas,48433.0,4,0.0
350222,2020-07-19,Stonewall,Texas,48433.0,4,0.0
353424,2020-07-20,Stonewall,Texas,48433.0,4,0.0
356627,2020-07-21,Stonewall,Texas,48433.0,4,0.0
359832,2020-07-22,Stonewall,Texas,48433.0,4,0.0
363039,2020-07-23,Stonewall,Texas,48433.0,4,0.0
366245,2020-07-24,Stonewall,Texas,48433.0,4,0.0
369454,2020-07-25,Stonewall,Texas,48433.0,4,0.0
372666,2020-07-26,Stonewall,Texas,48433.0,4,0.0
375879,2020-07-27,Stonewall,Texas,48433.0,4,0.0
379095,2020-07-28,Stonewall,Texas,48433.0,4,0.0
382312,2020-07-29,Stonewall,Texas,48433.0,4,0.0
385530,2020-07-30,Stonewall,Texas,48433.0,4,0.0
388747,2020-07-31,Stonewall,Texas,48433.0,4,0.0
391964,2020-08-01,Stonewall,Texas,48433.0,4,0.0
395180,2020-08-02,Stonewall,Texas,48433.0,4,0.0
398396,2020-08-03,Stonewall,Texas,48433.0,4,0.0
401612,2020-08-04,Stonewall,Texas,48433.0,4,0.0
404830,2020-08-05,Stonewall,Texas,48433.0,5,0.0
408050,2020-08-06,Stonewall,Texas,48433.0,5,0.0
411269,2020-08-07,Stonewall,Texas,48433.0,5,0.0
414489,2020-08-08,Stonewall,Texas,48433.0,5,0.0
417710,2020-08-09,Stonewall,Texas,48433.0,5,0.0
420931,2020-08-10,Stonewall,Texas,48433.0,5,0.0
424152,2020-08-11,Stonewall,Texas,48433.0,5,0.0
427376,2020-08-12,Stonewall,Texas,48433.0,5,0.0
430604,2020-08-13,Stonewall,Texas,48433.0,6,0.0
433829,2020-08-14,Stonewall,Texas,48433.0,7,0.0
437055,2020-08-15,Stonewall,Texas,48433.0,7,0.0
440281,2020-08-16,Stonewall,Texas,48433.0,7,0.0
443507,2020-08-17,Stonewall,Texas,48433.0,7,0.0
446734,2020-08-18,Stonewall,Texas,48433.0,7,0.0
449962,2020-08-19,Stonewall,Texas,48433.0,7,0.0
453190,2020-08-20,Stonewall,Texas,48433.0,7,0.0
456418,2020-08-21,Stonewall,Texas,48433.0,7,1.0
459645,2020-08-22,Stonewall,Texas,48433.0,7,1.0
462874,2020-08-23,Stonewall,Texas,48433.0,7,1.0
466103,2020-08-24,Stonewall,Texas,48433.0,7,1.0
469332,2020-08-25,Stonewall,Texas,48433.0,8,1.0
472564,2020-08-26,Stonewall,Texas,48433.0,9,1.0
475797,2020-08-27,Stonewall,Texas,48433.0,9,1.0
479030,2020-08-28,Stonewall,Texas,48433.0,10,1.0
482264,2020-08-29,Stonewall,Texas,48433.0,10,1.0
485499,2020-08-30,Stonewall,Texas,48433.0,10,1.0
488732,2020-08-31,Stonewall,Texas,48433.0,10,1.0
491965,2020-09-01,Stonewall,Texas,48433.0,10,1.0
495199,2020-09-02,Stonewall,Texas,48433.0,10,1.0
498432,2020-09-03,Stonewall,Texas,48433.0,10,1.0
501666,2020-09-04,Stonewall,Texas,48433.0,9,1.0
504900,2020-09-05,Stonewall,Texas,48433.0,9,1.0
508132,2020-09-06,Stonewall,Texas,48433.0,9,1.0
511365,2020-09-07,Stonewall,Texas,48433.0,9,1.0
514598,2020-09-08,Stonewall,Texas,48433.0,9,1.0
517833,2020-09-09,Stonewall,Texas,48433.0,9,1.0
521069,2020-09-10,Stonewall,Texas,48433.0,9,1.0
524305,2020-09-11,Stonewall,Texas,48433.0,9,1.0
527541,2020-09-12,Stonewall,Texas,48433.0,10,1.0
530778,2020-09-13,Stonewall,Texas,48433.0,10,1.0
534013,2020-09-14,Stonewall,Texas,48433.0,10,1.0
537249,2020-09-15,Stonewall,Texas,48433.0,10,1.0
540486,2020-09-16,Stonewall,Texas,48433.0,10,1.0
