,date,county,state,fips,cases,deaths
17682,2020-03-28,Sublette,Wyoming,56035.0,1,0.0
19651,2020-03-29,Sublette,Wyoming,56035.0,1,0.0
21723,2020-03-30,Sublette,Wyoming,56035.0,1,0.0
23876,2020-03-31,Sublette,Wyoming,56035.0,1,0.0
26097,2020-04-01,Sublette,Wyoming,56035.0,1,0.0
28391,2020-04-02,Sublette,Wyoming,56035.0,1,0.0
30748,2020-04-03,Sublette,Wyoming,56035.0,1,0.0
33152,2020-04-04,Sublette,Wyoming,56035.0,1,0.0
35591,2020-04-05,Sublette,Wyoming,56035.0,1,0.0
38079,2020-04-06,Sublette,Wyoming,56035.0,1,0.0
40621,2020-04-07,Sublette,Wyoming,56035.0,1,0.0
43193,2020-04-08,Sublette,Wyoming,56035.0,1,0.0
45791,2020-04-09,Sublette,Wyoming,56035.0,2,0.0
48421,2020-04-10,Sublette,Wyoming,56035.0,3,0.0
51082,2020-04-11,Sublette,Wyoming,56035.0,3,0.0
53760,2020-04-12,Sublette,Wyoming,56035.0,3,0.0
56451,2020-04-13,Sublette,Wyoming,56035.0,3,0.0
59159,2020-04-14,Sublette,Wyoming,56035.0,3,0.0
61878,2020-04-15,Sublette,Wyoming,56035.0,3,0.0
64611,2020-04-16,Sublette,Wyoming,56035.0,3,0.0
67359,2020-04-17,Sublette,Wyoming,56035.0,3,0.0
70121,2020-04-18,Sublette,Wyoming,56035.0,3,0.0
72890,2020-04-19,Sublette,Wyoming,56035.0,3,0.0
75666,2020-04-20,Sublette,Wyoming,56035.0,3,0.0
78449,2020-04-21,Sublette,Wyoming,56035.0,3,0.0
81242,2020-04-22,Sublette,Wyoming,56035.0,3,0.0
84043,2020-04-23,Sublette,Wyoming,56035.0,3,0.0
86851,2020-04-24,Sublette,Wyoming,56035.0,3,0.0
89667,2020-04-25,Sublette,Wyoming,56035.0,3,0.0
92485,2020-04-26,Sublette,Wyoming,56035.0,3,0.0
95315,2020-04-27,Sublette,Wyoming,56035.0,3,0.0
98160,2020-04-28,Sublette,Wyoming,56035.0,3,0.0
101010,2020-04-29,Sublette,Wyoming,56035.0,3,0.0
103865,2020-04-30,Sublette,Wyoming,56035.0,3,0.0
106730,2020-05-01,Sublette,Wyoming,56035.0,3,0.0
109599,2020-05-02,Sublette,Wyoming,56035.0,3,0.0
112474,2020-05-03,Sublette,Wyoming,56035.0,3,0.0
115357,2020-05-04,Sublette,Wyoming,56035.0,3,0.0
