,date,county,state,fips,cases,deaths
4289,2020-03-18,Sumner,Tennessee,47165.0,2,0.0
5037,2020-03-19,Sumner,Tennessee,47165.0,3,0.0
5925,2020-03-20,Sumner,Tennessee,47165.0,11,0.0
6942,2020-03-21,Sumner,Tennessee,47165.0,11,0.0
8072,2020-03-22,Sumner,Tennessee,47165.0,22,0.0
9290,2020-03-23,Sumner,Tennessee,47165.0,22,0.0
10624,2020-03-24,Sumner,Tennessee,47165.0,34,0.0
12103,2020-03-25,Sumner,Tennessee,47165.0,36,0.0
12903,2020-03-26,Sumner,Kansas,20191.0,1,0.0
13729,2020-03-26,Sumner,Tennessee,47165.0,43,0.0
14606,2020-03-27,Sumner,Kansas,20191.0,1,0.0
15482,2020-03-27,Sumner,Tennessee,47165.0,58,0.0
16414,2020-03-28,Sumner,Kansas,20191.0,1,0.0
17346,2020-03-28,Sumner,Tennessee,47165.0,82,0.0
18323,2020-03-29,Sumner,Kansas,20191.0,1,0.0
19296,2020-03-29,Sumner,Tennessee,47165.0,93,0.0
20337,2020-03-30,Sumner,Kansas,20191.0,1,0.0
21353,2020-03-30,Sumner,Tennessee,47165.0,164,0.0
22436,2020-03-31,Sumner,Kansas,20191.0,1,0.0
23492,2020-03-31,Sumner,Tennessee,47165.0,164,0.0
24612,2020-04-01,Sumner,Kansas,20191.0,1,0.0
25695,2020-04-01,Sumner,Tennessee,47165.0,201,7.0
26856,2020-04-02,Sumner,Kansas,20191.0,1,0.0
27975,2020-04-02,Sumner,Tennessee,47165.0,268,7.0
29172,2020-04-03,Sumner,Kansas,20191.0,2,0.0
30310,2020-04-03,Sumner,Tennessee,47165.0,283,8.0
31546,2020-04-04,Sumner,Kansas,20191.0,2,0.0
32702,2020-04-04,Sumner,Tennessee,47165.0,301,10.0
33961,2020-04-05,Sumner,Kansas,20191.0,2,0.0
35139,2020-04-05,Sumner,Tennessee,47165.0,321,10.0
36419,2020-04-06,Sumner,Kansas,20191.0,2,0.0
37615,2020-04-06,Sumner,Tennessee,47165.0,335,15.0
38924,2020-04-07,Sumner,Kansas,20191.0,2,0.0
40138,2020-04-07,Sumner,Tennessee,47165.0,361,15.0
41471,2020-04-08,Sumner,Kansas,20191.0,2,0.0
42700,2020-04-08,Sumner,Tennessee,47165.0,376,18.0
44047,2020-04-09,Sumner,Kansas,20191.0,2,1.0
45287,2020-04-09,Sumner,Tennessee,47165.0,389,18.0
