,date,county,state,fips,cases,deaths
8274,2020-03-23,Tallapoosa,Alabama,1123.0,1,0.0
9502,2020-03-24,Tallapoosa,Alabama,1123.0,2,0.0
10871,2020-03-25,Tallapoosa,Alabama,1123.0,4,0.0
12410,2020-03-26,Tallapoosa,Alabama,1123.0,4,0.0
14072,2020-03-27,Tallapoosa,Alabama,1123.0,5,0.0
15851,2020-03-28,Tallapoosa,Alabama,1123.0,5,0.0
17735,2020-03-29,Tallapoosa,Alabama,1123.0,8,0.0
19708,2020-03-30,Tallapoosa,Alabama,1123.0,12,1.0
21780,2020-03-31,Tallapoosa,Alabama,1123.0,13,1.0
23936,2020-04-01,Tallapoosa,Alabama,1123.0,14,1.0
26158,2020-04-02,Tallapoosa,Alabama,1123.0,17,1.0
28455,2020-04-03,Tallapoosa,Alabama,1123.0,20,1.0
30812,2020-04-04,Tallapoosa,Alabama,1123.0,20,1.0
33216,2020-04-05,Tallapoosa,Alabama,1123.0,30,1.0
35655,2020-04-06,Tallapoosa,Alabama,1123.0,31,1.0
38143,2020-04-07,Tallapoosa,Alabama,1123.0,33,1.0
40685,2020-04-08,Tallapoosa,Alabama,1123.0,43,1.0
43259,2020-04-09,Tallapoosa,Alabama,1123.0,48,2.0
45857,2020-04-10,Tallapoosa,Alabama,1123.0,53,2.0
48486,2020-04-11,Tallapoosa,Alabama,1123.0,62,4.0
51148,2020-04-12,Tallapoosa,Alabama,1123.0,99,4.0
53826,2020-04-13,Tallapoosa,Alabama,1123.0,107,7.0
56518,2020-04-14,Tallapoosa,Alabama,1123.0,123,7.0
59226,2020-04-15,Tallapoosa,Alabama,1123.0,149,7.0
61944,2020-04-16,Tallapoosa,Alabama,1123.0,160,7.0
64677,2020-04-17,Tallapoosa,Alabama,1123.0,160,9.0
67425,2020-04-18,Tallapoosa,Alabama,1123.0,180,11.0
70187,2020-04-19,Tallapoosa,Alabama,1123.0,195,12.0
72956,2020-04-20,Tallapoosa,Alabama,1123.0,193,12.0
75732,2020-04-21,Tallapoosa,Alabama,1123.0,228,14.0
78515,2020-04-22,Tallapoosa,Alabama,1123.0,242,16.0
81308,2020-04-23,Tallapoosa,Alabama,1123.0,254,16.0
84109,2020-04-24,Tallapoosa,Alabama,1123.0,261,17.0
86917,2020-04-25,Tallapoosa,Alabama,1123.0,267,17.0
89733,2020-04-26,Tallapoosa,Alabama,1123.0,274,17.0
92551,2020-04-27,Tallapoosa,Alabama,1123.0,275,17.0
95381,2020-04-28,Tallapoosa,Alabama,1123.0,279,17.0
98226,2020-04-29,Tallapoosa,Alabama,1123.0,280,18.0
101076,2020-04-30,Tallapoosa,Alabama,1123.0,285,18.0
103931,2020-05-01,Tallapoosa,Alabama,1123.0,286,18.0
106796,2020-05-02,Tallapoosa,Alabama,1123.0,290,18.0
109665,2020-05-03,Tallapoosa,Alabama,1123.0,295,18.0
112540,2020-05-04,Tallapoosa,Alabama,1123.0,298,19.0
115423,2020-05-05,Tallapoosa,Alabama,1123.0,303,22.0
118382,2020-05-06,Tallapoosa,Alabama,1123.0,304,23.0
121348,2020-05-07,Tallapoosa,Alabama,1123.0,314,40.0
124328,2020-05-08,Tallapoosa,Alabama,1123.0,315,41.0
127313,2020-05-09,Tallapoosa,Alabama,1123.0,316,42.0
130303,2020-05-10,Tallapoosa,Alabama,1123.0,323,42.0
133293,2020-05-11,Tallapoosa,Alabama,1123.0,328,42.0
136283,2020-05-12,Tallapoosa,Alabama,1123.0,330,50.0
139274,2020-05-13,Tallapoosa,Alabama,1123.0,338,51.0
142270,2020-05-14,Tallapoosa,Alabama,1123.0,345,56.0
145269,2020-05-15,Tallapoosa,Alabama,1123.0,351,57.0
148272,2020-05-16,Tallapoosa,Alabama,1123.0,357,57.0
151281,2020-05-17,Tallapoosa,Alabama,1123.0,358,57.0
154293,2020-05-18,Tallapoosa,Alabama,1123.0,366,57.0
157309,2020-05-19,Tallapoosa,Alabama,1123.0,371,57.0
160333,2020-05-20,Tallapoosa,Alabama,1123.0,379,59.0
163361,2020-05-21,Tallapoosa,Alabama,1123.0,384,59.0
166393,2020-05-22,Tallapoosa,Alabama,1123.0,387,62.0
169429,2020-05-23,Tallapoosa,Alabama,1123.0,392,62.0
172470,2020-05-24,Tallapoosa,Alabama,1123.0,396,62.0
175513,2020-05-25,Tallapoosa,Alabama,1123.0,400,63.0
178558,2020-05-26,Tallapoosa,Alabama,1123.0,408,63.0
181602,2020-05-27,Tallapoosa,Alabama,1123.0,410,63.0
184654,2020-05-28,Tallapoosa,Alabama,1123.0,418,64.0
187711,2020-05-29,Tallapoosa,Alabama,1123.0,422,64.0
190775,2020-05-30,Tallapoosa,Alabama,1123.0,423,64.0
193841,2020-05-31,Tallapoosa,Alabama,1123.0,427,65.0
196911,2020-06-01,Tallapoosa,Alabama,1123.0,432,65.0
199984,2020-06-02,Tallapoosa,Alabama,1123.0,436,66.0
203060,2020-06-03,Tallapoosa,Alabama,1123.0,437,66.0
206139,2020-06-04,Tallapoosa,Alabama,1123.0,439,66.0
209221,2020-06-05,Tallapoosa,Alabama,1123.0,440,66.0
212306,2020-06-06,Tallapoosa,Alabama,1123.0,444,66.0
215393,2020-06-07,Tallapoosa,Alabama,1123.0,447,66.0
218483,2020-06-08,Tallapoosa,Alabama,1123.0,451,67.0
