,date,county,state,fips,cases,deaths
8918,2020-03-23,Taney,Missouri,29213.0,1,0.0
10220,2020-03-24,Taney,Missouri,29213.0,1,0.0
11649,2020-03-25,Taney,Missouri,29213.0,1,0.0
13248,2020-03-26,Taney,Missouri,29213.0,1,0.0
14976,2020-03-27,Taney,Missouri,29213.0,1,0.0
16801,2020-03-28,Taney,Missouri,29213.0,2,0.0
18723,2020-03-29,Taney,Missouri,29213.0,2,0.0
20757,2020-03-30,Taney,Missouri,29213.0,2,0.0
22877,2020-03-31,Taney,Missouri,29213.0,2,0.0
25065,2020-04-01,Taney,Missouri,29213.0,2,0.0
27322,2020-04-02,Taney,Missouri,29213.0,2,0.0
29644,2020-04-03,Taney,Missouri,29213.0,5,0.0
32025,2020-04-04,Taney,Missouri,29213.0,5,0.0
34453,2020-04-05,Taney,Missouri,29213.0,5,0.0
36919,2020-04-06,Taney,Missouri,29213.0,7,0.0
39435,2020-04-07,Taney,Missouri,29213.0,7,0.0
41989,2020-04-08,Taney,Missouri,29213.0,7,0.0
44567,2020-04-09,Taney,Missouri,29213.0,7,1.0
47176,2020-04-10,Taney,Missouri,29213.0,7,1.0
49824,2020-04-11,Taney,Missouri,29213.0,7,1.0
52497,2020-04-12,Taney,Missouri,29213.0,7,1.0
55179,2020-04-13,Taney,Missouri,29213.0,8,1.0
57877,2020-04-14,Taney,Missouri,29213.0,7,1.0
60591,2020-04-15,Taney,Missouri,29213.0,8,1.0
63313,2020-04-16,Taney,Missouri,29213.0,8,1.0
66053,2020-04-17,Taney,Missouri,29213.0,8,1.0
68807,2020-04-18,Taney,Missouri,29213.0,9,1.0
71574,2020-04-19,Taney,Missouri,29213.0,9,1.0
74347,2020-04-20,Taney,Missouri,29213.0,9,1.0
77128,2020-04-21,Taney,Missouri,29213.0,9,1.0
79915,2020-04-22,Taney,Missouri,29213.0,9,1.0
82711,2020-04-23,Taney,Missouri,29213.0,10,1.0
85515,2020-04-24,Taney,Missouri,29213.0,10,1.0
88325,2020-04-25,Taney,Missouri,29213.0,10,1.0
91141,2020-04-26,Taney,Missouri,29213.0,10,1.0
93962,2020-04-27,Taney,Missouri,29213.0,10,1.0
96798,2020-04-28,Taney,Missouri,29213.0,11,1.0
99644,2020-04-29,Taney,Missouri,29213.0,11,1.0
102496,2020-04-30,Taney,Missouri,29213.0,11,1.0
105357,2020-05-01,Taney,Missouri,29213.0,11,2.0
108222,2020-05-02,Taney,Missouri,29213.0,12,2.0
111095,2020-05-03,Taney,Missouri,29213.0,12,2.0
113974,2020-05-04,Taney,Missouri,29213.0,12,2.0
116856,2020-05-05,Taney,Missouri,29213.0,12,2.0
119816,2020-05-06,Taney,Missouri,29213.0,12,2.0
122790,2020-05-07,Taney,Missouri,29213.0,12,2.0
125772,2020-05-08,Taney,Missouri,29213.0,12,2.0
128760,2020-05-09,Taney,Missouri,29213.0,12,2.0
131750,2020-05-10,Taney,Missouri,29213.0,12,2.0
134741,2020-05-11,Taney,Missouri,29213.0,12,2.0
137731,2020-05-12,Taney,Missouri,29213.0,12,2.0
140725,2020-05-13,Taney,Missouri,29213.0,12,2.0
143720,2020-05-14,Taney,Missouri,29213.0,12,2.0
146721,2020-05-15,Taney,Missouri,29213.0,12,2.0
149727,2020-05-16,Taney,Missouri,29213.0,12,2.0
152738,2020-05-17,Taney,Missouri,29213.0,12,2.0
155752,2020-05-18,Taney,Missouri,29213.0,12,2.0
158770,2020-05-19,Taney,Missouri,29213.0,12,2.0
161796,2020-05-20,Taney,Missouri,29213.0,12,2.0
164825,2020-05-21,Taney,Missouri,29213.0,12,2.0
167861,2020-05-22,Taney,Missouri,29213.0,12,2.0
170900,2020-05-23,Taney,Missouri,29213.0,12,2.0
173942,2020-05-24,Taney,Missouri,29213.0,13,2.0
176985,2020-05-25,Taney,Missouri,29213.0,13,2.0
180029,2020-05-26,Taney,Missouri,29213.0,13,2.0
183077,2020-05-27,Taney,Missouri,29213.0,13,2.0
186133,2020-05-28,Taney,Missouri,29213.0,13,2.0
189191,2020-05-29,Taney,Missouri,29213.0,13,2.0
192255,2020-05-30,Taney,Missouri,29213.0,13,2.0
195325,2020-05-31,Taney,Missouri,29213.0,13,2.0
198396,2020-06-01,Taney,Missouri,29213.0,13,2.0
201469,2020-06-02,Taney,Missouri,29213.0,13,2.0
204546,2020-06-03,Taney,Missouri,29213.0,13,2.0
207627,2020-06-04,Taney,Missouri,29213.0,13,2.0
210708,2020-06-05,Taney,Missouri,29213.0,13,2.0
213792,2020-06-06,Taney,Missouri,29213.0,13,2.0
216881,2020-06-07,Taney,Missouri,29213.0,13,2.0
219973,2020-06-08,Taney,Missouri,29213.0,13,2.0
223068,2020-06-09,Taney,Missouri,29213.0,13,2.0
226167,2020-06-10,Taney,Missouri,29213.0,13,2.0
229270,2020-06-11,Taney,Missouri,29213.0,15,2.0
232374,2020-06-12,Taney,Missouri,29213.0,15,2.0
235480,2020-06-13,Taney,Missouri,29213.0,15,2.0
238587,2020-06-14,Taney,Missouri,29213.0,15,2.0
241697,2020-06-15,Taney,Missouri,29213.0,24,2.0
244808,2020-06-16,Taney,Missouri,29213.0,26,2.0
247921,2020-06-17,Taney,Missouri,29213.0,27,2.0
251034,2020-06-18,Taney,Missouri,29213.0,29,2.0
254149,2020-06-19,Taney,Missouri,29213.0,30,2.0
257270,2020-06-20,Taney,Missouri,29213.0,30,2.0
260396,2020-06-21,Taney,Missouri,29213.0,30,2.0
263524,2020-06-22,Taney,Missouri,29213.0,32,2.0
266650,2020-06-23,Taney,Missouri,29213.0,34,2.0
269783,2020-06-24,Taney,Missouri,29213.0,35,2.0
272922,2020-06-25,Taney,Missouri,29213.0,39,2.0
276065,2020-06-26,Taney,Missouri,29213.0,40,2.0
279213,2020-06-27,Taney,Missouri,29213.0,48,2.0
282361,2020-06-28,Taney,Missouri,29213.0,56,2.0
285506,2020-06-29,Taney,Missouri,29213.0,60,2.0
288656,2020-06-30,Taney,Missouri,29213.0,60,2.0
291807,2020-07-01,Taney,Missouri,29213.0,63,2.0
294961,2020-07-02,Taney,Missouri,29213.0,67,2.0
298119,2020-07-03,Taney,Missouri,29213.0,74,2.0
301282,2020-07-04,Taney,Missouri,29213.0,83,2.0
304446,2020-07-05,Taney,Missouri,29213.0,84,2.0
307613,2020-07-06,Taney,Missouri,29213.0,96,2.0
310781,2020-07-07,Taney,Missouri,29213.0,105,2.0
313952,2020-07-08,Taney,Missouri,29213.0,112,2.0
317126,2020-07-09,Taney,Missouri,29213.0,119,2.0
320301,2020-07-10,Taney,Missouri,29213.0,122,2.0
323480,2020-07-11,Taney,Missouri,29213.0,123,3.0
326663,2020-07-12,Taney,Missouri,29213.0,123,3.0
329849,2020-07-13,Taney,Missouri,29213.0,126,3.0
333036,2020-07-14,Taney,Missouri,29213.0,135,3.0
336229,2020-07-15,Taney,Missouri,29213.0,142,3.0
339425,2020-07-16,Taney,Missouri,29213.0,147,3.0
342621,2020-07-17,Taney,Missouri,29213.0,155,3.0
345821,2020-07-18,Taney,Missouri,29213.0,166,3.0
349022,2020-07-19,Taney,Missouri,29213.0,174,3.0
352222,2020-07-20,Taney,Missouri,29213.0,178,3.0
355424,2020-07-21,Taney,Missouri,29213.0,184,3.0
358627,2020-07-22,Taney,Missouri,29213.0,205,3.0
361832,2020-07-23,Taney,Missouri,29213.0,212,3.0
365039,2020-07-24,Taney,Missouri,29213.0,226,3.0
368247,2020-07-25,Taney,Missouri,29213.0,237,3.0
371458,2020-07-26,Taney,Missouri,29213.0,249,3.0
374670,2020-07-27,Taney,Missouri,29213.0,267,3.0
377885,2020-07-28,Taney,Missouri,29213.0,284,3.0
381102,2020-07-29,Taney,Missouri,29213.0,304,3.0
384318,2020-07-30,Taney,Missouri,29213.0,374,3.0
387536,2020-07-31,Taney,Missouri,29213.0,391,3.0
390753,2020-08-01,Taney,Missouri,29213.0,403,3.0
393970,2020-08-02,Taney,Missouri,29213.0,428,3.0
397186,2020-08-03,Taney,Missouri,29213.0,456,3.0
400400,2020-08-04,Taney,Missouri,29213.0,480,3.0
403617,2020-08-05,Taney,Missouri,29213.0,507,3.0
406835,2020-08-06,Taney,Missouri,29213.0,521,3.0
410055,2020-08-07,Taney,Missouri,29213.0,548,3.0
413275,2020-08-08,Taney,Missouri,29213.0,548,3.0
416495,2020-08-09,Taney,Missouri,29213.0,589,3.0
419716,2020-08-10,Taney,Missouri,29213.0,616,3.0
422938,2020-08-11,Taney,Missouri,29213.0,632,3.0
426160,2020-08-12,Taney,Missouri,29213.0,658,3.0
429384,2020-08-13,Taney,Missouri,29213.0,678,3.0
432611,2020-08-14,Taney,Missouri,29213.0,685,3.0
435837,2020-08-15,Taney,Missouri,29213.0,708,3.0
439062,2020-08-16,Taney,Missouri,29213.0,739,3.0
442289,2020-08-17,Taney,Missouri,29213.0,763,3.0
445515,2020-08-18,Taney,Missouri,29213.0,778,3.0
448741,2020-08-19,Taney,Missouri,29213.0,800,3.0
451969,2020-08-20,Taney,Missouri,29213.0,816,3.0
455197,2020-08-21,Taney,Missouri,29213.0,832,3.0
458425,2020-08-22,Taney,Missouri,29213.0,846,3.0
461652,2020-08-23,Taney,Missouri,29213.0,855,3.0
464883,2020-08-24,Taney,Missouri,29213.0,864,3.0
468112,2020-08-25,Taney,Missouri,29213.0,868,3.0
471342,2020-08-26,Taney,Missouri,29213.0,879,3.0
474574,2020-08-27,Taney,Missouri,29213.0,886,3.0
477807,2020-08-28,Taney,Missouri,29213.0,893,11.0
481039,2020-08-29,Taney,Missouri,29213.0,900,14.0
484274,2020-08-30,Taney,Missouri,29213.0,906,14.0
487508,2020-08-31,Taney,Missouri,29213.0,913,14.0
490741,2020-09-01,Taney,Missouri,29213.0,914,14.0
493975,2020-09-02,Taney,Missouri,29213.0,929,14.0
497208,2020-09-03,Taney,Missouri,29213.0,933,14.0
500442,2020-09-04,Taney,Missouri,29213.0,939,15.0
503676,2020-09-05,Taney,Missouri,29213.0,953,19.0
506909,2020-09-06,Taney,Missouri,29213.0,960,22.0
510142,2020-09-07,Taney,Missouri,29213.0,964,22.0
513374,2020-09-08,Taney,Missouri,29213.0,976,22.0
516608,2020-09-09,Taney,Missouri,29213.0,993,22.0
519843,2020-09-10,Taney,Missouri,29213.0,1008,22.0
523080,2020-09-11,Taney,Missouri,29213.0,1021,22.0
526316,2020-09-12,Taney,Missouri,29213.0,1034,22.0
529552,2020-09-13,Taney,Missouri,29213.0,1050,22.0
532788,2020-09-14,Taney,Missouri,29213.0,1053,22.0
536023,2020-09-15,Taney,Missouri,29213.0,1061,22.0
539260,2020-09-16,Taney,Missouri,29213.0,1075,22.0
542496,2020-09-17,Taney,Missouri,29213.0,1091,22.0
545733,2020-09-18,Taney,Missouri,29213.0,1102,24.0
548971,2020-09-19,Taney,Missouri,29213.0,1116,28.0
552210,2020-09-20,Taney,Missouri,29213.0,1127,28.0
555448,2020-09-21,Taney,Missouri,29213.0,1135,28.0
558685,2020-09-22,Taney,Missouri,29213.0,1142,28.0
561922,2020-09-23,Taney,Missouri,29213.0,1157,31.0
565162,2020-09-24,Taney,Missouri,29213.0,1172,31.0
568402,2020-09-25,Taney,Missouri,29213.0,1184,31.0
571644,2020-09-26,Taney,Missouri,29213.0,1193,31.0
574887,2020-09-27,Taney,Missouri,29213.0,1213,31.0
578128,2020-09-28,Taney,Missouri,29213.0,1219,31.0
581369,2020-09-29,Taney,Missouri,29213.0,1219,31.0
584610,2020-09-30,Taney,Missouri,29213.0,1317,36.0
587850,2020-10-01,Taney,Missouri,29213.0,1339,36.0
591091,2020-10-02,Taney,Missouri,29213.0,1354,36.0
594332,2020-10-03,Taney,Missouri,29213.0,1376,36.0
597573,2020-10-04,Taney,Missouri,29213.0,1387,36.0
600816,2020-10-05,Taney,Missouri,29213.0,1405,36.0
604058,2020-10-06,Taney,Missouri,29213.0,1414,36.0
607301,2020-10-07,Taney,Missouri,29213.0,1422,37.0
610543,2020-10-08,Taney,Missouri,29213.0,1439,37.0
613785,2020-10-09,Taney,Missouri,29213.0,1450,38.0
617026,2020-10-10,Taney,Missouri,29213.0,1480,38.0
620268,2020-10-11,Taney,Missouri,29213.0,1480,38.0
623511,2020-10-12,Taney,Missouri,29213.0,1480,38.0
626753,2020-10-13,Taney,Missouri,29213.0,1480,38.0
629997,2020-10-14,Taney,Missouri,29213.0,1479,33.0
633242,2020-10-15,Taney,Missouri,29213.0,1502,34.0
636488,2020-10-16,Taney,Missouri,29213.0,1520,33.0
639734,2020-10-17,Taney,Missouri,29213.0,1533,33.0
642982,2020-10-18,Taney,Missouri,29213.0,1556,33.0
646228,2020-10-19,Taney,Missouri,29213.0,1567,33.0
649472,2020-10-20,Taney,Missouri,29213.0,1567,33.0
652717,2020-10-21,Taney,Missouri,29213.0,1591,33.0
655962,2020-10-22,Taney,Missouri,29213.0,1626,33.0
659207,2020-10-23,Taney,Missouri,29213.0,1641,33.0
662451,2020-10-24,Taney,Missouri,29213.0,1663,33.0
665696,2020-10-25,Taney,Missouri,29213.0,1691,33.0
668940,2020-10-26,Taney,Missouri,29213.0,1714,33.0
672182,2020-10-27,Taney,Missouri,29213.0,1725,33.0
675425,2020-10-28,Taney,Missouri,29213.0,1752,33.0
678667,2020-10-29,Taney,Missouri,29213.0,1785,33.0
681911,2020-10-30,Taney,Missouri,29213.0,1828,34.0
685154,2020-10-31,Taney,Missouri,29213.0,1858,35.0
688398,2020-11-01,Taney,Missouri,29213.0,1879,35.0
691643,2020-11-02,Taney,Missouri,29213.0,1916,35.0
694885,2020-11-03,Taney,Missouri,29213.0,1928,35.0
698128,2020-11-04,Taney,Missouri,29213.0,1944,35.0
701372,2020-11-05,Taney,Missouri,29213.0,1974,36.0
704614,2020-11-06,Taney,Missouri,29213.0,2002,36.0
707857,2020-11-07,Taney,Missouri,29213.0,2057,36.0
711101,2020-11-08,Taney,Missouri,29213.0,2085,36.0
714345,2020-11-09,Taney,Missouri,29213.0,2124,36.0
717589,2020-11-10,Taney,Missouri,29213.0,2149,36.0
720832,2020-11-11,Taney,Missouri,29213.0,2172,36.0
724075,2020-11-12,Taney,Missouri,29213.0,2194,36.0
727318,2020-11-13,Taney,Missouri,29213.0,2248,36.0
730561,2020-11-14,Taney,Missouri,29213.0,2306,36.0
733806,2020-11-15,Taney,Missouri,29213.0,2306,36.0
737052,2020-11-16,Taney,Missouri,29213.0,2349,36.0
740296,2020-11-17,Taney,Missouri,29213.0,2413,37.0
743543,2020-11-18,Taney,Missouri,29213.0,2445,37.0
746790,2020-11-19,Taney,Missouri,29213.0,2474,37.0
750036,2020-11-20,Taney,Missouri,29213.0,2523,37.0
753282,2020-11-21,Taney,Missouri,29213.0,2562,37.0
756528,2020-11-22,Taney,Missouri,29213.0,2618,37.0
759775,2020-11-23,Taney,Missouri,29213.0,2660,37.0
763020,2020-11-24,Taney,Missouri,29213.0,2685,40.0
766265,2020-11-25,Taney,Missouri,29213.0,2709,40.0
769511,2020-11-26,Taney,Missouri,29213.0,2757,40.0
772756,2020-11-27,Taney,Missouri,29213.0,2803,40.0
776001,2020-11-28,Taney,Missouri,29213.0,2823,40.0
779246,2020-11-29,Taney,Missouri,29213.0,2845,40.0
782492,2020-11-30,Taney,Missouri,29213.0,2905,40.0
785736,2020-12-01,Taney,Missouri,29213.0,2929,40.0
788981,2020-12-02,Taney,Missouri,29213.0,2941,40.0
792226,2020-12-03,Taney,Missouri,29213.0,2970,39.0
795471,2020-12-04,Taney,Missouri,29213.0,3042,39.0
798716,2020-12-05,Taney,Missouri,29213.0,3105,39.0
801961,2020-12-06,Taney,Missouri,29213.0,3148,39.0
805206,2020-12-07,Taney,Missouri,29213.0,3182,39.0
808451,2020-12-08,Taney,Missouri,29213.0,3215,42.0
811696,2020-12-09,Taney,Missouri,29213.0,3248,42.0
814941,2020-12-10,Taney,Missouri,29213.0,3284,46.0
818187,2020-12-11,Taney,Missouri,29213.0,3284,46.0
821433,2020-12-12,Taney,Missouri,29213.0,3380,46.0
824679,2020-12-13,Taney,Missouri,29213.0,3402,46.0
827926,2020-12-14,Taney,Missouri,29213.0,3423,46.0
831172,2020-12-15,Taney,Missouri,29213.0,3439,47.0
834419,2020-12-16,Taney,Missouri,29213.0,3454,47.0
837665,2020-12-17,Taney,Missouri,29213.0,3488,47.0
840910,2020-12-18,Taney,Missouri,29213.0,3525,47.0
844155,2020-12-19,Taney,Missouri,29213.0,3538,47.0
847401,2020-12-20,Taney,Missouri,29213.0,3553,47.0
850646,2020-12-21,Taney,Missouri,29213.0,3571,47.0
853891,2020-12-22,Taney,Missouri,29213.0,3591,49.0
857136,2020-12-23,Taney,Missouri,29213.0,3608,51.0
860381,2020-12-24,Taney,Missouri,29213.0,3642,51.0
863626,2020-12-25,Taney,Missouri,29213.0,3650,51.0
866871,2020-12-26,Taney,Missouri,29213.0,3660,51.0
870116,2020-12-27,Taney,Missouri,29213.0,3685,51.0
873361,2020-12-28,Taney,Missouri,29213.0,3692,51.0
876606,2020-12-29,Taney,Missouri,29213.0,3696,52.0
879851,2020-12-30,Taney,Missouri,29213.0,3709,52.0
883096,2020-12-31,Taney,Missouri,29213.0,3752,52.0
886341,2021-01-01,Taney,Missouri,29213.0,3827,52.0
889587,2021-01-02,Taney,Missouri,29213.0,3832,52.0
892833,2021-01-03,Taney,Missouri,29213.0,3851,52.0
896080,2021-01-04,Taney,Missouri,29213.0,3851,52.0
899325,2021-01-05,Taney,Missouri,29213.0,3894,56.0
902570,2021-01-06,Taney,Missouri,29213.0,3907,56.0
905815,2021-01-07,Taney,Missouri,29213.0,3929,56.0
909061,2021-01-08,Taney,Missouri,29213.0,3977,56.0
912306,2021-01-09,Taney,Missouri,29213.0,4022,56.0
915551,2021-01-10,Taney,Missouri,29213.0,4052,57.0
918796,2021-01-11,Taney,Missouri,29213.0,4089,57.0
922041,2021-01-12,Taney,Missouri,29213.0,4113,60.0
925286,2021-01-13,Taney,Missouri,29213.0,4134,60.0
928532,2021-01-14,Taney,Missouri,29213.0,4168,60.0
931777,2021-01-15,Taney,Missouri,29213.0,4173,60.0
935022,2021-01-16,Taney,Missouri,29213.0,4188,60.0
938267,2021-01-17,Taney,Missouri,29213.0,4211,60.0
941512,2021-01-18,Taney,Missouri,29213.0,4222,60.0
944757,2021-01-19,Taney,Missouri,29213.0,4239,60.0
948004,2021-01-20,Taney,Missouri,29213.0,4247,67.0
951250,2021-01-21,Taney,Missouri,29213.0,4265,68.0
954495,2021-01-22,Taney,Missouri,29213.0,4288,68.0
