,date,county,state,fips,cases,deaths
7699,2020-03-22,Tate,Mississippi,28137.0,1,0.0
8882,2020-03-23,Tate,Mississippi,28137.0,1,0.0
10180,2020-03-24,Tate,Mississippi,28137.0,1,0.0
11601,2020-03-25,Tate,Mississippi,28137.0,2,0.0
13195,2020-03-26,Tate,Mississippi,28137.0,6,0.0
14915,2020-03-27,Tate,Mississippi,28137.0,8,0.0
16739,2020-03-28,Tate,Mississippi,28137.0,8,0.0
18661,2020-03-29,Tate,Mississippi,28137.0,9,0.0
20685,2020-03-30,Tate,Mississippi,28137.0,11,0.0
22802,2020-03-31,Tate,Mississippi,28137.0,11,0.0
24986,2020-04-01,Tate,Mississippi,28137.0,11,0.0
27240,2020-04-02,Tate,Mississippi,28137.0,12,0.0
29559,2020-04-03,Tate,Mississippi,28137.0,13,0.0
31939,2020-04-04,Tate,Mississippi,28137.0,14,0.0
34367,2020-04-05,Tate,Mississippi,28137.0,15,0.0
36830,2020-04-06,Tate,Mississippi,28137.0,16,0.0
39341,2020-04-07,Tate,Mississippi,28137.0,18,0.0
41895,2020-04-08,Tate,Mississippi,28137.0,18,0.0
44472,2020-04-09,Tate,Mississippi,28137.0,19,0.0
47081,2020-04-10,Tate,Mississippi,28137.0,22,0.0
49727,2020-04-11,Tate,Mississippi,28137.0,23,0.0
52400,2020-04-12,Tate,Mississippi,28137.0,24,0.0
55082,2020-04-13,Tate,Mississippi,28137.0,24,0.0
57780,2020-04-14,Tate,Mississippi,28137.0,25,0.0
60491,2020-04-15,Tate,Mississippi,28137.0,26,0.0
63213,2020-04-16,Tate,Mississippi,28137.0,27,0.0
65953,2020-04-17,Tate,Mississippi,28137.0,27,0.0
68705,2020-04-18,Tate,Mississippi,28137.0,29,0.0
71471,2020-04-19,Tate,Mississippi,28137.0,31,0.0
74244,2020-04-20,Tate,Mississippi,28137.0,34,0.0
77025,2020-04-21,Tate,Mississippi,28137.0,34,0.0
79810,2020-04-22,Tate,Mississippi,28137.0,35,0.0
82606,2020-04-23,Tate,Mississippi,28137.0,35,0.0
85410,2020-04-24,Tate,Mississippi,28137.0,38,0.0
88220,2020-04-25,Tate,Mississippi,28137.0,38,0.0
91036,2020-04-26,Tate,Mississippi,28137.0,38,0.0
93857,2020-04-27,Tate,Mississippi,28137.0,38,0.0
96693,2020-04-28,Tate,Mississippi,28137.0,39,0.0
99539,2020-04-29,Tate,Mississippi,28137.0,41,0.0
102391,2020-04-30,Tate,Mississippi,28137.0,41,0.0
105252,2020-05-01,Tate,Mississippi,28137.0,42,0.0
