date,county,state,fips,cases,deaths
2020-03-22,Tattnall,Georgia,13267.0,1,0.0
2020-03-23,Tattnall,Georgia,13267.0,1,0.0
2020-03-24,Tattnall,Georgia,13267.0,1,0.0
2020-03-25,Tattnall,Georgia,13267.0,1,0.0
2020-03-26,Tattnall,Georgia,13267.0,2,0.0
2020-03-27,Tattnall,Georgia,13267.0,2,0.0
2020-03-28,Tattnall,Georgia,13267.0,2,0.0
2020-03-29,Tattnall,Georgia,13267.0,2,0.0
2020-03-30,Tattnall,Georgia,13267.0,2,0.0
2020-03-31,Tattnall,Georgia,13267.0,2,0.0
2020-04-01,Tattnall,Georgia,13267.0,2,0.0
2020-04-02,Tattnall,Georgia,13267.0,2,0.0
2020-04-03,Tattnall,Georgia,13267.0,3,0.0
2020-04-04,Tattnall,Georgia,13267.0,3,0.0
2020-04-05,Tattnall,Georgia,13267.0,3,0.0
2020-04-06,Tattnall,Georgia,13267.0,3,0.0
2020-04-07,Tattnall,Georgia,13267.0,3,0.0
2020-04-08,Tattnall,Georgia,13267.0,3,0.0
2020-04-09,Tattnall,Georgia,13267.0,3,0.0
2020-04-10,Tattnall,Georgia,13267.0,3,0.0
2020-04-11,Tattnall,Georgia,13267.0,3,0.0
2020-04-12,Tattnall,Georgia,13267.0,5,0.0
2020-04-13,Tattnall,Georgia,13267.0,5,0.0
2020-04-14,Tattnall,Georgia,13267.0,5,0.0
2020-04-15,Tattnall,Georgia,13267.0,5,0.0
2020-04-16,Tattnall,Georgia,13267.0,5,0.0
2020-04-17,Tattnall,Georgia,13267.0,5,0.0
2020-04-18,Tattnall,Georgia,13267.0,5,0.0
2020-04-19,Tattnall,Georgia,13267.0,5,0.0
2020-04-20,Tattnall,Georgia,13267.0,5,0.0
2020-04-21,Tattnall,Georgia,13267.0,5,0.0
2020-04-22,Tattnall,Georgia,13267.0,6,0.0
2020-04-23,Tattnall,Georgia,13267.0,6,0.0
2020-04-24,Tattnall,Georgia,13267.0,6,0.0
2020-04-25,Tattnall,Georgia,13267.0,6,0.0
2020-04-26,Tattnall,Georgia,13267.0,7,0.0
2020-04-27,Tattnall,Georgia,13267.0,7,0.0
2020-04-28,Tattnall,Georgia,13267.0,8,0.0
2020-04-29,Tattnall,Georgia,13267.0,10,0.0
2020-04-30,Tattnall,Georgia,13267.0,10,0.0
2020-05-01,Tattnall,Georgia,13267.0,9,0.0
2020-05-02,Tattnall,Georgia,13267.0,9,0.0
2020-05-03,Tattnall,Georgia,13267.0,9,0.0
2020-05-04,Tattnall,Georgia,13267.0,9,0.0
2020-05-05,Tattnall,Georgia,13267.0,9,0.0
2020-05-06,Tattnall,Georgia,13267.0,9,0.0
2020-05-07,Tattnall,Georgia,13267.0,9,0.0
2020-05-08,Tattnall,Georgia,13267.0,9,0.0
2020-05-09,Tattnall,Georgia,13267.0,9,0.0
2020-05-10,Tattnall,Georgia,13267.0,9,0.0
2020-05-11,Tattnall,Georgia,13267.0,9,0.0
2020-05-12,Tattnall,Georgia,13267.0,10,0.0
2020-05-13,Tattnall,Georgia,13267.0,10,0.0
2020-05-14,Tattnall,Georgia,13267.0,11,0.0
2020-05-15,Tattnall,Georgia,13267.0,11,0.0
2020-05-16,Tattnall,Georgia,13267.0,11,0.0
2020-05-17,Tattnall,Georgia,13267.0,11,0.0
2020-05-18,Tattnall,Georgia,13267.0,12,0.0
2020-05-19,Tattnall,Georgia,13267.0,13,0.0
2020-05-20,Tattnall,Georgia,13267.0,13,0.0
