,date,county,state,fips,cases,deaths
8391,2020-03-23,Teller,Colorado,8119.0,3,1.0
9636,2020-03-24,Teller,Colorado,8119.0,3,1.0
11010,2020-03-25,Teller,Colorado,8119.0,5,1.0
12557,2020-03-26,Teller,Colorado,8119.0,7,1.0
14226,2020-03-27,Teller,Colorado,8119.0,7,1.0
16010,2020-03-28,Teller,Colorado,8119.0,7,1.0
17902,2020-03-29,Teller,Colorado,8119.0,7,1.0
19881,2020-03-30,Teller,Colorado,8119.0,8,1.0
21958,2020-03-31,Teller,Colorado,8119.0,7,1.0
24117,2020-04-01,Teller,Colorado,8119.0,7,1.0
26347,2020-04-02,Teller,Colorado,8119.0,7,1.0
28649,2020-04-03,Teller,Colorado,8119.0,11,1.0
31007,2020-04-04,Teller,Colorado,8119.0,11,1.0
33413,2020-04-05,Teller,Colorado,8119.0,11,1.0
35858,2020-04-06,Teller,Colorado,8119.0,11,1.0
38348,2020-04-07,Teller,Colorado,8119.0,12,1.0
40891,2020-04-08,Teller,Colorado,8119.0,12,1.0
43465,2020-04-09,Teller,Colorado,8119.0,12,1.0
46065,2020-04-10,Teller,Colorado,8119.0,12,2.0
48695,2020-04-11,Teller,Colorado,8119.0,12,2.0
51357,2020-04-12,Teller,Colorado,8119.0,16,2.0
54036,2020-04-13,Teller,Colorado,8119.0,15,2.0
56728,2020-04-14,Teller,Colorado,8119.0,16,2.0
59436,2020-04-15,Teller,Colorado,8119.0,16,2.0
62155,2020-04-16,Teller,Colorado,8119.0,17,2.0
64888,2020-04-17,Teller,Colorado,8119.0,18,2.0
67636,2020-04-18,Teller,Colorado,8119.0,18,2.0
70398,2020-04-19,Teller,Colorado,8119.0,24,2.0
73167,2020-04-20,Teller,Colorado,8119.0,24,2.0
75943,2020-04-21,Teller,Colorado,8119.0,25,2.0
78727,2020-04-22,Teller,Colorado,8119.0,25,2.0
81521,2020-04-23,Teller,Colorado,8119.0,25,2.0
84321,2020-04-24,Teller,Colorado,8119.0,26,2.0
87129,2020-04-25,Teller,Colorado,8119.0,27,2.0
89946,2020-04-26,Teller,Colorado,8119.0,27,2.0
92764,2020-04-27,Teller,Colorado,8119.0,27,2.0
95596,2020-04-28,Teller,Colorado,8119.0,28,2.0
98441,2020-04-29,Teller,Colorado,8119.0,28,2.0
101291,2020-04-30,Teller,Colorado,8119.0,28,2.0
104146,2020-05-01,Teller,Colorado,8119.0,28,2.0
107011,2020-05-02,Teller,Colorado,8119.0,28,2.0
109880,2020-05-03,Teller,Colorado,8119.0,28,2.0
112755,2020-05-04,Teller,Colorado,8119.0,28,2.0
115638,2020-05-05,Teller,Colorado,8119.0,29,2.0
118598,2020-05-06,Teller,Colorado,8119.0,30,2.0
121567,2020-05-07,Teller,Colorado,8119.0,30,2.0
124547,2020-05-08,Teller,Colorado,8119.0,30,2.0
127533,2020-05-09,Teller,Colorado,8119.0,30,2.0
130524,2020-05-10,Teller,Colorado,8119.0,31,2.0
133515,2020-05-11,Teller,Colorado,8119.0,31,2.0
136504,2020-05-12,Teller,Colorado,8119.0,31,2.0
139495,2020-05-13,Teller,Colorado,8119.0,31,2.0
142491,2020-05-14,Teller,Colorado,8119.0,31,2.0
145491,2020-05-15,Teller,Colorado,8119.0,31,2.0
148494,2020-05-16,Teller,Colorado,8119.0,31,2.0
151503,2020-05-17,Teller,Colorado,8119.0,31,2.0
154515,2020-05-18,Teller,Colorado,8119.0,31,2.0
157531,2020-05-19,Teller,Colorado,8119.0,31,2.0
160557,2020-05-20,Teller,Colorado,8119.0,32,2.0
163585,2020-05-21,Teller,Colorado,8119.0,33,2.0
166618,2020-05-22,Teller,Colorado,8119.0,32,2.0
169655,2020-05-23,Teller,Colorado,8119.0,32,2.0
172696,2020-05-24,Teller,Colorado,8119.0,32,2.0
175740,2020-05-25,Teller,Colorado,8119.0,32,2.0
178784,2020-05-26,Teller,Colorado,8119.0,32,2.0
181828,2020-05-27,Teller,Colorado,8119.0,32,2.0
184882,2020-05-28,Teller,Colorado,8119.0,32,2.0
187938,2020-05-29,Teller,Colorado,8119.0,32,2.0
191003,2020-05-30,Teller,Colorado,8119.0,32,2.0
194070,2020-05-31,Teller,Colorado,8119.0,32,2.0
197140,2020-06-01,Teller,Colorado,8119.0,33,2.0
200213,2020-06-02,Teller,Colorado,8119.0,33,2.0
203289,2020-06-03,Teller,Colorado,8119.0,33,2.0
206369,2020-06-04,Teller,Colorado,8119.0,33,2.0
209450,2020-06-05,Teller,Colorado,8119.0,33,2.0
212535,2020-06-06,Teller,Colorado,8119.0,34,2.0
215622,2020-06-07,Teller,Colorado,8119.0,34,2.0
218713,2020-06-08,Teller,Colorado,8119.0,36,2.0
221808,2020-06-09,Teller,Colorado,8119.0,37,2.0
224903,2020-06-10,Teller,Colorado,8119.0,37,2.0
228005,2020-06-11,Teller,Colorado,8119.0,37,2.0
231108,2020-06-12,Teller,Colorado,8119.0,38,2.0
234214,2020-06-13,Teller,Colorado,8119.0,38,2.0
237321,2020-06-14,Teller,Colorado,8119.0,38,2.0
240429,2020-06-15,Teller,Colorado,8119.0,38,2.0
243540,2020-06-16,Teller,Colorado,8119.0,39,2.0
