date,county,state,fips,cases,deaths
2020-03-20,Terrell,Georgia,13273.0,2,0.0
2020-03-21,Terrell,Georgia,13273.0,2,0.0
2020-03-22,Terrell,Georgia,13273.0,2,0.0
2020-03-23,Terrell,Georgia,13273.0,2,0.0
2020-03-24,Terrell,Georgia,13273.0,3,2.0
2020-03-25,Terrell,Georgia,13273.0,4,2.0
2020-03-26,Terrell,Georgia,13273.0,5,2.0
2020-03-27,Terrell,Georgia,13273.0,6,2.0
2020-03-28,Terrell,Georgia,13273.0,10,2.0
2020-03-29,Terrell,Georgia,13273.0,10,2.0
2020-03-30,Terrell,Georgia,13273.0,20,2.0
2020-03-31,Terrell,Georgia,13273.0,40,2.0
2020-04-01,Terrell,Georgia,13273.0,46,2.0
2020-04-02,Terrell,Georgia,13273.0,47,2.0
2020-04-03,Terrell,Georgia,13273.0,50,2.0
2020-04-04,Terrell,Georgia,13273.0,57,2.0
2020-04-05,Terrell,Georgia,13273.0,58,2.0
2020-04-06,Terrell,Georgia,13273.0,66,8.0
2020-04-07,Terrell,Georgia,13273.0,92,9.0
2020-04-08,Terrell,Georgia,13273.0,95,9.0
2020-04-09,Terrell,Georgia,13273.0,98,10.0
2020-04-10,Terrell,Georgia,13273.0,103,10.0
2020-04-11,Terrell,Georgia,13273.0,106,10.0
2020-04-12,Terrell,Georgia,13273.0,109,10.0
2020-04-13,Terrell,Georgia,13273.0,118,10.0
2020-04-14,Terrell,Georgia,13273.0,134,11.0
2020-04-15,Terrell,Georgia,13273.0,137,11.0
2020-04-16,Terrell,Georgia,13273.0,137,12.0
2020-04-17,Terrell,Georgia,13273.0,142,14.0
2020-04-18,Terrell,Georgia,13273.0,146,14.0
2020-04-19,Terrell,Georgia,13273.0,148,14.0
2020-04-20,Terrell,Georgia,13273.0,150,18.0
2020-04-21,Terrell,Georgia,13273.0,156,18.0
2020-04-22,Terrell,Georgia,13273.0,159,18.0
2020-04-23,Terrell,Georgia,13273.0,162,18.0
2020-04-24,Terrell,Georgia,13273.0,165,17.0
2020-04-25,Terrell,Georgia,13273.0,165,17.0
2020-04-26,Terrell,Georgia,13273.0,165,17.0
2020-04-27,Terrell,Georgia,13273.0,167,18.0
2020-04-28,Terrell,Georgia,13273.0,170,18.0
2020-04-29,Terrell,Georgia,13273.0,177,18.0
2020-04-30,Terrell,Georgia,13273.0,183,19.0
2020-05-01,Terrell,Georgia,13273.0,184,19.0
2020-05-02,Terrell,Georgia,13273.0,185,19.0
2020-05-03,Terrell,Georgia,13273.0,186,19.0
2020-05-04,Terrell,Georgia,13273.0,189,21.0
2020-05-05,Terrell,Georgia,13273.0,191,21.0
2020-05-06,Terrell,Georgia,13273.0,193,21.0
2020-05-07,Terrell,Georgia,13273.0,195,21.0
2020-05-08,Terrell,Georgia,13273.0,198,21.0
2020-05-09,Terrell,Georgia,13273.0,198,21.0
2020-05-10,Terrell,Georgia,13273.0,198,21.0
2020-05-11,Terrell,Georgia,13273.0,197,23.0
2020-05-12,Terrell,Georgia,13273.0,198,24.0
2020-05-13,Terrell,Georgia,13273.0,199,24.0
2020-05-14,Terrell,Georgia,13273.0,199,24.0
2020-05-15,Terrell,Georgia,13273.0,199,24.0
2020-05-16,Terrell,Georgia,13273.0,199,24.0
2020-05-17,Terrell,Georgia,13273.0,199,24.0
2020-05-18,Terrell,Georgia,13273.0,199,24.0
