,date,county,state,fips,cases,deaths
12183,2020-03-25,Terry,Texas,48445.0,1,0.0
13817,2020-03-26,Terry,Texas,48445.0,3,0.0
15579,2020-03-27,Terry,Texas,48445.0,1,0.0
17450,2020-03-28,Terry,Texas,48445.0,1,0.0
19408,2020-03-29,Terry,Texas,48445.0,3,0.0
21470,2020-03-30,Terry,Texas,48445.0,3,0.0
23609,2020-03-31,Terry,Texas,48445.0,4,0.0
25823,2020-04-01,Terry,Texas,48445.0,4,0.0
28111,2020-04-02,Terry,Texas,48445.0,4,0.0
30447,2020-04-03,Terry,Texas,48445.0,4,0.0
32843,2020-04-04,Terry,Texas,48445.0,4,0.0
35281,2020-04-05,Terry,Texas,48445.0,4,0.0
37758,2020-04-06,Terry,Texas,48445.0,4,0.0
40287,2020-04-07,Terry,Texas,48445.0,4,0.0
42855,2020-04-08,Terry,Texas,48445.0,4,0.0
45449,2020-04-09,Terry,Texas,48445.0,6,0.0
48072,2020-04-10,Terry,Texas,48445.0,6,0.0
50730,2020-04-11,Terry,Texas,48445.0,6,0.0
53405,2020-04-12,Terry,Texas,48445.0,6,0.0
56094,2020-04-13,Terry,Texas,48445.0,10,0.0
58799,2020-04-14,Terry,Texas,48445.0,10,0.0
61517,2020-04-15,Terry,Texas,48445.0,10,0.0
64249,2020-04-16,Terry,Texas,48445.0,10,0.0
66996,2020-04-17,Terry,Texas,48445.0,10,0.0
69756,2020-04-18,Terry,Texas,48445.0,10,0.0
72526,2020-04-19,Terry,Texas,48445.0,10,0.0
75302,2020-04-20,Terry,Texas,48445.0,10,0.0
78084,2020-04-21,Terry,Texas,48445.0,10,0.0
80875,2020-04-22,Terry,Texas,48445.0,10,0.0
83676,2020-04-23,Terry,Texas,48445.0,10,0.0
86483,2020-04-24,Terry,Texas,48445.0,10,0.0
89298,2020-04-25,Terry,Texas,48445.0,10,0.0
92115,2020-04-26,Terry,Texas,48445.0,10,0.0
94944,2020-04-27,Terry,Texas,48445.0,10,0.0
97786,2020-04-28,Terry,Texas,48445.0,10,0.0
100636,2020-04-29,Terry,Texas,48445.0,10,0.0
103491,2020-04-30,Terry,Texas,48445.0,11,0.0
106355,2020-05-01,Terry,Texas,48445.0,11,0.0
109224,2020-05-02,Terry,Texas,48445.0,11,0.0
112098,2020-05-03,Terry,Texas,48445.0,11,0.0
114981,2020-05-04,Terry,Texas,48445.0,11,0.0
117940,2020-05-05,Terry,Texas,48445.0,12,0.0
120904,2020-05-06,Terry,Texas,48445.0,12,0.0
123884,2020-05-07,Terry,Texas,48445.0,12,0.0
126869,2020-05-08,Terry,Texas,48445.0,12,0.0
129858,2020-05-09,Terry,Texas,48445.0,12,0.0
132848,2020-05-10,Terry,Texas,48445.0,12,0.0
135839,2020-05-11,Terry,Texas,48445.0,12,0.0
138829,2020-05-12,Terry,Texas,48445.0,12,0.0
141825,2020-05-13,Terry,Texas,48445.0,12,0.0
144822,2020-05-14,Terry,Texas,48445.0,12,0.0
147826,2020-05-15,Terry,Texas,48445.0,12,0.0
150834,2020-05-16,Terry,Texas,48445.0,12,0.0
153845,2020-05-17,Terry,Texas,48445.0,12,0.0
156862,2020-05-18,Terry,Texas,48445.0,12,0.0
159886,2020-05-19,Terry,Texas,48445.0,13,0.0
162914,2020-05-20,Terry,Texas,48445.0,13,0.0
165943,2020-05-21,Terry,Texas,48445.0,13,0.0
168979,2020-05-22,Terry,Texas,48445.0,13,0.0
172019,2020-05-23,Terry,Texas,48445.0,13,0.0
175062,2020-05-24,Terry,Texas,48445.0,13,0.0
178107,2020-05-25,Terry,Texas,48445.0,13,0.0
181151,2020-05-26,Terry,Texas,48445.0,13,0.0
184202,2020-05-27,Terry,Texas,48445.0,13,0.0
187259,2020-05-28,Terry,Texas,48445.0,13,0.0
190323,2020-05-29,Terry,Texas,48445.0,13,0.0
193389,2020-05-30,Terry,Texas,48445.0,13,0.0
196459,2020-05-31,Terry,Texas,48445.0,13,0.0
199532,2020-06-01,Terry,Texas,48445.0,13,0.0
202608,2020-06-02,Terry,Texas,48445.0,13,0.0
205687,2020-06-03,Terry,Texas,48445.0,13,0.0
208769,2020-06-04,Terry,Texas,48445.0,13,0.0
211854,2020-06-05,Terry,Texas,48445.0,13,0.0
214941,2020-06-06,Terry,Texas,48445.0,13,0.0
218031,2020-06-07,Terry,Texas,48445.0,13,0.0
221123,2020-06-08,Terry,Texas,48445.0,13,0.0
224219,2020-06-09,Terry,Texas,48445.0,13,0.0
227319,2020-06-10,Terry,Texas,48445.0,13,0.0
230423,2020-06-11,Terry,Texas,48445.0,13,0.0
233527,2020-06-12,Terry,Texas,48445.0,13,0.0
236634,2020-06-13,Terry,Texas,48445.0,13,0.0
239742,2020-06-14,Terry,Texas,48445.0,13,0.0
242852,2020-06-15,Terry,Texas,48445.0,13,0.0
245964,2020-06-16,Terry,Texas,48445.0,13,0.0
249077,2020-06-17,Terry,Texas,48445.0,13,0.0
252192,2020-06-18,Terry,Texas,48445.0,14,0.0
255308,2020-06-19,Terry,Texas,48445.0,14,0.0
258435,2020-06-20,Terry,Texas,48445.0,14,0.0
261562,2020-06-21,Terry,Texas,48445.0,14,0.0
264691,2020-06-22,Terry,Texas,48445.0,14,0.0
267820,2020-06-23,Terry,Texas,48445.0,14,0.0
270954,2020-06-24,Terry,Texas,48445.0,14,0.0
274094,2020-06-25,Terry,Texas,48445.0,15,0.0
277242,2020-06-26,Terry,Texas,48445.0,16,0.0
280390,2020-06-27,Terry,Texas,48445.0,16,0.0
283536,2020-06-28,Terry,Texas,48445.0,16,0.0
286682,2020-06-29,Terry,Texas,48445.0,16,0.0
289832,2020-06-30,Terry,Texas,48445.0,17,0.0
292985,2020-07-01,Terry,Texas,48445.0,17,0.0
296140,2020-07-02,Terry,Texas,48445.0,21,0.0
299301,2020-07-03,Terry,Texas,48445.0,21,0.0
302465,2020-07-04,Terry,Texas,48445.0,36,0.0
305629,2020-07-05,Terry,Texas,48445.0,36,0.0
308797,2020-07-06,Terry,Texas,48445.0,36,0.0
