date,county,state,fips,cases,deaths
2020-03-11,Thurston,Washington,53067.0,1,0.0
2020-03-12,Thurston,Washington,53067.0,1,0.0
2020-03-13,Thurston,Washington,53067.0,3,0.0
2020-03-14,Thurston,Washington,53067.0,3,0.0
2020-03-15,Thurston,Washington,53067.0,4,0.0
2020-03-16,Thurston,Washington,53067.0,4,0.0
2020-03-17,Thurston,Washington,53067.0,5,0.0
2020-03-18,Thurston,Washington,53067.0,6,0.0
2020-03-19,Thurston,Washington,53067.0,6,0.0
2020-03-20,Thurston,Washington,53067.0,8,0.0
2020-03-21,Thurston,Washington,53067.0,10,0.0
2020-03-22,Thurston,Washington,53067.0,11,0.0
2020-03-23,Thurston,Washington,53067.0,11,0.0
2020-03-24,Thurston,Washington,53067.0,14,0.0
2020-03-25,Thurston,Washington,53067.0,14,0.0
2020-03-26,Thurston,Washington,53067.0,24,0.0
2020-03-27,Thurston,Washington,53067.0,27,0.0
2020-03-28,Thurston,Washington,53067.0,33,0.0
2020-03-29,Thurston,Washington,53067.0,36,0.0
2020-03-30,Thurston,Washington,53067.0,43,0.0
2020-03-31,Thurston,Washington,53067.0,48,0.0
2020-04-01,Thurston,Washington,53067.0,51,0.0
2020-04-02,Thurston,Washington,53067.0,55,0.0
2020-04-03,Thurston,Washington,53067.0,58,0.0
2020-04-04,Thurston,Washington,53067.0,64,1.0
2020-04-05,Thurston,Washington,53067.0,67,1.0
2020-04-06,Thurston,Washington,53067.0,72,1.0
2020-04-07,Thurston,Washington,53067.0,74,1.0
2020-04-08,Thurston,Washington,53067.0,77,1.0
2020-04-09,Thurston,Washington,53067.0,81,1.0
2020-04-10,Thurston,Washington,53067.0,81,1.0
2020-04-11,Thurston,Washington,53067.0,81,1.0
2020-04-12,Thurston,Washington,53067.0,81,1.0
2020-04-13,Thurston,Washington,53067.0,81,1.0
2020-04-14,Thurston,Washington,53067.0,82,1.0
2020-04-15,Thurston,Washington,53067.0,82,1.0
