date,county,state,fips,cases,deaths
2020-03-27,Todd,South Dakota,46121.0,1,0.0
2020-03-28,Todd,South Dakota,46121.0,1,0.0
2020-03-29,Todd,South Dakota,46121.0,1,0.0
2020-03-30,Todd,South Dakota,46121.0,1,0.0
2020-03-31,Todd,South Dakota,46121.0,1,0.0
2020-04-01,Todd,South Dakota,46121.0,1,0.0
2020-04-02,Todd,South Dakota,46121.0,1,0.0
2020-04-03,Todd,South Dakota,46121.0,1,0.0
2020-04-04,Todd,South Dakota,46121.0,1,0.0
2020-04-05,Todd,South Dakota,46121.0,1,0.0
2020-04-06,Todd,South Dakota,46121.0,1,0.0
2020-04-07,Todd,Kentucky,21219.0,2,0.0
2020-04-07,Todd,South Dakota,46121.0,1,0.0
2020-04-08,Todd,Kentucky,21219.0,3,0.0
2020-04-08,Todd,South Dakota,46121.0,1,0.0
2020-04-09,Todd,Kentucky,21219.0,3,0.0
2020-04-09,Todd,South Dakota,46121.0,1,0.0
2020-04-10,Todd,Kentucky,21219.0,5,0.0
2020-04-10,Todd,South Dakota,46121.0,1,0.0
2020-04-11,Todd,Kentucky,21219.0,6,0.0
2020-04-11,Todd,South Dakota,46121.0,1,0.0
2020-04-12,Todd,Kentucky,21219.0,7,0.0
2020-04-12,Todd,Minnesota,27153.0,2,0.0
2020-04-12,Todd,South Dakota,46121.0,1,0.0
2020-04-13,Todd,Kentucky,21219.0,7,0.0
2020-04-13,Todd,Minnesota,27153.0,2,0.0
2020-04-13,Todd,South Dakota,46121.0,1,0.0
2020-04-14,Todd,Kentucky,21219.0,8,0.0
2020-04-14,Todd,Minnesota,27153.0,2,0.0
2020-04-14,Todd,South Dakota,46121.0,1,0.0
2020-04-15,Todd,Kentucky,21219.0,10,0.0
2020-04-15,Todd,Minnesota,27153.0,2,0.0
2020-04-15,Todd,South Dakota,46121.0,1,0.0
2020-04-16,Todd,Kentucky,21219.0,10,0.0
2020-04-16,Todd,Minnesota,27153.0,2,0.0
2020-04-16,Todd,South Dakota,46121.0,1,0.0
2020-04-17,Todd,Kentucky,21219.0,10,0.0
2020-04-17,Todd,Minnesota,27153.0,2,0.0
2020-04-17,Todd,South Dakota,46121.0,1,0.0
2020-04-18,Todd,Kentucky,21219.0,11,0.0
2020-04-18,Todd,Minnesota,27153.0,2,0.0
2020-04-18,Todd,South Dakota,46121.0,1,0.0
2020-04-19,Todd,Kentucky,21219.0,9,0.0
2020-04-19,Todd,Minnesota,27153.0,2,0.0
2020-04-19,Todd,South Dakota,46121.0,1,0.0
2020-04-20,Todd,Kentucky,21219.0,9,0.0
2020-04-20,Todd,Minnesota,27153.0,3,0.0
2020-04-20,Todd,South Dakota,46121.0,1,0.0
2020-04-21,Todd,Kentucky,21219.0,9,0.0
2020-04-21,Todd,Minnesota,27153.0,3,0.0
2020-04-21,Todd,South Dakota,46121.0,1,0.0
